,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
SWANENERGY,2016-11-23,2016-12-06,149.82,0.04,123.1,170.35,0.32,0.04,-0.0,0.15
BLISSGVS,2016-11-23,2016-12-06,151.06,0.02,127.6,169.25,0.28,0.03,0.0,0.09
BALKRISIND,2016-11-23,2016-12-06,1047.21,0.06,927.3,1230.3,0.28,0.03,-0.0,0.18
ADANIPOWER,2016-11-23,2016-12-06,27.9,0.04,24.7,32.25,0.27,0.03,-0.03,0.11
TATAELXSI,2016-11-23,2016-12-06,1261.46,0.02,1088.25,1380.6,0.24,0.03,-0.0,0.07
BALMLAWRIE,2016-11-23,2016-12-06,946.9,0.02,840.4,1045.5,0.22,0.02,-0.02,0.07
JAICORPLTD,2016-11-23,2016-12-06,63.11,0.05,54.75,68.2,0.22,0.02,-0.04,0.1
HCC,2016-11-23,2016-12-06,35.93,0.06,32.2,39.1,0.19,0.02,-0.02,0.18
ANANTRAJ,2016-11-23,2016-12-06,39.38,0.02,35.85,42.95,0.18,0.02,-0.01,0.07
ZEELEARN,2016-11-23,2016-12-06,39.32,0.02,34.55,41.55,0.18,0.02,-0.0,0.07
JMFINANCIL,2016-11-23,2016-12-06,64.96,0.04,59.3,70.4,0.17,0.02,-0.05,0.09
NATIONALUM,2016-11-23,2016-12-06,56.18,0.04,51.9,61.75,0.17,0.02,-0.03,0.09
ABAN,2016-11-23,2016-12-06,229.46,0.03,211.05,247.65,0.16,0.02,-0.02,0.09
MMTC,2016-11-23,2016-12-06,47.11,0.05,42.2,49.75,0.16,0.02,-0.06,0.13
AMTEKAUTO,2016-11-23,2016-12-06,38.48,0.05,33.15,38.5,0.15,0.02,-0.05,0.1
SHILPAMED,2016-11-23,2016-12-06,636.83,0.04,558.35,649.2,0.15,0.02,-0.04,0.09
8KMILES,2016-11-23,2016-12-06,683.42,0.03,599.25,693.55,0.15,0.02,-0.03,0.08
CHAMBLFERT,2016-11-23,2016-12-06,63.27,0.03,58.25,66.75,0.14,0.02,-0.02,0.06
TATASPONGE,2016-11-23,2016-12-06,540.92,0.04,517.35,595.9,0.14,0.02,-0.02,0.12
RAIN,2016-11-23,2016-12-06,50.88,0.03,49.2,56.1,0.13,0.01,-0.03,0.05
CCL,2016-11-23,2016-12-06,259.31,0.02,242.15,276.1,0.13,0.01,-0.0,0.05
SHARDACROP,2016-11-23,2016-12-06,416.77,0.02,380.35,430.65,0.12,0.01,-0.01,0.06
BEL,2016-11-23,2016-12-06,1387.0,0.02,1294.1,1456.8,0.12,0.01,-0.01,0.06
MRPL,2016-11-23,2016-12-06,96.22,0.05,89.0,100.15,0.12,0.01,-0.04,0.14
INTELLECT,2016-11-23,2016-12-06,142.09,0.02,131.1,146.4,0.11,0.01,-0.03,0.04
MERCK,2016-11-23,2016-12-06,960.01,0.03,885.0,992.6,0.11,0.01,-0.02,0.07
EROSMEDIA,2016-11-23,2016-12-06,164.88,0.03,152.6,169.65,0.11,0.01,-0.04,0.04
CENTRALBK,2016-11-23,2016-12-06,82.55,0.01,77.95,86.75,0.11,0.01,-0.01,0.04
INOXWIND,2016-11-23,2016-12-06,184.94,0.02,178.45,198.55,0.11,0.01,-0.03,0.06
RIIL,2016-11-23,2016-12-06,376.79,0.04,350.75,392.65,0.11,0.01,-0.03,0.1
ADANIENT,2016-11-23,2016-12-06,66.33,0.02,63.35,69.8,0.1,0.01,-0.03,0.03
UPL,2016-11-23,2016-12-06,637.6,0.01,611.05,672.55,0.1,0.01,-0.01,0.03
TAKE,2016-11-23,2016-12-06,128.27,0.03,124.15,136.7,0.1,0.01,-0.02,0.1
CANFINHOME,2016-11-23,2016-12-06,1607.36,0.03,1517.7,1669.9,0.1,0.01,-0.04,0.08
RCF,2016-11-23,2016-12-06,46.14,0.02,43.5,48.25,0.1,0.01,-0.02,0.04
CEATLTD,2016-11-23,2016-12-06,1217.78,0.02,1150.0,1269.05,0.1,0.01,-0.02,0.05
TEXRAIL,2016-11-23,2016-12-06,102.66,0.02,96.1,105.75,0.1,0.01,-0.02,0.05
WELCORP,2016-11-23,2016-12-06,75.27,0.04,70.9,78.1,0.1,0.01,-0.03,0.13
BEML,2016-11-23,2016-12-06,825.46,0.02,786.05,873.0,0.1,0.01,-0.01,0.04
ALOKTEXT,2016-11-23,2016-12-06,2.61,0.04,2.45,2.7,0.1,0.01,-0.04,0.1
STCINDIA,2016-11-23,2016-12-06,115.7,0.02,107.55,118.55,0.1,0.01,-0.04,0.05
HDIL,2016-11-23,2016-12-06,60.35,0.02,58.1,63.35,0.09,0.01,-0.02,0.04
BGRENERGY,2016-11-23,2016-12-06,111.16,0.02,108.15,118.05,0.09,0.01,-0.02,0.04
BHARTIARTL,2016-11-23,2016-12-06,316.46,0.02,300.55,328.85,0.09,0.01,-0.02,0.06
BERGEPAINT,2016-11-23,2016-12-06,222.23,0.04,199.4,218.4,0.09,0.01,-0.05,0.07
HINDCOPPER,2016-11-23,2016-12-06,59.66,0.03,56.3,61.6,0.09,0.01,-0.03,0.04
MAGMA,2016-11-23,2016-12-06,100.04,0.04,95.1,103.75,0.09,0.01,-0.05,0.08
GSFC,2016-11-23,2016-12-06,87.06,0.02,83.0,90.4,0.09,0.01,-0.03,0.05
KSCL,2016-11-23,2016-12-06,404.4,0.02,381.45,417.95,0.09,0.01,-0.02,0.04
SYNGENE,2016-11-23,2016-12-06,564.74,0.02,527.75,577.8,0.09,0.01,-0.05,0.04
TIMKEN,2016-11-23,2016-12-06,556.05,0.02,527.6,579.75,0.09,0.01,-0.01,0.04
PHOENIXLTD,2016-11-23,2016-12-06,374.93,0.05,333.85,365.55,0.09,0.01,-0.05,0.13
PTC,2016-11-23,2016-12-06,71.79,0.01,68.95,75.0,0.08,0.01,-0.01,0.03
BOSCHLTD,2016-11-23,2016-12-06,19880.86,0.02,18975.2,20465.6,0.08,0.01,-0.02,0.04
SONATSOFTW,2016-11-23,2016-12-06,154.51,0.02,146.4,158.3,0.08,0.01,-0.02,0.07
IBULHSGFIN,2016-11-23,2016-12-06,721.93,0.02,673.15,731.55,0.08,0.01,-0.03,0.05
JYOTHYLAB,2016-11-23,2016-12-06,351.74,0.01,340.1,369.65,0.08,0.01,-0.02,0.02
TATAPOWER,2016-11-23,2016-12-06,72.24,0.02,69.3,75.2,0.08,0.01,-0.02,0.04
JKTYRE,2016-11-23,2016-12-06,117.6,0.03,112.8,122.3,0.08,0.01,-0.03,0.04
ICIL,2016-11-23,2016-12-06,150.78,0.04,144.9,156.6,0.08,0.01,-0.06,0.09
