Symbol,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
SWANENERGY,2016-11-01,2016-11-07,109.91,0.02,103.8,118.55,0.13,0.03,0.0,0.06
CROMPGREAV,2016-11-01,2016-11-07,78.92,0.05,77.5,85.9,0.1,0.03,-0.0,0.11
HINDALCO,2016-11-01,2016-11-07,160.54,0.03,156.95,167.6,0.07,0.02,-0.02,0.05
ITC,2016-11-01,2016-11-07,244.62,0.02,239.95,256.5,0.07,0.02,-0.01,0.04
HCLTECH,2016-11-01,2016-11-07,782.45,0.02,772.9,817.2,0.06,0.01,-0.01,0.04
SREINFRA,2016-11-01,2016-11-07,80.95,0.05,78.4,83.4,0.06,0.02,-0.04,0.07
JSWHL,2016-11-01,2016-11-07,1231.94,0.03,1224.8,1299.8,0.06,0.01,-0.04,0.04
SONATSOFTW,2016-11-01,2016-11-07,159.29,0.03,155.75,163.4,0.05,0.01,-0.02,0.05
ZENSARTECH,2016-11-01,2016-11-07,978.79,0.07,929.85,965.4,0.04,0.01,-0.06,0.12
STAR,2016-11-01,2016-11-07,1077.01,0.05,1058.15,1092.8,0.03,0.01,-0.06,0.07
SKFINDIA,2016-11-01,2016-11-07,1455.5,0.03,1415.25,1453.6,0.03,0.01,-0.04,0.05
INFIBEAM,2016-11-01,2016-11-07,958.64,0.02,946.55,973.6,0.03,0.01,-0.02,0.03
TECHM,2016-11-01,2016-11-07,433.25,0.02,433.55,444.85,0.03,0.01,-0.01,0.03
PVR,2016-11-01,2016-11-07,1229.35,0.02,1234.95,1266.45,0.03,0.01,-0.02,0.03
THOMASCOOK,2016-11-01,2016-11-07,215.07,0.02,215.05,218.55,0.02,0.0,-0.02,0.03
DABUR,2016-11-01,2016-11-07,295.01,0.01,291.25,297.2,0.02,0.01,-0.01,0.02
APLAPOLLO,2016-11-01,2016-11-07,920.06,0.02,915.65,934.45,0.02,0.01,-0.02,0.03
AXISBANK,2016-11-01,2016-11-07,478.51,0.01,475.8,485.4,0.02,0.0,-0.0,0.01
TORNTPOWER,2016-11-01,2016-11-07,177.95,0.02,176.0,178.65,0.01,0.0,-0.02,0.02
MRF,2016-11-01,2016-11-07,50192.08,0.01,50095.4,50851.9,0.01,0.0,-0.01,0.01
SIMPLEXINF,2016-11-01,2016-11-07,324.16,0.01,325.0,328.05,0.01,0.0,-0.01,0.02
DYNAMATECH,2016-11-01,2016-11-07,3194.08,0.03,3226.5,3271.15,0.01,0.0,-0.02,0.05
SUPREMEIND,2016-11-01,2016-11-07,891.76,0.01,890.4,901.1,0.01,0.0,-0.01,0.02
SUNDRMFAST,2016-11-01,2016-11-07,326.97,0.03,322.1,324.45,0.01,0.0,-0.05,0.04
SITINET,2016-11-01,2016-11-07,35.1,0.01,34.75,35.0,0.01,0.0,-0.01,0.01
INOXLEISUR,2016-11-01,2016-11-07,244.91,0.01,245.1,247.95,0.01,0.0,-0.01,0.02
UBL,2016-11-01,2016-11-07,878.19,0.01,881.45,892.05,0.01,0.0,-0.01,0.02
KPRMILL,2016-11-01,2016-11-07,2276.28,0.02,2295.9,2322.3,0.01,0.0,-0.02,0.03
LUPIN,2016-11-01,2016-11-07,1482.16,0.04,1508.35,1518.6,0.01,0.0,-0.03,0.07
LALPATHLAB,2016-11-01,2016-11-07,1170.08,0.02,1162.05,1171.95,0.01,0.0,-0.04,0.02
OCL,2016-11-01,2016-11-07,947.47,0.03,955.45,965.9,0.01,0.0,-0.03,0.03
