,0,1,2
3MINDIA,10762.5227273,10770.45,334.543996582
3MINDIA.1,10762.5227273,10770.45,334.543996582
3MINDIA.NS,10788.5272727,10770.45,386.375897875
8KMILES,674.797727273,677.7,28.108355296
8KMILES.NS,672.413636364,677.7,25.9419185591
AARTIIND,698.440909091,699.75,13.4066937471
AARTIIND.NS,698.318181818,699.025,13.4010975515
ABAN,238.870454545,240.05,10.8450741407
ABAN.NS,238.586363636,240.05,10.6683798678
ABB,1042.08409091,1044.05,9.58200677813
ABB.NS,1047.70227273,1043.475,30.1197312218
ABFRL,220.35,220.35,0.0
ABFRL.NS,220.35,220.35,0.0
ABIRLANUVO,1234.29318182,1230.75,41.9512225131
ABIRLANUVO.NS,1234.53636364,1230.75,42.2662963269
ACC,1315.26590909,1314.2,22.2834840952
ACC.NS,1314.34090909,1314.2,21.7030699845
ADANIENT,74.0409090909,73.1,3.1731626241
ADANIENT.NS,74.1159090909,73.1,3.30185324454
ADANIPORTS,275.547727273,274.55,8.83815426315
ADANIPORTS.NS,275.843181818,274.55,9.3565013742
ADANIPOWER,30.9431818182,31.075,1.50454038659
ADANIPOWER.NS,30.9886363636,31.075,1.56881300429
ADANITRANS,55.6568181818,55.9,1.66227722851
ADANITRANS.NS,55.8477272727,55.9,1.93473741744
AEGISCHEM,134.238636364,132.2,5.31002941024
AEGISCHEM.NS,134.540909091,133.225,5.20644372649
AHLUCONT,255.477272727,255.025,4.33135652546
AHLUCONT.NS,256.05,256.325,4.25729066538
AIAENG,1282.87272727,1276.05,17.957295422
AIAENG.NS,1284.32954545,1284.225,17.6652986381
AJANTPHARM,1782.71364091,1786.025025,39.1748581645
AJANTPHARM.NS,1782.03636136,1782.775025,39.1227703748
AKZOINDIA,1402.86818182,1405.55,24.1076037474
AKZOINDIA.NS,1401.96818182,1401.925,24.0800527282
ALBK,63.0704545455,62.8,3.41664898105
ALBK.NS,63.125,62.8,3.42559518638
ALKEM,1628.64772727,1630.325,27.9379306818
ALKEM.NS,1630.7,1630.325,30.9708157557
ALLCARGO,173.231818182,172.375,4.91255789871
ALLCARGO.NS,173.306818182,172.725,4.90022583188
ALOKTEXT,3.27727272727,3.425,0.339020744107
ALOKTEXT.NS,3.27272727273,3.425,0.33549085316
AMARAJABAT,895.479542727,898.449985,20.4845705744
AMARAJABAT.NS,893.002267727,898.449985,17.4005963771
AMBUJACEM,206.352272727,205.3,5.50381852883
