,Symbols,Week_Change
0,DELTACORP,-34.552720565631724
1,SUNTECK,-22.662066460867997
2,DHFL,-19.94905269861487
3,CERA,-19.08698379894453
4,JMFINANCIL,-18.968481375358163
5,DLF,-18.765259853505402
6,KOLTEPATIL,-17.874794069192752
7,REPCOHOME,-17.61974076384557
8,CENTURYTEX,-16.99068863194515
9,SRTRANSFIN,-16.508116806285205
10,HDIL,-16.107382550335572
11,KAJARIACER,-15.790350804099651
12,CHOLAFIN,-15.565782349756361
13,ANANTRAJ,-15.35393818544366
14,INDIACEM,-15.23625843780136
15,SHRIRAMCIT,-15.016225377730926
16,PCJEWELLER,-14.34669442998438
17,SOMANYCERA,-13.989439044922321
18,INDHOTEL,-13.936216688510267
19,OBEROIRLTY,-13.75848833776202
20,WHIRLPOOL,-13.694531393850118
21,ORIENTCEM,-13.487419543592749
22,CAPF,-13.461956915935312
23,KESORAMIND,-12.96352515865922
24,DBREALTY,-12.719298245614045
25,BERGEPAINT,-12.451682604272634
26,BOMDYEING,-12.41768579492004
27,MANAPPURAM,-12.31160696809553
28,JPASSOCIAT,-12.060301507537682
29,HEROMOTOCO,-11.776305060119487
30,PAGEIND,-11.29500307740135
31,JPINFRATEC,-11.176470588235295
32,IBULHSGFIN,-10.914641903065776
33,JKLAKSHMI,-10.879604768553332
34,IBREALEST,-10.794044665012393
35,HSIL,-10.690858339148642
36,EICHERMOT,-10.642085397110568
37,IIFL,-10.455936845497034
38,AMBUJACEM,-10.259554465563047
39,HEIDELBERG,-10.230179028132993
40,VIPIND,-10.06064930431681
41,HAVELLS,-10.030433679939135
42,SHREECEM,-9.985203176306214
43,DALMIABHA,-9.953823740030124
44,CENTURYPLY,-9.947183098591548
45,GODREJPROP,-9.94013643324516
46,DCBBANK,-9.807692307692308
47,TITAN,-9.753468947864743
48,PVR,-9.734547719134358
49,SREINFRA,-9.575688073394506
50,JAICORPLTD,-9.492753623188403
51,PRESTIGE,-9.465357337697775
52,PRISMCEM,-9.439528023598829
53,MARUTI,-9.432880578585289
54,PEL,-9.419815531091935
55,BAJAJELEC,-9.413202933985328
56,RADICO,-9.390862944162437
57,RAYMOND,-9.357207690403506
58,OCL,-9.265446831079291
59,IRB,-9.177565949900252
60,GODFRYPHLP,-9.116628820310467
61,JKCEMENT,-9.008514144465806
62,ASIANPAINT,-8.959318826868499
63,HDFC,-8.840334926510225
64,UNITECH,-8.771929824561402
65,JUBLFOOD,-8.648289265074409
66,JCHAC,-8.48671113749869
67,KANSAINER,-8.37246232047396
68,SNOWMAN,-8.3265306122449
69,SOBHA,-8.239214960192557
70,ULTRACEMCO,-8.205458518041398
71,BRIGADE,-8.176100628930824
72,ARVIND,-8.161246444911587
73,TATAELXSI,-8.132505843475464
74,NILKAMAL,-8.062586881324155
75,BALLARPUR,-8.035714285714294
76,RAMCOSYS,-7.996395990539475
77,RTNPOWER,-7.975460122699389
78,TCS,-7.973458304134536
79,GRUH,-7.9730144127568225
80,CANFINHOME,-7.962714043597686
81,8KMILES,-7.952007147871602
82,AMTEKAUTO,-7.946210268948655
83,INTELLECT,-7.912732009117554
84,NCC,-7.853403141361256
85,INFIBEAM,-7.652295688706611
86,TRIDENT,-7.640067911714771
87,RELCAPITAL,-7.614163132458815
88,RCOM,-7.522123893805322
89,TVSMOTOR,-7.456196444558122
90,DCMSHRIRAM,-7.366870132603662
91,MHRIL,-7.318703353013261
92,BOSCHLTD,-7.2188833644565396
93,ACC,-7.125804098415016
94,BRFL,-7.095926412614969
95,GMRINFRA,-7.086614173228336
96,MOTILALOFS,-7.083294294012922
97,HFCL,-7.017543859649122
98,TATAGLOBAL,-6.904668497449978
99,RUCHISOYA,-6.78336980306346
100,EXIDEIND,-6.771369721936137
101,ORISSAMINE,-6.712789427463741
102,VOLTAS,-6.66666666666667
103,COROMANDEL,-6.583897667419111
104,KALPATPOWR,-6.494845360824742
105,GSKCONS,-6.466799677972627
106,BATAINDIA,-6.430035602546123
107,BLUESTARCO,-6.4060205580029335
108,GODREJIND,-6.3966166868198355
109,EDELWEISS,-6.3820224719101075
110,BASF,-6.371007777593911
111,MAGMA,-6.361922714420358
112,AKZOINDIA,-6.348567002323782
113,GATI,-6.32485029940119
114,SHOPERSTOP,-6.314161158768103
115,INFY,-6.213107189356953
116,NAVKARCORP,-6.156574613630608
117,ECLERX,-6.144039514083564
118,FLFL,-6.113537117903934
119,HEXAWARE,-6.101445724087242
120,TATAMOTORS,-6.090336912254727
121,RALLIS,-6.062052505966582
122,SFCL,-6.027527289985756
123,EMAMILTD,-5.961538461538462
124,GSFC,-5.929919137466308
125,MAHLIFE,-5.867739264166557
126,MTNL,-5.835543766578256
127,JPPOWER,-5.813953488372094
128,DABUR,-5.810240134340884
129,GULFOILLUB,-5.798548698488776
130,BFUTILITIE,-5.770171149144255
131,UFLEX,-5.72066655213882
132,VGUARD,-5.707491082045184
133,RIIL,-5.695564516129038
134,MUTHOOTFIN,-5.637695177559771
135,STCINDIA,-5.618860510805505
136,HCLTECH,-5.550061804697155
137,TATACHEM,-5.540355677154576
138,JKIL,-5.529027393817542
139,INOXWIND,-5.456730769230767
140,UPL,-5.450029222676791
141,TECHM,-5.449741274909171
142,GPPL,-5.404555178054614
143,GODREJCP,-5.3770607492207985
144,GVKPIL,-5.3435114503816745
145,KPIT,-5.331358756016303
146,BBTC,-5.292329697836566
147,TAKE,-5.24633149411423
148,LICHSGFIN,-5.2276867030965475
149,GREENPLY,-5.2059596844873
150,CROMPGREAV,-5.183845690174801
151,RAJESHEXPO,-5.175912847308581
152,MARICO,-5.1661273811359445
153,MCLEODRUSS,-5.165036674816619
154,AMARAJABAT,-5.160938633823403
155,TATACOFFEE,-5.133387227162497
156,TVSSRICHAK,-5.127622307496891
157,SCHNEIDER,-5.079872204472836
158,HINDUNILVR,-5.073407530191809
159,TV18BRDCST,-5.005959475566153
160,EQUITAS,-4.9897270325799825
161,EVEREADY,-4.9643987341772196
162,ITC,-4.9491429988598235
163,BHEL,-4.923184357541888
164,NITINFIRE,-4.913294797687869
165,TRENT,-4.907063197026025
166,TATAMTRDVR,-4.890753870641017
167,SMLISUZU,-4.868840974546583
168,IFCI,-4.868154158215008
169,SUNTV,-4.84116416206963
170,BRITANNIA,-4.82761508862481
171,ASHOKLEY,-4.795640326975483
172,GRANULES,-4.776511831726546
