,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
SWANENERGY,2016-08-18,2017-01-03,110.01,41.06,65.0,161.85,149.0,-18.48,20.0
STCINDIA,2016-08-18,2017-01-03,127.05,23.05,114.15,218.25,91.2,-6.91,20.0
HCC,2016-08-18,2017-01-03,35.19,4.95,22.6,42.45,87.83,-9.96,19.94
JKIL,2016-08-18,2017-01-03,189.77,21.88,125.9,217.4,72.68,-5.98,9.97
ADANITRANS,2016-08-18,2017-01-03,46.35,7.3,38.05,56.65,48.88,-5.62,19.98
INFIBEAM,2016-08-18,2017-01-03,978.06,125.32,788.0,1166.7,48.06,-4.72,9.0
MOIL,2016-08-18,2017-01-03,303.44,45.62,249.35,367.05,47.2,-6.66,11.94
VAKRANGEE,2016-08-18,2017-01-03,242.84,28.76,187.15,275.45,47.18,-5.96,6.32
BALKRISIND,2016-08-18,2017-01-03,993.49,129.24,761.3,1097.05,44.1,-6.22,19.9
NATIONALUM,2016-08-18,2017-01-03,52.45,6.2,47.55,66.75,40.38,-7.79,12.15
MMTC,2016-08-18,2017-01-03,47.21,3.55,44.2,61.75,39.71,-7.55,16.86
GSFC,2016-08-18,2017-01-03,85.38,8.6,71.7,100.15,39.68,-6.45,10.24
MERCK,2016-08-18,2017-01-03,822.88,113.97,721.3,997.3,38.26,-3.62,11.66
MRF,2016-08-18,2017-01-03,47139.59,5440.64,36553.9,50391.4,37.86,-6.52,6.85
CEATLTD,2016-08-18,2017-01-03,1173.38,147.44,868.75,1193.5,37.38,-6.45,7.86
SYNGENE,2016-08-18,2017-01-03,522.75,49.39,421.55,577.45,36.98,-5.68,8.31
IGL,2016-08-18,2017-01-03,825.73,54.08,691.65,946.4,36.83,-3.74,5.96
RAIN,2016-08-18,2017-01-03,50.08,3.89,40.85,54.85,34.27,-9.47,10.58
TVSSRICHAK,2016-08-18,2017-01-03,3286.27,460.95,2533.25,3389.7,33.81,-7.21,17.37
SHARDACROP,2016-08-18,2017-01-03,405.96,30.8,360.25,481.8,33.74,-5.92,15.77
SONATSOFTW,2016-08-18,2017-01-03,159.97,12.9,150.65,201.4,33.69,-4.25,7.23
DISHMAN,2016-08-18,2017-01-03,219.11,26.46,174.2,230.1,32.09,-5.9,15.22
JUBILANT,2016-08-18,2017-01-03,618.66,56.09,489.9,638.0,30.23,-6.85,11.71
TRIDENT,2016-08-18,2017-01-03,54.73,3.73,46.65,59.95,28.51,-8.61,13.13
DEEPAKFERT,2016-08-18,2017-01-03,209.48,15.74,168.4,215.75,28.12,-7.17,18.78
JBCHEPHARM,2016-08-18,2017-01-03,351.38,25.9,277.6,353.65,27.4,-7.4,11.14
VEDL,2016-08-18,2017-01-03,200.0,24.35,172.9,219.65,27.04,-8.81,8.49
TATACOMM,2016-08-18,2017-01-03,592.12,56.63,492.95,625.65,26.92,-5.53,10.12
KRBL,2016-08-18,2017-01-03,260.54,17.56,246.35,311.05,26.26,-6.17,6.06
MRPL,2016-08-18,2017-01-03,89.13,6.19,81.1,102.3,26.14,-6.48,14.7
RAYMOND,2016-08-18,2017-01-03,516.08,67.34,420.1,526.1,25.23,-7.27,9.8
CENTURYTEX,2016-08-18,2017-01-03,832.81,94.76,675.4,839.5,24.3,-9.62,12.63
VIJAYABANK,2016-08-18,2017-01-03,42.93,3.41,38.7,47.6,23.0,-7.48,16.36
BLISSGVS,2016-08-18,2017-01-03,148.92,12.17,128.95,157.8,22.37,-11.3,8.93
NMDC,2016-08-18,2017-01-03,117.24,9.3,106.7,130.25,22.07,-6.79,6.96
NILKAMAL,2016-08-18,2017-01-03,1381.55,156.54,1181.5,1441.1,21.97,-7.6,17.39
CAIRN,2016-08-18,2017-01-03,226.17,22.39,203.0,246.85,21.6,-7.32,7.39
TVSMOTOR,2016-08-18,2017-01-03,360.29,27.62,311.8,377.4,21.04,-4.73,5.01
GAIL,2016-08-18,2017-01-03,411.98,23.99,365.5,441.45,20.78,-3.2,4.3
SHILPAMED,2016-08-18,2017-01-03,599.78,59.9,586.1,705.95,20.45,-7.87,11.17
FDC,2016-08-18,2017-01-03,215.33,11.52,186.05,222.6,19.65,-5.75,8.02
SOLARINDS,2016-08-18,2017-01-03,658.61,21.13,598.7,713.75,19.22,-3.45,5.07
HATHWAY,2016-08-18,2017-01-03,30.92,3.12,30.75,36.6,19.02,-6.15,19.89
VSTIND,2016-08-18,2017-01-03,2273.13,87.59,2023.05,2400.45,18.66,-3.73,9.22
UFLEX,2016-08-18,2017-01-03,275.72,26.4,234.6,277.65,18.35,-7.99,8.72
JYOTHYLAB,2016-08-18,2017-01-03,342.1,22.17,284.35,336.15,18.22,-10.06,8.22
AARTIIND,2016-08-18,2017-01-03,677.19,52.42,602.15,703.4,16.81,-3.32,6.14
PETRONET,2016-08-18,2017-01-03,362.9,19.2,326.9,380.75,16.47,-7.02,8.2
TTKPRESTIG,2016-08-18,2017-01-03,5330.01,403.07,4923.0,5715.75,16.1,-10.06,5.31
BEL,2016-08-18,2017-01-03,1303.52,81.38,1225.95,1423.15,16.09,-4.5,6.16
LALPATHLAB,2016-08-18,2017-01-03,1102.71,79.95,926.15,1072.2,15.77,-6.54,9.43
ARVIND,2016-08-18,2017-01-03,346.93,27.11,311.85,360.25,15.52,-11.08,11.95
CANFINHOME,2016-08-18,2017-01-03,1637.26,126.86,1437.25,1657.85,15.35,-20.0,10.2
ITDCEM,2016-08-18,2017-01-03,143.72,4.25,139.6,160.3,14.83,-5.64,11.19
IDFCBANK,2016-08-18,2017-01-03,67.81,7.79,53.0,60.75,14.62,-4.87,8.72
JISLJALEQS,2016-08-18,2017-01-03,91.56,7.02,80.15,91.35,13.97,-11.83,8.59
ESSELPACK,2016-08-18,2017-01-03,234.75,12.51,216.9,246.95,13.85,-3.78,6.62
HINDZINC,2016-08-18,2017-01-03,248.44,19.92,228.0,259.4,13.77,-4.46,9.04
BALLARPUR,2016-08-18,2017-01-03,15.19,1.3,14.0,15.9,13.57,-8.14,11.55
AEGISCHEM,2016-08-18,2017-01-03,146.6,13.1,117.0,132.35,13.12,-7.06,6.16
ABAN,2016-08-18,2017-01-03,230.41,21.68,214.4,241.15,12.48,-7.7,13.4
DHANUKA,2016-08-18,2017-01-03,696.99,25.58,677.5,759.65,12.13,-5.95,7.21
MARUTI,2016-08-18,2017-01-03,5332.58,310.88,4915.85,5508.4,12.05,-5.6,3.97
BALRAMCHIN,2016-08-18,2017-01-03,114.04,6.22,116.95,130.95,11.97,-6.81,6.71
VTL,2016-08-18,2017-01-03,1063.11,45.62,1003.3,1121.3,11.76,-3.39,5.8
NH,2016-08-18,2017-01-03,333.02,13.89,304.6,339.45,11.44,-3.73,4.74
SINTEX,2016-08-18,2017-01-03,78.31,4.71,72.75,81.0,11.34,-10.77,7.78
BAJAJFINSV,2016-08-18,2017-01-03,3010.91,204.93,2711.7,3016.65,11.25,-6.42,4.8
ADANIPOWER,2016-08-18,2017-01-03,27.54,2.16,27.55,30.65,11.25,-8.41,11.45
KSCL,2016-08-18,2017-01-03,392.24,29.19,376.35,418.05,11.08,-8.54,7.26
GMDCLTD,2016-08-18,2017-01-03,96.56,7.18,85.35,94.6,10.84,-6.37,7.88
RAJESHEXPO,2016-08-18,2017-01-03,458.21,17.27,430.0,476.5,10.81,-5.29,2.84
BPCL,2016-08-18,2017-01-03,626.08,30.71,587.1,650.55,10.81,-3.85,3.98
BIOCON,2016-08-18,2017-01-03,921.14,35.83,855.8,945.3,10.46,-4.99,4.73
COROMANDEL,2016-08-18,2017-01-03,264.04,14.31,272.45,300.3,10.22,-4.61,5.51
TEXRAIL,2016-08-18,2017-01-03,107.66,4.85,104.7,115.35,10.17,-7.69,5.52
HIMATSEIDE,2016-08-18,2017-01-03,276.17,12.2,271.1,298.45,10.09,-5.45,4.28
TIMKEN,2016-08-18,2017-01-03,568.59,21.29,583.95,642.75,10.07,-6.0,5.25
BHARATFORG,2016-08-18,2017-01-03,896.76,36.96,840.15,922.1,9.75,-5.39,5.27
MFSL,2016-08-18,2017-01-03,551.41,22.08,507.0,555.0,9.47,-11.67,8.04
CARERATING,2016-08-18,2017-01-03,1354.05,104.96,1205.05,1318.25,9.39,-5.76,7.86
NAVINFLUOR,2016-08-18,2017-01-03,2390.27,114.19,2326.1,2543.45,9.34,-6.12,14.17
CHENNPETRO,2016-08-18,2017-01-03,279.53,15.29,278.05,303.85,9.28,-10.56,7.42
ZEELEARN,2016-08-18,2017-01-03,37.63,1.97,37.4,40.85,9.22,-6.95,11.14
SCHNEIDER,2016-08-18,2017-01-03,143.79,10.17,135.2,147.2,8.88,-5.24,8.36
ICRA,2016-08-18,2017-01-03,3974.58,163.13,3628.7,3947.85,8.8,-2.83,5.7
TUBEINVEST,2016-08-18,2017-01-03,589.26,31.88,536.1,582.8,8.71,-4.36,5.78
DALMIABHA,2016-08-18,2017-01-03,1704.18,214.36,1445.5,1566.45,8.37,-12.49,7.75
KWALITY,2016-08-18,2017-01-03,130.78,10.56,121.1,131.15,8.3,-10.18,7.47
SJVN,2016-08-18,2017-01-03,29.79,1.58,27.7,30.0,8.3,-4.01,4.29
SUNTV,2016-08-18,2017-01-03,496.5,30.34,484.05,523.55,8.16,-6.08,12.8
RADICO,2016-08-18,2017-01-03,118.89,14.46,102.65,110.95,8.09,-10.66,7.77
MOTILALOFS,2016-08-18,2017-01-03,514.96,34.74,480.9,518.8,7.88,-9.65,8.72
DREDGECORP,2016-08-18,2017-01-03,405.03,19.8,400.5,431.4,7.72,-6.92,15.28
BASF,2016-08-18,2017-01-03,1136.86,66.78,1074.1,1156.2,7.64,-5.37,6.77
CHAMBLFERT,2016-08-18,2017-01-03,63.63,4.47,65.8,70.8,7.6,-4.93,9.06
SAIL,2016-08-18,2017-01-03,49.77,1.9,48.0,51.65,7.6,-7.28,6.37
