,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,Pct_Change,Min_Day_Change,Max_Day_Change
STCINDIA,2016-11-08,2017-01-03,133.28,34.01,127.25,218.25,71.51,-6.0,20.0
SWANENERGY,2016-11-08,2017-01-03,152.87,19.79,113.1,161.85,43.1,-18.48,19.98
MMTC,2016-11-08,2017-01-03,48.94,4.65,47.7,61.75,29.45,-6.21,16.86
KRBL,2016-11-08,2017-01-03,271.2,21.0,240.65,311.05,29.25,-2.51,4.14
NATIONALUM,2016-11-08,2017-01-03,57.76,6.0,51.9,66.75,28.61,-7.79,12.15
SONATSOFTW,2016-11-08,2017-01-03,167.63,16.92,161.05,201.4,25.05,-4.25,7.23
MERCK,2016-11-08,2017-01-03,942.28,72.02,802.4,997.3,24.29,-3.62,7.57
ADANITRANS,2016-11-08,2017-01-03,53.62,5.68,46.1,56.65,22.89,-5.44,19.98
SHILPAMED,2016-11-08,2017-01-03,646.28,65.46,580.0,705.95,21.72,-7.85,9.07
HCC,2016-11-08,2017-01-03,36.73,3.49,35.4,42.45,19.92,-7.21,19.94
SHARDACROP,2016-11-08,2017-01-03,423.64,26.26,402.1,481.8,19.82,-5.92,6.68
ADANIPOWER,2016-11-08,2017-01-03,28.41,2.99,25.9,30.65,18.34,-5.02,11.45
HATHWAY,2016-11-08,2017-01-03,33.68,1.84,30.95,36.6,18.26,-2.77,6.56
ADANIENT,2016-11-08,2017-01-03,68.47,4.48,64.8,76.55,18.13,-4.48,5.25
WELCORP,2016-11-08,2017-01-03,74.66,4.27,65.05,76.15,17.06,-7.68,19.95
INFIBEAM,2016-11-08,2017-01-03,1106.91,82.99,999.7,1166.7,16.71,-3.72,7.21
MRPL,2016-11-08,2017-01-03,92.83,5.51,88.55,102.3,15.53,-4.21,14.7
CHAMBLFERT,2016-11-08,2017-01-03,65.35,5.3,61.4,70.8,15.31,-4.93,6.52
BALRAMCHIN,2016-11-08,2017-01-03,119.16,3.89,113.65,130.95,15.22,-5.13,5.07
TIMKEN,2016-11-08,2017-01-03,571.47,25.82,559.25,642.75,14.93,-6.0,3.9
MINDTREE,2016-11-08,2017-01-03,472.07,27.83,442.65,507.9,14.74,-3.17,5.18
VIJAYABANK,2016-11-08,2017-01-03,46.47,1.94,41.85,47.6,13.74,-6.47,16.36
