Date,index,Open,High,Low,Close,Volume,Adj Close,SMA20,SMA50,SMA200,BBAND,MACD,MACD_Signal,MACD_Hist,OBV,MFI,RSI,ADX,WILLR,DAILY_RETURN,OC_DAILY_RETURN
2003-04-22,199,34.3,34.8,33.5,33.7,753800,16.248,31.48,29.136,26.007875,0.208095804343,1.60281974455,1.47147449807,0.131345246478,1086000,68.3477269089,59.6218337945,28.6744985343,-27.3885350318,-0.00443131462334,0.00221075902727
2003-04-23,200,34.0,36.4,33.1,33.4,2792000,16.103,31.765,29.222,26.087875,-0.0277992360875,1.54832679587,1.48684495763,0.0614818382454,-1706000,74.4723700914,58.416007065,29.4734213033,-40.5405405405,-0.00890207715134,-0.00882352941176
2003-04-24,201,33.0,33.6,30.6,32.35,1123700,15.597,31.9725,29.282,26.160875,-0.47500712516,1.40422745665,1.47032145743,-0.0660940007841,-2829700,66.3519570818,54.2783106146,28.7684406191,-69.8275862069,-0.0314371257485,-0.0304154302671
2003-04-25,202,32.5,32.5,31.1,31.35,230900,15.115,32.0775,29.336,26.22975,-0.41669077755,1.19555444208,1.41536805436,-0.219813612282,-3060600,75.0131930726,50.6021765559,28.113815698,-87.0689655172,-0.0309119010819,-0.0229533282326
2003-04-28,203,31.55,32.5,31.0,32.0,375200,15.428,32.19,29.379,26.29975,-0.160023515387,1.07029148831,1.34635274115,-0.276061252845,-2685400,71.6458859161,52.8380873283,27.4489340787,-75.8620689655,0.0207336523126,-0.00469851213782
2003-04-29,204,32.4,32.4,31.75,32.0,285600,15.428,32.3,29.418,26.37425,-0.0817533230699,0.959953943459,1.26907298161,-0.309119038153,-2685400,70.5978618993,52.8380873283,26.8315440037,-75.8620689655,0.0,0.0133752950433
2003-04-30,205,32.35,34.5,32.35,33.8,1862900,16.296,32.58,29.505,26.45825,0.45916454998,1.00615724657,1.2164898346,-0.210332588031,-822500,77.0126186541,58.8238670121,27.0691320992,-44.8275862069,0.05625,0.0271739130435
2003-05-02,206,33.6,35.2,33.6,34.1,1438900,16.441,32.83,29.621,26.544875,0.332024310281,1.05482186016,1.18415623972,-0.129334379552,616400,78.5386762327,59.7409864134,27.5281696074,-39.6551724138,0.00887573964497,0.0234315948602
2003-05-05,207,34.05,34.45,33.5,33.75,666500,16.272,32.8975,29.726,26.63,0.166599262402,1.05300841657,1.15792667509,-0.104918258521,-50100,73.184524691,58.1146972227,27.8848207003,-45.6896551724,-0.0102639296188,0.00147710487445
2003-05-06,208,33.4,34.1,33.4,33.85,2045000,16.32,33.04,29.825,26.71775,0.115191423833,1.04756473948,1.13585428797,-0.0882895484825,1994900,64.3977781042,58.4626186204,28.1421723508,-43.9655172414,0.00296296296296,-0.00811209439528
2003-05-07,209,34.0,34.0,33.15,33.5,187200,16.151,33.105,29.925,26.805,-0.389906433682,1.00344146269,1.10937172291,-0.105930260223,1807700,65.6283590979,56.687768956,28.1879896644,-50.0,-0.0103397341211,0.00371747211896
2003-05-08,210,33.15,33.75,33.05,33.6,121900,16.2,33.15,30.033,26.8935,-0.192006144294,0.965413921462,1.08058016262,-0.115166241158,1929600,63.7157146887,57.0886103161,28.1497570929,-48.275862069,0.00298507462687,-0.0111111111111
2003-05-09,211,30.15,33.4,30.15,32.9,237300,15.862,33.18,30.123,26.978625,-0.466073203976,0.868777939916,1.03821971808,-0.169441778163,1692300,59.2248427712,53.36550502,26.1518529071,-56.0,-0.0208333333333,-0.0554307116105
