Date,Open,High,Low,Close,Volume,Adj Close
2009-08-20,105.0,107.9,98.5,100.05,96423800,100.05
2009-08-21,99.4,103.9,98.5,103.2,19475100,103.2
2009-08-24,104.6,104.6,101.65,103.05,7606000,103.05
2009-08-25,101.1,103.1,101.0,102.6,4877400,102.6
2009-08-26,102.6,107.15,102.6,105.1,10904200,105.1
2009-08-27,104.9,106.7,103.75,104.45,5225000,104.45
2009-08-28,105.35,105.5,103.6,104.15,2718200,104.15
2009-08-31,102.4,104.5,101.5,102.85,3787100,102.85
2009-09-01,103.25,103.9,100.25,100.85,2086100,100.85
2009-09-02,101.45,102.65,99.85,101.25,2252100,101.25
2009-09-03,101.7,101.9,99.85,100.05,1000500,100.05
2009-09-04,100.1,101.1,97.25,98.6,2074000,98.6
2009-09-07,99.6,101.15,99.0,100.85,1511500,100.85
2009-09-08,102.0,102.5,100.1,101.2,1994400,101.2
2009-09-09,101.0,104.35,100.0,103.2,3758100,103.2
2009-09-10,104.0,104.9,101.5,102.45,2941300,102.45
2009-09-11,103.0,103.9,102.05,103.3,1286300,103.3
2009-09-14,105.0,105.0,101.0,101.8,1258000,101.8
2009-09-15,102.5,102.5,101.3,101.6,1093200,101.6
2009-09-16,102.0,102.65,100.65,100.9,1901400,100.9
2009-09-17,101.45,101.8,100.25,100.8,1078100,100.8
2009-09-18,100.7,101.2,100.1,100.9,962800,100.9
2009-09-21,100.9,100.9,100.9,100.9,0,100.9
2009-09-22,102.1,102.1,100.4,101.15,827300,101.15
2009-09-23,102.0,102.0,100.5,101.3,1192400,101.3
2009-09-24,100.8,101.35,99.8,100.55,978000,100.55
2009-09-25,100.5,101.0,100.15,100.85,1054300,100.85
2009-09-28,100.85,100.85,100.85,100.85,0,100.85
2009-09-29,101.5,102.0,100.5,101.7,1394100,101.7
2009-09-30,102.0,102.15,101.2,101.9,776900,101.9
2009-10-01,101.2,102.7,101.0,102.0,679100,102.0
2009-10-02,102.0,102.0,102.0,102.0,0,102.0
2009-10-05,101.0,101.8,100.5,100.85,380200,100.85
2009-10-06,100.85,101.5,100.0,100.8,422200,100.8
2009-10-07,101.0,101.7,100.5,100.8,400300,100.8
2009-10-08,101.1,104.5,100.5,101.25,1253800,101.25
2009-10-09,101.45,102.5,100.6,101.1,635700,101.1
