Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,234.95,240.0,221.0,237.8,28200,133.52
2000-01-04,239.0,249.0,230.3,249.0,38900,139.81
2000-01-05,245.0,254.0,232.0,246.6,98600,138.46
2000-01-06,249.0,256.0,246.0,251.4,141500,141.16
2000-01-07,252.0,252.0,236.0,248.2,165900,139.36
2000-01-10,268.0,268.0,252.05,256.0,27000,143.74
2000-01-11,254.0,254.0,238.0,243.0,12600,136.44
2000-01-12,240.0,244.9,236.1,239.5,10100,134.47
2000-01-13,238.05,244.0,232.5,234.4,12900,131.61
2000-01-14,231.05,232.1,225.0,227.5,12400,127.74
2000-01-17,233.9,233.9,228.0,228.5,9000,128.3
2000-01-18,226.0,232.0,221.0,225.0,7900,126.33
2000-01-19,223.0,226.95,223.0,224.05,3300,125.8
2000-01-20,225.3,226.0,218.0,220.5,8100,123.81
2000-01-21,218.25,221.0,207.05,212.0,25700,119.03
2000-01-24,219.0,220.0,215.0,215.05,11300,120.75
2000-01-25,210.05,210.05,203.0,206.95,8500,116.2
2000-01-26,206.95,206.95,206.95,206.95,0,116.2
2000-01-27,202.0,205.0,191.05,201.8,7800,113.31
2000-01-28,201.95,201.95,191.0,191.0,20100,107.24
2000-01-31,194.5,197.0,192.0,192.5,9900,108.08
2000-02-01,195.0,195.0,190.2,193.95,51600,108.9
2000-02-02,194.85,198.0,192.3,193.0,48700,108.37
2000-02-03,193.0,193.0,193.0,193.0,0,108.37
2000-02-04,192.05,193.5,180.0,184.2,18400,103.42
2000-02-07,191.0,191.0,186.0,189.95,4600,106.65
2000-02-08,190.0,191.0,186.0,187.1,5100,105.05
2000-02-09,187.0,192.9,185.0,185.0,23100,103.87
2000-02-10,180.5,186.0,180.0,184.25,27300,103.45
2000-02-11,182.6,186.5,182.5,185.5,29000,104.15
2000-02-14,185.0,187.0,171.5,171.5,17000,96.29
2000-02-15,172.0,178.95,168.0,168.0,12700,94.33
2000-02-16,172.0,172.0,165.0,165.0,8400,92.64
2000-02-17,165.05,166.0,157.1,160.0,37000,89.84
2000-02-18,162.5,164.5,152.0,152.0,58400,85.34
2000-02-21,160.0,161.9,154.95,156.2,5400,87.7
2000-02-22,159.95,159.95,152.5,156.0,8900,87.59
2000-02-23,155.95,156.0,145.05,145.05,6900,81.44
2000-02-24,146.0,152.0,146.0,147.5,4800,82.82
2000-02-25,147.0,147.0,136.0,136.25,10200,76.5
2000-02-28,137.0,146.0,136.0,144.05,4500,80.88
2000-02-29,148.0,148.5,135.0,137.25,8900,77.06
2000-03-01,136.0,143.9,135.0,143.9,5900,80.8
2000-03-02,148.9,150.0,136.25,140.0,19300,78.61
2000-03-03,133.0,134.85,128.85,128.85,18500,72.35
2000-03-06,122.05,131.7,118.6,120.0,11400,67.38
2000-03-07,120.0,120.0,111.15,113.0,8600,63.45
2000-03-08,112.7,112.7,104.0,104.1,11000,58.45
2000-03-09,109.0,111.95,104.0,107.0,11600,60.08
2000-03-10,108.0,112.25,100.3,105.0,16300,58.96
2000-03-13,105.0,105.0,105.0,105.0,0,58.96
2000-03-14,111.0,116.55,110.9,116.55,5300,65.44
2000-03-15,119.0,125.85,119.0,122.1,9900,68.56
2000-03-16,122.1,124.4,114.5,120.15,14000,67.46
2000-03-17,120.15,120.15,120.15,120.15,0,67.46
2000-03-20,120.15,120.15,120.15,120.15,0,67.46
2000-03-21,123.5,123.5,121.0,122.75,5400,68.92
2000-03-22,120.0,126.9,120.0,123.25,5500,69.2
2000-03-23,124.0,124.5,121.0,121.5,5500,68.22
2000-03-24,123.75,125.0,120.05,121.0,8100,67.94
2000-03-27,125.0,130.0,125.0,128.2,9200,71.98
2000-03-28,129.0,129.5,125.55,126.3,5100,70.91
2000-03-29,131.35,131.9,127.55,131.9,5400,74.06
2000-03-30,126.0,132.5,126.0,130.0,6900,72.99
2000-03-31,130.5,135.0,130.2,135.0,4700,75.8
2000-04-03,136.0,144.95,136.0,142.7,5800,80.12
2000-04-04,142.05,142.05,131.3,134.9,11500,75.74
2000-04-05,133.95,135.0,128.05,134.5,6700,75.52
2000-04-06,134.0,134.0,128.25,130.95,4200,73.53
2000-04-07,129.3,137.5,129.3,136.5,15600,76.64
2000-04-10,135.0,136.85,132.1,135.05,5300,75.83
2000-04-11,135.05,135.05,135.05,135.05,0,75.83
2000-04-12,132.9,132.9,127.2,127.2,1500,71.42
2000-04-13,126.5,128.0,124.0,127.95,2800,71.84
2000-04-14,127.95,127.95,127.95,127.95,0,71.84
2000-04-17,131.0,131.1,126.0,131.05,2900,73.58
2000-04-18,133.0,135.0,122.0,124.5,5500,69.9
2000-04-19,126.0,126.0,116.0,117.05,3700,65.72
2000-04-20,114.55,116.0,109.0,113.1,5000,63.5
2000-04-21,113.1,113.1,113.1,113.1,0,63.5
2000-04-24,113.1,113.1,113.1,113.1,0,63.5
2000-04-25,107.05,112.75,105.0,112.45,10500,63.14
2000-04-26,112.45,112.45,112.45,112.45,0,63.14
2000-04-27,115.0,115.9,112.0,115.0,12700,64.57
2000-04-28,117.0,120.7,115.1,118.75,8300,66.68
2000-05-01,118.75,118.75,118.75,118.75,0,66.68
2000-05-02,116.0,122.0,116.0,122.0,7500,68.5
2000-05-03,122.0,122.0,122.0,122.0,0,68.5
2000-05-04,123.0,126.0,119.0,120.0,5000,67.38
2000-05-05,120.0,120.0,120.0,120.0,0,67.38
2000-05-08,117.05,122.0,117.05,121.0,3600,67.94
2000-05-09,121.0,121.0,121.0,121.0,0,67.94
2000-05-10,118.1,122.95,116.35,116.35,8000,65.33
2000-05-11,116.0,118.95,112.2,112.2,52600,63.0
