Date,Open,High,Low,Close,Volume,Adj Close
2006-06-23,519.8,689.0,519.8,670.15,38134300,49.938
2006-06-26,681.7,683.15,578.0,604.15,10844600,45.02
2006-06-27,597.45,604.0,567.05,579.25,5693200,43.165
2006-06-28,564.0,619.5,554.0,610.95,10520500,45.527
2006-06-29,617.5,665.0,615.0,650.55,11200100,48.478
2006-06-30,665.35,684.9,648.6,656.95,8987700,48.955
2006-07-03,659.95,668.0,648.0,656.9,2290000,48.951
2006-07-04,660.3,664.0,650.1,653.9,736700,48.727
2006-07-05,645.05,680.3,642.0,676.05,2315200,50.378
2006-07-06,660.0,699.0,656.0,663.1,6571200,49.413
2006-07-07,666.7,676.0,645.0,647.75,1815300,48.269
2006-07-10,650.0,664.0,641.1,654.2,1076300,48.75
2006-07-11,660.0,668.0,652.0,661.35,1077200,49.283
2006-07-12,650.0,659.0,640.55,655.0,330600,48.809
2006-07-13,653.0,667.0,650.75,653.65,397800,48.709
2006-07-14,631.0,652.9,631.0,640.7,379300,47.744
2006-07-17,635.1,653.0,615.0,624.2,385400,46.514
2006-07-18,615.0,634.5,610.0,615.9,260900,45.896
2006-07-19,628.0,628.0,612.2,615.15,378100,45.84
2006-07-20,627.9,627.9,605.1,608.05,134900,45.311
2006-07-21,610.0,610.0,580.5,595.2,146300,44.353
2006-07-24,551.0,595.0,550.05,573.55,69900,42.74
2006-07-25,580.0,581.9,571.0,576.1,30800,42.93
2006-07-26,568.0,598.0,568.0,593.65,111700,44.238
2006-07-27,599.0,609.0,596.25,600.95,75400,44.782
2006-07-28,591.2,591.2,565.0,569.45,62600,42.434
2006-07-31,584.0,613.8,570.0,600.8,83600,44.77
2006-08-01,592.0,599.0,590.0,592.05,18000,44.118
2006-08-02,592.05,620.0,592.05,603.6,77700,44.979
2006-08-03,600.3,634.9,600.3,617.0,96600,45.978
2006-08-04,620.5,624.0,615.05,621.7,21300,46.328
2006-08-07,622.0,622.0,607.0,610.65,34400,45.504
2006-08-08,616.0,640.0,615.95,633.75,71800,47.226
2006-08-09,649.4,664.95,629.6,659.6,102200,49.152
2006-08-10,642.05,683.8,615.0,670.15,284900,49.938
2006-08-11,680.0,683.0,644.0,654.8,154200,48.794
2006-08-14,677.0,677.0,641.2,648.0,40600,48.288
2006-08-16,668.9,668.9,648.0,656.25,38000,48.902
2006-08-17,650.0,655.8,640.0,643.3,3500,47.937
2006-08-18,635.0,672.8,635.0,652.85,136500,48.649
2006-08-21,645.0,659.7,630.05,656.55,40700,48.925
2006-08-22,647.0,659.95,645.0,649.65,24100,48.411
2006-08-23,648.1,687.0,646.0,658.15,191000,49.044
2006-08-24,655.0,675.0,649.8,673.05,60600,50.154
2006-08-25,677.75,684.0,666.2,676.35,206900,50.4
2006-08-28,679.0,684.0,660.0,673.4,60300,50.18
2006-08-29,666.05,680.0,666.05,675.6,28300,50.344
2006-08-30,675.0,678.5,660.0,675.45,29200,50.333
2006-08-31,663.0,678.5,663.0,673.8,22000,50.21
2006-09-01,674.0,675.0,668.05,674.25,20500,50.244
2006-09-04,688.05,691.1,670.0,673.15,89600,50.162
2006-09-05,670.0,683.0,670.0,680.15,55300,50.683
2006-09-06,680.0,690.0,670.1,676.65,164900,50.423
2006-09-07,672.0,680.0,668.05,675.75,42300,50.356
2006-09-08,650.0,678.0,650.0,675.9,24400,50.367
2006-09-11,680.0,680.0,656.0,669.45,710500,49.886
2006-09-12,669.95,681.0,663.1,674.85,53700,50.289
2006-09-13,674.9,675.0,660.0,674.65,11700,50.274
2006-09-14,666.05,680.0,666.05,678.5,23100,50.561
2006-09-15,669.0,681.0,665.0,678.7,31100,50.575
2006-09-18,677.0,681.5,671.25,675.7,14000,50.352
2006-09-19,660.0,685.0,660.0,676.55,37100,50.415
2006-09-20,675.0,675.0,665.0,665.55,8800,49.596
2006-09-21,661.0,680.0,661.0,668.85,47600,50.991
2006-09-22,667.25,674.5,665.0,665.65,6300,50.747
2006-09-25,674.0,678.8,660.0,667.4,61500,50.88
2006-09-26,663.1,679.0,663.0,669.65,20800,51.052
2006-09-27,677.5,678.0,665.0,671.85,18000,51.219
2006-09-28,674.0,674.0,665.0,666.7,800,50.827
2006-09-29,670.0,700.0,661.5,680.4,270700,51.871
2006-10-03,675.0,685.0,672.5,682.1,96800,52.001
2006-10-04,683.0,724.0,683.0,696.9,413700,53.129
2006-10-05,707.5,718.5,701.0,714.4,143300,54.463
2006-10-06,721.0,771.0,700.1,745.95,697000,56.868
2006-10-09,737.0,781.75,725.2,769.0,295800,58.626
2006-10-10,750.1,825.0,748.0,803.85,1034600,61.283
2006-10-11,809.3,832.0,798.2,805.55,773200,61.412
2006-10-12,806.3,812.95,801.2,811.6,465900,61.873
2006-10-13,820.0,827.0,809.0,815.0,415200,62.133
2006-10-16,822.0,822.95,803.0,809.95,274200,61.748
2006-10-17,809.1,810.0,800.0,806.8,52400,61.507
2006-10-18,815.0,815.0,786.1,794.6,82400,60.577
