Date,Open,High,Low,Close,Volume,Adj Close
2003-11-18,62.2,67.78,62.2,66.84,32700,59.47
2003-11-19,66.0,66.0,63.13,63.87,14200,56.83
2003-11-20,62.6,65.0,61.0,61.36,8500,54.59
2003-11-21,65.39,65.96,60.5,62.2,7200,55.34
2003-11-24,65.94,65.94,62.22,63.24,16600,56.27
2003-11-25,63.6,68.2,62.27,66.98,86600,59.59
2003-11-27,66.8,72.6,66.8,72.3,102800,64.33
2003-11-28,72.58,76.06,72.45,73.72,66200,65.59
2003-12-01,74.0,82.0,70.0,81.31,340900,72.34
2003-12-02,83.0,94.8,80.2,89.1,83100,79.28
2003-12-03,90.0,92.63,88.1,91.59,103900,81.49
2003-12-04,91.51,95.78,90.0,95.42,49100,84.9
2003-12-05,97.0,98.2,90.45,92.1,65400,81.94
2003-12-08,94.4,94.4,92.2,92.41,35800,82.22
2003-12-09,96.0,96.0,92.0,93.53,124100,83.22
2003-12-10,85.11,95.0,85.11,92.29,109700,82.11
2003-12-11,91.6,92.6,89.6,90.79,17000,80.78
2003-12-12,91.31,92.78,91.0,91.39,4600,81.31
2003-12-15,93.0,93.0,90.0,91.3,8200,81.23
2003-12-16,92.8,92.8,90.3,91.04,4500,81.0
2003-12-17,91.4,93.0,90.0,92.51,10700,82.31
2003-12-18,94.8,94.8,90.01,90.47,6100,82.27
2003-12-19,92.6,92.6,88.6,89.31,7200,81.22
2003-12-22,92.0,93.6,90.25,91.88,31300,83.56
2003-12-23,92.9,93.0,89.2,89.7,14700,81.57
2003-12-24,89.1,92.9,87.2,91.39,36400,83.11
2003-12-26,92.0,93.7,90.42,90.92,15300,82.68
2003-12-29,92.0,93.0,84.2,85.55,2017700,77.8
2003-12-30,88.01,89.5,80.0,84.26,231800,76.63
2003-12-31,85.6,88.82,85.01,86.65,102500,78.8
2004-01-01,87.7,87.7,86.0,86.38,9500,78.55
2004-01-02,87.5,89.5,85.0,88.23,48800,80.24
2004-01-05,88.8,90.0,86.0,87.62,64100,79.68
2004-01-06,87.59,87.79,82.6,83.19,55000,75.65
2004-01-07,82.0,89.98,82.0,88.04,69300,80.06
2004-01-08,88.8,90.59,88.2,89.74,133000,81.61
2004-01-09,89.6,92.4,88.51,92.02,87400,83.68
2004-01-12,93.2,93.2,90.7,92.47,55200,84.09
2004-01-13,91.4,93.0,90.0,92.37,29200,84.0
2004-01-14,92.02,96.4,92.02,95.86,33400,87.17
2004-01-15,96.0,96.0,91.01,94.07,22800,85.55
2004-01-16,92.8,92.8,86.0,87.54,504000,79.61
2004-01-19,87.4,88.4,85.6,88.22,24200,80.23
2004-01-20,88.8,90.0,84.02,84.56,5500,76.9
2004-01-21,86.0,86.0,79.6,81.51,17200,74.13
2004-01-22,80.0,83.0,74.0,76.17,18100,69.27
2004-01-23,78.8,83.0,74.0,81.3,20700,73.93
2004-01-27,84.48,89.01,80.65,81.81,22700,74.4
2004-01-28,83.0,88.0,83.0,87.01,256200,79.13
2004-01-29,89.98,91.0,86.2,87.47,23700,79.55
2004-01-30,89.6,90.5,81.98,82.4,21500,74.93
2004-02-03,81.8,86.0,76.8,81.49,15900,74.11
2004-02-04,81.02,84.0,80.2,82.6,18500,75.12
2004-02-05,83.2,84.78,78.4,78.95,19200,71.8
2004-02-06,79.4,80.0,75.01,76.03,11400,69.14
2004-02-09,80.0,86.0,79.6,84.46,286200,76.81
2004-02-10,85.4,86.3,82.0,82.51,22300,75.03
2004-02-11,83.69,84.8,82.82,84.33,23500,76.69
2004-02-12,84.98,88.2,84.98,87.7,149300,79.75
2004-02-13,87.7,89.2,87.3,87.64,143800,79.7
2004-02-16,88.6,94.0,88.2,89.29,69800,81.2
2004-02-17,87.6,89.0,86.0,87.9,42000,79.94
2004-02-18,88.0,92.4,87.5,89.03,14400,80.96
2004-02-19,88.63,89.99,84.0,85.44,10500,77.7
2004-02-20,82.0,86.6,82.0,85.08,2500,77.37
2004-02-23,86.0,87.2,83.8,84.83,11800,77.14
2004-02-24,86.38,86.4,81.06,83.0,10500,75.48
2004-02-25,82.0,83.0,79.0,79.73,2200,72.51
2004-02-26,76.0,82.8,76.0,78.71,11000,71.58
2004-02-27,80.23,81.0,78.2,78.88,5600,71.73
2004-03-01,80.2,82.2,79.2,79.96,6700,72.72
2004-03-03,81.0,82.4,80.9,82.39,2400,74.93
2004-03-04,83.17,87.78,82.2,85.94,66200,78.15
2004-03-05,85.2,87.8,85.0,86.78,9100,78.92
2004-03-08,89.92,90.0,84.0,84.74,13200,77.06
2004-03-09,86.98,89.0,83.0,83.31,44400,75.76
2004-03-10,85.89,88.0,85.4,87.38,30200,79.46
2004-03-11,84.4,88.17,84.4,86.89,2200,79.02
2004-03-12,86.8,86.8,84.6,86.06,2600,78.26
2004-03-15,87.0,87.4,84.0,85.3,15700,77.57
2004-03-16,82.22,85.0,82.05,84.27,1600,76.64
2004-03-17,86.52,86.65,83.8,84.19,2800,76.56
2004-03-18,84.64,84.64,81.0,81.51,35400,74.13
2004-03-19,81.21,84.0,79.8,83.81,16100,76.22
2004-03-22,82.9,83.2,80.0,80.62,13200,73.32
2004-03-23,80.4,81.0,79.2,80.6,8300,73.3
2004-03-24,79.4,80.2,78.51,79.82,1700,72.59
2004-03-25,80.0,81.4,79.4,79.87,2000,72.63
2004-03-26,81.8,82.98,80.87,81.15,9500,73.8
2004-03-29,81.01,81.6,79.4,80.41,3500,73.12
2004-03-30,76.0,81.6,76.0,79.48,5300,72.28
2004-03-31,80.8,80.8,78.05,78.62,2300,71.5
2004-04-01,80.8,82.49,79.63,81.22,56800,73.86
2004-04-02,82.0,82.0,78.61,79.32,7800,72.13
2004-04-05,80.99,81.77,80.0,80.89,4900,73.56
2004-04-06,80.4,80.73,80.0,80.73,800,73.42
2004-04-07,80.4,81.2,80.2,80.97,70200,73.63
2004-04-08,80.6,81.5,80.0,81.36,1700,73.99
2004-04-12,80.6,82.0,80.2,80.24,2500,72.97
2004-04-13,81.37,81.4,80.0,80.21,1600,72.94
2004-04-15,80.4,82.0,80.34,81.02,438300,73.68
2004-04-16,81.95,86.5,81.5,85.96,55200,78.17
2004-04-19,88.5,89.79,86.6,87.96,82700,79.99
2004-04-20,89.18,98.4,87.2,97.42,104900,88.59
2004-04-21,97.0,97.0,93.24,94.57,51600,86.0
2004-04-22,95.17,101.8,93.65,101.06,129000,91.9
2004-04-23,101.9,120.0,101.9,111.79,335100,101.66
2004-04-27,112.0,120.6,106.45,109.7,515300,99.76
2004-04-28,109.0,109.75,106.2,106.95,32000,97.26
2004-04-29,108.0,117.8,107.6,115.19,142300,104.75
2004-04-30,116.0,129.74,116.0,123.49,444400,112.3
2004-05-03,123.6,126.0,111.75,123.68,33400,112.47
2004-05-04,129.0,146.4,128.0,141.65,323100,128.82
2004-05-05,143.2,144.0,133.0,134.41,85200,122.23
2004-05-06,138.0,142.8,132.05,134.53,50400,122.34
2004-05-07,133.58,135.2,130.24,133.97,20100,121.83
2004-05-10,131.61,138.2,129.06,134.68,10500,122.48
2004-05-11,124.2,135.0,124.2,134.05,15300,121.9
2004-05-12,136.0,137.98,132.0,133.59,46700,121.49
2004-05-13,128.01,135.2,125.0,129.95,37800,118.18
2004-05-14,134.4,134.4,116.96,124.83,13500,113.52
2004-05-17,120.0,120.0,112.35,112.49,19900,102.3
2004-05-18,115.9,118.96,106.0,116.19,11400,105.66
2004-05-19,121.78,124.0,110.4,115.06,13700,104.64
2004-05-20,116.2,119.0,110.8,111.62,2800,101.51
2004-05-21,111.01,114.0,110.0,113.15,8600,102.9
2004-05-24,119.8,122.02,116.89,120.25,7800,109.36
2004-05-25,116.6,123.4,116.6,119.69,3400,108.85
2004-05-26,120.24,123.6,116.0,117.27,3600,106.65
2004-05-27,118.9,118.9,115.6,116.41,300,105.86
2004-05-28,114.4,114.45,107.0,110.65,28700,100.62
2004-05-31,106.64,110.8,104.02,110.64,6400,100.62
2004-06-01,107.0,115.3,107.0,110.51,5500,100.5
2004-06-02,110.7,111.01,104.6,105.8,124400,96.21
2004-06-03,107.4,112.6,105.25,107.93,70100,98.15
2004-06-04,107.0,109.12,105.0,108.16,5500,98.36
2004-06-07,106.42,109.0,105.06,105.74,7200,96.16
2004-06-08,106.0,107.2,105.0,106.48,4500,96.83
2004-06-09,106.5,109.97,105.0,105.21,70100,95.68
2004-06-10,105.02,107.2,105.02,106.56,6600,96.91
2004-06-11,107.37,108.4,105.0,105.02,4500,95.51
2004-06-14,105.0,106.7,100.01,104.94,23500,95.43
2004-06-15,105.8,106.0,104.4,104.93,7400,95.42
2004-06-16,104.91,104.91,101.13,103.23,700,93.88
2004-06-17,102.0,105.0,101.0,104.08,5200,94.65
2004-06-18,103.6,103.6,100.4,101.59,4600,92.39
2004-06-21,100.4,100.8,96.62,96.79,1400,88.02
2004-06-22,97.0,99.98,97.0,97.59,600,88.75
2004-06-23,97.0,97.0,91.2,91.55,2000,83.26
2004-06-24,94.8,94.8,90.0,91.87,2000,83.55
2004-06-25,91.2,97.0,91.2,96.31,800,87.58
2004-06-28,98.05,102.34,98.05,100.7,4000,91.58
2004-06-29,100.69,104.0,100.69,102.54,7900,93.25
2004-06-30,103.0,103.6,102.0,102.1,17800,92.85
2004-07-01,102.0,103.0,100.0,101.36,21700,92.18
2004-07-02,103.8,103.8,100.0,101.1,900,91.94
2004-07-05,103.97,105.0,100.2,100.2,1200,91.12
