Date,Open,High,Low,Close,Volume,Adj Close
2002-01-29,0.58,0.58,0.58,0.58,2500,0.105
2002-03-19,0.55,0.55,0.55,0.55,10000,0.1
2002-07-02,0.45,0.66,0.45,0.66,1000,0.12
2002-07-03,0.79,0.79,0.79,0.79,2500,0.143
2002-07-04,0.94,0.94,0.8,0.8,6000,0.145
2002-07-05,0.96,0.96,0.82,0.94,22900,0.171
2002-07-08,1.12,1.12,1.03,1.04,27500,0.189
2002-07-09,1.06,1.06,1.0,1.0,8000,0.181
2002-07-10,4.5,4.5,4.4,4.5,16000,0.816
2002-08-13,4.0,4.0,4.0,4.0,500,0.726
2002-08-14,3.25,3.25,3.25,3.25,500,0.59
2002-08-19,3.0,3.0,3.0,3.0,500,0.544
2002-08-20,2.45,2.45,2.45,2.45,1000,0.445
2002-08-30,2.15,2.15,2.15,2.15,500,0.39
2002-10-03,1.8,1.8,1.8,1.8,500,0.327
2002-10-21,2.15,2.15,2.15,2.15,0,0.39
2002-11-12,2.5,2.5,2.5,2.5,500,0.454
2002-11-21,3.0,3.0,3.0,3.0,1500,0.544
2002-12-12,3.05,3.05,3.05,3.05,2500,0.553
2002-12-16,2.75,2.75,2.75,2.75,1200,0.499
2002-12-19,2.25,2.25,2.25,2.25,1000,0.408
2002-12-20,1.85,1.85,1.85,1.85,1500,0.336
2002-12-23,1.75,1.75,1.75,1.75,3500,0.318
2002-12-27,2.0,2.0,2.0,2.0,1000,0.363
2002-12-31,2.05,2.05,2.05,2.05,500,0.372
2003-01-03,2.2,2.2,2.2,2.2,500,0.399
2003-01-07,2.35,2.35,2.35,2.35,500,0.426
2003-01-13,2.3,2.8,2.3,2.8,5500,0.508
2003-01-14,3.1,3.1,3.1,3.1,200,0.562
2003-01-15,3.5,3.7,3.5,3.7,2500,0.671
2003-01-16,4.4,4.4,4.4,4.4,500,0.798
2003-01-17,5.25,5.25,4.0,4.4,51000,0.798
2003-01-20,4.75,5.1,4.75,5.1,7000,0.925
2003-01-21,5.25,6.0,5.25,6.0,8000,1.089
2003-01-22,6.9,6.9,5.35,6.0,700,1.089
2003-01-23,5.6,5.6,4.9,4.9,5700,0.889
2003-01-24,4.05,4.05,4.05,4.05,3000,0.735
2003-01-27,3.25,4.2,3.25,4.2,2500,0.762
2003-01-28,5.0,5.0,3.8,4.0,300,0.726
2003-01-31,4.0,4.35,4.0,4.35,600,0.789
2003-02-03,3.8,3.8,3.8,3.8,500,0.689
2003-02-06,4.5,4.5,3.6,3.6,11000,0.653
2003-02-10,2.95,2.95,2.9,2.9,1000,0.526
2003-02-12,2.5,2.5,2.5,2.5,0,0.454
2003-02-14,3.0,3.0,3.0,3.0,12000,0.544
2003-02-18,3.6,3.6,3.5,3.5,75000,0.635
2003-02-19,3.85,4.2,3.85,4.1,60700,0.744
2003-02-20,4.3,4.9,4.3,4.5,61500,0.816
2003-02-21,5.4,5.4,4.8,4.8,50500,0.871
2003-02-24,5.45,5.75,5.45,5.75,105000,1.043
2003-02-25,5.0,5.75,5.0,5.75,151500,1.043
2003-02-27,4.9,4.9,4.9,4.9,500,0.889
2003-02-28,4.5,5.0,4.5,5.0,1000,0.907
2003-03-03,5.7,5.75,5.7,5.75,103500,1.043
2003-03-04,5.05,5.75,5.05,5.75,15000,1.043
2003-03-06,5.15,5.15,5.15,5.15,1000,0.934
2003-03-07,5.25,5.25,5.25,5.25,500,0.953
2003-03-11,5.1,5.75,5.0,5.05,52000,0.916
2003-03-12,5.5,5.5,5.25,5.25,64500,0.953
2003-03-13,5.5,5.5,5.15,5.15,10200,0.934
2003-03-17,5.15,5.15,5.15,5.15,50000,0.934
2003-03-20,5.15,5.15,5.0,5.15,50500,0.934
2003-03-21,5.0,5.0,4.85,4.85,20500,0.88
2003-03-24,5.0,5.0,5.0,5.0,50000,0.907
2003-03-26,5.0,5.0,4.95,5.0,112000,0.907
2003-03-27,4.9,5.0,4.9,5.0,8000,0.907
2003-03-28,5.25,5.25,4.85,5.0,54500,0.907
2003-03-31,5.0,5.0,4.75,5.0,45000,0.907
2003-04-01,5.0,5.0,5.0,5.0,42500,0.907
2003-04-02,5.1,5.1,5.1,5.1,3000,0.925
2003-04-03,5.0,5.0,5.0,5.0,2000,0.907
2003-04-04,4.65,4.65,4.65,4.65,1000,0.844
2003-04-07,4.7,4.7,4.7,4.7,700,0.853
2003-04-08,5.0,5.0,5.0,5.0,50000,0.907
2003-04-09,5.0,5.0,5.0,5.0,1000,0.907
2003-04-16,4.75,5.0,4.75,5.0,5500,0.907
2003-04-17,4.95,5.0,4.95,5.0,50500,0.907
2003-04-21,5.0,5.0,5.0,5.0,20000,0.907
2003-04-22,4.75,5.1,4.75,5.0,33500,0.907
2003-04-30,4.75,4.75,4.75,4.75,2500,0.862
2003-05-05,5.0,5.0,5.0,5.0,50000,0.907
2003-05-09,5.0,5.0,5.0,5.0,50000,0.907
2003-05-14,5.3,5.3,5.3,5.3,25000,0.962
2003-05-16,5.0,5.0,5.0,5.0,1500,0.907
2003-05-19,5.0,5.0,5.0,5.0,51000,0.907
2003-05-21,5.0,5.1,5.0,5.0,60000,0.907
2003-05-28,5.4,5.4,5.4,5.4,500,0.98
2003-06-03,5.0,5.0,5.0,5.0,5500,0.907
2003-06-05,4.75,5.1,4.75,5.0,144000,0.907
2003-06-09,5.0,5.25,5.0,5.25,12500,0.953
2003-06-17,4.95,5.0,4.95,5.0,10500,0.907
2003-06-19,5.0,5.05,5.0,5.04,11000,0.914
2003-06-20,4.25,5.0,4.25,4.97,13000,0.902
2003-06-23,4.4,4.5,4.4,4.5,25500,0.816
2003-06-24,4.25,4.25,4.25,4.25,500,0.771
2003-07-02,4.5,4.5,4.25,4.25,13000,0.771
2003-07-03,4.0,4.0,4.0,4.0,1500,0.726
2003-07-07,4.0,4.6,4.0,4.6,77500,0.835
2003-07-08,4.25,4.25,4.25,4.25,50000,0.771
2003-07-09,5.0,5.0,5.0,5.0,96000,0.907
2003-07-10,4.3,4.35,4.1,4.1,126000,0.744
2003-07-11,4.15,4.3,4.0,4.0,21700,0.726
2003-07-14,4.0,4.0,4.0,4.0,5000,0.726
2003-07-17,4.79,4.79,3.8,3.8,6500,0.689
2003-07-21,3.06,3.06,3.06,3.06,500,0.555
2003-07-22,3.65,3.65,3.65,3.65,1000,0.662
2003-07-23,3.5,4.0,3.26,4.0,1000,0.726
2003-07-24,4.0,4.05,4.0,4.05,53000,0.735
2003-07-25,4.0,4.74,4.0,4.0,109000,0.726
2003-07-28,3.75,3.75,3.75,3.75,1500,0.68
2003-07-29,3.85,3.85,3.85,3.85,500,0.699
2003-07-30,3.5,3.8,3.5,3.8,17000,0.689
2003-08-01,3.51,3.9,3.51,3.9,1400,0.708
2003-08-04,4.68,4.68,4.0,4.0,16000,0.726
2003-08-05,3.9,4.2,3.9,3.9,1000,0.708
2003-08-06,4.0,4.0,3.75,4.0,103000,0.726
2003-08-07,3.75,4.0,3.75,4.0,1000,0.726
2003-08-08,3.75,3.75,3.75,3.75,500,0.68
2003-08-12,4.0,4.0,3.8,4.0,16500,0.726
2003-08-13,3.75,4.0,3.75,3.75,22000,0.68
2003-08-14,4.0,4.0,4.0,4.0,30000,0.726
2003-08-18,4.01,4.01,3.9,3.98,112000,0.722
2003-08-19,4.25,4.25,3.6,4.0,31500,0.726
2003-08-20,3.75,4.75,3.75,4.05,7600,0.735
2003-08-21,4.0,4.0,3.65,3.66,6500,0.664
2003-08-22,4.0,4.0,3.76,3.79,15500,0.688
2003-08-25,4.39,4.39,4.39,4.39,20000,0.797
2003-08-26,3.55,4.0,3.55,4.0,12000,0.726
2003-08-27,4.44,4.44,4.0,4.0,0,0.726
