Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,23.25,25.35,23.25,25.05,534200,23.02
2000-01-04,26.0,26.0,23.55,24.25,204000,22.28
2000-01-05,23.55,23.9,23.0,23.25,168500,21.37
2000-01-06,23.4,25.1,22.75,24.5,651100,22.51
2000-01-07,24.75,26.45,24.05,26.45,836600,24.31
2000-01-10,28.55,28.55,26.75,27.0,963500,24.81
2000-01-11,27.0,27.5,24.85,25.15,414500,23.11
2000-01-12,24.9,25.95,24.2,25.1,254200,23.07
2000-01-13,25.25,25.75,24.0,24.65,298900,22.65
2000-01-14,24.3,25.0,23.15,23.45,566100,21.55
2000-01-17,24.5,25.0,23.75,23.75,207700,21.82
2000-01-18,23.9,23.9,23.2,23.75,153600,21.82
2000-01-19,24.0,24.45,23.6,24.0,158100,22.05
2000-01-20,24.15,24.15,23.1,23.15,90800,21.27
2000-01-21,23.0,23.2,22.0,22.4,395900,20.58
2000-01-24,22.25,23.0,22.25,22.4,183600,20.58
2000-01-25,22.5,22.6,21.25,22.0,206200,20.22
2000-01-26,22.0,22.0,22.0,22.0,0,20.22
2000-01-27,22.05,22.6,21.55,22.0,118300,20.22
2000-01-28,21.75,21.9,21.25,21.75,227600,19.99
2000-01-31,22.0,23.45,21.95,21.95,444700,20.17
2000-02-01,22.0,22.15,21.0,21.6,293000,19.85
2000-02-02,21.7,21.7,20.1,20.85,177800,19.16
2000-02-03,20.85,20.85,20.85,20.85,0,19.16
2000-02-04,20.0,20.45,19.65,20.0,339100,18.38
2000-02-07,20.0,20.75,19.0,19.25,157400,17.69
2000-02-08,19.3,19.35,18.0,18.5,162200,17.0
2000-02-09,18.7,19.45,18.5,18.7,88900,17.18
2000-02-10,18.7,19.1,18.5,19.0,97000,17.46
2000-02-11,18.85,18.85,18.0,18.35,245400,16.86
2000-02-14,18.2,18.5,17.6,17.75,120900,16.31
2000-02-15,17.9,18.0,17.35,17.35,79100,15.94
2000-02-16,17.65,17.75,17.0,17.2,89000,15.81
2000-02-17,17.1,18.55,16.8,18.55,174100,17.05
2000-02-18,20.0,20.0,18.4,18.5,376600,17.0
2000-02-21,19.9,19.95,18.75,19.0,286300,17.46
2000-02-22,19.3,19.3,18.05,18.45,131600,16.95
2000-02-23,18.95,18.95,17.8,18.0,108900,16.54
2000-02-24,17.9,18.3,17.05,17.75,111100,16.31
2000-02-25,17.9,17.9,17.0,17.4,198700,15.99
2000-02-28,18.1,18.75,17.75,18.75,155900,17.23
2000-02-29,19.5,19.9,17.55,17.85,277600,16.4
2000-03-01,17.5,18.45,17.25,18.0,123300,16.54
2000-03-02,18.0,18.05,16.75,16.85,268100,15.48
2000-03-03,16.8,16.8,15.55,15.65,226100,14.38
2000-03-06,16.0,16.5,15.75,16.0,115000,14.7
2000-03-07,15.75,16.25,14.8,15.1,146600,13.88
2000-03-08,15.0,15.4,14.8,15.0,111900,13.78
2000-03-09,15.0,15.3,14.3,14.6,92700,13.42
2000-03-10,14.0,14.5,13.5,13.5,405300,12.41
2000-03-13,13.5,13.5,13.5,13.5,0,12.41
2000-03-14,13.3,14.45,13.0,14.3,151700,13.14
2000-03-15,14.2,15.4,14.05,15.3,270000,14.06
2000-03-16,15.25,15.25,14.1,14.7,174700,13.51
2000-03-17,14.7,14.7,14.7,14.7,0,13.51
2000-03-20,14.7,14.7,14.7,14.7,0,13.51
2000-03-21,14.9,14.9,14.3,14.85,70100,13.65
2000-03-22,15.4,15.4,14.1,14.4,83100,13.23
2000-03-23,14.3,14.5,13.75,14.0,140400,12.87
2000-03-24,13.0,13.75,13.0,13.3,245500,12.22
2000-03-27,14.3,14.3,13.55,13.55,49700,12.45
2000-03-28,13.55,13.95,13.5,13.75,91800,12.64
2000-03-29,13.85,14.1,13.6,13.85,178300,12.73
2000-03-30,13.7,14.0,13.6,14.0,62500,12.87
2000-03-31,13.9,14.3,13.7,14.1,180700,12.96
2000-04-03,14.7,14.9,14.3,14.7,96000,13.51
2000-04-04,14.4,14.7,13.55,13.55,153900,12.45
2000-04-05,13.7,14.5,13.7,14.0,47300,12.87
2000-04-06,14.05,14.25,13.5,13.85,59600,12.73
2000-04-07,13.5,14.15,13.5,13.8,198800,12.68
2000-04-10,14.0,14.45,14.0,14.05,69400,12.91
2000-04-11,14.05,14.05,14.05,14.05,0,12.91
2000-04-12,13.9,14.2,13.8,13.95,21000,12.82
2000-04-13,13.75,13.8,13.25,13.5,106300,12.41
2000-04-14,13.5,13.5,13.5,13.5,0,12.41
2000-04-17,13.05,13.75,13.05,13.6,44500,12.5
2000-04-18,13.65,13.7,13.1,13.1,21600,12.04
2000-04-19,13.15,13.5,12.85,13.1,61500,12.04
2000-04-20,12.55,12.6,12.1,12.1,99200,11.12
2000-04-21,12.1,12.1,12.1,12.1,0,11.12
2000-04-24,12.1,12.1,12.1,12.1,0,11.12
2000-04-25,10.3,11.1,10.3,10.9,92500,10.02
2000-04-26,10.9,10.9,10.9,10.9,0,10.02
2000-04-27,11.2,11.5,11.0,11.25,48900,10.34
2000-04-28,11.1,11.25,10.7,10.7,153300,9.83
2000-05-01,10.7,10.7,10.7,10.7,0,9.83
2000-05-02,10.95,11.0,10.3,10.55,50600,9.69
2000-05-03,10.55,10.55,10.55,10.55,0,9.69
2000-05-04,10.05,10.65,10.0,10.55,78100,9.69
2000-05-05,10.55,10.55,10.55,10.55,0,9.69
2000-05-08,10.5,10.75,10.3,10.3,52000,9.47
2000-05-09,10.3,10.3,10.3,10.3,0,9.47
2000-05-10,10.4,10.7,10.4,10.5,41000,9.65
2000-05-11,10.4,10.4,10.1,10.25,50800,9.42
2000-05-12,10.3,10.4,9.5,9.9,138100,9.1
2000-05-15,9.6,10.2,9.6,9.95,44800,9.14
2000-05-16,10.0,10.05,9.7,9.8,42900,9.01
2000-05-17,9.85,10.0,9.75,9.85,44100,9.05
2000-05-18,9.65,9.8,8.9,9.45,62000,8.68
2000-05-19,9.45,9.45,8.8,9.25,102200,8.5
2000-05-22,9.3,9.3,8.75,8.9,28400,8.18
2000-05-23,9.0,9.0,8.5,8.6,36400,7.9
2000-05-24,8.95,8.95,8.5,8.8,64000,8.09
2000-05-25,9.0,9.5,8.8,9.05,67700,8.32
2000-05-26,8.8,9.7,8.8,9.7,67300,8.91
2000-05-29,10.9,10.95,9.95,10.95,85000,10.06
2000-05-30,10.9,11.8,10.9,11.8,97000,10.84
2000-05-31,12.7,12.7,12.7,12.7,31400,11.67
2000-06-01,13.7,13.7,11.8,11.8,187000,10.84
2000-06-02,12.4,12.4,10.9,10.9,208400,10.02
2000-06-05,11.5,11.75,10.85,11.0,137100,10.11
2000-06-06,10.9,11.3,10.5,11.0,51000,10.11
2000-06-07,10.5,11.3,10.5,10.9,30600,10.02
2000-06-08,11.0,11.35,10.9,11.1,88800,10.2
2000-06-09,11.0,11.95,11.0,11.95,269000,10.98
2000-06-12,12.85,12.85,12.3,12.85,177900,11.81
2000-06-13,13.85,13.85,12.85,13.45,340300,12.36
2000-06-14,13.6,13.75,13.1,13.2,227000,12.13
2000-06-15,13.45,13.45,12.65,12.7,93600,11.67
2000-06-16,12.65,12.75,12.3,12.55,111900,11.53
2000-06-19,12.55,12.55,12.55,12.55,0,11.53
2000-06-20,12.55,12.55,12.55,12.55,0,11.53
2000-06-21,12.55,12.55,12.55,12.55,0,11.53
2000-06-22,12.55,12.55,12.55,12.55,0,11.53
2000-06-23,12.55,12.55,12.55,12.55,0,11.53
2000-06-26,12.55,12.55,12.55,12.55,0,11.53
2000-06-27,12.55,12.55,12.55,12.55,0,11.53
2000-06-28,12.55,12.55,12.55,12.55,0,11.53
2000-06-29,12.55,12.55,12.55,12.55,0,11.53
2000-06-30,12.55,12.55,12.55,12.55,0,11.53
2000-07-03,12.55,12.55,12.55,12.55,0,11.53
2000-07-04,12.55,12.55,12.55,12.55,0,11.53
2000-07-05,12.55,12.55,12.55,12.55,0,11.53
2000-07-06,12.55,12.55,12.55,12.55,0,11.53
2000-07-07,12.55,12.55,12.55,12.55,0,11.53
2000-07-10,12.55,12.55,12.55,12.55,0,11.53
2000-07-11,12.55,12.55,12.55,12.55,0,11.53
2000-07-12,12.55,12.55,12.55,12.55,0,11.53
2000-07-13,12.55,12.55,12.55,12.55,0,11.53
2000-07-14,12.55,12.55,12.55,12.55,0,11.53
2000-07-17,12.55,12.55,12.55,12.55,0,11.53
2000-07-18,12.55,12.55,12.55,12.55,0,11.53
2000-07-19,12.55,12.55,12.55,12.55,0,11.53
2000-07-20,12.55,12.55,12.55,12.55,0,11.53
2000-07-21,12.55,12.55,12.55,12.55,0,11.53
2000-07-24,12.55,12.55,12.55,12.55,0,11.53
2000-07-25,12.55,12.55,12.55,12.55,0,11.53
2000-07-26,12.55,12.55,12.55,12.55,0,11.53
2000-07-27,12.55,12.55,12.55,12.55,0,11.53
2000-07-28,12.55,12.55,12.55,12.55,0,11.53
2000-07-31,12.55,12.55,12.55,12.55,0,11.53
2000-08-01,12.55,12.55,12.55,12.55,0,11.53
2000-08-02,12.55,12.55,12.55,12.55,0,11.53
2000-08-03,12.55,12.55,12.55,12.55,0,11.53
2000-08-04,12.55,12.55,12.55,12.55,0,11.53
2000-08-07,12.55,12.55,12.55,12.55,0,11.53
2000-08-08,12.55,12.55,12.55,12.55,0,11.53
2000-08-09,12.55,12.55,12.55,12.55,0,11.53
2000-08-10,12.55,12.55,12.55,12.55,0,11.53
2000-08-11,8.95,9.0,8.5,8.55,64200,7.86
2000-08-14,8.7,9.0,8.6,8.6,70600,7.9
2000-08-15,8.6,8.6,8.6,8.6,0,7.9
2000-08-16,8.8,8.95,8.5,8.65,46400,7.95
2000-08-17,8.7,8.9,8.5,8.75,41100,8.04
2000-08-18,8.8,8.85,8.55,8.65,52500,7.95
2000-08-21,9.0,9.75,8.65,9.55,101300,8.78
2000-08-22,9.65,9.65,9.15,9.2,106900,8.45
2000-08-23,9.25,9.5,9.15,9.3,39200,8.55
2000-08-24,9.2,9.3,9.0,9.05,29300,8.32
2000-08-25,9.0,9.1,8.75,8.85,117800,8.13
2000-08-28,9.25,9.25,8.9,9.05,25200,8.32
2000-08-29,9.1,9.2,8.9,9.0,35100,8.27
2000-08-30,9.0,9.1,8.65,9.05,42700,8.32
2000-08-31,9.2,9.2,8.75,8.8,58800,8.09
2000-09-01,8.8,8.8,8.8,8.8,0,8.09
2000-09-04,8.9,9.0,8.65,8.95,94800,8.22
2000-09-05,8.75,9.1,8.55,9.0,59100,8.27
2000-09-06,9.1,9.5,9.1,9.2,138300,8.45
2000-09-07,9.25,9.4,9.1,9.2,50600,8.45
2000-09-08,9.0,10.2,9.0,10.15,267300,9.33
2000-09-11,10.9,10.95,10.9,10.95,60700,10.06
2000-09-12,11.8,11.8,11.8,11.8,10500,10.84
2000-09-13,12.7,12.7,12.3,12.7,302600,11.67
2000-09-14,13.5,13.6,12.3,12.55,392500,11.53
2000-09-15,12.45,12.55,11.55,11.55,163300,10.61
2000-09-18,11.55,11.55,11.55,11.55,0,10.61
2000-09-19,11.55,11.55,11.55,11.55,0,10.61
2000-09-20,10.4,10.9,10.2,10.75,55000,9.88
2000-09-21,10.8,11.2,10.7,10.8,73200,9.92
2000-09-22,10.65,10.65,10.0,10.2,178500,9.37
2000-09-25,10.75,10.75,10.4,10.55,74400,9.69
2000-09-26,10.55,10.55,10.55,10.55,0,9.69
2000-09-27,10.55,10.55,10.55,10.55,0,9.69
2000-09-28,10.35,10.4,10.0,10.2,35900,9.37
2000-09-29,10.2,10.2,10.2,10.2,0,9.37
2000-10-02,10.2,10.2,10.2,10.2,0,9.37
2000-10-03,10.0,10.25,9.95,9.95,33000,9.14
2000-10-04,10.0,10.2,10.0,10.0,15700,9.19
2000-10-05,10.1,10.15,9.85,9.9,27900,9.1
2000-10-06,9.75,9.75,9.25,9.3,112300,8.55
2000-10-09,9.7,9.7,9.4,9.4,35800,8.64
2000-10-10,9.35,9.35,8.75,8.95,126200,8.22
2000-10-11,8.55,9.35,8.55,9.1,46500,8.36
2000-10-12,8.85,9.2,8.85,9.0,39700,8.27
2000-10-13,8.85,9.2,8.7,8.95,78800,8.22
2000-10-16,9.5,9.75,9.15,9.35,70000,8.59
2000-10-17,9.3,9.3,8.9,8.95,29900,8.22
2000-10-18,8.85,9.25,8.85,9.05,20400,8.32
2000-10-19,8.95,9.2,8.5,9.05,66700,8.32
2000-10-20,9.05,9.05,9.05,9.05,0,8.32
2000-10-23,9.0,9.15,9.0,9.0,39500,8.27
2000-10-24,8.85,9.1,8.7,9.0,31500,8.27
2000-10-25,9.0,9.0,9.0,9.0,0,8.27
2000-10-26,9.0,9.0,9.0,9.0,0,8.27
2000-10-27,9.3,9.3,9.1,9.2,13600,8.45
2000-10-30,9.5,9.5,9.05,9.1,13500,8.36
2000-10-31,9.1,9.1,9.1,9.1,0,8.36
2000-11-01,9.2,10.0,9.1,9.95,149600,9.14
2000-11-02,9.8,12.4,9.5,11.4,499600,10.48
2000-11-03,11.75,12.3,11.75,11.8,460500,10.84
2000-11-06,12.05,12.3,11.6,11.7,198300,10.75
2000-11-07,11.55,11.8,11.2,11.35,152900,10.43
2000-11-08,11.25,11.55,11.1,11.15,86300,10.25
2000-11-09,11.1,11.15,10.75,10.95,60200,10.06
2000-11-10,10.9,10.9,10.55,10.65,64200,9.79
2000-11-13,11.1,11.1,10.2,10.25,50900,9.42
2000-11-14,10.35,11.05,10.25,11.05,88000,10.15
2000-11-15,11.5,11.55,11.0,11.1,92900,10.2
2000-11-16,11.05,11.4,10.5,10.5,79600,9.65
2000-11-17,10.45,10.75,10.4,10.6,50300,9.74
2000-11-20,11.0,11.4,11.0,11.25,162600,10.34
2000-11-21,11.15,11.4,11.15,11.3,98900,10.38
2000-11-22,11.45,11.45,11.05,11.25,66800,10.34
2000-11-23,11.1,12.1,11.1,11.65,229800,10.71
2000-11-24,11.7,12.55,11.5,12.55,537300,11.53
2000-11-27,13.0,13.5,12.7,13.5,797200,12.41
2000-11-28,13.9,13.9,13.1,13.35,478900,12.27
2000-11-29,13.5,13.7,12.6,12.85,578100,11.81
2000-11-30,12.85,12.95,12.5,12.5,182200,11.49
2000-12-01,12.55,12.55,11.9,12.15,217600,11.17
2000-12-04,12.8,13.1,12.55,13.1,148800,12.04
2000-12-05,13.65,14.1,13.4,13.7,618800,12.59
2000-12-06,14.0,14.1,13.3,13.6,507400,12.5
2000-12-07,13.55,14.15,13.4,14.05,364300,12.91
2000-12-08,13.95,14.5,13.95,14.35,522000,13.19
2001-02-14,13.4,13.4,13.4,13.4,100,12.31
2001-03-16,6.55,10.5,6.55,10.5,100,9.65
2001-05-24,7.0,7.0,7.0,7.0,400,6.43
2001-07-02,7.75,7.85,7.4,7.5,40600,6.89
2001-07-03,7.4,7.75,7.4,7.65,13200,7.03
2001-07-04,7.45,7.65,7.4,7.55,4700,6.94
2001-07-05,7.5,7.6,7.5,7.55,9100,6.94
2001-07-06,7.5,7.6,7.45,7.5,20400,6.89
2001-07-09,7.4,7.5,7.3,7.45,7100,6.85
2001-07-10,7.55,7.6,7.45,7.6,7000,6.98
2001-07-11,7.4,7.75,7.4,7.75,10400,7.12
2001-07-12,7.35,8.0,7.35,8.0,19200,7.35
2001-07-16,8.0,8.1,7.9,7.9,6100,7.26
2001-07-17,8.1,9.4,7.8,7.8,17500,7.17
2001-07-18,7.8,7.95,7.65,7.7,40200,7.08
2001-07-19,7.7,7.8,7.5,7.5,4100,6.89
2001-07-20,7.45,7.6,7.4,7.4,15300,6.8
2001-07-24,7.4,7.95,7.4,7.55,38900,6.94
2001-07-25,7.5,7.6,7.15,7.25,26000,6.66
2001-07-26,7.2,7.25,7.0,7.05,36100,6.48
2001-07-27,7.3,7.5,7.1,7.25,25100,6.66
2001-07-30,8.2,8.2,7.25,7.3,17000,6.71
2001-07-31,7.25,7.4,7.15,7.2,13700,6.62
