Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,375.0,394.9992,375.0,389.9496,238100,0.2357
2000-01-04,379.9992,391.5,373.9992,390.0,222800,0.2358
2000-01-05,385.0008,385.9992,375.3,385.9992,168600,0.2333
2000-01-06,384.0,385.0008,377.0496,379.9992,127700,0.2297
2000-01-07,375.0,388.0008,375.0,382.9992,3416600,0.2315
2000-01-10,400.0008,413.5992,400.0008,413.5992,831900,0.25
2000-01-11,424.9992,424.9992,401.2992,420.0,987900,0.2539
2000-01-12,418.9992,430.9992,412.0008,419.2008,503800,0.2534
2000-01-13,423.0,426.4992,409.9992,418.9992,570100,0.2533
2000-01-14,417.0,417.0,406.9992,411.1008,2062800,0.2485
2000-01-17,424.9992,435.0,409.9992,415.9992,318200,0.2515
2000-01-18,420.0,424.0008,412.0512,418.8504,878100,0.2532
2000-01-19,414.0,424.9992,414.0,417.0,676300,0.2521
2000-01-20,418.5,421.0008,415.0008,419.7504,628600,0.2537
2000-01-21,420.0,445.0008,416.5992,429.8496,947600,0.2598
2000-01-24,450.0,464.2008,450.0,464.2008,3098900,0.2806
2000-01-25,472.0008,496.9992,469.9992,496.0008,2324400,0.2998
2000-01-26,496.0008,496.0008,496.0008,496.0008,0,0.2998
2000-01-27,496.0008,501.0,467.0496,478.6992,1120700,0.2894
2000-01-28,478.9488,483.0,468.4992,481.0008,654400,0.2908
2000-01-31,480.0,480.0,460.0008,460.0008,931700,0.2781
2000-02-01,460.5,466.0008,460.0008,460.2504,1702500,0.2782
2000-02-02,463.9008,469.9992,455.1,455.2512,327200,0.2752
2000-02-03,455.2512,455.2512,455.2512,455.2512,0,0.2752
2000-02-04,460.0512,465.0,454.9992,460.0008,1194700,0.2781
2000-02-07,460.0008,475.0008,452.1,456.1008,196500,0.2757
2000-02-08,438.2496,466.0008,438.2496,464.7,558400,0.2809
2000-02-09,457.9992,463.9488,453.0504,457.9992,83700,0.2769
2000-02-10,453.0,453.1008,445.0008,448.0992,75500,0.2709
2000-02-11,442.0008,456.0,435.0,456.0,116400,0.2757
2000-02-14,430.0008,460.0008,430.0008,438.9504,131600,0.2654
2000-02-15,432.0,439.9992,406.0008,421.6008,188500,0.2549
2000-02-16,405.0504,419.7504,400.0008,400.0008,1235400,0.2418
