Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,24.0,25.9,24.0,25.0,2700,15.96
2000-01-04,25.1,26.95,23.15,25.45,6300,16.25
2000-01-05,24.05,24.8,23.7,24.0,2700,15.33
2000-01-06,25.0,25.0,23.6,23.65,6900,15.1
2000-01-07,23.6,24.9,23.0,24.15,4500,15.42
2000-01-10,23.15,25.0,23.15,24.9,1400,15.9
2000-01-11,25.0,25.0,22.95,24.3,6000,15.52
2000-01-12,22.75,22.75,22.5,22.5,1200,14.37
2000-01-13,22.05,23.0,22.0,23.0,1300,14.69
2000-01-14,21.7,22.3,21.5,21.7,3500,13.86
2000-01-17,21.5,22.0,21.5,22.0,2700,14.05
2000-01-18,21.35,21.45,21.15,21.15,2600,13.51
2000-01-19,21.95,22.0,21.2,21.9,4500,13.98
2000-01-20,21.5,21.75,21.25,21.4,4100,13.67
2000-01-21,22.0,22.5,21.25,22.5,3100,14.37
2000-01-24,21.3,21.3,20.75,20.75,2500,13.25
2000-01-25,21.0,21.0,20.75,20.75,500,13.25
2000-01-26,20.75,20.75,20.75,20.75,0,13.25
2000-01-27,20.8,20.9,20.0,20.0,3800,12.77
2000-01-28,19.6,20.65,19.6,20.6,3500,13.15
2000-01-31,20.6,20.6,19.95,19.95,1800,12.74
2000-02-01,20.9,21.0,19.1,21.0,1300,13.41
2000-02-02,20.0,21.25,19.5,20.0,3700,12.77
2000-02-03,20.0,20.0,20.0,20.0,0,12.77
2000-02-04,20.0,20.0,18.5,18.55,4900,11.85
2000-02-07,18.1,18.25,18.0,18.15,2100,11.59
2000-02-08,18.15,18.45,18.0,18.0,3500,11.49
2000-02-09,17.7,19.0,17.5,18.5,4700,11.81
2000-02-10,19.0,19.95,18.6,18.75,2000,11.97
2000-02-11,18.0,19.5,18.0,18.75,3900,11.97
2000-02-14,17.75,18.25,17.65,18.0,3500,11.49
2000-02-15,17.85,18.0,17.0,17.6,2300,11.24
2000-02-16,17.9,17.9,16.55,17.55,1500,11.21
2000-02-17,17.0,17.2,16.7,17.2,3500,10.98
2000-02-18,17.3,17.5,17.25,17.3,1400,11.05
2000-02-21,16.3,17.5,16.3,17.25,1500,11.02
2000-02-22,17.5,17.5,17.3,17.3,1900,11.05
2000-02-23,16.9,17.5,16.0,16.0,3900,10.22
2000-02-24,17.0,17.0,17.0,17.0,2500,10.86
2000-02-25,16.15,17.0,16.15,16.25,1800,10.38
2000-02-28,15.1,15.1,15.1,15.1,100,9.64
2000-02-29,15.0,16.0,15.0,15.1,1600,9.64
2000-03-01,16.0,16.0,16.0,16.0,300,10.22
2000-03-02,17.25,17.25,16.8,17.2,1800,10.98
2000-03-03,16.25,18.0,16.0,16.85,8800,10.76
2000-03-06,16.3,18.0,16.3,16.75,1100,10.7
2000-03-07,16.5,17.0,15.5,15.5,2200,9.9
2000-03-08,16.0,16.0,15.5,15.5,1100,9.9
2000-03-09,16.0,16.0,14.5,14.5,1600,9.26
2000-03-10,13.5,14.5,13.45,14.0,1800,8.94
2000-03-13,14.0,14.0,14.0,14.0,0,8.94
2000-03-14,13.5,14.05,13.25,14.05,1200,8.97
2000-03-15,15.15,15.15,14.15,14.4,2700,9.2
2000-03-16,14.0,15.5,13.8,15.0,4900,9.58
2000-03-17,15.0,15.0,15.0,15.0,0,9.58
2000-03-20,15.0,15.0,15.0,15.0,0,9.58
2000-03-21,15.0,15.8,15.0,15.8,1400,10.09
2000-03-22,15.0,15.0,14.55,14.55,6400,9.29
2000-03-23,14.6,15.45,13.8,14.3,11200,9.13
2000-03-24,13.9,15.0,13.9,14.25,2700,9.1
2000-03-27,14.0,14.0,13.8,13.8,135400,8.81
2000-03-28,14.0,14.1,14.0,14.05,1300,8.97
2000-03-29,14.05,14.3,14.05,14.3,2200,9.13
2000-03-30,15.0,15.25,15.0,15.25,200,9.74
2000-03-31,14.7,16.4,14.15,14.45,1900,9.23
2000-04-03,15.55,15.55,15.55,15.55,200,9.93
2000-04-04,15.0,15.0,14.35,14.5,3800,9.26
2000-04-05,14.5,14.5,14.5,14.5,0,9.26
2000-04-06,14.65,15.0,14.5,14.5,1800,9.26
2000-04-07,13.9,15.0,13.9,14.4,1400,9.2
2000-04-10,13.7,14.5,13.7,14.5,1700,9.26
2000-04-11,14.5,14.5,14.5,14.5,0,9.26
2000-04-12,13.85,14.0,13.75,13.9,1300,8.88
2000-04-13,13.9,13.9,13.9,13.9,0,8.88
2000-04-14,13.9,13.9,13.9,13.9,0,8.88
2000-04-17,13.5,13.5,13.05,13.05,1100,8.33
2000-04-18,13.35,13.35,13.3,13.3,900,8.49
2000-04-19,13.3,14.0,13.3,14.0,400,8.94
2000-04-20,13.3,13.4,12.9,12.9,2600,8.24
2000-04-21,12.9,12.9,12.9,12.9,0,8.24
2000-04-24,12.9,12.9,12.9,12.9,0,8.24
2000-04-25,12.9,12.9,12.9,12.9,0,8.24
2000-04-26,12.9,12.9,12.9,12.9,0,8.24
2000-04-27,13.0,13.0,11.95,12.0,5700,7.66
2000-04-28,12.0,12.0,11.1,11.5,2500,7.34
2000-05-01,11.5,11.5,11.5,11.5,0,7.34
2000-05-02,10.85,11.0,10.6,10.6,10400,6.77
2000-05-03,10.6,10.6,10.6,10.6,0,6.77
2000-05-04,10.8,10.95,10.6,10.6,4400,6.77
2000-05-05,10.6,10.6,10.6,10.6,0,6.77
2000-05-08,10.6,10.6,10.6,10.6,0,6.77
2000-05-09,10.6,10.6,10.6,10.6,0,6.77
2000-05-10,11.6,11.6,11.6,11.6,200,7.41
2000-05-11,11.0,11.0,11.0,11.0,0,7.02
2000-05-12,11.0,11.5,10.9,10.9,2900,6.96
2000-05-15,10.5,11.5,10.05,11.5,1800,7.34
2000-05-16,11.75,11.75,11.75,11.75,100,7.5
