Date,Open,High,Low,Close,Volume,Adj Close
1995-04-10,6.0,6.0,5.0625,5.0625,0,0.00542
1995-04-17,4.875,4.875,4.375,4.375,0,0.00469
1995-04-18,4.2,4.2,4.2,4.2,0,0.0045
1995-04-19,4.2,4.2,4.125,4.2,0,0.0045
1995-04-20,4.2,4.25,4.125,4.25,0,0.00455
1995-04-21,4.125,4.275,4.125,4.275,0,0.00458
1995-04-24,4.25,4.3125,4.2,4.2,0,0.0045
1995-04-25,4.275,4.375,4.275,4.375,0,0.00469
1995-04-26,4.25,4.375,4.0,4.125,0,0.00442
1995-04-27,4.125,4.25,4.125,4.25,0,0.00455
1995-04-28,4.125,4.25,4.125,4.25,0,0.00455
1995-05-02,4.125,4.25,4.125,4.25,0,0.00455
1995-05-03,4.0,4.175,4.0,4.125,0,0.00442
1995-05-04,4.1,4.125,4.1,4.125,0,0.00442
1995-05-05,4.25,4.25,4.1,4.1,0,0.00439
1995-05-08,4.0625,4.075,4.0625,4.075,0,0.00437
1995-05-09,4.25,4.3,4.075,4.3,0,0.00461
1995-05-10,4.25,4.3125,4.2,4.3125,0,0.00462
1995-05-12,4.125,4.125,4.125,4.125,0,0.00442
1995-05-15,4.175,4.1875,4.125,4.125,0,0.00442
1995-05-16,4.175,4.175,4.1,4.1,0,0.00439
1995-05-17,4.2,4.25,4.125,4.125,0,0.00442
1995-05-18,4.2,4.25,4.125,4.125,0,0.00442
1995-05-19,4.1875,4.375,4.125,4.125,0,0.00442
1995-05-22,4.1875,4.375,4.125,4.125,0,0.00442
1995-05-23,4.125,4.15,4.125,4.15,0,0.00445
1995-05-24,4.125,4.125,4.075,4.075,0,0.00437
1995-05-25,3.95,4.0,3.95,4.0,0,0.00429
1995-05-26,4.0125,4.25,4.0,4.0,0,0.00429
1995-05-29,4.025,4.05,4.0,4.05,0,0.00434
1995-05-30,4.0,4.05,4.0,4.05,0,0.00434
1995-05-31,4.025,4.05,4.0,4.0,0,0.00429
1995-06-01,4.0,4.05,4.0,4.05,0,0.00434
1995-06-02,4.125,4.125,4.05,4.05,0,0.00434
1995-06-05,4.075,4.25,4.075,4.125,0,0.00442
1995-06-06,4.175,4.175,4.1,4.1,0,0.00439
1995-06-07,4.125,4.125,4.1,4.1,0,0.00439
1995-06-08,4.1875,4.1875,4.15,4.175,0,0.00447
1995-06-09,4.1875,4.1875,4.15,4.15,0,0.00445
1995-06-12,4.15,4.25,4.15,4.225,0,0.00453
1995-06-13,4.25,4.25,4.1,4.1,0,0.00439
1995-06-14,4.15,4.15,4.075,4.075,0,0.00437
1995-06-15,4.075,4.075,4.075,4.075,0,0.00437
1995-06-16,4.125,4.125,4.125,4.125,0,0.00442
1995-06-19,4.125,4.15,4.125,4.15,0,0.00445
1995-06-20,4.075,4.125,4.075,4.125,0,0.00442
1995-06-21,4.075,4.125,4.075,4.125,0,0.00442
1995-06-22,4.125,4.125,4.125,4.125,0,0.00442
1995-06-26,3.875,3.875,3.65,3.65,0,0.00391
1995-06-27,3.7,3.8,3.7,3.8,0,0.00407
1995-06-28,3.725,3.75,3.725,3.75,0,0.00402
1995-06-29,3.775,3.775,3.725,3.725,0,0.00399
1995-06-30,3.375,3.375,3.25,3.25,0,0.00348
1995-07-03,3.375,3.375,3.375,3.375,0,0.00362
1995-07-05,3.3,3.375,3.3,3.375,0,0.00362
1995-07-06,3.3,3.3,3.3,3.3,0,0.00354
1995-07-07,3.3,3.3,3.3,3.3,0,0.00354
1995-07-10,3.275,3.375,3.275,3.325,56000,0.00356
1995-07-11,3.3,3.325,3.25,3.325,0,0.00356
1995-07-12,3.3,3.375,3.25,3.35,32000,0.00359
1995-07-13,3.35,3.725,3.35,3.375,48000,0.00362
1995-07-17,3.75,3.75,3.75,3.75,16000,0.00402
1995-07-18,3.75,3.925,3.7,3.875,88000,0.00415
1995-07-19,3.75,3.75,3.75,3.75,120000,0.00402
1995-07-20,3.9,3.9,3.725,3.75,120000,0.00402
1995-07-21,3.8,3.85,3.75,3.85,88000,0.00413
1995-07-25,4.0,4.0,3.625,3.725,88000,0.00399
1995-07-26,3.7,3.85,3.7,3.75,72000,0.00402
1995-07-27,3.75,3.75,3.7,3.75,96000,0.00402
1995-07-28,3.675,3.75,3.625,3.75,112000,0.00402
1995-07-31,3.75,3.75,3.675,3.75,192000,0.00402
1995-08-01,3.65,3.65,3.625,3.625,16000,0.00388
1995-08-02,3.2,3.2,3.2,3.2,8000,0.00343
1995-08-03,3.625,3.625,3.625,3.625,8000,0.00388
1995-08-04,3.75,3.75,3.525,3.525,24000,0.00378
1995-08-07,3.625,3.7,3.625,3.7,16000,0.00396
1995-08-08,3.675,3.75,3.675,3.75,32000,0.00402
1995-08-09,3.625,3.75,3.625,3.625,24000,0.00388
1995-08-14,3.725,3.725,3.625,3.65,24000,0.00391
1995-08-16,3.625,3.625,3.625,3.625,24000,0.00388
1995-08-17,3.575,3.6,3.5,3.5,104000,0.00375
1995-08-21,3.575,3.575,3.475,3.475,104000,0.00372
1995-08-22,3.55,3.55,3.5,3.5,40000,0.00375
1995-08-24,3.5,3.5,3.475,3.475,24000,0.00372
1995-08-25,3.4,3.45,3.375,3.45,32000,0.0037
1995-08-28,3.25,3.25,3.25,3.25,8000,0.00348
1995-08-31,3.3,3.3,3.25,3.25,40000,0.00348
1995-09-01,3.25,3.325,3.25,3.3,24000,0.00354
1995-09-04,3.25,3.3,3.25,3.3,96000,0.00354
1995-09-05,3.2,3.2,3.125,3.2,48000,0.00343
