Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,65.0,68.9,65.0,68.8,586900,0.78
2000-01-04,67.85,69.45,66.0,68.15,1094800,0.78
2000-01-05,66.0,67.0,64.0,65.95,586100,0.75
2000-01-06,65.6,68.5,65.6,67.0,435000,0.76
2000-01-07,66.0,68.0,65.0,68.0,874300,0.78
2000-01-10,69.0,71.0,65.75,66.0,765100,0.75
2000-01-11,66.0,66.05,64.65,64.9,1141400,0.74
2000-01-12,65.0,65.0,64.0,64.6,159200,0.74
2000-01-13,64.2,64.45,63.35,63.85,409600,0.73
2000-01-14,63.0,63.0,62.05,62.65,547800,0.71
2000-01-17,66.0,66.0,63.25,63.4,341000,0.72
2000-01-18,64.0,64.5,58.35,62.0,552900,0.71
2000-01-19,61.05,64.0,61.0,63.2,253300,0.72
2000-01-20,63.0,64.3,62.7,63.0,197100,0.72
2000-01-21,63.0,63.25,61.55,62.6,327600,0.71
2000-01-24,63.0,63.5,62.3,62.5,102600,0.71
2000-01-25,62.2,62.8,60.5,62.35,95400,0.71
2000-01-26,62.35,62.35,62.35,62.35,0,0.71
2000-01-27,62.0,63.2,61.7,62.25,124600,0.71
2000-01-28,63.0,66.0,62.15,64.0,592900,0.73
2000-01-31,65.4,66.0,61.0,61.0,914200,0.7
2000-02-01,62.8,64.5,57.0,58.4,748500,0.67
2000-02-02,58.8,60.85,57.75,58.25,680300,0.66
2000-02-03,58.25,58.25,58.25,58.25,0,0.66
2000-02-04,57.0,57.0,54.5,55.0,830200,0.63
2000-02-07,56.95,56.95,53.0,54.9,1296300,0.63
2000-02-08,55.0,55.8,53.0,53.85,348400,0.61
2000-02-09,53.6,54.5,52.15,52.8,251700,0.6
2000-02-10,53.0,53.75,52.0,53.65,294100,0.61
2000-02-11,53.2,53.75,52.0,52.0,337900,0.59
2000-02-14,53.9,54.25,51.0,53.35,294300,0.61
2000-02-15,53.3,53.3,51.0,51.0,1116300,0.58
2000-02-16,50.55,51.5,48.0,49.0,192200,0.56
2000-02-17,48.55,50.5,48.5,50.0,397100,0.57
2000-02-18,50.0,50.5,48.3,48.35,399800,0.55
2000-02-21,48.0,49.95,46.75,47.3,1117100,0.54
2000-02-22,48.0,48.0,45.0,45.4,510100,0.52
2000-02-23,45.25,45.5,43.0,43.9,322800,0.5
2000-02-24,44.0,44.35,41.0,42.0,1098200,0.48
2000-02-25,41.75,42.8,41.0,41.25,606900,0.47
2000-02-28,43.0,44.5,42.05,44.5,422300,0.51
2000-02-29,47.6,48.05,44.5,44.5,1686900,0.51
2000-03-01,45.35,48.05,44.5,48.05,408900,0.55
2000-03-02,51.8,51.85,49.2,49.25,1018700,0.56
2000-03-03,50.25,51.5,45.35,45.4,484800,0.52
2000-03-06,47.0,48.0,44.0,44.1,363800,0.5
2000-03-07,42.5,44.65,41.0,42.2,375600,0.48
2000-03-08,42.0,43.5,39.5,40.25,360400,0.46
2000-03-09,39.05,41.4,39.05,39.8,203500,0.45
2000-03-10,40.75,42.4,39.4,42.4,1641800,0.48
2000-03-13,42.4,42.4,42.4,42.4,0,0.48
2000-03-14,40.05,41.5,39.7,41.25,312500,0.47
2000-03-15,41.9,43.9,41.35,43.85,311400,0.5
2000-03-16,43.9,47.3,43.9,47.3,732900,0.54
2000-03-17,47.3,47.3,47.3,47.3,0,0.54
2000-03-20,47.3,47.3,47.3,47.3,0,0.54
2000-03-21,48.6,50.9,46.1,47.35,449200,0.54
2000-03-22,48.0,49.5,46.6,48.85,674200,0.56
2000-03-23,49.8,49.9,46.0,46.5,201700,0.53
2000-03-24,45.1,45.95,43.2,44.05,271200,0.5
2000-03-27,46.7,46.7,44.4,44.4,174200,0.51
2000-03-28,43.3,44.8,43.3,44.5,161000,0.51
2000-03-29,44.15,45.25,44.1,44.1,122000,0.5
2000-03-30,44.15,45.0,43.5,45.0,88800,0.51
2000-03-31,44.5,45.9,43.8,45.35,236300,0.52
2000-04-03,48.85,48.95,47.1,47.55,325800,0.54
2000-04-04,46.0,46.35,43.75,43.75,319400,0.5
2000-04-05,44.5,44.95,43.0,44.25,132100,0.5
2000-04-06,44.95,45.0,40.75,42.0,1331300,0.48
2000-04-07,40.3,43.75,40.0,41.65,2636800,0.47
2000-04-10,42.85,42.9,41.3,41.5,1934500,0.47
2000-04-11,41.5,41.5,41.5,41.5,0,0.47
2000-04-12,41.8,41.9,40.5,40.75,624100,0.46
2000-04-13,40.1,40.5,39.0,39.7,984900,0.45
2000-04-14,39.7,39.7,39.7,39.7,0,0.45
2000-04-17,38.0,40.1,38.0,39.75,415800,0.45
2000-04-18,41.0,41.25,39.85,40.0,298700,0.46
2000-04-19,40.5,40.95,40.05,40.5,376100,0.46
2000-04-20,40.05,40.25,39.0,39.4,672700,0.45
2000-04-21,39.4,39.4,39.4,39.4,0,0.45
2000-04-24,39.4,39.4,39.4,39.4,0,0.45
2000-04-25,39.75,40.0,39.15,39.5,311300,0.45
2000-04-26,39.5,39.5,39.5,39.5,0,0.45
2000-04-27,41.85,41.85,40.55,41.0,592500,0.47
2000-04-28,41.25,41.95,40.3,41.0,664300,0.47
2000-05-01,41.0,41.0,41.0,41.0,0,0.47
2000-05-02,40.95,41.0,38.7,39.65,348700,0.45
2000-05-03,39.65,39.65,39.65,39.65,0,0.45
2000-05-04,39.25,40.0,39.25,39.9,135900,0.45
2000-05-05,39.9,39.9,39.9,39.9,0,0.45
2000-05-08,39.5,39.75,38.0,38.3,306700,0.64
