Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,126.0,131.9,125.0,130.25,81700,87.83
2000-01-04,130.05,131.5,126.05,128.9,42100,86.92
2000-01-05,124.6,128.35,124.1,125.25,26300,84.46
2000-01-06,126.0,133.5,124.75,128.9,62100,86.92
2000-01-07,128.75,132.0,125.25,127.0,66700,85.64
2000-01-10,128.0,136.9,128.0,134.0,54000,90.36
2000-01-11,136.0,142.9,132.0,134.0,49100,90.36
2000-01-12,135.7,137.0,133.25,134.5,25000,90.7
2000-01-13,135.85,135.85,131.0,132.2,34800,89.15
2000-01-14,130.5,131.25,128.3,129.0,39300,86.99
2000-01-17,132.0,133.9,129.55,131.3,18600,88.54
2000-01-18,130.5,131.9,128.75,129.5,12200,87.33
2000-01-19,130.0,131.9,128.1,129.0,20500,86.99
2000-01-20,131.0,131.0,126.1,127.15,23400,85.74
2000-01-21,126.75,127.0,121.0,122.15,56500,82.37
2000-01-24,124.5,127.0,119.3,120.0,41000,80.92
2000-01-25,118.3,121.65,118.0,120.05,24000,80.96
2000-01-26,120.05,120.05,120.05,120.05,0,80.96
2000-01-27,122.0,122.9,116.0,117.0,22400,78.9
2000-01-28,116.0,117.0,111.0,112.0,53800,75.53
2000-01-31,113.7,119.0,108.1,118.0,59500,79.57
2000-02-01,120.0,127.4,120.0,127.4,105300,85.91
2000-02-02,128.0,135.9,128.0,132.8,121100,89.55
2000-02-03,132.8,132.8,132.8,132.8,0,89.55
2000-02-04,127.0,127.0,118.1,119.0,61100,80.25
2000-02-07,120.75,122.95,119.0,120.0,33000,80.92
2000-02-08,121.4,121.5,116.0,117.0,54200,78.9
2000-02-09,117.5,119.85,115.0,116.8,17800,78.76
2000-02-10,115.2,118.0,115.0,118.0,13500,79.57
2000-02-11,116.1,118.0,113.3,115.0,32800,77.55
2000-02-14,115.4,117.9,113.0,115.0,17500,77.55
2000-02-15,115.1,115.1,111.6,112.45,47600,75.83
2000-02-16,115.7,115.7,110.0,110.55,33000,74.55
2000-02-17,109.9,113.0,109.0,111.45,22800,75.16
2000-02-18,112.5,112.5,108.0,109.0,27000,73.5
2000-02-21,112.0,112.0,108.0,109.0,37100,73.5
2000-02-22,110.0,111.0,105.05,107.75,13800,72.66
2000-02-23,107.0,107.0,102.0,104.0,26600,70.13
2000-02-24,104.9,104.9,99.0,100.05,21600,67.47
2000-02-25,99.0,99.9,96.6,97.5,37100,65.75
2000-02-28,98.25,101.9,98.0,98.0,23700,66.09
2000-02-29,99.75,102.0,95.0,97.0,26500,65.41
2000-03-01,98.0,104.75,98.0,104.75,33600,70.64
2000-03-02,108.0,113.1,98.0,99.0,55500,66.76
2000-03-03,99.8,99.8,91.1,92.0,80500,62.04
2000-03-06,96.9,96.9,90.0,93.0,18100,62.71
2000-03-07,91.5,93.5,89.0,89.0,15700,60.02
2000-03-08,95.0,96.1,85.0,90.5,24900,61.03
2000-03-09,92.0,92.9,88.5,90.05,23700,60.73
2000-03-10,91.0,91.0,84.5,86.9,47800,58.6
2000-03-13,86.9,86.9,86.9,86.9,0,58.6
2000-03-14,89.0,96.1,89.0,96.0,30900,64.74
2000-03-15,98.9,103.65,96.5,100.1,45000,67.5
2000-03-16,99.1,101.6,95.0,98.0,45800,66.09
2000-03-17,98.0,98.0,98.0,98.0,0,66.09
2000-03-20,98.0,98.0,98.0,98.0,0,66.09
2000-03-21,99.25,105.8,97.0,105.8,32600,71.35
2000-03-22,107.8,114.0,107.8,112.05,53200,75.56
2000-03-23,109.8,113.75,104.0,105.85,22200,71.38
2000-03-24,104.25,104.25,98.0,103.0,48900,69.46
2000-03-27,108.0,110.9,105.8,105.8,14800,71.35
2000-03-28,105.0,107.0,101.55,107.0,18300,72.16
2000-03-29,109.0,109.9,106.0,107.6,11300,72.56
2000-03-30,107.0,108.0,104.25,108.0,11700,72.83
2000-03-31,104.1,109.9,104.1,108.0,26100,72.83
2000-04-03,110.1,116.6,110.0,116.6,39700,78.63
2000-04-04,119.4,125.9,110.15,125.9,121300,84.9
2000-04-05,127.0,127.0,116.1,118.0,56300,79.57
2000-04-06,121.0,121.0,110.0,115.05,29300,80.31
2000-04-07,117.25,118.35,114.1,116.0,72100,80.97
2000-04-10,115.0,116.9,112.15,112.8,40700,78.74
2000-04-11,112.8,112.8,112.8,112.8,0,78.74
2000-04-12,108.0,109.45,106.0,106.5,13400,74.34
2000-04-13,102.1,105.5,98.0,104.0,19200,72.59
2000-04-14,104.0,104.0,104.0,104.0,0,72.59
2000-04-17,97.0,106.0,97.0,104.75,8500,73.12
2000-04-18,105.0,108.0,104.0,104.05,8300,72.63
2000-04-19,104.0,104.3,100.0,100.15,8800,69.91
2000-04-20,98.25,100.95,96.05,99.0,15200,69.1
2000-04-21,99.0,99.0,99.0,99.0,0,69.1
2000-04-24,99.0,99.0,99.0,99.0,0,69.1
2000-04-25,91.5,94.8,88.0,90.0,20100,62.82
2000-04-26,90.0,90.0,90.0,90.0,0,62.82
2000-04-27,93.0,94.0,90.5,90.5,7100,63.17
2000-04-28,92.0,92.0,87.95,89.05,38100,62.16
2000-05-01,89.05,89.05,89.05,89.05,0,62.16
2000-05-02,89.2,89.2,86.3,87.05,10400,60.76
2000-05-03,87.05,87.05,87.05,87.05,0,60.76
2000-05-04,88.25,90.4,87.0,87.5,11300,61.08
2000-05-05,87.5,87.5,87.5,87.5,0,61.08
2000-05-08,90.0,93.5,90.0,91.0,5100,63.52
2000-05-09,91.0,91.0,91.0,91.0,0,63.52
2000-05-10,91.0,91.0,89.0,90.4,7000,63.1
2000-05-11,87.05,88.0,83.5,83.5,26100,58.28
2000-05-12,83.3,83.5,78.0,78.0,39300,54.45
2000-05-15,78.0,82.9,75.0,82.85,84100,57.83
2000-05-16,83.5,83.7,80.0,81.95,6400,57.2
2000-05-17,81.1,83.25,81.1,81.75,5900,57.06
2000-05-18,82.0,82.0,79.05,80.7,9000,56.33
2000-05-19,80.5,81.5,79.4,79.55,15100,55.53
2000-05-22,80.0,82.0,80.0,81.5,15000,56.89
2000-05-23,81.95,81.95,80.0,81.8,7400,57.1
2000-05-24,80.5,85.05,80.5,84.95,8400,59.3
2000-05-25,85.95,86.4,85.0,85.4,8500,59.61
2000-05-26,85.95,90.5,83.5,88.5,20000,61.77
2000-05-29,90.0,95.45,90.0,93.5,18000,65.26
2000-05-30,94.9,99.8,94.9,98.5,25100,68.75
2000-05-31,100.0,102.0,95.1,96.0,21000,67.01
2000-06-01,95.0,95.0,92.0,92.5,7800,64.57
2000-06-02,93.0,93.7,90.0,91.95,13700,64.18
2000-06-05,96.0,96.0,91.0,92.1,11400,64.29
2000-06-06,92.5,92.5,90.25,91.05,5200,63.55
2000-06-07,91.0,93.0,90.1,91.5,10500,63.87
2000-06-08,92.95,93.0,91.25,92.25,8200,64.39
2000-06-09,92.95,93.9,91.2,92.15,20300,64.32
2000-06-12,96.0,97.0,93.1,96.5,23300,67.36
2000-06-13,96.45,97.0,94.0,95.85,13600,66.9
2000-06-14,96.25,96.9,94.45,94.95,4600,66.28
2000-06-15,94.1,95.5,92.6,93.25,5300,65.09
2000-06-16,92.55,94.0,92.4,93.0,15100,64.92
2000-06-19,93.0,93.0,93.0,93.0,0,64.92
2000-06-20,94.0,97.0,93.55,96.45,34800,67.32
2000-06-21,97.45,98.5,95.25,95.85,30300,66.9
2000-06-22,96.0,96.0,94.75,95.4,8900,66.59
2000-06-23,94.8,95.0,92.0,92.1,21700,64.29
2000-06-26,91.1,93.95,91.1,93.35,14000,65.16
2000-06-27,93.95,94.4,93.0,93.65,5800,65.37
2000-06-28,93.0,93.7,92.15,92.2,1800,64.36
2000-06-29,92.15,94.5,92.05,93.85,10400,65.51
2000-06-30,92.75,94.0,92.5,92.55,13600,64.6
2000-07-03,95.0,95.0,93.0,93.8,7900,65.47
2000-07-04,93.25,97.0,93.25,96.4,26300,67.29
2000-07-05,95.3,97.0,94.75,95.5,31800,66.66
2000-07-06,95.75,96.9,94.5,96.65,19800,67.46
2000-07-07,96.65,96.65,96.65,96.65,0,67.46
2000-07-10,96.65,96.65,96.65,96.65,0,67.46
2000-07-11,105.2,105.9,102.05,104.35,24200,72.84
2000-07-12,105.0,105.0,102.0,103.6,15400,72.31
2000-07-13,102.05,103.9,100.0,100.45,17400,70.12
2000-07-14,100.15,101.4,98.5,100.85,22600,70.39
2000-07-17,103.5,103.65,100.0,101.5,6100,70.85
2000-07-18,100.0,101.45,98.05,98.55,6200,68.79
2000-07-19,100.0,100.0,96.6,96.8,12500,67.57
2000-07-20,97.45,98.45,96.55,97.85,11700,68.3
2000-07-21,96.3,98.05,95.0,95.65,24100,66.77
2000-07-24,95.65,95.65,95.65,95.65,0,66.77
2000-07-25,91.0,95.0,87.25,93.15,6100,65.02
2000-07-26,93.25,94.0,91.5,91.55,9900,63.9
2000-07-27,91.55,91.55,91.55,91.55,0,63.9
2000-07-28,91.0,93.5,90.0,92.45,11900,64.53
2000-07-31,94.7,98.0,93.0,94.85,17600,66.21
2000-08-01,96.5,97.0,95.0,95.7,9200,66.8
2000-08-02,95.95,97.0,94.7,96.15,9800,67.11
2000-08-03,97.0,100.8,96.75,96.8,16100,67.57
2000-08-04,97.0,97.0,94.5,95.75,18700,66.84
2000-08-07,95.1,95.8,94.5,95.5,7900,66.66
2000-08-08,96.15,96.15,94.0,94.25,7200,65.79
2000-08-09,95.9,97.2,93.0,94.3,8700,65.82
2000-08-10,94.2,96.0,93.05,95.35,6900,66.56
2000-08-11,94.05,94.9,92.5,92.85,12800,64.81
2000-08-14,93.8,94.4,92.9,93.8,6700,65.47
2000-08-15,93.8,93.8,93.8,93.8,0,65.47
2000-08-16,94.75,95.0,94.0,95.0,6900,66.31
2000-08-17,95.7,95.9,93.0,95.5,5800,66.66
2000-08-18,95.0,95.25,94.5,94.75,4700,66.14
2000-08-21,94.3,96.75,94.25,96.1,4500,67.08
2000-08-22,96.0,97.7,94.0,94.05,18000,65.65
2000-08-23,93.05,94.9,93.05,94.25,4700,65.79
