Date,Open,High,Low,Close,Volume,Adj Close
2004-04-08,485.0,581.2,485.0,581.2,7468900,244.348
2004-04-12,599.0,697.4,592.0,694.75,3911100,292.087
2004-04-13,722.3,739.4,605.0,622.4,18609500,261.67
2004-04-15,640.0,676.5,628.0,651.25,4248900,273.799
2004-04-16,657.4,667.0,641.25,646.0,2178400,271.591
2004-04-19,635.0,664.0,608.0,612.9,3968200,257.676
2004-04-20,612.0,623.75,595.15,600.75,4184800,252.567
2004-04-21,597.95,622.0,590.0,607.15,4795800,255.258
2004-04-22,610.0,650.0,608.0,640.95,4013500,269.468
2004-04-23,644.55,667.1,635.6,640.95,3610500,269.468
2004-04-27,630.0,637.8,596.0,600.9,2352500,252.631
2004-04-28,601.0,625.0,595.25,612.7,3195200,257.591
2004-04-29,608.8,619.9,603.0,608.55,1302800,255.847
2004-04-30,607.45,617.6,594.0,600.0,997600,252.252
2004-05-03,601.0,603.5,576.6,586.5,1371200,246.576
2004-05-04,590.0,609.85,590.0,592.9,1470200,249.267
2004-05-05,597.0,603.0,590.0,594.7,857400,250.024
2004-05-06,602.4,614.95,597.05,599.95,1334400,252.231
2004-05-07,604.8,605.0,584.25,586.7,678400,246.661
2004-05-10,579.4,584.7,558.3,562.2,849800,236.36
2004-05-11,562.5,564.0,517.1,525.15,1066100,220.784
2004-05-12,527.8,535.0,500.0,512.0,1901700,215.255
2004-05-13,499.0,552.7,470.1,542.5,3103500,228.078
2004-05-14,559.0,584.7,511.1,521.35,2875700,219.186
2004-05-17,526.0,526.0,417.1,497.4,1352600,209.117
2004-05-18,510.0,540.6,496.0,535.4,1286100,225.093
2004-05-19,540.0,565.0,540.0,551.05,924200,231.673
2004-05-20,558.0,565.0,515.0,519.5,1670900,218.408
2004-05-21,523.0,525.0,504.0,519.85,1282400,218.555
2004-05-24,526.0,546.8,523.0,539.85,883400,226.964
2004-05-25,548.4,548.4,525.05,527.85,591200,221.919
2004-05-26,535.0,541.9,530.0,532.1,470800,223.706
2004-05-27,536.9,536.9,523.2,526.95,324500,221.54
2004-05-28,525.0,528.9,508.0,510.2,505400,214.498
2004-05-31,504.9,504.9,478.05,485.25,549400,204.009
2004-06-01,493.85,502.9,484.05,485.9,385700,204.282
2004-06-02,494.35,498.0,488.0,493.3,288200,207.393
2004-06-03,501.0,510.85,485.15,487.7,779600,205.039
2004-06-04,490.0,493.75,470.35,482.7,610300,202.937
2004-06-07,491.0,493.4,477.5,481.1,540200,202.264
2004-06-08,487.0,503.85,483.6,492.85,1010000,207.204
2004-06-09,499.4,527.5,495.0,523.7,2574400,220.174
2004-06-10,521.9,540.5,520.0,532.35,1472600,223.811
2004-06-11,533.5,535.0,516.0,519.5,771800,218.408
2004-06-14,522.0,522.0,495.55,497.65,681900,209.222
2004-06-15,498.8,514.0,493.25,510.35,929500,214.561
2004-06-16,513.8,521.0,507.6,509.3,861600,214.12
2004-06-17,509.9,512.0,492.55,496.05,1054100,208.549
2004-06-18,497.0,498.8,485.3,488.75,713000,205.48
2004-06-21,499.7,499.7,480.5,482.85,577000,203.0
2004-06-22,481.0,484.0,470.0,471.8,574600,198.354
2004-06-23,474.05,484.0,471.05,473.7,635700,199.153
2004-06-24,475.4,479.9,466.25,475.85,516100,200.057
2004-06-25,477.0,493.5,473.05,488.35,803000,205.312
2004-06-28,490.0,509.0,490.0,505.75,798700,212.628
2004-06-29,507.9,516.0,502.65,507.05,870500,213.174
2004-06-30,511.0,513.0,499.0,501.0,462800,210.631
2004-07-01,503.8,506.5,496.0,502.75,508900,212.213
2004-07-02,498.3,510.9,495.3,504.4,595000,212.91
2004-07-05,505.5,518.0,505.1,510.0,588000,215.274
2004-07-06,511.0,518.45,510.0,516.0,362700,217.806
2004-07-07,517.7,530.0,517.0,526.3,1272300,222.154
2004-07-08,531.8,574.0,515.0,530.1,4104500,223.758
2004-07-09,509.3,555.2,500.05,549.9,1092700,232.116
2004-07-12,550.0,564.0,548.0,552.7,592300,233.298
2004-07-13,552.0,561.45,543.0,553.2,541100,233.509
2004-07-14,560.0,585.0,556.15,560.6,1949600,236.632
2004-07-15,565.0,565.0,550.5,556.1,927900,234.733
2004-07-16,558.8,560.75,549.15,550.15,874800,232.221
2004-07-19,550.8,553.0,534.35,536.55,724200,226.481
2004-07-20,538.0,549.1,531.5,535.9,1244800,226.206
2004-07-21,534.15,543.4,527.0,533.75,660200,225.299
2004-07-22,538.1,542.0,526.15,528.4,474000,223.04
2004-07-23,534.45,535.5,523.2,524.65,552900,221.458
2004-07-26,527.45,544.9,521.5,537.65,644900,226.945
2004-07-27,547.4,559.8,547.0,548.85,1321200,231.672
2004-07-28,551.2,553.0,534.1,536.45,432100,226.438
2004-07-29,537.0,543.0,532.6,534.55,253800,225.636
2004-07-30,539.0,547.0,536.5,540.45,343700,228.127
2004-08-02,544.0,547.9,536.0,536.85,204700,226.607
2004-08-03,537.0,541.8,526.3,528.3,440500,222.998
2004-08-04,527.0,534.0,517.05,519.75,553700,219.389
2004-08-05,523.0,528.8,522.05,524.25,322000,221.289
2004-08-06,527.0,534.0,524.5,528.2,526500,222.956
2004-08-09,526.4,531.0,521.1,526.65,280900,222.302
2004-08-10,528.7,541.5,527.6,535.65,612600,226.101
2004-08-11,538.0,547.0,530.55,533.15,815100,225.045
2004-08-12,532.8,539.0,525.0,528.45,379000,223.062
2004-08-13,527.9,533.4,526.2,527.95,293900,222.85
2004-08-16,529.8,538.0,526.1,531.25,416500,224.243
2004-08-17,533.8,536.5,521.0,523.5,531100,220.972
2004-08-18,525.45,527.7,511.0,514.05,435000,216.983
2004-08-19,518.0,526.0,517.0,521.15,376400,219.98
2004-08-20,522.0,523.0,515.5,517.3,216100,218.355
2004-08-23,518.9,522.4,510.15,512.0,209500,216.118
2004-08-24,514.0,517.5,512.55,513.4,162400,216.709
2004-08-25,515.0,516.8,501.1,503.65,240600,212.593
2004-08-26,505.0,518.35,505.0,514.8,223100,217.3
2004-08-27,517.7,524.7,517.7,519.75,329600,219.389
2004-08-30,521.9,522.0,514.6,518.75,140900,218.967
2004-08-31,520.0,547.7,520.0,542.95,1116800,229.182
2004-09-01,545.5,548.0,529.1,531.4,526800,224.307
2004-09-02,533.8,537.0,526.75,528.15,367200,222.935
2004-09-03,530.0,534.0,526.0,528.5,266600,223.083
2004-09-06,530.45,537.4,530.45,532.75,221700,224.877
2004-09-07,534.9,537.0,525.0,526.3,292100,222.154
2004-09-08,529.0,531.5,524.3,525.3,258400,221.732
2004-09-09,528.0,530.0,516.0,516.9,298800,218.186
2004-09-10,518.9,525.0,517.0,520.4,263000,219.664
2004-09-13,523.7,532.95,521.1,524.6,263800,221.436
2004-09-14,525.0,527.5,519.5,520.35,220000,219.642
2004-09-15,522.0,524.75,515.1,518.4,132700,218.819
2004-09-16,519.9,526.0,508.0,517.1,1107500,218.271
2004-09-17,518.1,525.95,517.95,523.3,429900,220.888
2004-09-20,525.0,530.4,514.65,516.0,316300,217.806
2004-09-21,525.0,542.45,517.4,537.8,941900,227.008
