Date,Open,High,Low,Close,Volume,Adj Close
2000-04-20,225.0,240.0,221.05,237.6,4600,99.686
2000-04-21,237.6,237.6,237.6,237.6,0,99.686
2000-04-24,237.6,237.6,237.6,237.6,0,99.686
2000-04-25,218.6,230.0,213.45,226.55,8000,95.05
2000-04-26,226.55,226.55,226.55,226.55,0,95.05
2000-04-27,222.55,231.0,222.5,227.55,2000,95.47
2000-04-28,231.0,231.0,223.55,226.0,1800,94.819
2000-05-01,226.0,226.0,226.0,226.0,0,94.819
2000-05-02,222.25,226.0,215.0,225.6,2200,94.652
2000-05-03,225.6,225.6,225.6,225.6,0,94.652
2000-05-04,211.3,229.95,211.3,229.95,2000,96.477
2000-05-05,229.95,229.95,229.95,229.95,0,96.477
2000-05-08,230.0,235.0,218.5,220.1,6800,92.344
2000-05-09,220.1,220.1,220.1,220.1,0,92.344
2000-05-10,223.0,237.4,223.0,232.2,5200,97.421
2000-05-11,222.0,222.0,215.0,216.0,3000,90.624
2000-05-12,223.0,224.0,214.0,220.15,3400,92.365
2000-05-15,210.0,214.0,209.9,214.0,1600,89.785
2000-05-16,225.0,225.0,206.5,213.0,2800,89.365
2000-05-17,215.0,219.5,211.0,211.0,1800,88.526
2000-05-18,210.0,224.9,209.1,209.1,2800,87.729
2000-05-19,210.0,215.0,196.9,209.5,5000,87.897
2000-05-22,205.0,208.0,195.0,207.65,6200,87.121
2000-05-23,205.15,207.0,200.0,200.0,1800,83.911
2000-05-24,204.9,205.0,204.9,205.0,400,86.009
2000-05-25,208.0,208.0,200.0,200.0,2000,83.911
2000-05-26,191.25,194.0,188.65,193.0,2200,80.974
2000-05-29,178.0,180.0,177.6,178.0,1400,74.681
2000-05-30,170.0,192.2,170.0,187.6,3400,78.708
2000-05-31,196.0,202.55,196.0,200.0,2200,83.911
2000-06-01,204.0,204.0,193.0,193.0,400,80.974
2000-06-02,198.0,199.0,195.0,195.0,1400,81.813
2000-06-05,210.55,210.55,191.0,196.0,10800,82.233
2000-06-06,200.0,200.0,196.0,198.5,1000,83.282
2000-06-07,199.0,202.0,193.0,199.4,13200,83.659
2000-06-08,202.9,205.9,200.0,200.35,6600,84.058
2000-06-09,200.0,200.0,195.5,196.2,2000,82.317
2000-06-12,198.75,199.5,198.0,199.5,800,83.701
2000-06-13,199.5,199.5,199.5,199.5,0,83.701
2000-06-14,195.0,204.0,195.0,204.0,2800,85.589
2000-06-15,204.5,208.0,200.0,200.0,4200,83.911
2000-06-16,203.75,213.0,203.75,207.55,8600,87.079
2000-06-19,207.55,207.55,207.55,207.55,0,87.079
2000-06-20,210.0,210.0,208.0,208.0,1200,87.267
2000-06-21,205.0,209.0,205.0,205.0,1600,86.009
2000-06-22,200.0,206.0,197.0,202.5,2800,84.96
2000-06-23,191.5,191.5,186.35,186.4,4200,78.205
2000-06-26,177.05,181.0,177.05,181.0,600,75.939
2000-06-27,181.0,181.5,179.0,179.0,1000,75.1
2000-06-28,179.95,180.0,179.95,180.0,1000,75.52
2000-06-29,181.0,184.0,181.0,182.0,600,76.359
2000-06-30,185.0,190.0,185.0,188.35,800,79.023
2000-07-03,191.0,192.85,191.0,192.85,600,80.911
2000-07-04,180.0,180.0,177.45,177.45,800,74.45
2000-07-05,190.0,190.0,190.0,190.0,400,79.715
2000-07-06,186.0,186.0,178.0,179.55,1200,75.331
2000-07-07,179.55,179.55,179.55,179.55,0,75.331
2000-07-10,179.55,179.55,179.55,179.55,0,75.331
2000-07-11,171.0,171.0,152.25,153.25,2600,64.297
2000-07-12,160.0,165.5,160.0,165.5,2200,69.436
2000-07-13,165.1,177.0,165.1,174.0,1600,73.003
2000-07-14,174.0,174.0,166.5,171.0,3400,71.744
2000-07-17,180.0,184.65,180.0,184.65,1800,77.471
2000-07-18,187.95,199.0,187.95,198.2,10200,83.156
2000-07-19,192.0,209.25,192.0,193.05,5800,80.995
2000-07-20,198.0,198.0,191.1,192.0,3600,80.555
2000-07-21,192.0,192.0,187.05,188.3,6600,79.002
2000-07-24,188.3,188.3,188.3,188.3,0,79.002
2000-07-25,181.8,185.0,180.0,182.15,1800,76.422
2000-07-26,182.0,196.1,182.0,195.55,2200,82.044
2000-07-27,195.55,195.55,195.55,195.55,0,82.044
2000-07-28,191.0,200.85,191.0,200.85,4200,84.268
2000-07-31,216.9,216.9,216.9,216.9,13700,91.001
2000-08-01,221.95,227.45,216.9,223.75,23900,93.875
2000-08-02,216.9,223.4,208.0,213.25,23700,89.47
2000-08-03,207.0,207.0,196.2,196.45,15500,82.422
2000-08-04,188.3,195.0,185.0,191.25,9100,80.24
2000-08-07,185.2,185.2,177.2,181.0,5700,75.939
2000-08-08,179.1,185.0,179.1,184.75,2800,77.513
2000-08-09,185.9,192.9,182.0,187.0,15100,78.884
2000-08-10,187.0,188.0,186.0,187.95,1500,79.284
2000-08-11,187.0,190.0,184.0,189.6,8100,79.98
2000-08-14,185.05,189.95,185.0,189.0,5500,79.727
2000-08-15,189.0,189.0,189.0,189.0,0,79.727
2000-08-16,194.8,203.9,188.25,202.35,8100,85.359
2000-08-17,200.0,208.25,196.3,197.55,7500,83.334
2000-08-18,197.0,202.0,195.0,200.45,2700,84.557
2000-08-21,207.0,208.0,203.0,204.7,3200,86.35
2000-08-22,207.0,221.05,207.0,221.05,17700,93.247
2000-08-23,224.0,238.7,220.25,230.5,24200,97.234
2000-08-24,220.0,244.9,220.0,244.9,6500,103.308
2000-08-25,249.0,264.0,249.0,253.1,21200,106.767
2000-08-28,255.0,267.0,250.0,250.2,8300,105.544
2000-08-29,244.0,264.0,243.65,262.75,11200,110.838
2000-08-30,260.0,260.0,249.5,252.0,4300,106.303
2000-08-31,244.45,272.0,239.0,258.1,6500,108.876
2000-09-01,258.1,258.1,258.1,258.1,0,108.876
2000-09-04,260.0,278.7,257.0,276.15,7300,116.491
2000-09-05,295.0,298.1,282.0,296.6,6000,125.117
2000-09-06,285.1,305.0,285.1,304.9,3500,128.618
2000-09-07,303.5,303.5,290.1,291.3,4100,122.881
2000-09-08,285.0,309.95,285.0,305.2,3800,128.745
2000-09-11,310.0,313.0,290.0,297.95,3100,125.687
2000-09-12,287.2,294.0,285.0,290.0,700,122.333
2000-09-13,298.0,301.0,285.0,285.0,300,120.224
2000-09-14,284.0,290.0,283.0,288.0,1200,121.489
2000-09-15,286.0,288.0,277.0,278.35,3100,117.419
2000-09-18,278.35,278.35,278.35,278.35,0,117.419
2000-09-19,278.35,278.35,278.35,278.35,0,117.419
2000-09-20,278.35,278.35,278.35,278.35,0,117.419
2000-09-21,271.0,275.0,270.0,273.35,400,115.309
2000-09-22,255.0,280.0,252.0,276.8,2200,116.765
2000-09-25,280.0,285.0,275.0,284.0,2100,119.802
2000-09-26,284.0,284.0,284.0,284.0,0,119.802
2000-09-27,284.0,284.0,284.0,284.0,0,119.802
2000-09-28,257.4,257.4,257.0,257.0,200,108.412
2000-09-29,257.0,257.0,257.0,257.0,0,108.412
2000-10-02,257.0,257.0,257.0,257.0,0,108.412
2000-10-03,256.1,256.1,256.1,256.1,400,108.033
2000-10-04,275.0,276.55,268.0,275.5,2200,116.216
2000-10-05,275.5,275.5,275.5,275.5,0,116.216
2000-10-06,264.25,270.0,262.0,264.4,900,111.534
