Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,312.5,320.8,310.51,315.0,500,28.1
2002-07-02,321.0,325.0,319.0,320.42,200,28.59
2002-07-03,317.5,317.5,310.0,311.5,0,27.79
2002-07-04,317.5,317.5,310.0,310.0,0,27.66
2002-07-05,310.5,314.0,310.0,314.0,0,28.01
2002-07-08,324.0,325.0,320.0,323.6,1200,28.87
2002-07-09,329.0,330.6,312.52,312.52,800,27.88
2002-07-10,315.0,315.0,310.0,310.0,0,27.66
2002-07-11,313.28,313.28,312.1,313.28,300,27.95
2002-07-12,313.2,317.0,313.2,315.0,100,28.1
2002-07-15,310.0,316.5,310.0,316.5,900,28.24
2002-07-16,311.0,327.5,311.0,314.29,200,28.04
2002-07-17,315.0,315.0,312.0,312.0,500,27.83
2002-07-19,310.0,310.0,301.01,305.02,0,27.21
2002-07-22,305.5,309.9,302.0,302.0,500,26.94
2002-07-23,309.9,310.8,309.8,310.6,0,27.71
2002-07-24,306.03,306.03,305.0,305.0,0,27.21
2002-07-25,291.1,305.0,291.1,305.0,0,27.21
2002-07-26,300.91,305.0,300.5,300.8,0,26.84
2002-07-29,305.0,305.0,300.1,300.6,500,26.82
2002-07-30,307.0,313.0,303.0,303.77,200,27.1
2002-07-31,305.0,305.0,296.0,304.5,1200,27.17
2002-08-01,304.5,304.5,298.0,302.1,0,26.95
2002-08-02,302.0,302.5,300.0,300.0,0,26.76
2002-08-05,306.0,306.0,295.5,300.0,100,26.76
2002-08-07,299.5,302.5,299.0,299.2,0,26.69
2002-08-08,298.5,302.1,298.5,302.1,0,26.95
2002-08-09,299.5,299.5,299.5,299.5,0,26.72
2002-08-12,290.51,302.5,290.51,300.0,0,26.76
2002-08-13,301.0,301.0,298.0,298.5,0,26.63
2002-08-14,296.6,302.4,296.6,302.4,200,26.98
2002-08-19,304.0,304.0,304.0,304.0,0,27.12
2002-08-20,304.0,306.5,303.0,303.67,0,27.09
2002-08-21,309.0,309.5,300.0,301.69,100,26.91
2002-08-22,301.0,303.5,300.2,300.2,0,26.78
2002-08-23,301.1,301.1,301.0,301.0,0,26.85
2002-08-26,300.5,304.8,299.8,300.0,0,26.76
2002-08-27,297.0,297.0,296.1,296.1,0,26.42
2002-08-28,298.0,301.0,297.5,301.0,0,26.85
2002-08-29,297.5,297.5,297.5,297.5,0,26.54
2002-08-30,296.5,296.5,296.5,296.5,0,26.45
2002-09-02,300.0,301.0,300.0,301.0,0,26.85
2002-09-03,300.0,300.0,300.0,300.0,100,26.76
2002-09-04,301.1,301.1,301.0,301.0,0,26.85
2002-09-05,302.0,303.8,301.0,303.8,0,27.1
2002-09-09,304.4,304.4,303.0,303.0,0,27.03
2002-09-11,302.5,305.0,302.5,305.0,0,27.21
2002-09-12,301.0,303.0,301.0,302.97,0,27.03
2002-09-13,300.6,300.6,300.5,300.5,0,26.81
2002-09-16,301.1,301.5,301.1,301.5,0,26.9
2002-09-17,300.1,300.1,300.1,300.1,0,26.77
2002-09-18,298.5,298.5,298.5,298.5,0,26.63
2002-09-19,297.5,299.9,295.0,296.94,300,26.49
2002-09-23,291.1,291.1,291.1,291.1,0,25.97
2002-09-24,290.7,290.7,290.0,290.0,0,25.87
2002-09-25,295.0,297.9,295.0,297.89,0,26.58
2002-09-27,290.0,290.0,290.0,290.0,0,25.87
2002-09-30,287.5,287.5,287.5,287.5,100,25.65
2002-10-01,287.5,287.5,287.5,287.5,0,25.65
2002-10-03,290.0,290.0,290.0,290.0,0,25.87
2002-10-04,285.0,285.0,285.0,285.0,0,25.43
2002-10-07,280.11,284.5,275.0,284.5,0,25.38
2002-10-08,289.5,289.5,281.5,282.0,300,25.16
2002-10-09,291.0,291.0,282.0,286.5,100,25.56
2002-10-10,282.0,296.0,282.0,282.0,200,25.16
2002-10-11,285.0,285.0,283.0,283.0,0,25.25
2002-10-14,290.0,290.0,284.6,284.6,0,25.39
2002-10-16,296.0,296.0,296.0,296.0,0,26.41
2002-10-17,300.0,300.0,300.0,300.0,0,26.76
2002-10-18,300.0,305.1,300.0,300.19,0,26.78
2002-10-21,292.51,301.7,292.51,300.29,0,26.79
2002-10-22,302.0,307.8,302.0,306.45,400,27.34
2002-10-23,303.0,310.0,303.0,307.23,600,27.41
2002-10-24,306.0,306.0,305.0,305.47,0,27.25
2002-10-25,305.1,309.0,305.01,305.57,0,27.26
2002-10-28,305.5,305.5,305.5,305.5,0,27.25
2002-10-29,314.98,314.99,307.01,307.59,0,27.44
2002-10-30,306.1,306.1,306.1,306.1,0,27.31
2002-10-31,306.1,306.6,306.1,306.2,0,27.32
2002-11-01,305.1,305.1,305.0,305.0,0,27.21
2002-11-07,309.9,310.69,309.9,310.69,100,27.72
2002-11-08,307.5,307.5,307.5,307.5,0,27.43
2002-11-11,305.0,312.79,305.0,306.5,0,27.34
2002-11-12,310.0,312.9,310.0,312.0,500,27.83
2002-11-13,312.9,312.9,310.0,310.0,0,27.66
2002-11-14,309.0,316.0,309.0,315.31,1500,28.13
2002-11-15,315.0,319.0,315.0,316.01,900,28.19
2002-11-18,316.0,330.0,316.0,320.77,500,28.62
2002-11-20,322.0,326.0,322.0,326.0,1400,29.08
2002-11-21,326.0,326.0,323.0,325.85,0,29.07
2002-11-22,326.0,327.5,325.5,325.6,500,29.05
2002-11-25,325.0,326.8,325.0,326.8,0,29.16
2002-11-26,321.0,322.5,320.0,320.74,800,28.61
