Date,Open,High,Low,Close,Volume,Adj Close
2007-01-09,140.0,155.0,128.65,137.5,32620100,113.33
2007-01-10,138.0,141.9,133.5,134.4,7586600,110.77
2007-01-11,135.1,137.0,130.25,133.7,4054400,110.2
2007-01-12,134.9,136.65,132.75,134.9,2496200,111.18
2007-01-15,137.0,145.0,136.5,141.15,3924100,116.34
2007-01-16,142.85,146.5,139.8,142.6,2974000,117.53
2007-01-17,143.0,145.6,142.55,145.0,2972400,119.51
2007-01-18,146.45,151.0,145.5,146.75,2670600,120.95
2007-01-19,148.9,148.9,145.1,146.55,1325500,120.79
2007-01-22,148.0,148.4,145.5,146.2,2938000,120.5
2007-01-23,147.0,148.8,145.5,146.25,1922800,120.54
2007-01-24,147.5,148.5,146.15,148.05,2197900,122.02
2007-01-25,149.0,149.4,147.5,147.95,664800,121.94
2007-01-29,147.95,155.0,146.25,150.05,3549400,123.67
2007-01-31,151.0,151.6,145.0,147.7,3703500,121.73
2007-02-01,148.9,149.7,146.55,147.65,842000,121.69
2007-02-02,148.0,149.25,147.5,148.25,1771100,122.19
2007-02-05,148.25,149.0,144.5,145.95,1523500,120.29
2007-02-06,147.8,147.9,145.0,145.35,1319100,119.8
2007-02-07,146.0,146.5,145.0,145.7,1588400,120.09
2007-02-08,146.0,146.6,142.25,143.1,1038400,117.94
2007-02-09,143.2,145.0,136.05,138.65,2343900,114.28
2007-02-12,138.5,138.5,130.7,133.1,2313400,109.7
2007-02-13,133.15,133.15,121.9,127.3,3976400,104.92
2007-02-14,126.0,135.0,123.0,133.1,2550400,109.7
2007-02-15,133.0,135.4,131.95,133.3,909700,109.87
2007-02-19,133.85,135.2,131.5,132.15,197100,108.92
2007-02-20,133.0,133.0,130.1,132.0,515700,108.79
2007-02-21,131.1,133.5,130.6,131.65,470000,108.51
2007-02-22,131.2,132.75,128.0,128.6,416700,105.99
2007-02-23,129.25,130.0,125.0,125.7,271900,103.6
2007-02-26,128.6,128.6,124.0,124.85,221100,102.9
2007-02-27,126.1,126.2,122.35,122.9,411500,101.29
2007-02-28,120.0,121.9,111.0,118.5,628600,97.67
2007-03-01,119.0,120.75,114.8,115.55,1155700,95.24
2007-03-02,116.5,125.35,116.0,119.05,1050300,98.12
2007-03-05,117.5,117.8,111.2,112.0,497200,92.31
2007-03-06,114.0,116.0,111.25,113.3,372400,93.38
2007-03-07,114.5,116.6,112.8,115.85,430800,95.48
2007-03-08,116.0,117.9,113.6,117.3,202200,96.68
2007-03-09,118.8,123.7,115.9,122.55,459100,101.01
2007-03-12,124.0,126.95,122.75,126.2,555500,104.01
2007-03-13,126.5,128.1,125.0,127.65,432200,105.21
2007-03-14,122.1,125.1,120.1,123.35,192700,101.67
2007-03-15,124.05,127.5,124.0,126.05,214800,103.89
2007-03-16,127.0,127.7,123.1,124.75,242100,102.82
2007-03-19,125.5,128.0,123.5,126.75,293200,104.47
2007-03-20,127.9,130.2,125.1,126.05,292800,103.89
2007-03-21,127.3,127.65,124.75,126.85,260800,104.55
2007-03-22,128.5,128.9,125.65,126.05,392400,103.89
2007-03-23,127.5,127.75,124.1,124.8,1229600,102.86
2007-03-26,125.0,126.95,125.0,125.8,1217700,103.68
2007-03-28,126.5,126.5,120.6,124.45,253100,102.57
2007-03-29,123.0,127.9,123.0,126.85,307500,104.55
2007-03-30,128.1,134.0,127.3,131.05,591900,108.01
2007-04-02,131.7,131.7,128.0,129.0,1871700,106.32
2007-04-03,129.5,131.0,128.05,128.55,328600,105.95
2007-04-04,130.0,130.05,126.65,127.35,89000,104.96
