Date,Open,High,Low,Close,Volume,Adj Close
2004-10-27,5.935,5.935,5.935,5.935,2000,0.333
2004-10-28,71.2,71.2,66.0,66.0,11000,3.702
2004-10-29,62.2,71.8,62.2,68.8,15000,3.859
2004-11-01,65.0,65.9,63.2,63.25,16800,3.547
2004-11-02,65.5,69.8,65.0,66.65,17100,3.738
2004-11-03,68.0,69.0,65.0,65.0,26500,3.646
2004-11-04,68.9,68.9,62.5,62.9,700,3.528
2004-11-05,64.0,66.0,64.0,65.8,25000,3.69
2004-11-08,64.5,64.5,64.5,64.5,20000,3.618
2004-11-09,60.0,64.8,60.0,64.8,23000,3.634
2004-11-10,66.0,67.0,66.0,66.95,16000,3.755
2004-11-11,61.1,61.1,56.25,59.0,5200,3.309
2004-11-16,67.0,67.0,59.7,62.5,36200,3.505
2004-11-17,65.85,65.85,61.25,62.0,19500,3.477
2004-11-18,61.35,61.55,61.15,61.3,20400,3.438
2004-11-19,65.8,65.8,59.8,63.8,500,3.578
2004-11-22,60.0,62.75,56.0,60.0,80900,3.365
2004-11-23,60.0,62.2,60.0,61.05,17500,3.424
2004-11-24,61.5,66.65,61.5,63.15,43100,3.542
2004-11-25,75.65,75.65,60.0,63.0,20100,3.533
2004-11-29,63.1,65.0,63.0,65.0,14300,3.646
2004-11-30,75.0,75.0,63.3,63.3,8000,3.55
2004-12-01,64.0,65.0,63.05,64.5,26600,3.618
2004-12-02,63.1,65.9,63.0,63.95,9200,3.587
2004-12-03,64.0,64.5,61.35,63.65,18500,3.57
2004-12-06,62.35,65.0,62.35,62.5,16600,3.505
2004-12-07,64.8,64.8,62.5,62.6,14600,3.511
2004-12-08,63.1,65.0,63.1,65.0,15000,3.646
2004-12-09,64.0,65.0,62.25,64.0,22500,3.59
2004-12-10,63.5,63.5,63.2,63.2,1000,3.545
2004-12-13,64.6,64.6,62.1,62.6,35200,3.511
2004-12-14,62.0,64.0,62.0,63.25,15800,3.547
2004-12-15,69.0,69.0,63.25,63.5,82000,3.561
2004-12-16,66.0,66.0,62.0,63.25,40000,3.547
2004-12-17,65.95,66.0,62.0,62.2,73500,3.489
2004-12-20,65.0,65.0,60.0,60.7,72600,3.404
2004-12-21,62.5,63.0,61.0,61.3,61700,3.438
2004-12-22,61.9,61.95,59.0,59.5,28700,3.337
2004-12-23,53.0,60.5,53.0,58.05,32200,3.256
2004-12-24,60.95,60.95,57.55,58.95,21500,3.306
2004-12-27,62.45,62.45,57.65,57.65,27400,3.233
2004-12-28,59.5,59.75,56.5,59.1,80800,3.315
2004-12-29,59.1,60.0,58.0,59.45,89600,3.334
2004-12-30,55.05,59.35,55.05,59.2,57100,3.32
2004-12-31,58.0,58.8,56.65,58.05,38000,3.256
2005-01-03,60.9,60.9,58.5,58.5,26000,3.281
2005-01-04,58.8,62.95,58.8,61.9,43200,3.472
2005-01-05,63.0,63.0,58.0,60.7,152000,3.404
2005-01-06,58.0,61.0,58.0,60.5,75800,3.393
2005-01-07,59.05,62.0,59.05,61.5,166800,3.449
2005-01-10,62.0,73.8,60.0,73.8,9615200,4.139
2005-01-11,88.55,88.55,80.55,87.4,1130100,4.902
2005-01-12,87.4,90.0,76.5,79.75,367400,4.473
2005-01-13,83.0,83.9,81.0,82.9,263100,4.65
2005-01-14,83.0,83.9,78.35,80.3,185000,4.504
2005-01-17,78.0,81.75,78.0,79.4,575600,4.453
2005-01-18,80.0,85.9,79.5,84.15,425000,4.72
2005-01-19,80.25,85.0,80.0,81.65,272300,4.579
2005-01-20,81.5,81.5,79.0,81.5,7500,4.571
2005-01-24,82.95,82.95,78.0,78.9,10000,4.425
2005-01-25,77.55,79.0,74.1,78.55,45400,4.406
2005-01-27,78.0,78.0,76.0,76.45,19500,4.288
2005-01-28,74.0,79.0,73.9,77.5,62100,4.347
2005-01-31,76.0,83.5,76.0,80.45,179300,4.512
2005-02-01,77.5,88.45,77.5,88.4,1125400,4.958
2005-02-02,85.0,93.0,85.0,91.75,442900,5.146
2005-02-03,91.8,98.5,90.25,97.35,547900,5.46
2005-02-04,97.0,102.85,95.5,100.0,204200,5.609
2005-02-07,102.0,103.0,96.0,101.35,189500,5.684
2005-02-08,98.0,108.0,98.0,107.35,656100,6.021
2005-02-09,110.0,118.05,110.0,118.05,407700,6.621
2005-02-10,128.0,128.0,110.0,116.8,188600,6.551
2005-02-11,117.0,121.95,105.15,105.5,149700,5.917
2005-02-14,109.0,109.0,95.3,96.25,76000,5.398
2005-02-15,96.0,99.9,93.0,94.0,30500,5.272
2005-02-16,97.0,97.0,88.5,90.2,61800,5.059
2005-02-17,88.0,89.4,87.0,87.45,104100,4.905
2005-02-18,89.2,93.5,87.1,91.8,88600,5.149
2005-02-21,93.5,95.9,92.0,92.25,23300,5.174
2005-02-22,91.25,91.25,90.0,90.35,14000,5.067
2005-02-23,94.0,94.0,90.0,90.0,21000,5.048
2005-02-24,94.0,94.0,88.1,88.55,16200,4.966
2005-02-25,82.5,86.9,81.25,82.35,58500,4.619
2005-02-28,84.5,84.5,81.0,82.35,26500,4.619
2005-03-01,85.0,85.0,79.5,84.95,24600,4.765
2005-03-02,89.9,90.0,81.1,88.9,64800,4.986
2005-03-03,89.5,90.6,85.0,87.5,39300,4.908
2005-03-04,87.5,89.85,87.5,88.65,124900,4.972
2005-03-07,88.4,89.4,87.0,87.1,30800,4.885
2005-03-08,88.8,89.0,87.5,88.5,16400,4.964
2005-03-09,84.0,84.6,83.5,83.5,21700,4.683
2005-03-10,87.0,91.0,87.0,90.1,45800,5.053
2005-03-11,91.5,91.5,88.5,88.65,25200,4.972
2005-03-14,89.0,90.0,86.0,86.65,62000,4.86
2005-03-15,88.85,88.85,86.2,88.7,35100,4.975
2005-03-16,84.0,88.0,84.0,86.75,157300,4.865
2005-03-17,87.45,88.0,85.15,87.35,28500,4.899
2005-03-18,84.2,87.8,82.0,86.9,109700,4.874
2005-03-21,87.0,87.0,81.0,85.45,49100,4.793
2005-03-22,87.9,87.9,83.0,83.25,31900,4.669
2005-03-23,83.0,83.0,80.0,80.0,14000,4.487
2005-03-24,79.0,81.75,77.0,79.2,51800,4.442
2005-03-28,81.0,87.1,80.05,87.1,40500,4.885
2005-03-29,88.0,88.0,78.4,78.5,415800,4.403
2005-03-30,75.6,76.3,71.5,72.1,101300,4.044
2005-03-31,78.0,79.2,78.0,79.1,17300,4.436
2005-04-01,75.1,81.4,75.1,81.0,16500,4.543
2005-04-04,81.1,82.95,76.0,77.8,33100,4.364
2005-04-06,80.9,81.0,79.05,80.0,25000,4.487
2005-04-07,78.1,81.0,78.0,80.55,30500,4.518
2005-04-08,82.0,86.9,80.0,81.25,26500,4.557
2005-04-11,82.0,82.5,81.85,82.2,35200,4.61
2005-04-12,80.3,82.75,80.3,81.5,4000,4.571
2005-04-13,81.0,81.55,80.05,80.05,11000,4.49
2005-04-15,76.7,79.8,76.7,77.9,11000,4.369
2005-04-18,77.0,81.9,77.0,80.1,21900,4.493
2005-04-19,78.05,82.4,76.1,76.1,19700,4.268
2005-04-20,78.7,78.75,78.7,78.75,5000,4.417
2005-04-21,81.0,81.0,79.0,79.0,5500,4.431
2005-04-22,79.0,79.0,79.0,79.0,3500,4.431
2005-04-25,80.5,80.5,75.9,79.25,11000,4.445
2005-04-27,81.0,81.0,81.0,81.0,10000,4.543
2005-04-28,80.5,81.0,78.0,78.05,8100,4.378
2005-04-29,76.0,77.05,76.0,76.0,20000,4.263
2005-05-02,81.0,81.9,77.9,80.75,22000,4.529
2005-05-03,81.0,82.9,81.0,81.7,23800,4.582
2005-05-04,78.5,81.0,78.5,80.55,5500,4.518
2005-05-05,80.0,80.0,79.0,79.0,5500,4.431
2005-05-06,81.5,81.5,79.3,79.3,9000,4.448
2005-05-09,80.0,80.0,78.55,79.1,7500,4.436
2005-05-10,80.0,80.0,80.0,80.0,73500,4.487
2005-05-11,80.5,80.5,79.5,79.5,5500,4.459
2005-05-12,79.5,82.9,79.5,82.0,19700,4.599
2005-05-13,83.5,95.0,83.5,92.0,167600,5.16
2005-05-16,94.0,95.0,90.0,90.8,44800,5.093
2005-05-17,86.9,94.0,86.9,90.5,44300,5.076
2005-05-18,93.0,93.0,88.0,89.6,27500,5.025
2005-05-19,90.0,91.95,89.0,91.7,30900,5.143
2005-05-20,92.0,92.5,86.1,89.35,22300,5.011
2005-05-23,86.55,107.2,86.55,100.6,517100,5.642
2005-05-24,103.8,103.8,95.0,96.55,34300,5.415
2005-05-25,89.1,95.75,89.1,95.3,8600,5.345
2005-05-26,93.0,94.0,90.0,93.45,15500,5.241
2005-05-27,92.0,93.25,90.05,91.0,10800,5.104
2005-05-30,89.0,93.0,88.5,91.4,12000,5.126
2005-05-31,88.0,94.9,86.0,90.1,8600,5.053
2005-06-01,91.0,91.5,88.0,90.0,11500,5.048
2005-06-02,94.0,94.0,87.0,87.9,68600,4.93
2005-06-03,9.01,9.25,8.995,9.085,5700,0.51
2005-06-06,9.475,9.5,9.3,9.435,26100,0.529
2005-06-07,94.0,96.7,90.1,90.8,38100,5.093
2005-06-08,93.0,93.55,89.0,90.0,30300,5.048
2005-06-09,93.5,96.0,91.1,93.45,130200,5.241
2005-06-10,94.0,94.0,89.9,90.85,73900,5.095
2005-06-13,91.0,92.8,90.0,92.0,12300,5.16
2005-06-14,93.1,93.5,91.0,92.5,26100,5.188
2005-06-15,92.5,92.5,90.0,90.45,34700,5.073
2005-06-16,90.3,91.45,86.0,89.1,44200,4.997
2005-06-17,91.0,91.45,88.0,91.45,31200,5.129
2005-06-20,87.0,90.5,86.3,87.4,16200,4.902
2005-06-21,90.45,91.0,89.3,90.0,17700,5.048
2005-06-22,88.0,88.0,86.0,87.0,18800,4.879
2005-06-23,99.5,99.5,85.0,88.65,15000,4.972
2005-06-24,90.0,90.1,88.2,88.2,12500,4.947
2005-06-27,90.0,93.0,90.0,91.3,31100,5.121
2005-06-28,92.8,92.8,87.0,87.0,16200,4.879
2005-06-29,88.0,90.9,88.0,90.9,13000,5.098
2005-06-30,89.25,92.0,89.25,89.7,13500,5.031
2005-07-01,90.0,90.0,89.0,89.5,4000,5.02
2005-07-04,95.0,95.0,88.0,89.25,18000,5.006
2005-07-05,89.9,89.9,87.0,87.9,5500,4.93
2005-07-06,89.5,91.5,89.0,90.3,23100,5.065
2005-07-07,90.0,90.0,88.1,88.1,11500,4.941
2005-07-08,89.5,94.0,89.5,92.15,65000,5.168
2005-07-11,91.0,91.95,89.95,91.35,14900,5.123
2005-07-12,90.0,93.5,90.0,92.35,35800,5.18
2005-07-13,94.25,99.7,94.0,94.45,194400,5.297
2005-07-14,96.1,100.0,95.5,97.0,86100,5.44
2005-07-15,97.5,99.0,97.0,97.85,43300,5.488
