Date,Open,High,Low,Close,Volume,Adj Close
2002-01-02,11.0,11.0,10.65,10.75,5000,5.29
2002-01-04,10.65,10.8,10.65,10.8,6800,5.31
2002-01-14,10.85,10.9,10.8,10.8,10600,5.31
2002-01-15,12.5,12.5,10.75,10.75,20500,5.29
2002-01-16,10.85,10.95,10.8,10.8,4900,5.31
2002-01-17,10.75,10.95,10.75,10.9,2000,5.36
2002-01-18,10.8,10.95,10.75,10.85,7300,5.34
2002-01-21,10.75,10.85,10.75,10.8,3900,5.31
2002-01-22,10.85,10.9,10.75,10.75,13600,5.29
2002-01-23,10.75,10.9,10.75,10.8,5900,5.31
2002-01-24,10.5,10.9,10.5,10.8,5500,5.31
2002-01-25,10.8,10.9,10.8,10.9,4600,5.36
2002-01-28,10.8,10.9,10.8,10.9,3700,5.36
2002-01-29,10.65,10.9,10.65,10.8,8200,5.31
2002-01-30,10.65,10.85,10.65,10.85,6500,5.34
2002-01-31,10.9,10.9,10.8,10.8,4200,5.31
2002-02-01,10.9,10.9,10.75,10.85,8900,5.34
2002-02-04,10.85,10.95,10.85,10.95,17900,5.39
2002-02-05,10.7,10.9,10.7,10.9,2900,5.36
2002-02-06,10.85,10.95,10.8,10.85,11900,5.34
2002-02-07,10.5,10.9,10.5,10.9,18400,5.36
2002-02-08,10.9,11.0,10.85,10.9,35500,5.36
2002-02-11,11.0,11.1,11.0,11.0,8200,5.41
2002-02-12,11.1,11.35,11.1,11.3,12500,5.56
2002-02-13,11.15,11.35,11.15,11.2,9600,5.51
2002-02-14,11.5,11.5,11.2,11.4,4000,5.61
2002-02-15,11.7,11.7,11.4,11.65,20800,5.73
2002-02-18,11.7,11.95,11.55,11.7,19300,5.76
2002-02-19,11.7,11.7,11.25,11.45,23800,5.63
2002-02-20,11.0,11.65,11.0,11.45,9600,5.63
2002-02-21,11.25,11.5,11.25,11.5,9800,5.66
2002-02-22,11.55,11.75,11.5,11.5,17300,5.66
2002-02-25,11.65,12.05,11.65,11.9,26400,5.85
2002-02-26,11.8,11.95,11.55,11.65,8200,5.73
2002-02-27,11.6,11.8,11.5,11.75,6700,5.78
2002-02-28,11.75,12.4,11.45,11.5,46600,5.66
2002-03-01,11.65,11.65,11.4,11.5,13700,5.66
2002-03-04,11.6,12.1,11.55,12.0,23700,5.9
2002-03-05,11.95,12.5,11.95,12.25,54100,6.03
2002-03-06,12.9,13.0,11.8,11.95,27700,5.88
2002-03-07,12.0,12.2,11.95,12.1,6700,5.95
2002-03-08,12.1,12.1,11.85,12.05,12500,5.93
2002-03-11,11.75,12.0,11.75,11.9,13700,5.85
2002-03-12,11.7,11.85,11.7,11.8,11000,5.81
2002-03-13,11.55,11.55,11.3,11.5,8600,5.66
2002-03-14,11.5,11.6,11.3,11.6,10700,5.71
2002-03-15,11.5,11.6,11.4,11.5,10000,5.66
2002-03-18,11.55,11.95,11.55,11.9,18200,5.85
2002-03-19,11.65,11.95,11.3,11.7,33700,5.76
2002-03-20,11.5,12.0,11.5,11.9,197600,5.85
2002-03-21,11.6,11.85,11.3,11.45,24900,5.63
2002-03-22,11.5,11.7,11.4,11.55,13900,5.68
2002-03-26,11.5,12.2,11.4,11.95,85100,5.88
2002-03-27,11.9,12.3,11.75,12.25,41700,6.03
2002-04-01,12.5,12.5,11.7,12.0,6100,5.9
2002-04-02,12.35,12.35,11.9,11.9,14300,5.85
2002-04-03,11.8,12.0,11.8,11.9,7300,5.85
2002-04-04,11.75,12.0,11.75,12.0,32800,5.9
2002-04-05,11.9,12.05,11.9,12.05,61000,5.93
2002-04-08,12.1,12.1,11.8,11.85,19100,5.83
2002-04-09,11.9,12.15,11.85,12.0,20600,5.9
2002-04-10,12.1,12.1,11.85,12.0,5000,5.9
2002-04-11,11.85,12.0,11.85,11.9,3900,5.85
2002-04-12,11.9,11.95,11.85,11.95,3700,5.88
2002-04-15,11.9,12.0,11.7,11.9,15000,5.85
2002-04-16,11.65,11.75,11.25,11.45,76500,5.63
2002-04-17,11.4,11.6,11.4,11.5,36500,5.66
2002-04-18,11.8,11.8,11.4,11.4,10000,5.61
2002-04-19,11.2,11.5,11.2,11.35,24000,5.58
2002-04-22,11.0,11.7,11.0,11.4,1413200,5.61
2002-04-23,11.55,11.55,11.3,11.35,460900,5.58
