Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,54.9,55.9,53.55,55.9,83300,27.65
2000-01-04,56.45,56.5,53.25,54.0,38700,26.71
2000-01-05,53.0,54.0,50.6,52.15,48600,25.79
2000-01-06,53.0,56.25,51.2,52.35,82400,25.89
2000-01-07,52.0,54.9,52.0,53.25,161300,26.34
2000-01-10,56.25,56.25,52.65,52.65,36200,26.04
2000-01-11,52.75,53.5,49.05,50.8,41300,25.12
2000-01-12,50.85,52.5,50.0,51.0,51600,25.22
2000-01-13,52.4,52.4,49.3,52.0,96700,25.72
2000-01-14,50.3,53.0,50.3,51.6,144700,25.52
2000-01-17,54.9,54.9,51.2,51.2,37800,25.32
2000-01-18,51.25,51.5,50.15,51.0,24600,25.22
2000-01-19,50.6,51.8,50.5,50.75,13300,25.1
2000-01-20,51.0,51.4,49.5,50.05,27300,24.75
2000-01-21,50.9,50.9,48.25,48.55,65000,24.01
2000-01-24,50.9,51.1,49.5,50.45,22600,24.95
2000-01-25,48.25,49.75,48.0,48.5,27600,23.99
2000-01-26,48.5,48.5,48.5,48.5,0,23.99
2000-01-27,49.0,49.9,47.1,47.4,48200,23.44
2000-01-28,47.0,47.0,43.65,44.6,103600,22.06
2000-01-31,44.0,45.4,42.6,44.5,40700,22.01
2000-02-01,44.05,46.75,44.0,46.1,26600,22.8
2000-02-02,45.0,49.75,45.0,49.75,87000,24.6
2000-02-03,49.75,49.75,49.75,49.75,0,24.6
2000-02-04,56.0,57.95,54.0,57.95,213500,28.66
2000-02-07,59.6,61.45,53.35,54.25,79900,26.83
2000-02-08,55.95,55.95,50.25,51.4,48800,25.42
2000-02-09,51.0,52.5,49.5,50.0,25500,24.73
2000-02-10,47.5,49.95,47.0,49.8,16900,24.63
2000-02-11,49.8,49.8,49.8,49.8,0,24.63
2000-02-14,49.8,49.8,49.8,49.8,0,24.63
2000-02-15,46.15,47.0,45.0,47.0,12900,23.24
2000-02-16,45.05,48.75,45.05,47.75,19900,23.62
2000-02-17,46.6,48.0,46.45,48.0,48900,23.74
2000-02-18,47.1,47.1,45.1,46.0,197400,22.75
2000-02-21,48.0,49.0,46.35,47.1,37100,23.29
2000-02-22,46.8,46.8,45.0,45.25,10500,22.38
2000-02-23,44.35,46.8,44.35,44.75,19500,22.13
2000-02-24,46.55,46.55,45.0,45.5,13700,22.5
2000-02-25,45.6,45.6,43.0,43.0,30400,21.27
2000-02-28,44.5,46.4,43.25,46.4,27200,22.95
2000-02-29,48.2,49.9,42.7,43.0,57100,21.27
2000-03-01,42.6,45.2,42.3,44.0,15900,21.76
2000-03-02,45.9,46.0,40.5,41.9,53200,20.72
2000-03-03,40.5,40.5,38.55,38.55,52900,19.07
2000-03-06,39.5,41.5,39.15,39.85,61100,19.71
2000-03-07,41.0,41.0,37.05,37.55,51200,18.57
2000-03-08,37.0,39.1,37.0,38.0,13000,18.79
2000-03-09,38.5,39.8,37.0,38.0,25100,18.79
2000-03-10,37.2,38.9,36.5,37.8,49900,18.69
2000-03-13,37.8,37.8,37.8,37.8,0,18.69
2000-03-14,37.55,37.7,34.1,37.7,16700,18.65
2000-03-15,37.8,39.5,37.05,39.5,26600,19.54
2000-03-16,38.5,38.9,36.35,36.35,29500,17.98
2000-03-17,36.35,36.35,36.35,36.35,0,17.98
2000-03-20,36.35,36.35,36.35,36.35,0,17.98
2000-03-21,38.5,39.0,33.45,33.45,72800,16.54
2000-03-22,35.0,35.9,34.25,34.25,38800,16.94
2000-03-23,35.95,36.0,33.05,34.0,43000,16.82
2000-03-24,35.4,35.4,33.0,33.05,29100,16.35
2000-03-27,34.95,35.6,33.8,33.8,34600,16.72
2000-03-28,34.6,34.7,34.0,34.6,14600,17.11
2000-03-29,34.4,35.25,33.7,34.0,38000,16.82
2000-03-30,33.65,34.3,32.5,32.95,42600,16.3
2000-03-31,32.5,35.2,32.5,35.0,49600,17.31
2000-04-03,36.5,37.75,36.5,37.75,71400,18.67
2000-04-04,39.0,39.5,34.75,34.9,57500,17.26
2000-04-05,35.8,36.5,35.0,36.5,31800,18.05
2000-04-06,36.9,37.15,35.0,35.6,12100,17.61
2000-04-07,35.8,36.9,35.2,36.55,45800,18.08
2000-04-10,39.0,39.0,37.0,37.05,53900,18.32
2000-04-11,37.05,37.05,37.05,37.05,0,18.32
2000-04-12,36.0,37.0,35.8,36.2,15100,17.9
2000-04-13,35.6,35.6,34.0,34.7,53900,17.16
2000-04-14,34.7,34.7,34.7,34.7,0,17.16
2000-04-17,33.1,34.5,33.05,34.2,14500,16.91
2000-04-18,35.5,36.5,34.65,34.9,12000,17.26
2000-04-19,35.7,35.75,34.0,34.7,15800,17.16
2000-04-20,33.5,34.9,33.5,34.0,37100,16.82
2000-04-21,34.0,34.0,34.0,34.0,0,16.82
2000-04-24,34.0,34.0,34.0,34.0,0,16.82
2000-04-25,33.25,34.0,32.8,33.5,17300,16.57
2000-04-26,33.5,33.5,33.5,33.5,0,16.57
2000-04-27,33.2,34.35,33.05,33.65,9100,16.64
2000-04-28,32.6,33.5,32.55,32.9,18300,16.27
2000-05-01,32.9,32.9,32.9,32.9,0,16.27
2000-05-02,33.1,33.1,32.25,32.3,14300,15.97
2000-05-03,32.3,32.3,32.3,32.3,0,15.97
2000-05-04,33.0,33.95,32.85,33.0,24900,16.32
2000-05-05,33.0,33.0,33.0,33.0,0,16.32
2000-05-08,33.95,35.0,33.2,34.0,19300,16.82
2000-05-09,34.0,34.0,34.0,34.0,0,16.82
2000-05-10,33.35,33.35,32.5,33.05,6700,16.35
2000-05-11,32.9,32.95,32.25,32.75,8600,16.2
2000-05-12,33.15,33.15,31.8,31.8,22100,15.73
2000-05-15,31.8,31.8,31.8,31.8,0,15.73
2000-05-16,31.8,33.0,31.8,33.0,6500,16.32
2000-05-17,32.5,35.35,32.5,34.25,47300,16.94
2000-05-18,34.0,36.95,33.65,35.5,136100,17.56
2000-05-19,34.85,36.0,33.05,33.75,60600,16.69
2000-05-22,33.8,34.2,33.35,33.5,12700,16.57
2000-05-23,33.4,33.6,32.75,33.0,18000,16.32
2000-05-24,33.75,34.75,32.8,34.0,23700,16.82
2000-05-25,34.65,35.95,34.0,34.0,61600,16.82
2000-05-26,34.0,34.9,34.0,34.5,42900,17.06
2000-05-29,34.5,34.5,34.5,34.5,0,17.06
2000-05-30,36.0,37.45,35.0,37.45,76700,18.52
2000-05-31,37.45,37.9,35.4,35.4,47600,17.51
2000-06-01,35.15,35.15,34.0,34.05,24400,16.84
2000-06-02,34.4,34.8,33.8,34.4,21800,17.01
2000-06-05,35.95,37.1,34.9,35.2,64700,17.41
2000-06-06,35.95,36.05,34.8,35.5,22800,17.56
2000-06-07,35.85,35.9,35.0,35.55,11300,17.58
2000-06-08,35.2,36.25,35.0,36.0,26600,17.8
2000-06-09,35.15,36.5,35.15,35.6,33200,17.61
2000-06-12,35.5,37.9,35.5,36.95,92200,18.27
2000-06-13,37.05,39.0,37.0,38.8,111900,19.19
2000-06-14,39.0,39.7,37.5,37.75,56600,18.67
2000-06-15,37.65,37.95,36.55,37.15,81600,18.37
2000-06-16,36.0,36.6,35.55,36.4,67000,18.0
2000-06-19,36.4,36.4,36.4,36.4,0,18.0
