Date,Open,High,Low,Close,Volume,Adj Close
1992-03-02,240.0,240.0,26.66667,26.66667,0,0.00937
1992-03-03,260.00011,279.99989,260.00011,266.6667,0,0.09374
1992-03-11,266.6667,266.6667,240.0,240.0,0,0.08437
1992-03-12,253.33319,253.33319,253.33319,253.33319,0,0.08906
1992-03-18,240.0,253.33319,240.0,253.33319,0,0.08906
1992-03-20,246.6666,264.0,246.6666,264.0,0,0.09281
1992-03-24,240.0,320.001,240.0,279.99989,0,0.09843
1992-03-25,240.0,293.3334,240.0,266.6667,0,0.09374
1992-03-27,240.0,266.6667,240.0,266.6667,0,0.09374
1992-03-30,240.0,266.6667,240.0,266.6667,0,0.09374
1992-03-31,253.33319,279.99989,253.33319,279.99989,0,0.09843
1995-05-02,13.73334,13.73334,12.80001,13.06668,0,0.00459
1995-05-03,12.80001,13.06668,12.26667,12.93333,0,0.00455
1995-05-04,13.33332,13.86666,13.33332,13.86666,0,0.00487
1995-05-05,14.00001,15.20001,14.00001,14.66667,0,0.00516
1995-05-08,14.66667,15.20001,14.66667,14.66667,0,0.00516
1995-05-09,14.53332,14.79999,14.4,14.4,0,0.00506
1995-05-10,14.19999,14.66667,14.13333,14.13333,0,0.00497
1995-05-12,14.00001,14.00001,13.59999,13.59999,0,0.00478
1995-05-15,13.33332,13.59999,13.13334,13.33332,0,0.00469
1995-05-16,12.86667,13.33332,12.86667,13.33332,0,0.00469
1995-05-17,13.33332,13.59999,13.2,13.33332,0,0.00469
1995-05-18,13.46667,13.73334,13.46667,13.59999,0,0.00478
1995-05-19,13.46667,14.00001,13.46667,13.59999,0,0.00478
1995-05-22,13.46667,13.73334,13.2,13.33332,0,0.00469
1995-05-23,13.33332,13.59999,13.33332,13.46667,0,0.00473
1995-05-24,13.33332,13.53333,13.33332,13.53333,0,0.00476
1995-05-25,13.2,13.46667,13.2,13.2,0,0.00464
1995-05-26,13.33332,13.33332,13.06668,13.06668,0,0.00459
1995-05-29,13.06668,13.33332,13.06668,13.33332,0,0.00469
1995-05-30,13.2,13.46667,13.06668,13.2,0,0.00464
