Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,2145.0,2145.0,2105.0,2140.0,700,56.149
2000-01-04,2050.0,2050.0,1970.0,2049.0,900,53.761
2000-01-05,2140.0,2140.0,2050.0,2050.0,100,53.787
2000-01-06,2050.0,2050.0,2000.0,2000.0,600,52.476
2000-01-07,2000.0,2050.0,1955.0,2050.0,1300,53.787
2000-01-10,2051.0,2100.0,1955.0,2050.0,800,53.787
2000-01-11,2050.0,2050.0,2031.0,2050.0,200,53.787
2000-01-12,2150.0,2150.0,1950.0,1995.0,1400,52.344
2000-01-13,1960.0,2040.0,1930.0,1950.0,900,51.164
2000-01-14,1901.0,1975.0,1901.0,1965.5,600,51.57
2000-01-17,1950.0,1950.0,1950.0,1950.0,200,51.164
2000-01-18,1945.0,1950.0,1930.0,1930.0,500,50.639
2000-01-19,1940.0,1950.0,1939.0,1950.0,700,51.164
2000-01-20,1949.0,1950.0,1915.25,1915.25,100,50.252
2000-01-21,1979.0,1979.0,1920.0,1921.7,1000,50.421
2000-01-24,1950.0,2029.0,1950.0,1951.0,300,51.19
2000-01-25,2000.0,2000.0,2000.0,2000.0,0,52.476
2000-01-26,1950.5,1950.5,1950.5,1950.5,0,51.177
2000-01-27,1999.0,2011.0,1905.0,1949.0,1300,51.137
2000-01-28,1911.0,1911.0,1900.05,1900.05,400,49.853
2000-01-31,2010.0,2052.0,2010.0,2052.0,1800,53.84
2000-02-01,2055.0,2146.0,2055.0,2055.0,1000,53.919
2000-02-02,2140.0,2200.0,2101.0,2195.85,2800,57.614
2000-02-03,2070.0,2075.0,2070.0,2070.0,600,54.312
2000-02-04,1961.0,2001.0,1960.0,1978.6,300,51.914
2000-02-07,2000.0,2136.85,2000.0,2021.0,800,53.027
2000-02-08,2000.0,2000.0,2000.0,2000.0,100,52.476
2000-02-09,1935.0,2080.0,1900.0,1900.35,600,49.861
2000-02-10,1940.0,1995.0,1900.0,1900.0,500,49.852
2000-02-11,1785.0,1900.0,1785.0,1870.2,3500,49.07
2000-02-14,1850.0,1850.0,1845.0,1845.0,600,48.409
2000-02-15,1990.0,1990.0,1801.0,1989.0,1000,52.187
2000-02-16,1920.0,1920.0,1850.05,1855.75,400,48.691
2000-02-17,1841.0,1841.0,1840.0,1840.0,100,48.278
2000-02-18,1821.0,1845.0,1810.0,1810.0,400,47.49
2000-02-21,1820.0,1820.0,1810.0,1810.0,200,47.49
