Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,599.9,602.95,590.0,602.95,11000,252.384
2000-01-04,648.0,648.0,595.0,621.75,19400,260.254
2000-01-05,580.0,602.9,577.0,582.5,14800,243.824
2000-01-06,600.0,604.0,555.0,570.0,13200,238.592
2000-01-07,540.0,555.0,524.45,524.45,8000,219.526
2000-01-10,549.0,549.0,520.0,535.0,4400,223.942
2000-01-11,544.0,545.0,495.0,496.15,14600,207.68
2000-01-12,500.0,522.9,500.0,519.95,3400,217.642
2000-01-13,520.0,561.0,516.0,534.25,13600,223.628
2000-01-14,530.0,539.0,511.0,518.45,6600,217.014
2000-01-17,550.0,559.0,515.0,515.0,4800,215.57
2000-01-18,501.0,518.0,501.0,515.95,3000,215.968
2000-01-19,525.0,557.2,525.0,557.2,16600,233.234
2000-01-20,574.0,601.75,551.05,594.5,44800,248.847
2000-01-21,615.0,642.05,615.0,642.05,70600,268.751
2000-01-24,693.4,693.4,693.4,693.4,5000,290.245
2000-01-25,748.85,748.85,701.0,748.85,55000,313.456
2000-01-26,748.85,748.85,748.85,748.85,0,313.456
2000-01-27,798.75,808.7,785.0,808.7,32000,338.508
2000-01-28,869.0,873.35,860.0,873.35,54800,365.569
2000-01-31,803.5,803.5,803.5,803.5,9200,336.331
2000-02-01,739.25,739.25,739.25,739.25,7200,309.437
2000-02-02,686.0,798.35,685.0,795.5,73600,332.982
2000-02-03,795.5,795.5,795.5,795.5,0,332.982
2000-02-04,797.0,808.0,758.0,799.6,39200,334.699
2000-02-07,825.0,825.0,770.0,775.55,16400,324.632
2000-02-08,784.0,784.0,718.0,720.7,17800,301.672
2000-02-09,726.0,778.3,726.0,778.3,22800,325.783
2000-02-10,794.0,794.0,742.55,766.15,9400,320.697
2000-02-11,770.0,775.0,736.0,749.55,11000,313.749
2000-02-14,790.0,790.0,689.6,691.95,22000,289.638
2000-02-15,708.0,708.0,661.0,664.95,14800,278.336
2000-02-16,644.0,704.0,644.0,693.15,9000,290.141
2000-02-17,704.0,724.0,696.2,700.05,8400,293.029
2000-02-18,692.0,695.0,666.05,671.75,14000,281.183
2000-02-21,724.0,724.0,693.0,697.25,10000,291.857
2000-02-22,719.0,720.0,674.25,685.5,79600,286.938
2000-02-23,708.0,710.0,693.0,698.15,37800,292.233
2000-02-24,700.0,700.0,665.05,678.8,6800,284.134
2000-02-25,710.0,725.0,627.1,643.85,21600,269.504
2000-02-28,637.0,665.0,610.0,660.55,5800,276.495
2000-02-29,678.0,713.35,608.0,617.2,43400,258.349
2000-03-01,655.0,666.55,612.0,666.55,21400,279.006
2000-03-02,685.0,719.85,685.0,719.85,23400,301.317
2000-03-03,777.4,777.4,670.0,697.75,15000,292.066
2000-03-06,725.0,725.0,678.0,679.25,13400,284.322
2000-03-07,690.0,690.0,624.95,628.5,16400,263.079
2000-03-08,624.0,625.0,592.05,592.05,6800,247.822
2000-03-09,585.0,590.0,544.7,544.7,4400,228.002
2000-03-10,516.0,540.0,501.15,507.55,28700,212.452
2000-03-13,507.55,507.55,507.55,507.55,0,212.452
2000-03-14,550.0,560.0,511.0,525.0,5800,219.756
2000-03-15,483.05,545.0,483.05,500.0,11000,209.291
2000-03-16,481.0,500.0,470.0,475.0,6800,198.827
2000-03-17,475.0,475.0,475.0,475.0,0,198.827
2000-03-20,475.0,475.0,475.0,475.0,0,198.827
2000-03-21,495.0,496.0,437.1,452.0,8300,189.199
2000-03-22,460.0,488.15,455.0,460.0,4200,192.548
2000-03-23,485.0,496.0,466.0,477.0,33900,199.664
2000-03-24,470.0,477.0,450.0,475.0,30700,198.827
2000-03-27,512.95,512.95,437.05,437.05,19300,182.942
2000-03-28,448.0,460.0,414.0,423.85,23500,177.416
2000-03-29,439.0,450.0,434.5,445.0,14400,186.269
