Date,Open,High,Low,Close,Volume,Adj Close
1991-01-03,125.0,130.0,125.0,129.375,0,24.234
1991-01-07,127.5,132.5,126.25,128.75,0,24.117
1991-01-09,128.75,131.25,127.5,130.0,0,24.351
1991-01-11,128.75,134.375,128.75,134.375,0,25.171
1991-01-14,131.25,133.75,130.0,132.5,0,24.82
1991-01-23,128.75,132.5,128.75,132.5,0,24.82
1991-01-24,130.0,131.25,130.0,131.25,0,24.586
1991-01-25,130.0,131.25,130.0,131.25,0,24.586
1991-01-31,132.5,132.5,131.25,131.75,0,24.679
1991-02-01,132.5,135.0,132.5,133.75,0,25.054
1991-02-04,135.0,141.25,135.0,138.75,0,25.99
1991-02-05,141.25,146.25,140.0,143.75,0,26.927
1991-02-06,145.0,146.25,143.125,143.75,0,26.927
1991-02-07,145.0,145.0,140.0,140.625,0,26.342
1991-02-08,142.5,142.5,139.375,140.625,0,26.342
1991-02-11,140.0,140.625,138.75,140.0,0,26.225
1991-02-13,138.125,141.25,138.125,140.0,0,26.225
1991-02-14,140.0,141.25,139.375,140.0,0,26.225
1991-02-15,140.625,141.25,138.75,140.625,0,26.342
1991-02-19,142.5,150.0,142.5,149.375,0,27.981
1991-02-20,148.75,149.375,146.25,148.125,0,27.747
1991-02-21,148.75,152.5,148.125,150.0,0,28.098
1991-02-22,150.0,153.75,150.0,152.5,0,28.566
1991-02-26,151.25,156.875,151.25,152.5,0,28.566
1991-02-27,153.75,156.875,153.125,153.75,0,28.8
1991-02-28,153.75,156.25,152.5,153.125,0,28.683
1991-03-04,153.75,157.5,151.25,155.0,0,29.034
1991-03-05,155.0,158.75,155.0,157.5,0,29.503
1991-03-07,153.75,153.75,147.5,147.5,0,27.629
1991-03-08,150.0,153.75,150.0,153.75,0,28.8
1991-03-11,152.5,154.375,151.875,153.75,0,28.8
1991-03-12,153.125,153.75,152.5,153.75,0,28.8
1991-03-13,152.5,155.625,152.5,152.5,0,28.566
1991-03-15,155.0,157.5,153.75,155.0,0,29.034
1991-03-18,155.625,155.625,152.5,153.75,0,28.8
