Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,29.4204,30.9347,28.9878,30.3723,148800,0.02682
2002-07-02,31.1078,31.1078,29.6367,30.7184,73400,0.02713
2002-07-03,32.0163,32.0163,30.2857,30.3723,65000,0.02682
2002-07-04,30.978,30.978,30.329,30.329,33700,0.02678
2002-07-05,31.0212,31.0212,30.2857,30.7184,62100,0.02713
2002-07-08,30.7184,31.5837,30.7184,30.8914,59500,0.02728
2002-07-09,31.151,31.8,31.151,31.7567,64100,0.02804
2002-07-10,32.8816,32.8816,32.0163,32.3625,23100,0.02858
2002-07-11,33.3143,33.3143,30.6751,30.6751,37900,0.02709
2002-07-12,33.7469,33.7469,30.2857,31.3241,21600,0.02766
2002-07-15,30.9347,30.9347,29.4204,30.0694,146700,0.02655
2002-07-16,30.2857,30.6318,29.8531,30.4588,26500,0.0269
2002-07-17,30.2857,30.2857,29.4204,29.4637,26200,0.02602
2002-07-18,33.5739,33.5739,28.5984,29.1176,75100,0.02571
2002-07-19,29.5935,29.5935,29.031,29.2041,24300,0.02579
2002-07-22,28.6416,28.6416,28.5551,28.5551,4600,0.02522
2002-07-23,28.1225,28.9878,28.1225,28.9878,31700,0.0256
2002-07-24,29.2041,29.4204,28.6849,28.6849,20200,0.02533
2002-07-25,28.9878,29.4204,28.9878,28.9878,10400,0.0256
2002-07-26,28.209,28.5551,27.9494,28.1225,46800,0.02483
2002-07-29,27.8196,27.8629,27.0841,27.7331,40400,0.02449
2002-07-30,30.7184,30.7184,27.4302,27.56,93400,0.02434
2002-07-31,26.6947,28.2955,26.6947,27.56,31200,0.02434
2002-08-01,28.1225,28.1225,27.6898,27.6898,38100,0.02445
2002-08-02,28.5551,29.3339,27.6033,28.5984,87600,0.02525
2002-08-05,28.5984,29.4204,28.209,29.2474,28300,0.02583
2002-08-06,29.5069,29.5069,29.4204,29.4204,40700,0.02598
2002-08-07,30.1992,30.2857,29.4204,29.7233,70400,0.02625
2002-08-08,29.5502,30.0694,29.3339,29.3772,55700,0.02594
2002-08-09,29.2474,29.7665,29.1176,29.68,78400,0.02621
2002-08-12,30.1559,30.1559,29.3339,29.3772,50600,0.02594
2002-08-13,29.5502,29.6367,29.1608,29.2474,107200,0.02583
2002-08-14,25.9159,25.9592,24.4449,24.791,21300,0.02189
2002-08-16,25.0939,25.5265,24.2286,24.3151,78100,0.02147
2002-08-19,24.0123,24.142,23.7527,23.8825,40400,0.02109
2002-08-20,23.3633,23.3633,22.498,22.8441,45400,0.02017
2002-08-21,22.671,23.0172,22.6278,22.9306,49100,0.02025
2002-08-22,23.1037,23.1037,22.9739,23.0172,6300,0.02033
2002-08-23,22.8008,23.6229,22.8008,23.4065,13200,0.02067
2002-08-26,23.7959,23.7959,23.7959,23.7959,1100,0.02101
2002-08-27,23.8392,23.8392,22.498,23.2767,44600,0.02055
2002-08-28,23.2767,23.4498,23.2767,23.2767,18400,0.02055
2002-08-29,23.6661,23.6661,23.1037,23.1469,13800,0.02044
2002-08-30,23.3633,23.3633,22.9739,23.3633,6100,0.02063
2002-09-02,22.9306,25.7429,22.9306,23.5796,8300,0.02082
2002-09-03,23.7527,24.1853,23.7527,24.0123,24800,0.0212
2002-09-04,27.6898,27.6898,23.7959,24.2286,32900,0.02139
2002-09-05,24.1853,24.2286,23.7959,24.142,25400,0.02132
2002-09-06,24.0555,24.7045,23.9257,23.969,20800,0.02117
2002-09-09,24.6612,24.6612,24.4449,24.4882,11500,0.02162
2002-09-11,28.5551,28.5551,24.7478,25.1804,13300,0.02224
2002-09-12,24.9641,25.5265,24.9641,25.2669,16600,0.02231
2002-09-13,26.738,26.738,24.4449,25.44,5500,0.02246
2002-09-16,25.44,25.44,24.9208,25.44,11500,0.02246
