Date,Open,High,Low,Close,Volume,Adj Close
2000-11-21,72.2499,72.5,70.65,72.45,10400,29.2719
2000-11-22,72.75,73.0001,70.75,71.1,13400,28.7264
2000-11-23,70.3,71.5,69.95,71.5,4500,28.888
2000-11-24,71.75,72.0,70.1,71.75,5100,28.9891
2000-11-27,72.5,75.0,72.0,73.9,8300,29.8577
2000-11-28,73.9999,75.0,73.0001,73.7001,8600,29.7769
2000-11-29,71.75,76.5001,71.75,73.7001,6000,29.7769
2000-11-30,71.7,73.45,71.7,73.25,6300,29.5951
2000-12-01,72.0,73.9,71.4,72.5999,8500,29.3325
2000-12-04,73.0001,77.9001,73.0001,74.9,15700,30.2617
2000-12-05,78.0,80.75,76.0,80.3501,103900,32.4637
2000-12-06,84.4999,86.75,81.5,83.8501,258700,33.8778
2000-12-07,87.5,89.2,84.4999,87.0001,102400,35.1505
2000-12-08,86.0,87.4,85.0,85.65,80000,34.6051
2001-03-14,59.95,59.95,59.95,59.95,329000,24.2215
2001-06-05,59.3501,59.3501,59.3501,59.3501,93900,23.9791
2001-07-02,52.95,52.95,52.7001,52.7001,500,21.2923
2001-07-03,53.7501,53.7501,50.5,52.5,900,21.2115
2001-07-04,53.7501,53.7501,52.2,52.9999,3100,21.4135
2001-07-05,54.7499,54.7499,53.1,53.85,2800,21.7569
2001-07-06,54.1001,54.25,53.3499,53.6999,66600,21.6963
2001-07-09,52.05,53.25,49.05,52.6,4600,21.9974
2001-07-10,53.5,53.5,50.65,52.0001,8300,21.7465
2001-07-11,51.0,52.4,50.5,51.0,4900,21.3283
2001-07-12,51.0,51.7,50.1,51.0,50300,21.3283
2001-07-16,51.7,51.7,50.5,50.65,39700,21.182
2001-07-17,50.5,51.8,50.5,51.15,2069400,21.391
2001-07-18,51.45,51.5,50.75,51.2499,3100,21.4328
2001-07-19,50.2501,51.6501,50.1,50.2501,11000,21.0147
2001-07-20,50.5,51.0,49.65,50.05,7800,20.931
2001-07-24,49.0,50.0,48.7,49.9001,3100,20.8683
2001-07-25,48.5001,49.0,48.0999,48.4,5800,20.241
2001-07-26,49.0,49.0,44.5,44.8,310100,18.7355
2001-07-27,44.4,46.5,44.4,45.45,28500,19.0073
2001-07-30,45.9999,47.85,45.7001,45.9999,5600,19.2373
2001-07-31,46.25,46.5,44.4,44.9,40700,18.7773
2001-08-01,47.15,47.2,45.9999,46.15,4100,19.3
2001-08-02,46.7501,47.25,46.6999,47.25,2900,19.7601
2001-08-03,47.0,48.0,47.0,47.9,2500,20.0319
2001-08-06,48.0,48.0,45.1,45.5,20100,19.0282
2001-08-07,45.5,46.1,44.5,45.2,43400,18.9027
2001-08-08,45.9999,45.9999,44.35,44.75,28400,18.7146
2001-08-09,46.1,46.1,44.9,45.5,21000,19.0282
2001-08-10,46.85,46.85,43.5,45.1,14300,18.8609
2001-08-13,45.9999,46.4001,45.85,46.4001,2600,19.4046
2001-08-14,47.0,49.2001,46.5,48.55,23200,20.3037
2001-08-16,49.9001,50.5499,49.1499,50.05,200600,20.931
2001-08-17,51.0,54.0,50.0,52.0001,506700,21.7465
2001-08-20,52.9999,55.0,51.3001,52.4,212700,21.9138
2001-08-21,52.5,54.35,52.0001,52.5,213200,21.9556
2001-08-23,53.95,55.0,52.0001,52.55,704500,21.9765
2001-08-24,52.9999,54.5,52.9999,53.95,66000,22.562
2001-08-27,54.5,54.7499,52.9999,53.1,11400,22.2066
2001-08-28,54.0,58.15,54.0,57.75,249100,24.1512
2001-08-29,58.0,59.2999,55.3,55.55,98500,23.2312
2001-08-30,54.5,57.8999,52.2,55.05,120600,23.022
2001-08-31,57.3,59.9,53.5,53.7501,85100,22.4784
2001-09-03,54.0,56.0,53.3499,54.25,34900,22.6875
2001-09-04,54.55,54.9,53.6999,54.7499,14000,22.8966
2001-09-05,54.15,55.25,54.1001,54.35,18400,22.7293
2001-09-06,54.6,54.9,52.15,52.2999,32100,21.872
2001-09-07,52.1,52.9999,52.1,52.45,17500,21.9347
2001-09-10,52.45,53.95,52.0001,52.85,35900,22.102
2001-09-11,53.1,55.35,52.95,53.65,119000,22.4365
2001-09-12,47.0,52.75,47.0,50.3,66400,21.0356
2001-09-13,51.0,51.9499,49.5501,49.8499,38000,20.8474
2001-09-14,50.0,50.0,48.3,49.35,58600,20.6383
2001-09-17,48.0,48.0,45.9999,46.55,14900,19.4673
2001-09-18,46.3,49.0,46.3,47.7,155600,19.9482
2001-09-19,48.05,49.4999,47.1001,49.3,17900,20.6174
2001-09-20,49.0,50.0,48.0,49.3,16600,20.6174
2001-09-21,47.5,50.35,47.5,49.4,50700,20.6592
2001-09-24,50.5,53.95,49.0,50.1,287100,20.9519
2001-09-25,51.9,51.9,50.0,50.1,16300,20.9519
2001-09-26,51.8,51.8,49.6,50.0,9200,20.9101
2001-09-27,52.0001,52.0001,49.1,50.0,21700,20.9101
2001-10-01,49.4,49.4,48.2,48.3,43400,20.1992
2001-10-03,48.5001,49.0,48.0999,48.0999,6300,20.1155
2001-10-04,48.9,49.0,48.25,48.5001,67100,20.2828
2001-10-05,47.7499,48.5001,47.7499,48.05,9600,20.0946
2001-10-08,47.0,48.35,46.65,47.25,40100,19.7601
2001-10-09,48.0,48.0,47.0,47.25,108100,19.7601
2001-10-10,48.0,48.0,47.0499,47.35,6300,19.8019
2001-10-11,47.55,47.55,46.7501,46.7501,18300,19.551
2001-10-12,47.5,47.5,45.05,45.9999,29600,19.2373
2001-10-15,47.1001,47.1001,44.75,44.9,99500,18.7773
2001-10-17,44.2,45.45,44.0,44.05,77400,18.4218
2001-10-18,44.9499,44.9499,44.2499,44.35,43400,18.5473
2001-10-19,44.5,47.0,44.5,45.2999,211800,18.9445
2001-10-22,46.6999,47.9,45.2,45.45,184700,19.0073
2001-10-23,45.9999,53.85,45.9999,52.6499,339100,22.0183
2001-10-24,54.8001,56.0,51.3001,53.9,484100,22.5411
2001-10-25,54.7499,55.0999,51.0,51.2499,137500,21.4328
2001-10-29,52.5,54.0,50.5,50.7,131700,21.2029
2001-10-30,50.0,52.9999,50.0,50.2501,144000,21.0147
2001-10-31,49.4999,52.3501,49.0,51.4,73900,21.4956
2001-11-01,53.2,56.9001,51.7,56.05,1545400,23.4402
2001-11-02,57.0,58.5,55.55,57.5,910200,24.0466
2001-11-05,58.0,59.25,56.05,56.2001,273500,23.503
2001-11-06,57.35,57.35,55.0,55.75,241200,23.3148
2001-11-07,56.4999,61.3,55.9,56.4,744400,23.5866
2001-11-08,58.4,58.4,55.75,56.2001,126200,23.503
2001-11-09,55.75,57.4,55.75,56.05,78200,23.4402
2001-11-12,57.0,57.35,55.9,56.2001,52900,23.503
2001-11-13,56.1,56.65,54.9,55.5001,71700,23.2103
2001-11-14,56.25,56.75,55.75,56.6,29600,23.6703
2001-11-15,56.6,57.4,55.6,55.75,57000,23.3148
2001-11-19,56.95,57.75,56.1,56.45,80700,23.6075
2001-11-20,57.2501,60.25,56.1499,57.1999,422300,23.9212
2001-11-21,57.85,62.75,57.85,62.1501,895900,25.9913
2001-11-22,63.25,64.8999,60.6,61.35,685000,25.6567
2001-11-23,63.4,63.4,58.55,59.0001,241700,24.674
2001-11-26,60.95,61.3,58.2,58.35,154800,24.4021
2001-11-27,59.2999,59.2999,57.0,57.05,131200,23.8584
2001-11-28,58.4,58.7,56.0,56.6,105600,23.6703
2001-11-29,56.3,56.8,55.0,55.4,99800,23.1684
2001-12-03,56.9001,61.3,56.4999,60.7501,332000,25.4058
2001-12-04,61.5,63.3,59.5,59.6499,358400,24.9457
2001-12-05,60.8,62.0,59.9999,60.15,161400,25.1549
2001-12-06,61.25,61.3,58.1,58.35,121100,24.4021
2001-12-07,58.0,59.0001,58.0,58.45,50500,24.4439
2001-12-10,58.9,59.0001,57.5499,58.1,79200,24.2976
2001-12-11,58.9,59.0001,57.7,57.8999,51200,24.2139
2001-12-12,58.9,58.9,58.0,58.3001,40000,24.3812
2001-12-13,58.55,59.0001,55.25,56.95,88200,23.8166
2001-12-14,56.0,58.0,55.25,57.65,34500,24.1094
2001-12-18,58.5,58.9,56.3,57.6001,48900,24.0885
2001-12-19,55.6,57.5,55.25,55.5001,23900,23.2103
2001-12-20,55.1501,56.0,53.1,55.4499,56100,23.1893
2001-12-21,54.7,55.75,54.0,55.0,120200,23.0011
2001-12-24,55.7999,55.7999,52.9999,55.1501,48100,23.0639
2001-12-26,56.2001,56.4999,54.85,54.85,32800,22.9384
2001-12-27,54.3,55.0,51.0,51.75,195500,21.642
2001-12-28,53.6999,53.6999,50.85,52.4,90800,21.9138
2001-12-31,52.55,53.9,52.1,52.6,294300,21.9974
2002-01-01,53.5,56.0,53.5,55.4,107000,23.1684
2002-01-02,55.6,57.2501,55.4499,56.0,110600,23.4193
2002-01-03,56.9001,57.3,55.0,55.35,43500,23.1475
2002-01-04,56.1,56.3,54.6,55.0999,79800,23.0429
2002-01-07,56.3,57.0,55.0,55.0,67300,23.0011
2002-01-08,54.65,55.6,54.5,55.0999,86800,23.0429
2002-01-09,55.4,55.5001,50.5,54.95,112100,22.9802
2002-01-10,55.0,55.25,54.3,54.9,47900,22.9593
2002-01-11,54.9,55.3,54.0499,54.3999,26800,22.7502
2002-01-14,55.0,56.95,54.5,56.1499,45500,23.482
2002-01-15,56.9001,57.0,56.2001,56.75,43400,23.733
2002-01-16,57.5499,57.6001,56.1499,56.4,36900,23.5866
2002-01-17,56.45,56.9001,53.9,54.4501,223500,22.7711
2002-01-18,56.45,56.6,55.0,55.5001,70500,23.2103
2002-01-21,56.8499,57.05,56.0,56.35,45800,23.5657
2002-01-22,56.9001,57.4,52.2999,52.95,183800,22.1438
2002-01-23,53.5,53.8,52.05,52.95,92800,22.1438
2002-01-24,53.7501,53.7501,52.0001,53.1,145000,22.2066
2002-01-25,52.5,53.2,52.05,52.2,60400,21.8302
2002-01-28,53.25,53.5,52.2999,52.9999,22700,22.1647
2002-01-29,52.55,52.9999,52.15,52.2999,42500,21.872
2002-01-30,52.15,52.75,52.05,52.45,31900,21.9347
2002-01-31,52.5,52.6499,51.85,52.0001,19700,21.7465
2002-02-01,52.6499,52.7001,51.85,52.2,20000,21.8302
2002-02-04,52.0001,52.7001,51.7,52.0001,19400,21.7465
2002-02-05,51.0,51.75,50.5,50.5,27800,21.1192
2002-02-06,51.9499,51.9499,50.1,50.6001,46300,21.1611
2002-02-07,51.55,52.0001,50.5,50.6001,31300,21.1611
2002-02-08,50.75,51.0,50.5499,50.75,31400,21.2238
2002-02-11,51.5,54.25,51.0,53.7501,125700,22.4784
2002-02-12,55.0,58.15,53.0501,56.95,949200,23.8166
2002-02-13,58.0,64.8,55.7999,60.7501,3236200,25.4058
2002-02-14,62.0,62.25,57.3,58.1,785000,24.2976
2002-02-15,58.2499,59.5,56.3,56.95,497700,23.8166
2002-02-18,58.2499,59.0001,56.05,57.1999,403800,23.9212
2002-02-19,57.85,58.0,56.0,56.05,160500,23.4402
2002-02-20,55.4,55.9,54.0,54.15,170700,22.6457
2002-02-21,54.95,57.5,54.3,55.65,253300,23.273
2002-02-22,56.0,58.35,55.65,57.75,234000,24.1512
2002-02-25,59.0001,59.9999,57.0,57.05,339400,23.8584
2002-02-26,57.6001,58.85,57.6001,57.9501,128200,24.2349
2002-02-27,58.7,58.7,55.05,55.7,275200,23.2939
2002-02-28,55.0999,56.4999,52.5,53.3,159100,22.2902
2002-03-01,51.0,55.4,51.0,55.1501,109500,23.0639
2002-03-04,56.25,56.8,55.0999,56.1,101200,23.4611
2002-03-05,57.5,57.75,54.1001,54.4501,133500,22.7711
2002-03-06,55.0,55.5001,53.8,54.5,41800,22.792
2002-03-07,55.3,55.3,53.2,53.4001,60500,22.332
2002-03-08,53.5,55.3,53.2,53.9,121200,22.5411
2002-03-11,53.7501,54.25,51.9,52.0001,106400,21.7465
2002-03-12,52.0001,52.4,51.0,51.1,119100,21.3701
2002-03-13,51.85,52.5,50.8999,51.0,84800,21.3283
2002-03-14,51.9,54.85,50.8,53.25,521600,22.2693
2002-03-15,54.3999,57.0,53.1,55.35,879800,23.1475
2002-03-18,55.4499,58.7,55.4499,56.45,438900,23.6075
2002-03-19,57.1,57.9501,55.0,55.3,189100,23.1266
2002-03-20,55.0999,55.7999,54.1001,54.55,176200,22.8129
2002-03-21,55.0,55.0,53.95,54.1001,42100,22.6248
2002-03-22,54.4501,55.5001,54.35,55.1501,52500,23.0639
2002-03-26,57.35,57.35,52.9999,53.7501,86300,22.4784
2002-03-27,53.5,54.5,52.5,52.6499,52800,22.0183
2002-04-01,54.9,54.9,52.6,52.6499,37800,22.0183
2002-04-02,53.45,54.0,52.0001,52.15,59000,21.8093
2002-04-03,52.0001,52.6499,51.5,52.1,44700,21.7884
2002-04-04,52.6,54.0,52.55,52.9,51800,22.1229
2002-04-05,53.3,54.7,52.7001,52.9,76000,22.1229
2002-04-08,53.85,54.65,52.9999,53.85,89500,22.5202
2002-04-09,54.8001,54.8001,52.85,52.9999,56500,22.1647
2002-04-10,52.6,53.6999,52.5,52.6499,24700,22.0183
2002-04-11,53.5,53.5,52.5,52.6,45300,21.9974
2002-04-12,52.9999,55.0999,52.55,52.9,156200,22.1229
2002-04-15,54.0,54.95,53.0501,54.4501,121900,22.7711
2002-04-16,53.1,55.9,49.95,54.55,146500,22.8129
2002-04-17,55.05,55.5001,53.5,53.95,79200,22.562
2002-04-18,55.5001,55.7999,53.1,53.2,55300,22.2484
2002-04-19,53.6999,53.7501,51.9,52.2,66900,21.8302
2002-04-22,51.3001,53.7501,51.3001,53.45,73600,22.3529
2002-04-23,54.0499,54.0499,52.7001,53.2,27400,22.2484
2002-04-24,53.8,54.0,52.2999,52.5,46000,21.9556
2002-04-25,54.4501,54.4501,51.6501,51.9,79500,21.7047
2002-04-26,52.75,54.0,52.1,52.55,864700,21.9765
2002-04-29,53.85,53.85,50.5,51.0,169800,21.3283
2002-04-30,51.45,52.0001,50.85,51.8,109300,21.6629
2002-05-02,52.0001,52.7001,50.8,51.5,87300,21.5374
2002-05-03,51.5999,51.9499,50.85,51.3001,85100,21.4538
2002-05-06,52.5,53.25,51.05,52.15,62600,21.8093
2002-05-07,53.5,55.0999,52.6,54.0,214500,22.5829
2002-05-08,55.5001,55.7999,53.0501,53.15,114800,22.2275
2002-05-09,55.5001,55.5001,52.6,52.8,80900,22.0811
2002-05-10,52.9999,53.95,52.85,52.85,225500,22.102
2002-05-13,54.5,54.5,53.1,53.6999,79700,22.4574
2002-05-14,54.4501,54.5,53.0501,53.15,145300,22.2275
2002-05-15,53.1,53.6999,52.1,52.5,44200,21.9556
2002-05-16,52.4,53.2,51.8,52.4,93100,21.9138
2002-05-17,52.45,52.9999,51.2,52.45,74800,21.9347
2002-05-20,51.0,52.05,50.65,51.2,72200,21.4119
2002-05-21,50.8,51.0,49.5501,50.75,92900,21.2238
2002-05-22,49.8,51.45,49.6,50.5,92200,21.1192
2002-05-23,50.9501,51.3001,50.2501,51.0,35300,21.3283
2002-05-24,51.9,51.9499,51.15,51.45,28100,21.5165
2002-05-27,52.0001,52.0001,50.85,51.0,29900,21.3283
2002-05-28,51.5,51.5,49.75,50.2501,67400,21.0147
2002-05-29,50.85,50.8999,48.6,49.05,118200,20.5128
2002-05-30,49.1,50.0,48.5001,49.0,109700,20.4919
2002-05-31,49.1,49.4999,48.5001,48.95,72400,20.471
2002-06-03,48.55,50.0,48.55,48.75,32000,20.3873
2002-06-04,45.0001,49.95,45.0001,49.25,20200,20.5965
2002-06-05,49.8,50.0,49.45,49.65,46300,20.7638
2002-06-06,45.1,50.1,45.1,49.4999,34900,20.701
