Date,Open,High,Low,Close,Volume,Adj Close
2009-11-24,195.0,197.0,149.5,163.1,7730700,163.1
2009-11-25,160.0,176.5,156.0,167.1,4340400,167.1
2009-11-26,169.0,172.8,159.0,162.0,1134500,162.0
2009-11-27,160.0,160.0,151.0,156.45,460400,156.45
2009-11-30,161.25,165.0,159.0,160.2,211500,160.2
2009-12-01,162.65,172.6,157.0,168.35,1120100,168.35
2009-12-02,170.0,178.95,168.7,176.1,648100,176.1
2009-12-03,177.0,177.4,166.0,168.15,181600,168.15
2009-12-04,165.0,179.45,163.5,173.45,330300,173.45
2009-12-07,173.0,181.25,172.0,173.55,192300,173.55
2009-12-08,174.1,184.7,172.6,182.1,315300,182.1
2009-12-09,182.0,189.0,179.3,184.05,211500,184.05
2009-12-10,181.0,190.0,180.1,185.65,132000,185.65
2009-12-11,186.95,208.0,183.6,190.95,1087000,190.95
2009-12-14,193.8,200.25,188.0,189.5,407400,189.5
2009-12-15,191.4,196.6,186.5,189.4,235200,189.4
2009-12-16,189.15,194.4,185.7,190.7,227400,190.7
2009-12-17,189.0,193.7,186.1,187.8,82600,187.8
2009-12-18,188.0,192.45,184.0,185.95,237600,185.95
2009-12-21,187.85,191.2,185.6,188.95,157100,188.95
2009-12-22,189.65,195.5,188.25,190.35,155200,190.35
2009-12-23,191.95,195.5,191.0,194.4,137200,194.4
2009-12-24,194.5,196.0,194.5,195.0,1300,195.0
2009-12-29,193.7,193.7,188.4,190.3,13200,190.3
2009-12-30,192.0,196.0,191.0,194.85,36800,194.85
2009-12-31,195.0,196.6,193.5,195.65,33300,195.65
2010-01-04,196.0,197.0,192.0,193.3,12000,193.3
2010-01-05,195.8,198.05,190.5,194.8,40000,194.8
2010-01-06,194.75,195.0,190.0,191.65,10700,191.65
2010-01-07,192.95,193.95,185.2,186.85,20000,186.85
2010-01-08,188.5,192.5,185.0,187.2,13400,187.2
2010-01-11,189.0,190.0,184.1,185.9,12900,185.9
2010-01-12,187.0,187.0,181.0,183.95,13700,183.95
2010-01-13,184.5,191.5,184.1,185.75,23700,185.75
2010-01-14,187.9,188.25,184.0,185.0,6000,185.0
2010-01-15,188.0,188.0,182.1,182.9,3600,182.9
2010-01-18,182.5,195.0,182.5,189.4,87400,189.4
2010-01-19,191.25,195.8,190.05,192.35,56300,192.35
2010-01-20,190.3,193.4,187.5,189.8,19500,189.8
2010-01-21,189.7,190.0,183.3,184.25,5700,184.25
2010-01-22,181.0,190.0,178.0,184.45,7500,184.45
2010-01-25,186.0,190.0,184.5,188.3,5700,188.3
2010-01-26,188.3,188.3,188.3,188.3,0,188.3
2010-01-27,186.75,196.0,182.0,184.6,62100,184.6
2010-01-28,186.0,187.9,182.15,183.75,4700,183.75
2010-01-29,185.2,192.0,180.55,189.5,25100,189.5
2010-02-01,189.0,194.95,189.0,190.95,16400,190.95
2010-02-02,194.5,194.5,188.55,189.5,3400,189.5
2010-02-03,192.85,192.85,187.1,189.0,2900,189.0
2010-02-04,188.0,191.4,186.5,189.45,5200,189.45
2010-02-05,181.1,189.0,181.1,187.8,4400,187.8
2010-02-08,186.5,189.95,186.5,187.7,3300,187.7
2010-02-09,190.0,195.6,187.7,188.75,7300,188.75
2010-02-10,190.0,190.9,186.3,188.3,5000,188.3
2010-02-11,189.0,192.9,189.0,191.5,4600,191.5
2010-02-15,191.0,191.0,187.0,187.3,1100,187.3
2010-02-16,188.0,189.0,185.15,188.15,900,188.15
2010-02-17,190.0,190.6,188.0,188.65,700,188.65
2010-02-18,188.65,189.45,185.3,187.05,1700,187.05
2010-02-19,187.0,193.8,186.2,190.9,3800,190.9
2010-02-22,189.0,201.9,176.2,179.7,454600,179.7
2010-02-23,176.0,181.9,171.0,172.25,35100,172.25
2010-02-24,171.1,180.45,170.3,173.75,17500,173.75
2010-02-25,174.9,179.8,174.3,178.95,15200,178.95
2010-02-26,180.0,191.0,175.6,188.6,26300,188.6
2010-03-02,186.2,190.0,186.0,187.9,5100,187.9
2010-03-03,188.95,196.0,187.0,190.4,49100,190.4
2010-03-04,191.95,194.0,189.1,191.6,6800,191.6
2010-03-05,192.0,193.4,189.1,190.3,2000,190.3
2010-03-08,190.05,191.9,188.05,189.2,2000,189.2
2010-03-09,186.7,190.0,186.65,188.7,3200,188.7
2010-03-10,192.3,197.0,190.4,193.6,16900,193.6
2010-03-11,196.0,196.0,191.1,193.0,2200,193.0
2010-03-12,193.9,194.6,189.0,192.05,4400,192.05
2010-03-15,191.1,199.0,191.0,192.75,50700,192.75
2010-03-16,195.95,195.95,192.0,193.4,7800,193.4
2010-03-17,190.3,195.0,190.3,193.05,3400,193.05
2010-03-18,190.0,194.0,190.0,192.55,5600,192.55
2010-03-19,192.05,196.35,189.05,191.75,9900,191.75
2010-03-22,192.15,195.5,191.0,193.45,1500,193.45
2010-03-23,191.0,199.7,191.0,196.45,95700,196.45
2010-03-25,192.1,198.1,192.1,195.85,316900,195.85
2010-03-26,193.0,197.0,188.0,194.65,6200,194.65
2010-03-29,194.5,195.5,191.15,194.0,220400,194.0
2010-03-30,192.5,197.0,192.5,196.4,108200,196.4
2010-03-31,195.0,196.1,194.7,195.3,1300,195.3
2010-04-01,195.5,197.0,194.65,196.9,7900,196.9
2010-04-05,197.4,198.0,193.1,195.05,5800,195.05
2010-04-06,194.95,198.4,194.95,196.7,16100,196.7
2010-04-07,197.9,214.9,197.0,206.25,97600,206.25
2010-04-08,206.5,212.2,202.6,204.05,48500,204.05
2010-04-09,199.9,209.5,197.6,200.15,25200,200.15
2010-04-12,202.5,202.5,198.0,200.5,7500,200.5
2010-04-13,204.0,204.0,195.1,195.15,14100,195.15
2010-04-15,198.9,200.5,195.2,196.7,4400,196.7
