Date,Open,High,Low,Close,Volume,Adj Close
2000-06-22,24.0,24.0,23.1,24.0,12000,3.777
2000-06-23,24.0,24.0,22.15,22.5,9900,3.541
2000-06-26,23.0,23.0,22.5,22.5,2200,3.541
2000-06-27,23.9,23.9,22.05,23.75,900,3.738
2000-06-28,23.5,23.5,22.5,22.65,13800,3.565
2000-06-29,22.5,23.5,20.85,23.35,7800,3.675
2000-06-30,22.5,24.0,22.0,24.0,3500,3.777
2000-07-03,23.9,23.9,23.9,23.9,400,3.761
2000-07-04,23.9,23.9,23.9,23.9,0,3.761
2000-07-05,22.55,23.0,22.5,22.55,5100,3.549
2000-07-06,22.55,22.55,22.55,22.55,0,3.549
2000-07-07,22.55,22.55,22.55,22.55,0,3.549
2000-07-10,22.55,22.55,22.55,22.55,0,3.549
2000-07-11,22.5,22.55,22.5,22.5,1600,3.541
2000-07-12,22.5,22.5,22.5,22.5,0,3.541
2000-07-13,22.0,22.0,22.0,22.0,200,3.462
2000-07-14,22.0,22.0,22.0,22.0,0,3.462
2000-07-17,22.0,22.0,22.0,22.0,0,3.462
2000-07-18,22.0,22.0,22.0,22.0,0,3.462
2000-07-19,22.55,22.55,22.0,22.0,2200,3.462
2000-07-20,22.0,22.0,22.0,22.0,0,3.462
2000-07-21,21.75,21.75,21.75,21.75,300,3.423
2000-07-24,21.75,21.75,21.75,21.75,0,3.423
2000-07-25,22.5,22.5,22.5,22.5,200,3.541
2000-07-26,22.5,22.5,22.5,22.5,0,3.541
2000-07-27,22.5,22.5,22.5,22.5,0,3.541
2000-07-28,21.55,21.55,21.5,21.5,400,3.384
2000-07-31,21.5,21.5,21.5,21.5,800,3.549
2000-08-01,21.5,21.5,21.5,21.5,0,3.549
2000-08-02,21.55,21.55,21.5,21.5,900,3.549
2000-08-03,21.55,21.55,21.55,21.55,100,3.557
2000-08-04,21.55,21.55,21.55,21.55,0,3.557
2000-08-07,23.0,23.0,23.0,23.0,100,3.796
2000-08-08,23.0,23.0,23.0,23.0,0,3.796
2000-08-09,21.5,21.5,21.5,21.5,400,3.549
2000-08-10,21.5,21.5,21.5,21.5,0,3.549
2000-08-11,21.5,21.5,21.5,21.5,800,3.549
2000-08-14,21.5,23.0,21.5,23.0,800,3.796
2000-08-15,23.0,23.0,23.0,23.0,0,3.796
2000-08-16,21.5,21.5,21.5,21.5,1000,3.549
2000-08-17,21.5,21.5,21.5,21.5,2000,3.549
2000-08-18,23.2,23.2,22.0,22.0,2900,3.631
2000-08-21,22.0,22.0,22.0,22.0,400,3.631
2000-08-22,22.0,22.0,22.0,22.0,0,3.631
2000-08-23,22.0,22.0,22.0,22.0,2500,3.631
2000-08-24,22.0,22.0,22.0,22.0,2400,3.631
2000-08-25,22.0,22.0,22.0,22.0,0,3.631
2000-08-28,22.0,22.0,22.0,22.0,0,3.631
2000-08-29,23.75,23.75,23.75,23.75,200,3.92
2000-08-30,24.0,25.6,24.0,25.6,400,4.225
2000-08-31,27.4,27.6,27.4,27.6,100,4.555
2000-09-01,27.6,27.6,27.6,27.6,0,4.555
2000-09-04,27.6,27.6,27.6,27.6,0,4.555
2000-09-05,27.6,27.6,27.6,27.6,0,4.555
2000-09-06,28.0,28.0,28.0,28.0,200,4.621
2000-09-07,28.0,28.0,28.0,28.0,0,4.621
2000-09-08,29.35,30.2,29.35,30.2,400,4.985
2000-09-11,29.0,29.0,29.0,29.0,800,4.787
2000-09-12,29.0,29.0,29.0,29.0,0,4.787
2000-09-13,29.0,29.0,29.0,29.0,0,4.787
2000-09-14,29.0,29.0,29.0,29.0,0,4.787
2000-09-15,30.5,30.75,30.5,30.7,200,5.067
2000-09-18,30.7,30.7,30.7,30.7,0,5.067
2000-09-19,30.7,30.7,30.7,30.7,0,5.067
2000-09-20,32.5,32.5,32.5,32.5,200,5.364
2000-09-21,32.0,35.0,30.0,30.0,900,4.952
2000-09-22,32.25,32.25,30.7,32.0,1000,5.282
2000-09-25,31.0,31.0,31.0,31.0,1600,5.117
2000-09-26,31.0,31.0,31.0,31.0,0,5.117
2000-09-27,31.0,31.0,31.0,31.0,0,5.117
2000-09-28,31.0,31.0,31.0,31.0,0,5.117
2000-09-29,31.0,31.0,31.0,31.0,0,5.117
2000-10-02,31.0,31.0,31.0,31.0,0,5.117
2000-10-03,31.0,31.0,31.0,31.0,0,5.117
2000-10-04,28.55,28.55,28.55,28.55,0,4.712
2000-10-05,26.5,26.5,26.5,26.5,200,4.374
2000-10-06,27.0,27.0,27.0,27.0,400,4.456
2000-10-09,27.0,27.0,27.0,27.0,0,4.456
2000-10-10,27.0,27.0,27.0,27.0,0,4.456
2000-10-11,27.0,27.0,27.0,27.0,0,4.456
2000-10-12,27.0,27.0,27.0,27.0,0,4.456
