Date,Open,High,Low,Close,Volume,Adj Close
2004-04-22,301.2,593.7,301.2,542.0,48009600,40.861
2004-04-23,104.74,117.6,90.1,93.45,25741900,7.045
2004-04-27,93.0,97.36,83.25,94.44,15941600,7.12
2004-04-28,95.8,100.54,93.0,94.99,12318800,7.161
2004-04-29,94.0,97.0,94.0,95.33,3939300,7.187
2004-04-30,95.4,96.3,91.44,93.16,4240900,7.023
2004-05-03,92.96,100.8,90.45,97.7,7440000,7.366
2004-05-04,99.11,101.58,97.4,98.22,6221400,7.405
2004-05-05,99.16,104.6,98.4,103.21,8825700,7.781
2004-05-06,105.96,106.8,103.03,103.81,4058000,7.826
2004-05-07,104.4,104.4,96.05,98.14,4314100,7.399
2004-05-10,97.98,101.0,95.11,99.52,3028200,7.503
2004-05-11,83.2,99.8,83.2,97.68,3114300,7.364
2004-05-12,96.6,100.4,96.0,98.06,1723200,7.393
2004-05-13,96.0,102.4,90.0,100.76,2422600,7.596
2004-05-14,101.8,103.18,84.0,94.79,2299300,7.146
2004-05-17,94.6,95.48,75.84,83.89,644700,6.324
2004-05-18,85.6,93.0,85.6,89.2,626600,6.725
2004-05-19,91.4,93.0,88.4,89.74,601000,6.765
2004-05-20,92.4,95.2,89.0,91.97,753900,6.934
2004-05-21,93.0,93.8,89.2,90.21,445900,6.801
2004-05-24,93.0,95.6,91.4,93.56,481900,7.053
2004-05-25,92.76,93.98,91.6,92.2,222900,6.951
2004-05-26,92.88,93.6,89.4,90.53,173800,6.825
2004-05-27,90.62,92.98,90.2,90.97,249100,6.858
2004-05-28,91.6,92.38,80.01,82.95,331600,6.254
2004-05-31,81.0,81.0,73.4,76.29,1077200,5.751
2004-06-01,79.3,81.0,77.6,78.1,427600,5.888
2004-06-02,78.2,79.0,75.06,76.0,263700,5.73
2004-06-03,77.66,78.8,74.26,75.05,239700,5.658
2004-06-04,74.0,78.0,73.0,76.81,133000,5.791
2004-06-07,78.0,81.8,76.5,80.46,462200,6.066
2004-06-08,80.6,84.95,80.0,83.29,351200,6.279
2004-06-09,84.0,87.27,83.2,85.12,670200,6.417
2004-06-10,85.6,86.78,84.2,86.07,306500,6.489
2004-06-11,85.8,87.14,82.8,83.96,186800,6.33
2004-06-14,84.54,84.54,81.6,82.93,142400,6.252
2004-06-15,83.6,84.34,78.2,81.92,141400,6.176
2004-06-16,83.2,83.3,81.8,82.04,136700,6.185
2004-06-17,81.9,82.77,79.06,79.44,152100,5.989
2004-06-18,79.71,79.8,75.46,77.55,179500,5.846
2004-06-21,78.0,79.6,77.0,78.46,469500,5.915
2004-06-22,78.4,78.4,73.61,74.13,121000,5.589
2004-06-23,74.89,75.6,74.45,75.07,145800,5.66
2004-06-24,73.05,76.4,73.05,75.52,81500,5.693
2004-06-25,75.2,76.4,74.71,75.39,93000,5.684
2004-06-28,75.88,78.8,75.0,78.3,114800,5.903
2004-06-29,79.2,79.78,77.42,79.15,77700,5.967
2004-06-30,78.3,80.6,78.3,79.82,76400,6.018
2004-07-01,80.6,80.6,78.7,79.27,37000,5.976
2004-07-02,79.66,79.66,78.7,79.09,30800,5.963
2004-07-05,78.42,79.54,78.4,79.08,36500,5.962
2004-07-06,79.2,81.94,79.2,80.92,64400,6.101
2004-07-07,81.0,83.0,80.6,81.0,76900,6.107
2004-07-08,81.94,85.2,72.45,75.39,341000,5.684
2004-07-09,74.0,83.0,74.0,76.22,44500,5.746
2004-07-12,76.98,78.0,75.0,76.36,47200,5.757
2004-07-13,77.0,78.0,76.0,77.48,213800,5.841
2004-07-14,77.98,86.7,77.98,84.86,623400,6.398
2004-07-15,84.2,89.2,84.2,88.05,618000,6.638
2004-07-16,89.4,92.36,86.64,90.05,519200,6.789
2004-07-19,90.2,92.0,89.4,89.75,219100,6.766
2004-07-20,89.6,90.0,86.8,87.31,97600,6.582
2004-07-21,87.8,92.8,86.2,90.8,107100,6.845
2004-07-22,92.4,99.0,91.6,97.86,927300,7.378
2004-07-23,98.0,99.4,95.02,96.45,191700,7.271
2004-07-26,95.07,100.8,95.07,100.08,510900,7.545
2004-07-27,98.2,100.99,95.14,95.68,146200,7.213
2004-07-28,96.15,96.78,93.98,94.34,45100,7.112
2004-07-29,96.0,96.2,93.41,94.25,41700,7.105
2004-07-30,94.9,97.8,92.4,93.52,105200,7.05
2004-08-02,94.8,95.0,91.1,91.74,73600,6.916
2004-08-03,92.0,101.4,91.0,96.91,1112300,7.306
2004-08-04,96.57,97.4,94.65,95.18,200600,7.176
2004-08-05,95.8,96.98,94.3,94.89,47200,7.154
2004-08-06,95.74,95.74,93.0,93.35,58000,7.038
2004-08-09,93.6,94.58,91.0,93.88,44000,7.078
2004-08-10,94.8,96.0,94.0,94.14,56400,7.097
2004-08-11,94.01,98.0,93.0,96.23,212100,7.255
2004-08-12,97.31,99.4,95.62,97.57,259000,7.356
2004-08-13,97.0,99.6,95.21,96.42,156400,7.269
2004-08-16,96.4,97.6,96.0,96.96,60600,7.31
2004-08-17,98.0,99.0,97.0,98.4,551900,7.418
2004-08-18,99.14,100.2,93.31,94.83,318600,7.149
2004-08-19,95.68,96.2,95.05,95.6,33900,7.207
2004-08-20,96.28,96.4,94.3,94.78,20800,7.145
2004-08-23,96.2,96.2,93.25,93.61,13600,7.057
2004-08-24,94.94,94.98,93.8,94.0,6100,7.087
2004-08-25,94.8,94.8,91.6,91.98,13300,6.934
2004-08-26,92.8,94.1,92.4,92.67,34000,6.986
2004-08-27,94.6,95.0,92.86,93.18,18500,7.025
2004-08-30,95.0,96.4,93.86,95.36,35500,7.189
