Date,Open,High,Low,Close,Volume,Adj Close
2002-05-14,29.0,30.15,29.0,29.55,9000,20.06
2002-05-15,31.95,32.5,30.05,30.5,31800,20.71
2002-05-16,31.9,31.9,30.0,30.2,8300,20.5
2002-05-17,32.0,32.0,29.5,30.25,4300,20.54
2002-05-20,29.05,31.0,29.05,29.65,4800,20.13
2002-05-21,28.5,28.95,26.7,28.3,5500,19.21
2002-05-22,28.5,29.25,27.85,29.25,3600,19.86
2002-05-23,29.0,30.5,27.6,28.8,45600,19.55
2002-05-24,31.5,31.5,27.25,27.25,20400,18.5
2002-05-27,28.9,28.9,27.85,28.65,12200,19.45
2002-05-28,27.5,28.85,27.05,27.05,8200,18.37
2002-05-29,29.0,29.0,28.1,28.5,5700,19.35
2002-05-30,28.5,28.5,28.0,28.0,1800,19.01
2002-05-31,28.0,28.35,27.75,28.3,3900,19.21
2002-06-03,28.1,28.4,27.85,28.0,2800,19.01
2002-06-04,28.2,28.25,27.8,28.15,3800,19.11
2002-06-05,28.5,29.0,28.1,28.7,5300,19.49
2002-06-06,28.5,28.5,28.0,28.0,2300,19.01
2002-06-07,28.5,28.5,27.35,27.6,9900,18.74
2002-06-10,28.0,28.25,28.0,28.25,600,19.18
2002-06-11,28.4,28.6,28.4,28.4,7600,19.28
2002-06-12,28.7,28.9,25.05,28.7,27800,19.49
2002-06-13,28.9,29.0,28.4,28.6,7900,19.42
2002-06-14,29.0,29.25,28.95,29.15,4200,19.79
2002-06-17,30.0,31.5,29.8,31.4,17600,21.32
2002-06-18,32.4,32.4,31.0,31.3,9800,21.25
2002-06-19,31.9,32.0,31.25,31.35,8500,21.29
2002-06-20,32.0,32.0,31.5,31.6,7800,21.46
2002-06-21,33.4,37.0,32.0,35.95,85500,24.41
2002-06-24,36.75,37.0,34.55,34.55,37800,23.46
2002-06-25,35.0,35.0,33.0,33.15,12800,22.51
2002-06-26,35.05,35.7,33.5,33.95,29900,23.05
2002-07-01,17.0,17.65,16.9,17.45,24200,11.85
2002-07-02,18.25,19.1,18.05,18.53,103400,12.58
2002-07-03,19.28,19.68,18.73,18.98,38900,12.89
2002-07-04,20.0,20.0,18.5,18.88,28700,12.82
2002-07-05,19.13,19.13,17.93,18.15,11900,12.32
2002-07-08,19.0,19.0,18.0,18.3,16600,12.42
2002-07-09,18.4,18.4,17.2,17.23,17700,11.7
2002-07-10,17.5,17.65,17.0,17.35,26500,11.78
2002-07-11,17.3,17.5,17.03,17.05,7900,11.58
2002-07-12,17.63,17.7,16.75,16.93,9500,11.49
2002-07-15,16.25,16.95,16.13,16.48,6800,11.19
2002-07-16,16.38,16.5,16.25,16.25,4600,11.03
2002-07-17,16.05,16.25,15.5,15.9,5800,10.8
2002-07-18,16.0,16.5,16.0,16.48,1900,11.19
2002-07-19,16.5,16.5,15.9,16.0,13800,10.86
2002-07-22,15.0,16.0,15.0,15.95,10000,10.83
2002-07-23,16.03,16.03,15.75,15.93,3500,10.82
2002-07-24,15.85,16.13,15.5,16.05,4300,10.9
2002-07-25,16.0,16.48,15.7,16.0,7700,10.86
2002-07-26,15.65,16.0,15.63,15.7,6400,10.66
2002-07-29,15.5,15.9,14.83,15.65,25100,10.63
2002-07-30,15.48,15.9,15.25,15.33,10200,10.41
2002-07-31,15.5,16.13,15.0,15.65,12900,10.63
2002-08-01,15.75,15.75,15.1,15.1,1900,10.25
2002-08-02,16.0,16.0,15.05,15.28,2500,10.37
2002-08-05,15.25,15.5,15.03,15.25,2800,10.35
2002-08-06,15.5,15.5,15.48,15.48,200,10.51
2002-08-07,15.3,15.48,15.3,15.38,1200,10.44
2002-08-08,15.73,15.78,15.55,15.55,2700,10.56
2002-08-09,15.08,16.18,15.08,15.85,8400,10.76
2002-08-12,16.5,16.5,15.5,15.7,1800,10.66
2002-08-13,16.1,16.13,15.68,15.98,400,10.85
2002-08-14,15.78,16.0,15.73,16.0,2600,10.86
2002-08-16,17.0,17.0,15.83,16.13,3000,10.95
2002-08-19,15.5,15.95,15.5,15.73,2700,10.81
2002-08-20,15.6,15.63,15.0,15.15,1600,10.42
2002-08-21,15.38,15.6,15.25,15.6,12600,10.72
2002-08-22,15.6,15.6,15.25,15.6,600,10.72
2002-08-23,15.25,15.83,15.25,15.83,2300,10.88
2002-08-26,15.63,16.5,15.5,15.75,3400,10.83
2002-08-27,15.63,15.63,15.25,15.28,3300,10.5
2002-08-28,15.5,15.5,15.23,15.25,1600,10.48
2002-08-29,15.13,15.7,15.13,15.43,1200,10.61
2002-08-30,13.6,15.4,13.6,15.4,3000,10.59
2002-09-02,15.45,15.5,15.08,15.45,2400,10.62
2002-09-03,15.5,15.5,14.75,14.75,8100,10.14
2002-09-04,15.55,15.58,14.78,14.83,3400,10.2
2002-09-05,15.0,15.25,14.8,15.23,1500,10.47
2002-09-06,15.25,15.25,15.25,15.25,0,10.48
2002-09-09,15.13,15.25,14.45,14.53,4900,9.99
2002-09-11,14.5,15.0,14.5,14.75,3100,10.14
2002-09-12,14.13,15.25,14.13,15.1,3700,10.38
2002-09-13,15.03,15.28,15.03,15.25,3000,10.48
2002-09-16,15.1,15.45,15.08,15.25,1400,10.48
2002-09-17,15.05,15.75,15.05,15.5,4000,10.66
2002-09-18,15.5,15.95,15.43,15.6,4500,10.72
2002-09-19,16.25,16.25,15.23,15.25,1700,10.48
2002-09-20,15.73,15.75,15.25,15.28,3600,10.5
2002-09-23,15.5,15.7,15.25,15.25,100,10.48
2002-09-24,15.2,15.2,14.88,14.88,2300,10.23
2002-09-25,14.25,14.6,14.25,14.6,1000,10.04
2002-09-26,15.13,15.43,14.88,15.43,2800,10.61
2002-09-27,15.0,15.0,14.8,14.8,500,10.17
2002-09-30,14.5,14.5,14.28,14.28,100,9.82
2002-10-01,14.05,14.5,14.05,14.5,1000,9.97
2002-10-03,15.18,15.18,15.18,15.18,0,10.44
2002-10-04,14.9,14.9,14.45,14.45,200,9.93
2002-10-07,14.38,15.05,14.38,15.05,200,10.35
2002-10-08,14.55,14.55,14.38,14.48,1000,9.95
2002-10-09,14.5,14.5,14.5,14.5,100,9.97
2002-10-10,14.5,15.0,14.1,15.0,1100,10.31
2002-10-11,15.18,15.18,14.25,14.25,700,9.8
2002-10-14,14.18,14.6,14.0,14.25,2500,9.8
2002-10-16,14.38,14.38,14.3,14.3,200,9.83
2002-10-17,14.13,14.23,14.13,14.23,1200,9.78
2002-10-18,14.5,14.68,14.05,14.68,100,10.09
2002-10-21,14.25,14.25,14.0,14.0,1200,9.62
2002-10-22,13.88,14.0,13.88,13.95,3600,9.59
2002-10-23,14.0,14.0,13.25,13.25,2300,9.11
2002-10-24,13.25,13.25,13.15,13.15,1400,9.04
2002-10-25,12.95,15.23,12.88,13.25,7100,9.11
2002-10-28,13.13,13.15,13.05,13.05,700,8.97
2002-10-29,13.13,13.3,12.05,13.08,10100,8.99
2002-10-30,13.6,13.6,13.28,13.5,600,9.28
2002-10-31,13.38,13.38,13.38,13.38,200,9.2
2002-11-01,14.0,14.93,13.8,13.93,2800,9.58
2002-11-04,14.05,14.45,14.0,14.45,1000,9.93
2002-11-05,14.03,14.23,13.95,14.23,1000,9.78
2002-11-06,26.75,26.75,26.75,26.75,0,18.39
2002-11-07,13.5,14.13,13.5,13.85,1300,9.7
2002-11-08,13.88,13.88,13.5,13.5,500,9.46
2002-11-11,14.05,14.05,13.18,13.43,2600,9.41
2002-11-12,13.68,13.68,13.5,13.6,200,9.53
2002-11-13,13.7,13.78,13.63,13.63,800,9.55
2002-11-14,15.88,15.88,13.58,13.88,800,9.72
2002-11-15,14.0,14.03,13.63,13.8,1000,9.67
2002-11-18,13.88,13.88,13.45,13.45,300,9.42
2002-11-19,26.75,26.75,26.75,26.75,0,18.74
2002-11-20,13.75,13.75,13.58,13.58,600,9.51
2002-11-21,13.2,13.63,13.2,13.63,1100,9.55
2002-11-22,14.38,14.38,13.35,13.4,5800,9.39
