Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,156.9,156.9,155.3,156.4,44200,10.92
2002-07-02,157.0,158.45,156.0,157.25,36600,10.98
2002-07-03,159.3,160.5,157.85,159.15,88800,11.11
2002-07-04,160.0,160.75,159.0,160.4,23800,11.2
2002-07-05,162.0,163.9,160.3,162.75,66800,11.36
2002-07-08,163.0,164.5,160.0,161.4,93800,11.27
2002-07-09,162.0,164.0,161.35,161.95,29600,11.31
2002-07-10,160.35,162.9,160.35,161.5,17700,11.28
2002-07-11,160.0,161.25,159.9,161.25,27100,11.26
2002-07-12,160.25,162.85,160.25,161.95,13300,11.31
2002-07-15,162.55,164.0,161.0,161.3,10500,11.26
2002-07-16,160.55,163.5,160.55,163.35,15500,11.4
2002-07-17,161.5,163.0,161.15,162.75,19500,11.36
2002-07-18,158.0,158.95,151.15,153.25,24000,13.9
2002-07-19,154.8,154.8,144.1,145.4,16500,13.19
2002-07-22,141.2,143.4,133.1,134.05,69600,12.16
2002-07-23,131.3,132.0,126.25,127.45,70500,11.56
2002-07-24,129.0,129.0,125.5,126.8,91600,11.5
2002-07-25,132.0,132.0,126.0,126.25,39600,11.45
2002-07-26,125.0,131.0,125.0,127.75,50000,11.59
2002-07-29,126.0,131.0,126.0,129.5,43500,11.75
2002-07-30,131.1,132.9,130.0,130.35,167900,11.83
2002-07-31,130.15,131.95,129.0,129.25,42800,11.73
2002-08-01,130.0,130.9,127.0,130.2,19600,11.81
2002-08-02,130.0,130.0,127.25,127.4,424700,11.56
2002-08-05,128.0,129.0,124.0,124.55,46500,11.3
2002-08-06,133.0,133.0,124.2,125.65,25800,11.4
2002-08-07,127.0,127.0,123.9,124.9,29300,11.33
2002-08-08,125.75,125.75,123.6,124.05,10400,11.25
2002-08-09,124.45,124.45,120.0,123.55,35600,11.21
2002-08-12,121.6,122.7,121.1,121.3,13200,11.0
2002-08-13,122.0,123.9,122.0,122.1,6800,11.08
2002-08-14,123.35,123.35,122.2,122.75,42900,11.14
2002-08-16,123.4,125.0,123.15,124.3,5500,11.28
2002-08-19,125.0,125.0,121.85,122.35,9600,11.1
2002-08-20,123.6,123.95,120.05,120.95,25800,10.97
2002-08-21,122.8,122.8,121.05,122.3,9700,11.1
2002-08-22,123.0,123.5,122.5,122.5,1200,11.11
2002-08-23,122.65,123.75,122.65,123.25,1500,11.18
