Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,94.0,94.52,91.12,93.0,18800,9.38
2002-07-02,92.0,94.84,90.12,93.6,14300,9.44
2002-07-03,90.24,93.0,90.24,92.0,130300,9.28
2002-07-04,90.04,91.8,88.52,89.16,20000,8.99
2002-07-05,89.0,93.72,88.52,90.84,17000,9.16
2002-07-08,91.0,99.0,90.0,95.52,67100,9.63
2002-07-09,95.04,100.0,95.0,99.56,80000,10.04
2002-07-10,101.0,102.0,97.0,99.4,66500,10.02
2002-07-11,100.52,100.52,90.0,96.04,36600,9.68
2002-07-12,98.0,105.0,90.0,104.4,74200,10.53
2002-07-15,103.0,103.0,97.64,100.04,25500,10.09
2002-07-16,100.0,102.0,96.52,101.92,81400,10.28
2002-07-17,102.0,102.0,98.24,99.0,16200,9.98
2002-07-18,100.0,100.72,97.6,99.96,24000,10.08
2002-07-19,101.96,101.96,97.0,97.52,14100,9.83
2002-07-22,97.0,109.72,97.0,101.32,388400,10.22
2002-07-23,104.92,115.0,104.0,109.32,294600,11.02
2002-07-24,104.92,113.0,104.92,106.64,185800,10.75
2002-07-25,114.72,117.0,106.12,106.6,67500,10.75
2002-07-26,108.0,108.0,96.32,100.0,9265600,10.08
2002-07-29,97.04,97.52,89.56,94.72,45100,9.55
2002-07-30,95.0,95.76,89.0,89.96,23600,9.07
2002-07-31,88.0,95.52,86.0,94.92,80700,9.57
2002-08-01,98.8,98.8,91.0,92.12,18400,9.29
2002-08-02,90.04,92.0,88.0,91.32,10000,9.21
2002-08-05,95.0,95.4,92.0,92.76,47200,9.35
2002-08-06,93.0,93.52,91.0,92.04,46800,9.28
2002-08-07,93.12,94.52,93.12,93.6,15500,9.44
2002-08-08,94.52,95.4,92.16,95.0,444400,9.58
2002-08-09,97.44,98.92,94.2,97.2,27900,9.8
2002-08-12,101.0,102.0,99.12,100.2,51500,10.1
2002-08-13,103.4,103.52,100.76,101.2,25200,10.2
2002-08-14,101.96,102.44,100.0,101.96,27000,10.28
2002-08-16,102.04,102.04,100.12,100.6,9200,10.14
2002-08-19,101.0,101.0,98.36,98.56,28200,9.94
2002-08-20,101.52,102.96,96.0,101.8,60100,10.26
2002-08-21,102.64,104.0,101.44,102.36,29800,10.32
2002-08-22,104.0,105.0,101.0,101.36,42200,10.22
2002-08-23,101.52,102.72,101.0,102.52,12600,10.34
2002-08-26,100.16,106.0,100.16,105.52,214300,10.64
2002-08-27,107.0,107.0,104.56,105.56,49900,10.64
2002-08-28,105.52,108.36,105.0,108.0,45100,10.89
