Date,Open,High,Low,Close,Volume,Adj Close
2010-09-09,56.25,58.4,51.9,54.05,57942600,52.73
2010-09-13,54.0,56.25,54.0,55.9,10921800,54.53
2010-09-14,56.8,56.8,54.3,54.5,4029100,53.17
2010-09-15,55.0,55.2,53.5,53.8,1572000,52.48
2010-09-16,53.75,54.45,53.4,53.75,1438900,52.43
2010-09-17,54.2,54.4,53.5,53.95,1374200,52.63
2010-09-20,54.0,55.75,54.0,54.8,2009500,53.46
2010-09-21,55.0,55.2,53.4,54.0,1055000,52.68
2010-09-22,54.1,55.4,53.5,54.45,1269300,53.12
2010-09-23,55.0,55.0,53.7,54.1,508500,52.78
2010-09-24,54.0,54.85,53.8,54.4,448900,53.07
2010-09-27,54.7,55.6,54.3,54.65,857800,53.31
2010-09-28,55.0,60.8,54.5,60.15,11575500,58.68
2010-09-29,60.8,64.0,59.5,61.0,9407400,59.51
2010-09-30,61.25,61.4,58.5,60.45,2185000,58.97
2010-10-01,61.05,61.7,59.0,59.35,1034300,57.9
2010-10-04,59.95,60.15,57.5,57.65,991400,56.24
2010-10-05,58.0,60.6,57.15,58.9,1340700,57.46
2010-10-06,59.6,59.75,58.7,59.1,798300,57.65
2010-10-07,60.0,62.25,59.0,59.7,2030700,58.24
2010-10-08,59.9,61.3,58.0,59.35,951600,57.9
2010-10-11,59.8,60.0,57.6,57.95,825600,56.53
2010-10-12,58.25,59.3,57.5,58.0,527600,56.58
2010-10-13,58.0,61.15,58.0,60.5,1456400,59.02
2010-10-14,60.9,63.9,59.4,62.9,2037000,61.36
2010-10-15,63.7,63.7,60.25,60.95,776400,59.46
2010-10-18,61.5,62.45,59.6,60.25,652100,58.77
2010-10-19,60.45,62.2,59.9,61.15,1097000,59.65
2010-10-20,62.15,65.8,61.5,63.65,2934600,62.09
2010-10-21,63.65,66.0,62.5,65.05,2544900,63.46
2010-10-22,65.5,67.1,64.3,66.35,1578800,64.73
2010-10-25,66.95,67.5,64.35,64.8,1025600,63.21
2010-10-26,65.3,65.3,61.55,62.55,739800,61.02
2010-10-27,62.4,63.7,61.75,62.9,671500,61.36
2010-10-28,63.1,63.4,61.5,61.7,426800,60.19
2010-10-29,62.15,63.0,59.1,59.75,1125000,58.29
2010-11-01,60.65,61.95,58.0,61.7,153700,60.19
2010-11-02,62.5,62.6,61.0,61.45,293100,59.95
2010-11-03,61.45,62.5,60.4,60.75,321500,59.26
2010-11-04,62.4,63.8,61.0,62.45,660200,60.92
2010-11-05,62.95,63.75,62.5,63.35,257700,61.8
2010-11-08,63.2,63.5,61.65,63.1,186400,61.56
2010-11-09,63.25,66.0,62.15,65.6,955900,63.99
2010-11-10,66.0,66.0,63.5,63.75,255000,62.19
2010-11-11,63.95,65.2,62.8,63.25,303100,61.7
2010-11-12,63.25,63.7,60.7,61.05,400700,59.56
2010-11-15,61.5,61.7,60.0,60.65,146900,59.17
2010-11-16,60.7,61.35,57.1,58.15,386900,56.73
2010-11-18,58.6,59.2,53.5,58.05,633000,56.63
2010-11-19,58.6,58.65,56.65,57.1,176700,55.7
2010-11-22,57.95,60.0,57.5,59.7,229700,58.24
2010-11-23,57.5,59.35,57.1,58.1,492400,56.68
2010-11-24,58.6,59.65,57.5,58.0,139100,56.58
2010-11-25,58.15,58.95,57.5,58.15,146100,56.73
2010-11-26,58.25,58.95,54.5,58.0,436500,56.58
2010-11-29,58.05,60.0,56.4,58.05,241700,56.63
2010-11-30,56.6,59.45,56.6,58.95,79600,57.51
2010-12-01,58.6,60.65,58.45,60.15,132600,58.68
2010-12-02,60.95,61.3,59.6,60.65,121300,59.17
2010-12-03,60.1,60.2,58.0,58.15,101000,56.73
2010-12-06,58.65,59.4,58.05,58.4,70500,56.97
2010-12-07,58.05,58.85,57.05,58.1,92400,56.68
2010-12-08,58.1,58.3,57.0,57.5,2068700,56.09
2010-12-09,57.85,57.85,54.5,56.15,1376000,54.78
2010-12-10,55.25,57.85,54.55,57.1,121600,55.7
2010-12-13,57.25,58.55,57.0,58.1,129300,56.68
2010-12-14,57.95,58.75,57.8,58.35,42900,56.92
2010-12-15,58.4,58.4,57.35,57.95,62400,56.53
