Date,Open,High,Low,Close,Volume,Adj Close
2002-12-19,1.795,1.795,1.575,1.795,10700,0.022
2002-12-20,19.9,21.5,19.9,21.5,4500,0.265
2002-12-23,25.8,25.8,25.7,25.8,7000,0.318
2002-12-24,30.95,30.95,26.0,27.75,79000,0.342
2002-12-26,29.4,30.0,28.0,28.25,61000,0.348
2002-12-27,27.35,31.9,27.35,30.5,60000,0.376
2002-12-30,29.0,30.25,29.0,29.5,1077000,0.364
2002-12-31,29.95,32.0,29.6,31.4,2044000,0.387
2003-01-01,31.9,33.25,30.65,31.45,1152000,0.388
2003-01-02,32.35,37.7,32.35,37.6,4288000,0.464
2003-01-03,38.2,41.7,38.2,39.5,5768000,0.487
2003-01-06,41.4,42.9,37.3,38.3,942000,0.472
2003-01-07,39.7,40.4,36.0,38.1,1534000,0.47
2003-01-08,39.75,39.75,38.0,38.35,1701000,0.473
2003-01-09,39.45,39.5,37.75,38.0,1341000,0.469
2003-01-10,39.4,43.0,38.4,41.8,1166000,0.515
2003-01-13,42.0,50.0,41.15,47.9,3429000,0.591
2003-01-14,49.0,49.7,45.25,45.8,631000,0.565
2003-01-15,47.5,48.0,45.5,45.8,1344000,0.565
2003-01-16,46.8,47.0,44.0,44.9,1146000,0.554
2003-01-17,45.9,52.9,45.0,48.9,2204000,0.603
2003-01-20,49.5,52.4,47.5,48.45,3565000,0.597
2003-01-21,49.0,49.4,45.75,47.8,701000,0.589
2003-01-22,47.0,48.0,45.1,45.3,597000,0.559
2003-01-23,44.9,45.8,39.05,39.7,499000,0.49
2003-01-24,38.5,40.0,37.0,38.95,2347000,0.48
2003-01-27,38.0,39.0,31.55,32.15,161000,0.396
2003-01-28,33.0,36.3,32.95,34.5,170000,0.425
2003-01-29,35.9,35.95,33.0,33.95,563000,0.419
2003-01-30,34.9,34.9,32.0,32.0,532000,0.395
2003-01-31,30.5,34.9,30.2,34.25,455000,0.422
2003-02-03,33.0,33.5,31.7,31.85,296000,0.393
2003-02-04,32.1,34.0,32.0,32.35,380000,0.399
2003-02-05,34.75,34.75,31.0,31.35,382000,0.387
2003-02-06,32.4,32.4,29.95,30.1,239000,0.371
2003-02-07,31.2,31.45,30.1,30.5,366000,0.376
2003-02-10,31.8,31.8,30.35,30.4,307000,0.375
2003-02-11,31.8,31.8,29.0,29.15,222000,0.359
2003-02-12,31.35,31.35,26.5,27.75,174000,0.342
2003-02-14,30.0,30.0,27.75,28.35,473000,0.35
2003-02-17,28.55,30.0,27.8,29.2,298000,0.36
2003-02-18,31.75,31.75,28.25,28.6,212000,0.353
2003-02-19,29.35,30.0,27.85,29.15,574000,0.359
2003-02-20,29.25,30.1,28.85,30.0,262000,0.37
2003-02-21,30.0,30.5,29.45,30.0,374000,0.37
2003-02-24,30.0,32.35,29.65,30.95,623000,0.382
2003-02-25,29.5,31.0,29.5,30.3,176000,0.374
2003-02-26,31.0,31.6,30.0,30.1,152000,0.371
2003-02-27,29.95,31.4,29.95,30.4,410000,0.375
2003-02-28,31.5,31.6,29.65,29.95,324000,0.369
2003-03-03,29.6,33.0,29.2,31.05,370000,0.383
2003-03-04,31.0,31.5,30.65,30.75,357000,0.379
2003-03-05,30.85,30.9,29.6,29.75,315000,0.367
2003-03-06,29.6,30.45,29.0,29.75,212000,0.367
2003-03-07,30.0,30.3,28.55,29.2,265000,0.36
2003-03-10,29.9,29.9,27.8,28.0,332000,0.345
2003-03-11,29.0,29.45,28.5,29.0,429000,0.358
2003-03-12,29.75,29.75,28.0,28.2,508000,0.348
2003-03-13,28.1,28.75,27.7,28.05,168000,0.346
2003-03-17,28.35,28.35,27.0,28.0,37000,0.345
2003-03-19,29.9,30.25,28.5,28.5,804000,0.351
2003-03-20,28.9,30.2,28.5,29.5,284000,0.364
2003-03-21,29.9,30.0,29.5,29.65,53000,0.366
2003-03-24,29.4,29.95,28.75,29.5,549000,0.364
2003-03-25,29.15,29.4,28.0,28.85,542000,0.356
2003-03-26,29.1,30.6,28.45,30.0,1121000,0.37
2003-03-27,29.4,30.0,28.75,29.7,733000,0.366
2003-03-28,29.55,30.0,28.0,29.75,618000,0.367
2003-03-31,30.0,30.0,28.85,28.95,1042000,0.357
2003-04-01,29.0,30.5,29.0,30.0,555000,0.37
2003-04-02,31.15,31.2,29.4,30.65,517000,0.378
2003-04-03,30.75,30.75,29.65,29.95,392000,0.369
2003-04-04,30.05,31.45,30.0,30.4,480000,0.375
2003-04-07,30.0,33.5,30.0,32.3,836000,0.398
2003-04-08,31.75,32.0,30.0,31.2,702000,0.385
2003-04-09,31.7,31.75,31.0,31.3,369000,0.386
2003-04-10,30.05,31.0,29.3,29.3,308000,0.361
2003-04-11,29.4,31.0,29.4,30.6,373000,0.377
2003-04-15,30.75,31.45,30.0,30.5,708000,0.376
2003-04-16,30.55,30.75,29.3,30.15,430000,0.372
2003-04-17,30.0,33.9,29.5,33.55,1963000,0.414
2003-04-21,35.8,40.25,35.0,39.3,2029000,0.485
2003-04-22,42.0,43.5,41.0,42.75,1721000,0.527
2003-04-23,44.0,45.0,41.7,42.2,960000,0.52
2003-04-24,42.5,43.1,39.9,40.9,1003000,0.504
2003-04-25,42.0,42.0,38.75,39.2,744000,0.483
2003-04-28,41.9,41.9,40.0,40.1,647000,0.494
2003-04-29,42.8,42.8,39.0,40.7,548000,0.502
2003-04-30,42.0,42.5,40.0,41.0,736000,0.506
2003-05-02,41.9,41.95,40.85,41.55,402000,0.512
2003-05-05,41.65,44.45,41.65,43.9,824000,0.541
2003-05-06,43.7,43.8,42.1,43.4,687000,0.535
2003-05-07,43.5,47.7,42.0,47.7,547000,0.588
2003-05-08,49.9,49.9,47.0,47.15,2098000,0.581
2003-05-09,47.1,47.6,46.0,46.5,768000,0.573
2003-05-12,47.05,47.75,45.5,47.0,778000,0.58
2003-05-13,49.8,51.0,46.35,47.65,2763000,0.588
2003-05-14,47.75,51.7,47.75,51.6,3920000,0.636
2003-05-15,52.5,54.0,51.5,51.75,3374000,0.638
2003-05-16,54.05,55.1,51.85,53.55,1819000,0.66
2003-05-19,55.8,55.9,53.5,53.9,850000,0.665
2003-05-20,54.0,55.4,52.5,54.85,924000,0.676
2003-05-21,55.0,55.9,53.0,55.05,1219000,0.679
2003-05-22,54.0,56.9,50.0,52.05,9983000,0.642
2003-05-23,53.0,54.5,52.75,53.4,1699000,0.658
2003-05-26,53.0,56.0,52.5,55.5,1813000,0.684
2003-05-27,55.6,57.5,55.0,56.5,1909000,0.697
2003-05-28,58.4,59.0,56.5,56.95,1420000,0.702
2003-05-29,59.4,59.8,57.0,57.7,1673000,0.711
2003-05-30,59.0,59.5,57.5,58.2,1488000,0.718
2003-06-02,58.0,58.9,55.05,56.25,1078000,0.694
2003-06-03,57.45,57.5,55.0,55.2,1330000,0.681
2003-06-04,54.25,56.0,54.0,55.25,1222000,0.681
2003-06-05,55.9,57.45,55.3,55.5,1319000,0.684
2003-06-06,56.5,57.4,54.0,56.9,1752000,0.702
2003-06-09,57.25,60.0,57.25,59.65,1517000,0.736
2003-06-10,62.0,62.05,54.2,56.45,1253000,0.696
2003-06-11,59.0,61.9,58.0,61.7,1522000,0.761
2003-06-12,62.8,63.7,59.65,60.85,1505000,0.75
2003-06-13,61.7,62.65,58.15,59.8,1262000,0.737
2003-06-16,62.0,62.7,58.0,59.0,6072000,0.728
2003-06-17,62.0,62.0,59.0,59.15,1427000,0.729
2003-06-18,60.25,60.25,57.0,59.25,1580000,0.731
2003-06-19,60.25,60.5,58.25,58.85,1419000,0.726
2003-06-20,59.05,59.5,57.25,57.6,1005000,0.71
2003-06-23,58.0,59.35,55.0,56.5,1316000,0.697
2003-06-24,57.35,58.3,56.5,57.25,1494000,0.706
2003-06-25,57.35,58.75,56.75,57.15,1191000,0.705
2003-06-26,57.75,58.4,56.25,57.3,1445000,0.707
2003-06-27,57.9,59.5,56.75,57.3,1732000,0.707
2003-06-30,58.05,58.2,56.3,56.9,1330000,0.702
2003-07-01,58.65,61.5,56.25,56.75,1655000,0.7
2003-07-02,58.25,58.9,54.9,56.45,1325000,0.696
2003-07-03,57.75,62.05,57.75,62.05,891000,0.765
2003-07-04,68.2,68.25,68.2,68.25,234000,0.842
2003-07-07,75.0,75.05,70.0,75.0,3962000,0.925
2003-07-08,76.85,79.9,69.95,70.65,2322000,0.871
2003-07-09,72.0,72.35,63.6,66.3,1969000,0.818
2003-07-10,67.25,68.9,66.5,68.2,2491000,0.841
2003-07-11,70.0,75.0,68.0,69.4,1113000,0.856
2003-07-14,73.4,76.3,73.4,76.3,3113000,0.941
2003-07-15,77.75,80.95,70.55,74.85,1274000,0.923
2003-07-16,67.5,77.0,67.5,75.55,1516000,0.932
