Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,435.0,440.6,418.5,440.0,2664300,30.39
2000-01-04,440.0,440.0,420.0,437.0,1059500,30.18
2000-01-05,426.0,447.0,415.0,430.0,1731000,29.7
2000-01-06,438.0,464.35,438.0,464.35,218000,32.07
2000-01-07,495.0,501.45,495.0,501.45,582500,34.63
2000-01-10,541.55,541.55,481.0,510.0,2131400,35.22
2000-01-11,496.25,505.0,469.25,469.3,666200,32.41
2000-01-12,463.5,469.25,435.0,466.0,670200,32.18
2000-01-13,465.0,477.0,444.0,460.0,534800,31.77
2000-01-14,461.0,461.0,423.25,430.0,812600,29.7
2000-01-17,442.5,456.5,440.05,451.0,1042600,31.15
2000-01-18,455.0,462.0,430.0,430.0,1498100,29.7
2000-01-19,442.0,448.0,405.0,425.0,1559100,29.35
2000-01-20,428.65,438.0,421.15,430.0,1162400,29.7
2000-01-21,425.0,425.0,404.0,405.1,838200,27.98
2000-01-24,411.75,426.4,411.75,418.0,1215900,28.87
2000-01-25,412.0,417.0,384.6,394.5,1217600,27.24
2000-01-26,394.5,394.5,394.5,394.5,0,27.24
2000-01-27,396.8,408.7,390.0,390.0,1924800,26.93
2000-01-28,397.0,409.0,380.05,384.0,1228300,26.52
2000-01-31,399.0,399.0,374.0,379.0,1334700,26.17
2000-02-01,380.0,382.75,369.0,369.0,1181800,25.48
2000-02-02,374.95,379.05,368.0,370.0,1330900,25.55
2000-02-03,370.0,370.0,370.0,370.0,0,25.55
2000-02-04,378.0,379.0,368.0,370.0,1373300,25.55
2000-02-07,379.0,379.9,370.4,378.0,2203700,26.1
2000-02-08,379.0,408.2,379.0,408.2,3264200,28.19
2000-02-09,416.9,434.9,401.55,409.0,3116100,28.25
2000-02-10,410.0,412.5,395.0,400.0,1127200,27.62
2000-02-11,401.1,401.1,373.0,381.0,2492800,26.31
2000-02-14,385.0,389.0,365.3,370.0,1008900,25.55
2000-02-15,363.0,370.0,353.0,361.0,838600,24.93
2000-02-16,358.0,369.0,358.0,364.1,800800,25.14
2000-02-17,364.0,367.0,354.0,360.0,424700,24.86
2000-02-18,355.05,362.0,334.5,338.45,1363300,23.37
2000-02-21,345.0,350.0,311.4,311.4,1989300,21.51
2000-02-22,314.1,314.1,291.0,293.95,1749000,20.3
2000-02-23,287.0,297.5,281.0,287.0,1257200,19.82
2000-02-24,290.0,293.5,272.2,278.0,1188200,19.2
2000-02-25,278.0,300.2,278.0,300.2,1725200,20.73
2000-02-28,314.05,324.2,314.0,324.2,554700,22.39
2000-02-29,344.05,350.1,307.0,319.1,3214100,22.04
2000-03-01,331.0,332.0,301.0,323.5,550800,22.34
2000-03-02,328.0,349.35,328.0,349.35,1571900,24.13
2000-03-03,364.95,374.4,340.0,361.7,1907400,24.98
2000-03-06,385.0,385.0,356.0,372.25,793200,25.71
2000-03-07,378.25,381.0,342.5,345.0,615800,23.83
2000-03-08,342.9,372.55,340.0,365.0,1142400,25.21
2000-03-09,368.0,374.95,350.0,371.0,741200,25.62
2000-03-10,367.0,369.0,348.0,350.0,934800,24.17
2000-03-13,350.0,350.0,350.0,350.0,0,24.17
2000-03-14,338.0,338.0,317.0,320.0,688600,22.1
2000-03-15,320.0,329.0,314.5,324.25,265700,22.39
2000-03-16,318.0,333.0,310.0,310.0,925400,21.41
2000-03-17,310.0,310.0,310.0,310.0,0,21.41
2000-03-20,310.0,310.0,310.0,310.0,0,21.41
2000-03-21,328.7,328.7,285.25,285.25,766200,19.7
2000-03-22,277.0,296.0,274.0,286.9,956000,19.81
2000-03-23,287.0,287.0,275.0,277.95,353500,19.2
2000-03-24,280.0,280.0,263.05,266.45,365400,18.4
2000-03-27,265.0,287.0,265.0,281.0,308700,19.41
2000-03-28,280.0,289.0,272.8,288.0,610500,19.89
2000-03-29,287.0,291.0,281.1,288.0,405300,19.89
2000-03-30,279.1,287.0,276.0,285.0,367700,19.68
2000-03-31,278.0,307.75,278.0,303.0,767600,20.93
2000-04-03,315.0,327.2,310.0,318.95,1531300,22.03
2000-04-04,311.25,338.0,295.1,321.0,1702300,22.17
2000-04-05,323.0,344.9,315.0,336.0,963400,23.2
2000-04-06,341.0,341.0,317.0,333.1,724600,23.0
2000-04-07,328.2,359.7,328.0,359.7,835700,24.84
2000-04-10,379.8,388.45,365.0,388.45,1310000,29.27
2000-04-11,388.45,388.45,388.45,388.45,0,29.27
2000-04-12,376.0,378.0,358.0,360.0,305700,27.12
2000-04-13,351.25,369.8,340.0,369.0,501800,27.8
2000-04-14,369.0,369.0,369.0,369.0,0,27.8
2000-04-17,354.0,379.0,345.0,355.0,975400,26.75
2000-04-18,359.9,376.0,355.0,369.0,567900,27.8
2000-04-19,373.0,379.0,365.0,375.0,596100,28.25
2000-04-20,371.0,380.0,361.5,377.0,511700,28.4
2000-04-21,377.0,377.0,377.0,377.0,0,28.4
2000-04-24,377.0,377.0,377.0,377.0,0,28.4
2000-04-25,375.0,383.5,360.0,379.05,1933000,28.56
2000-04-26,379.05,379.05,379.05,379.05,0,28.56
2000-04-27,363.75,363.75,336.8,342.5,2182300,25.81
2000-04-28,345.0,362.25,331.5,360.0,1110100,27.12
2000-05-01,360.0,360.0,360.0,360.0,0,27.12
2000-05-02,357.0,364.9,324.0,330.0,702800,24.86
2000-05-03,330.0,330.0,330.0,330.0,0,24.86
2000-05-04,325.0,329.45,303.1,309.0,644000,23.28
