Date,Open,High,Low,Close,Volume,Adj Close
2001-07-04,32.3,32.3,32.3,32.3,10000,0.674
2001-07-11,32.15,32.15,32.15,32.15,20000,0.671
2002-01-03,46.0,46.0,46.0,46.0,0,0.964
2002-02-01,47.8,47.8,47.8,47.8,50000,1.002
2002-02-13,45.9,45.9,45.9,45.9,2000,0.962
2002-02-14,44.1,44.1,44.1,44.1,1000,0.924
2002-02-15,42.35,42.35,42.35,42.35,1000,0.887
2002-02-20,33.9,33.9,33.9,33.9,1000,0.71
2002-02-22,27.15,27.15,27.15,27.15,1000,0.569
2002-02-25,21.75,21.75,21.75,21.75,10100,0.456
2002-02-26,17.45,17.6,17.45,17.6,9700,0.369
2002-02-27,14.25,15.05,14.1,14.1,22700,0.295
2002-03-01,15.1,15.1,15.1,15.1,1000,0.316
2002-03-04,15.7,15.7,15.7,15.7,1000,0.329
2002-03-05,16.0,16.0,15.1,15.1,4000,0.316
2002-03-06,14.5,14.5,14.5,14.5,500,0.304
2002-03-13,14.0,14.0,14.0,14.0,500,0.293
2002-03-14,14.55,14.55,14.55,14.55,100,0.305
2002-03-15,14.0,14.0,14.0,14.0,100,0.293
2002-03-20,13.45,13.45,13.45,13.45,10000,0.282
2002-04-04,13.5,13.5,13.5,13.5,0,0.283
2002-04-15,14.15,14.15,14.15,14.15,1000,0.296
2002-04-17,14.5,14.5,13.45,13.45,6900,0.282
2002-04-19,13.25,13.25,13.25,13.25,100,0.278
2002-04-22,13.55,13.55,13.5,13.5,10500,0.283
2002-04-23,12.85,14.1,12.85,14.1,11000,0.295
2002-04-24,14.3,14.3,14.0,14.0,16000,0.293
2002-04-25,14.05,14.7,14.0,14.5,17000,0.304
2002-04-26,14.15,14.15,14.1,14.1,6000,0.295
2002-04-30,14.2,14.2,14.0,14.0,6000,0.293
2002-05-03,13.35,13.35,13.35,13.35,4900,0.28
2002-05-08,14.0,14.0,14.0,14.0,0,0.293
2002-05-09,14.65,14.65,14.65,14.65,1000,0.307
2002-05-14,13.95,15.35,13.95,15.35,1000,0.322
2002-05-15,14.6,14.7,14.6,14.6,7100,0.306
2002-05-16,15.3,15.3,13.9,14.45,7200,0.303
2002-05-17,15.15,15.15,13.75,13.75,27500,0.288
2002-05-23,13.9,13.9,13.9,13.9,1000,0.291
2002-05-24,14.4,14.5,14.4,14.5,5000,0.304
2002-05-28,15.15,15.15,15.15,15.15,2000,0.317
2002-06-13,14.45,15.85,14.45,15.6,1600,0.327
2002-06-14,15.1,15.1,14.85,14.85,4000,0.311
2002-06-17,14.85,14.85,14.85,14.85,3000,0.311
2002-06-18,15.0,15.0,15.0,15.0,1000,0.314
2002-06-19,14.3,14.3,14.3,14.3,6000,0.3
2002-06-20,15.0,15.0,14.95,14.95,7500,0.313
2002-06-21,14.5,14.5,14.5,14.5,4500,0.304
2002-06-24,15.1,15.15,15.1,15.15,28200,0.317
2002-06-26,15.15,15.25,14.5,15.15,4200,0.317
2002-08-08,15.35,15.35,14.2,14.2,2000,0.298
2002-08-16,14.0,14.0,13.5,13.5,1700,0.284
2002-08-23,13.0,13.0,13.0,13.0,2000,0.273
2002-08-26,12.4,12.4,12.4,12.4,1000,0.261
2002-08-28,11.8,12.4,11.8,12.4,3000,0.261
2002-08-30,12.95,13.0,12.95,12.95,3000,0.272
2002-09-02,13.55,13.55,13.55,13.55,2000,0.285
2002-09-03,14.2,14.2,14.2,14.2,1000,0.298
2002-09-05,14.75,14.75,14.75,14.75,0,0.31
2002-09-12,14.05,14.05,14.05,14.05,200,0.295
2002-09-13,13.35,13.35,13.35,13.35,100,0.281
2002-09-17,12.7,12.7,12.7,12.7,2000,0.267
2002-09-19,12.7,12.7,12.7,12.7,1000,0.267
2002-09-20,12.7,12.7,12.7,12.7,700,0.267
2002-09-24,12.1,12.1,12.1,12.1,500,0.254
2002-09-25,11.5,11.5,11.5,11.5,500,0.242
2002-09-26,11.45,11.45,11.45,11.45,1000,0.241
2002-09-27,10.9,10.9,10.9,10.9,700,0.229
2002-09-30,10.5,10.5,10.4,10.4,1000,0.219
2002-10-01,10.4,10.4,10.4,10.4,5800,0.219
2002-10-03,10.0,10.4,10.0,10.4,3000,0.219
2002-10-04,10.25,10.25,10.25,10.25,1000,0.215
2002-10-07,9.8,9.8,9.8,9.8,700,0.206
2002-10-08,10.25,10.25,10.25,10.25,2200,0.215
2002-10-14,10.05,10.05,10.05,10.05,3000,0.211
2002-10-29,10.55,10.55,10.55,10.55,1000,0.222
2002-11-22,10.55,10.55,10.55,10.55,0,0.222
2002-11-28,8.6,8.6,8.6,8.6,1000,0.181
2002-12-02,10.3,10.3,10.3,10.3,1000,0.216
2003-01-02,9.0,9.0,9.0,9.0,500,0.189
2003-01-03,10.8,10.8,10.8,10.8,1000,0.227
2003-01-07,9.25,9.25,9.25,9.25,1000,0.194
2003-01-28,9.2,9.2,9.2,9.2,1000,0.193
2003-01-31,9.0,9.0,9.0,9.0,500,0.189
2003-02-04,10.0,10.0,10.0,10.0,1500,0.21
2003-02-05,10.0,10.0,10.0,10.0,500,0.21
