Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,22.73,22.94,22.61,22.94,1000,1.453
2002-07-02,27.0,27.0,22.69,23.31,9200,1.476
2002-07-03,24.0,27.98,23.75,27.98,31200,1.772
2002-07-04,28.31,28.98,26.0,26.71,10500,1.691
2002-07-05,26.75,28.13,26.25,26.25,2700,1.662
2002-07-08,27.48,28.56,27.25,27.5,3800,1.741
2002-07-09,29.2,29.2,27.5,27.75,5700,1.757
2002-07-10,26.25,28.25,26.25,28.23,2100,1.788
2002-07-11,26.88,27.0,26.28,26.5,3200,1.678
2002-07-12,27.0,27.75,26.75,26.76,5200,1.694
2002-07-15,26.75,26.75,26.0,26.25,700,1.662
2002-07-16,25.0,25.48,25.0,25.13,900,1.591
2002-07-17,25.0,26.0,24.5,24.89,600,1.576
2002-07-18,24.78,24.95,24.53,24.95,600,1.58
2002-07-19,24.38,24.99,24.26,24.99,600,1.582
2002-07-22,23.75,23.75,23.08,23.08,600,1.461
2002-07-23,23.25,23.75,22.95,23.58,1200,1.493
2002-07-24,22.84,22.89,22.84,22.89,300,1.449
2002-07-25,23.04,23.04,23.04,23.04,100,1.459
2002-07-26,22.89,22.91,22.88,22.91,400,1.451
2002-07-29,22.51,22.54,22.5,22.5,900,1.425
2002-07-30,23.25,23.25,21.25,21.25,3700,1.346
2002-07-31,21.91,21.93,20.63,21.0,1600,1.33
2002-08-02,21.98,22.0,21.98,22.0,900,1.393
2002-08-05,20.31,22.5,20.31,22.5,50200,1.425
2002-08-06,20.0,24.73,20.0,23.96,51100,1.517
2002-08-08,23.58,24.44,23.51,23.75,1600,1.504
2002-08-09,23.73,23.75,23.29,23.29,1200,1.475
2002-08-12,22.78,22.78,21.76,21.94,400,1.389
2002-08-13,20.13,23.13,20.13,22.75,40700,1.441
2002-08-16,21.38,22.98,21.38,22.98,500,1.455
2002-08-19,22.5,23.75,22.5,22.83,1500,1.446
2002-08-20,22.5,22.5,22.08,22.38,600,1.417
2002-08-22,22.5,22.5,22.5,22.5,200,1.425
2002-08-23,22.25,22.25,22.25,22.25,100,1.409
2002-08-26,22.5,22.5,21.83,21.83,200,1.382
2002-08-27,21.89,21.89,21.89,21.89,0,1.386
2002-08-28,21.63,21.63,21.63,21.63,100,1.37
2002-08-30,21.75,22.0,21.45,21.45,500,1.358
2002-09-02,21.75,21.75,21.75,21.75,200,1.377
2002-09-03,21.6,21.88,21.25,21.28,500,1.347
2002-09-04,21.25,21.25,21.25,21.25,0,1.346
2002-09-12,20.53,20.53,20.5,20.5,400,1.298
2002-09-13,21.23,21.23,21.23,21.23,200,1.344
2002-09-16,21.25,21.25,20.88,20.88,100,1.322
2002-09-18,21.26,21.5,21.25,21.5,700,1.361
2002-09-19,21.0,21.0,21.0,21.0,100,1.33
2002-09-20,20.5,20.5,20.5,20.5,400,1.298
2002-09-24,20.28,20.5,20.28,20.5,400,1.298
2002-09-25,20.5,20.5,20.5,20.5,400,1.298
2002-09-27,19.19,20.0,19.13,19.14,500,1.212
2002-09-30,18.53,18.53,18.39,18.39,2200,1.164
2002-10-01,18.25,18.75,18.05,18.5,400,1.171
2002-10-03,18.81,18.81,18.0,18.28,1300,1.158
2002-10-04,18.39,18.39,18.39,18.39,0,1.164
2002-10-09,19.38,19.38,18.75,18.75,200,1.187
2002-10-11,19.25,19.25,19.25,19.25,0,1.219
2002-10-14,18.56,18.56,18.5,18.5,100,1.171
2002-10-16,18.51,18.96,18.51,18.96,300,1.201
2002-10-17,18.45,18.45,18.44,18.44,400,1.168
2002-10-18,18.5,18.5,18.5,18.5,100,1.171
2002-10-21,18.75,18.75,18.5,18.5,300,1.171
2002-10-22,18.31,18.31,18.31,18.31,100,1.159
2002-10-23,17.5,17.5,17.5,17.5,600,1.108
2002-10-24,18.0,18.0,18.0,18.0,400,1.14
2002-10-25,17.38,18.25,17.38,17.5,300,1.108
2002-10-28,17.01,17.51,17.01,17.5,600,1.108
2002-10-29,17.25,17.28,17.14,17.14,300,1.085
2002-10-30,17.61,17.63,17.61,17.63,100,1.116
2002-10-31,18.49,19.0,18.49,18.63,700,1.18
2002-11-01,18.99,19.0,18.51,18.54,100,1.174
2002-11-04,19.18,19.18,19.0,19.14,400,1.212
2002-11-05,19.35,19.35,19.06,19.25,600,1.219
2002-11-07,20.0,20.5,19.13,20.49,600,1.297
2002-11-08,20.5,20.5,20.13,20.38,1500,1.29
2002-11-11,20.03,20.03,20.0,20.0,1100,1.266
2002-11-12,20.06,20.06,19.5,19.75,900,1.251
2002-11-13,19.75,19.75,19.56,19.56,400,1.239
2002-11-14,19.5,19.71,19.25,19.56,1700,1.239
2002-11-15,20.0,20.0,18.75,18.75,1500,1.187
2002-11-18,18.63,19.56,18.63,19.56,180700,1.239
2002-11-20,20.0,20.5,19.59,19.7,2600,1.247
2002-11-21,19.76,20.5,19.76,20.0,2900,1.266
2002-11-22,19.75,20.13,19.75,20.13,700,1.275
2002-11-25,20.06,21.2,20.06,20.63,2400,1.306
2002-11-26,21.5,21.5,21.5,21.5,0,1.361
2002-11-27,22.5,22.5,20.25,20.44,1000,1.294
2002-11-28,20.44,20.75,20.44,20.75,1000,1.314
2002-11-29,20.01,20.01,19.89,20.0,3000,1.266
2002-12-02,19.75,20.63,19.55,20.0,1500,1.266
2002-12-03,20.0,20.0,20.0,20.0,2900,1.266
2002-12-04,20.99,20.99,19.53,19.61,3500,1.242
2002-12-05,19.43,20.0,19.43,20.0,5500,1.266
2002-12-06,20.0,20.25,20.0,20.0,9300,1.266
2002-12-09,20.0,20.0,19.56,19.63,6800,1.243
2002-12-10,19.58,20.5,19.58,20.5,21600,1.298
2002-12-11,21.25,23.75,21.24,21.81,3300,1.381
2002-12-12,22.0,22.23,21.25,22.13,900,1.401
2002-12-13,22.25,22.48,21.88,21.88,4300,1.385
2002-12-16,22.25,22.75,21.76,22.75,3200,1.441
2002-12-17,22.31,22.31,21.64,21.74,1100,1.377
2002-12-18,21.5,21.5,21.49,21.5,1600,1.361
2002-12-19,20.75,22.0,20.75,21.51,1300,1.362
