Date,Open,High,Low,Close,Volume,Adj Close
1992-03-02,150.0,170.0,150.0,160.0,0,160.0
1992-03-03,165.0,180.0,165.0,175.0,0,175.0
1992-03-09,170.0,180.0,170.0,175.0,0,175.0
1992-03-10,175.0,180.0,165.0,165.0,0,165.0
1992-03-11,160.0,172.5,160.0,170.0,0,170.0
1992-03-12,170.0,185.0,170.0,180.0,0,180.0
1992-03-13,180.0,210.0,180.0,190.0,0,190.0
1992-03-17,220.0,220.0,200.0,210.0,0,210.0
1992-03-18,190.0,210.0,190.0,210.0,0,210.0
1992-03-20,200.0,215.0,200.0,210.0,0,210.0
1992-03-24,240.0,280.0,225.0,265.0,0,265.0
1992-03-25,290.0,290.0,260.0,280.0,0,280.0
1992-03-27,290.0,290.0,250.0,270.0,0,270.0
1992-03-30,275.0,300.0,260.0,280.0,0,280.0
1992-03-31,260.0,280.0,260.0,270.0,0,270.0
1995-05-02,47.5,50.0,47.5,50.0,0,50.0
1995-05-03,45.0,48.75,45.0,45.0,0,45.0
1995-05-04,46.25,50.0,46.25,50.0,0,50.0
1995-05-05,52.5,52.5,52.5,52.5,0,52.5
1995-05-08,52.5,53.75,51.25,53.75,0,53.75
1995-05-10,52.5,55.0,52.5,55.0,0,55.0
1995-05-12,51.25,53.75,50.0,53.75,0,53.75
1995-05-15,53.75,53.75,51.25,51.25,0,51.25
1995-05-16,50.0,51.25,47.5,51.25,0,51.25
1995-05-17,50.0,51.25,50.0,51.25,0,51.25
1995-05-18,51.0,52.5,47.5,52.5,0,52.5
1995-05-19,51.0,51.5,50.0,51.0,0,51.0
1995-05-22,50.0,52.5,50.0,52.5,0,52.5
1995-05-23,50.0,52.0,50.0,52.0,0,52.0
1995-05-24,50.0,52.0,50.0,52.0,0,52.0
1995-05-25,50.0,52.5,50.0,52.5,0,52.5
1995-05-26,49.0,51.0,49.0,51.0,0,51.0
1995-05-29,49.0,50.0,47.5,50.0,0,50.0
1995-05-30,47.5,50.0,47.5,50.0,0,50.0
1995-05-31,49.5,49.5,46.5,48.0,0,48.0
1996-04-15,36.5,37.5,36.5,37.5,1300,37.5
1996-04-16,37.25,37.25,37.0,37.0,7200,37.0
1996-04-17,37.5,38.0,37.0,38.0,5200,38.0
1996-04-18,38.0,39.0,38.0,39.0,6200,39.0
1996-04-22,38.0,39.0,38.0,38.0,1900,38.0
1996-04-23,38.0,38.0,38.0,38.0,2700,38.0
1996-04-24,38.0,38.0,37.0,37.25,7000,37.25
1996-04-25,38.0,39.0,38.0,39.0,1100,39.0
1996-04-26,36.0,37.0,35.0,37.0,1400,37.0
1996-04-30,33.5,37.25,33.5,37.0,800,37.0
1996-05-02,36.0,37.0,36.0,36.5,6700,36.5
1996-05-03,39.0,39.0,36.5,37.0,3500,37.0
1996-05-06,34.0,35.0,33.25,34.5,700,34.5
1996-05-08,34.0,34.5,33.0,34.25,1800,34.25
1996-05-09,35.0,35.0,34.25,34.25,1100,34.25
1996-05-10,34.0,34.0,30.0,32.0,7600,32.0
1996-05-13,33.5,34.5,33.5,34.5,2900,34.5
1996-05-14,34.0,34.0,33.75,34.0,2300,34.0
1996-05-15,34.0,34.0,33.5,33.5,1000,33.5
1996-05-16,36.0,36.0,34.0,34.5,1600,34.5
1996-05-17,33.5,34.5,33.5,34.0,6700,34.0
1996-05-20,33.5,34.0,33.0,34.0,2600,34.0
1996-05-21,32.5,33.0,32.5,33.0,3500,33.0
1996-05-22,33.0,33.25,32.0,33.0,2500,33.0
1996-05-23,32.5,32.5,32.0,32.0,700,32.0
1996-05-24,33.0,33.0,31.0,31.75,2800,31.75
1996-05-27,31.0,32.0,31.0,32.0,300,32.0
1996-05-28,30.75,31.5,30.5,31.5,3500,31.5
1996-05-29,32.5,33.75,32.5,33.75,700,33.75
1996-05-30,34.25,34.5,34.25,34.5,300,34.5
1996-05-31,35.0,36.0,34.0,34.75,3600,34.75
1996-06-03,36.0,36.5,36.0,36.0,2400,36.0
1996-06-04,36.5,36.5,35.5,35.5,1800,35.5
1996-06-05,35.75,36.5,35.0,36.0,3800,36.0
1996-06-06,37.5,37.5,36.0,36.0,2100,36.0
1996-06-07,35.0,35.75,34.5,34.5,2900,34.5
1996-06-10,35.0,35.5,35.0,35.5,300,35.5
1996-06-11,35.0,35.0,34.5,34.5,200,34.5
1996-06-12,34.0,35.5,34.0,35.0,800,35.0
1996-06-13,35.25,35.25,35.0,35.0,700,35.0
1996-06-14,37.0,37.0,35.0,35.0,900,35.0
1996-06-17,35.0,36.25,35.0,36.25,1300,36.25
1996-06-18,34.5,34.5,34.0,34.0,2300,34.0
1996-06-19,33.0,34.0,33.0,33.0,5800,33.0
1996-06-20,33.0,33.0,32.0,32.0,400,32.0
1996-06-21,32.5,33.0,30.0,32.0,1700,32.0
1996-06-25,31.0,33.0,31.0,33.0,1800,33.0
1996-06-26,31.0,33.75,31.0,33.0,1100,33.0
1996-06-27,32.0,33.0,32.0,33.0,400,33.0
1996-06-28,33.0,33.0,32.5,32.5,1000,32.5
1996-07-01,33.0,33.0,31.0,31.0,400,31.0
1996-07-02,32.0,32.0,31.0,31.0,1900,31.0
1996-07-03,30.0,31.0,30.0,30.0,900,30.0
1996-07-04,30.5,31.0,30.0,30.0,400,30.0
1996-07-05,30.0,30.5,30.0,30.0,800,30.0
1996-07-08,30.5,32.0,30.5,32.0,1100,32.0
1996-07-09,31.0,31.0,30.0,30.0,1300,30.0
1996-07-10,30.0,30.0,29.25,29.25,4400,29.25
1996-07-11,30.0,30.25,29.5,30.25,1400,30.25
1996-07-12,31.0,31.0,30.5,31.0,6300,31.0
1996-07-15,31.5,31.5,30.0,30.0,1800,30.0
1996-07-16,31.0,31.0,29.5,29.5,3200,29.5
1996-07-17,30.0,30.0,29.25,29.25,3300,29.25
1996-07-18,29.75,30.0,29.75,30.0,700,30.0
1996-07-19,31.0,31.0,29.0,29.25,6900,29.25
1996-07-22,29.5,30.25,29.25,29.5,5200,29.5
1996-07-23,29.0,29.25,29.0,29.25,1500,29.25
1996-07-24,28.0,29.0,26.5,26.75,2200,26.75
