Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,17.5,18.65,16.0,18.65,58900,18.65
2000-01-04,19.25,20.5,16.05,17.1,23300,17.1
2000-01-05,15.0,16.85,15.0,15.9,18400,15.9
2000-01-06,15.05,15.95,15.0,15.75,14300,15.75
2000-01-07,16.45,16.45,14.2,14.65,19000,14.65
2000-01-10,15.0,15.0,14.4,14.8,4200,14.8
2000-01-11,15.1,15.1,13.65,14.55,5200,14.55
2000-01-12,14.85,14.85,14.0,14.0,400,14.0
2000-01-13,14.0,14.0,13.6,13.8,2900,13.8
2000-01-14,14.0,14.0,12.9,13.0,3800,13.0
2000-01-17,13.0,14.0,12.5,14.0,4900,14.0
2000-01-18,14.5,14.7,13.0,13.2,4700,13.2
2000-01-19,13.4,13.5,12.55,13.0,5400,13.0
2000-01-20,13.9,13.9,12.0,13.0,4400,13.0
2000-01-21,13.5,13.5,12.35,12.45,3400,12.45
2000-01-24,11.55,12.6,11.55,12.55,500,12.55
2000-01-25,13.0,13.0,11.8,11.8,2700,11.8
2000-01-26,11.8,11.8,11.8,11.8,0,11.8
2000-01-27,12.0,12.25,12.0,12.0,500,12.0
2000-01-28,11.8,12.25,11.15,11.55,5800,11.55
2000-01-31,12.0,12.4,11.25,11.5,1100,11.5
2000-02-01,11.5,11.8,11.0,11.6,5300,11.6
2000-02-02,11.0,11.6,10.75,11.6,2200,11.6
2000-02-03,11.6,11.6,11.6,11.6,0,11.6
2000-02-04,11.7,11.7,11.0,11.0,10800,11.0
2000-02-07,11.25,11.85,11.2,11.85,1600,11.85
2000-02-08,12.0,12.6,12.0,12.5,1100,12.5
2000-02-09,13.45,13.45,13.45,13.45,2200,13.45
2000-02-10,14.45,14.45,12.55,13.5,7700,13.5
2000-02-11,14.5,14.5,12.9,13.8,4500,13.8
2000-02-14,14.0,14.0,12.8,12.8,3700,12.8
2000-02-15,12.85,12.85,12.05,12.05,8600,12.05
2000-02-16,11.2,11.2,11.1,11.1,4000,11.1
2000-02-17,11.45,11.95,11.45,11.95,1600,11.95
2000-02-18,12.0,12.8,11.5,11.5,3700,11.5
2000-02-21,11.3,11.5,11.15,11.5,3700,11.5
2000-02-22,11.55,11.55,11.5,11.5,4400,11.5
2000-02-23,10.7,12.0,10.7,11.0,1200,11.0
2000-02-24,11.5,11.5,10.5,10.55,6100,10.55
2000-02-25,11.1,11.1,10.5,10.5,6900,10.5
2000-02-28,10.7,10.7,10.15,10.15,1000,10.15
2000-02-29,10.15,10.95,10.15,10.95,2600,10.95
2000-03-01,10.1,10.75,10.1,10.75,2000,10.75
2000-03-02,10.05,10.6,10.0,10.5,1100,10.5
2000-03-03,9.7,10.05,9.7,10.05,1400,10.05
2000-03-06,10.45,10.5,9.3,10.0,1000,10.0
2000-03-07,9.4,9.4,8.1,8.6,4200,8.6
2000-03-08,8.3,8.3,8.25,8.25,1100,8.25
2000-03-09,8.0,8.5,7.75,7.95,3200,7.95
2000-03-10,8.0,8.25,7.75,7.8,2000,7.8
2000-03-13,7.8,7.8,7.8,7.8,0,7.8
2000-03-14,9.6,9.65,8.5,8.5,700,8.5
2000-03-15,9.2,9.2,7.55,8.75,3800,8.75
2000-03-16,9.0,9.15,9.0,9.0,6100,9.0
2000-03-17,9.0,9.0,9.0,9.0,0,9.0
2000-03-20,9.0,9.0,9.0,9.0,0,9.0
2000-03-21,9.1,9.1,7.0,7.1,7500,7.1
2000-03-22,8.35,8.35,8.3,8.3,1600,8.3
2000-03-23,6.8,7.9,6.75,7.6,800,7.6
2000-03-24,7.5,7.5,7.0,7.1,3700,7.1
2000-03-27,8.5,8.5,7.5,7.85,2800,7.85
2000-03-28,7.1,8.0,7.1,8.0,1400,8.0
2000-03-29,8.15,8.2,8.15,8.2,1000,8.2
2000-03-30,7.9,7.9,7.4,7.4,2300,7.4
2000-03-31,7.25,8.0,6.3,7.95,4100,7.95
2000-04-03,7.5,7.8,7.25,7.8,2300,7.8
2000-04-04,7.0,7.1,6.9,6.9,2500,6.9
2000-04-05,7.7,7.7,7.7,7.7,300,7.7
2000-04-06,7.95,8.0,7.1,7.2,500,7.2
2000-04-07,8.0,8.0,6.75,7.0,4100,7.0
2000-04-10,7.7,7.75,7.3,7.35,1700,7.35
2000-04-11,7.35,7.35,7.35,7.35,0,7.35
2000-04-12,7.0,7.0,7.0,7.0,1100,7.0
2000-04-13,6.75,7.5,6.75,7.5,200,7.5
2000-04-14,7.5,7.5,7.5,7.5,0,7.5
2000-04-17,6.75,6.75,6.75,6.75,500,6.75
2000-04-18,6.75,6.75,6.75,6.75,0,6.75
2000-04-19,6.75,7.2,6.4,7.05,2100,7.05
2000-04-20,6.6,7.0,6.6,6.95,1700,6.95
2000-04-21,6.95,6.95,6.95,6.95,0,6.95
2000-04-24,6.95,6.95,6.95,6.95,0,6.95
2000-04-25,6.65,7.15,6.65,7.15,300,7.15
2000-04-26,7.15,7.15,7.15,7.15,0,7.15
2000-04-27,7.15,7.15,7.15,7.15,0,7.15
2000-04-28,7.05,7.4,7.0,7.4,600,7.4
2000-05-01,7.4,7.4,7.4,7.4,0,7.4
2000-05-02,6.35,6.35,6.35,6.35,100,6.35
2000-05-03,6.35,6.35,6.35,6.35,0,6.35
2000-05-04,6.55,7.0,6.55,7.0,700,7.0
2000-05-05,7.0,7.0,7.0,7.0,0,7.0
2000-05-08,7.0,7.0,7.0,7.0,0,7.0
2000-05-09,7.0,7.0,7.0,7.0,0,7.0
