Date,Open,High,Low,Close,Volume,Adj Close
2015-11-06,70.5,73.45,67.0,70.7,4302900,70.36
2015-11-09,68.0,68.8,67.2,67.2,614200,66.88
2015-11-10,64.75,66.2,64.05,64.45,406200,64.14
2015-11-11,64.45,64.45,64.45,64.45,0,64.14
2015-11-12,64.45,64.45,64.45,64.45,0,64.14
2015-11-13,65.95,65.95,63.1,63.55,286400,63.24
2015-11-16,63.55,66.0,62.25,65.1,12049600,64.79
2015-11-17,65.3,66.2,64.1,64.8,213500,64.49
2015-11-18,64.8,66.0,64.3,65.2,202800,64.89
2015-11-19,66.0,66.0,63.5,63.8,276000,63.49
2015-11-20,64.0,66.0,63.4,65.25,401800,64.94
2015-11-23,66.4,66.9,63.55,63.85,877900,63.54
2015-11-24,63.9,64.4,62.6,63.0,378600,62.7
2015-11-25,63.0,63.0,63.0,63.0,0,62.7
2015-11-26,63.25,63.45,61.6,61.75,352200,61.45
2015-11-27,61.6,62.5,60.8,61.0,1867300,60.71
2015-11-30,61.0,61.25,59.0,59.3,1861200,59.02
2015-12-01,59.6,60.95,59.3,60.0,569200,59.71
2015-12-02,60.5,61.75,60.0,60.2,444500,59.91
2015-12-03,60.3,60.85,60.1,60.55,185600,60.26
2015-12-04,60.25,60.85,60.0,60.5,178400,60.21
2015-12-07,60.35,60.8,59.2,59.45,301400,59.16
2015-12-08,59.4,59.8,57.5,57.75,466600,57.47
2015-12-09,57.6,57.65,55.0,56.7,885700,56.43
2015-12-10,56.7,57.5,55.0,56.95,426200,56.68
2015-12-11,57.0,57.85,55.0,55.3,301100,55.03
2015-12-14,55.2,56.0,54.05,55.5,439100,55.23
2015-12-15,55.5,56.0,55.1,55.5,337500,55.23
2015-12-16,56.0,56.7,55.5,56.2,911600,55.93
2015-12-17,56.2,59.8,56.2,58.15,646100,57.87
2015-12-18,58.0,58.8,56.8,58.35,431000,58.07
2015-12-21,58.1,58.5,57.1,57.6,390700,57.32
2015-12-22,57.7,59.5,57.3,59.25,349900,58.97
2015-12-23,59.8,61.4,59.25,59.45,405200,59.16
2015-12-24,59.5,61.3,59.0,61.05,266100,60.76
2015-12-25,61.05,61.05,61.05,61.05,0,60.76
2015-12-28,60.75,61.35,59.8,60.0,236100,59.71
2015-12-29,60.25,62.1,59.75,61.85,368700,61.55
2015-12-30,61.15,62.4,61.15,61.45,207000,61.15
2015-12-31,61.8,62.1,60.4,60.95,194100,60.66
2016-01-01,60.75,61.35,60.45,60.85,147900,60.56
2016-01-04,60.9,60.9,58.75,58.9,268400,58.62
2016-01-05,59.65,59.85,58.6,59.1,264400,58.82
2016-01-06,59.4,59.4,57.6,57.75,348000,57.47
2016-01-07,57.0,57.5,55.5,55.95,440200,55.68
2016-01-08,56.4,56.8,54.95,55.05,451700,54.79
2016-01-11,54.85,54.85,53.8,54.0,982500,53.74
2016-01-12,54.1,54.55,52.2,52.45,618000,52.2
2016-01-13,53.45,53.5,48.75,51.45,969200,51.2
