Date,Open,High,Low,Close,Volume,Adj Close
2000-08-31,2.6,3.0,2.15,3.0,74600,3.0
2000-09-01,3.0,3.0,3.0,3.0,0,3.0
2000-09-04,3.0,3.4,3.0,3.4,2400,3.4
2000-09-05,3.5,3.5,3.5,3.5,100,3.5
2000-09-06,3.5,3.5,3.2,3.2,3100,3.2
2000-09-07,3.4,3.75,3.25,3.65,2200,3.65
2000-09-08,3.45,3.5,3.1,3.1,14300,3.1
2000-09-11,3.85,3.85,3.45,3.45,1300,3.45
2000-09-12,3.45,3.45,3.45,3.45,4000,3.45
2000-09-13,3.45,3.95,3.45,3.95,18700,3.95
2000-09-14,3.55,4.6,3.55,4.6,17000,4.6
2000-09-15,4.6,4.6,4.6,4.6,0,4.6
2000-09-18,4.6,4.6,4.6,4.6,0,4.6
2000-09-19,4.6,4.6,4.6,4.6,0,4.6
2000-09-20,5.1,5.95,5.1,5.5,2400,5.5
2000-09-21,5.0,5.5,5.0,5.4,3200,5.4
2000-09-22,4.5,5.35,4.3,4.5,5900,4.5
2000-09-25,5.6,5.6,5.6,5.6,2400,5.6
2000-09-26,5.6,5.6,5.6,5.6,0,5.6
2000-09-27,5.6,5.6,5.6,5.6,0,5.6
2000-09-28,5.6,5.6,5.6,5.6,0,5.6
2000-09-29,5.6,5.6,5.6,5.6,0,5.6
2000-10-02,5.6,5.6,5.6,5.6,0,5.6
2000-10-03,5.6,5.6,5.6,5.6,0,5.6
2000-10-04,5.6,5.6,5.6,5.6,0,5.6
2000-10-05,5.6,5.6,5.6,5.6,0,5.6
2000-10-06,5.6,5.6,5.6,5.6,0,5.6
2000-10-09,5.6,5.6,5.6,5.6,0,5.6
2000-10-10,5.6,5.6,5.6,5.6,0,5.6
2000-10-11,5.6,5.6,5.6,5.6,0,5.6
2000-10-12,5.1,5.1,5.1,5.1,100,5.1
2000-10-13,5.1,5.1,5.1,5.1,0,5.1
2000-10-16,5.1,5.1,5.1,5.1,0,5.1
2000-10-17,5.1,5.1,5.1,5.1,0,5.1
2000-10-18,5.1,5.1,5.1,5.1,0,5.1
2000-10-19,6.35,6.35,6.35,6.35,100,6.35
2000-10-20,6.35,6.35,6.35,6.35,0,6.35
2000-10-23,6.35,6.35,6.35,6.35,0,6.35
2000-10-24,6.35,6.35,6.35,6.35,0,6.35
2000-10-25,6.35,6.35,6.35,6.35,0,6.35
2000-10-26,6.35,6.35,6.35,6.35,0,6.35
2000-10-27,6.35,6.35,6.35,6.35,0,6.35
2000-10-30,6.35,6.35,6.35,6.35,0,6.35
2000-10-31,6.35,6.35,6.35,6.35,0,6.35
2000-11-01,6.35,6.35,6.35,6.35,0,6.35
2000-11-02,5.5,5.5,5.5,5.5,100,5.5
2000-11-03,5.5,5.5,5.5,5.5,0,5.5
2000-11-06,5.5,5.5,5.5,5.5,0,5.5
2000-11-07,5.5,5.5,5.5,5.5,0,5.5
2000-11-08,5.5,5.5,5.5,5.5,0,5.5
2000-11-09,5.5,5.5,5.5,5.5,0,5.5
2000-11-10,5.5,5.5,5.5,5.5,0,5.5
2000-11-13,4.2,5.1,4.2,5.1,400,5.1
2000-11-14,5.1,5.1,5.1,5.1,0,5.1
2000-11-15,5.1,5.1,5.1,5.1,0,5.1
2000-11-16,5.1,5.1,5.1,5.1,0,5.1
2000-11-17,5.1,5.1,5.1,5.1,0,5.1
