Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,11.95,11.95,11.1,11.15,154700,8.71
2000-01-04,11.0,11.4,10.95,11.3,64400,8.83
2000-01-05,11.45,11.45,10.85,11.0,53900,8.59
2000-01-06,10.8,11.15,10.8,11.15,42200,8.71
2000-01-07,11.0,11.2,10.8,11.0,120700,8.59
2000-01-10,10.5,11.05,10.5,10.9,21000,8.51
2000-01-11,10.8,11.0,10.65,10.65,23600,8.32
2000-01-12,10.7,10.85,10.65,10.65,23800,8.32
2000-01-13,10.6,10.9,10.6,10.65,39600,8.32
2000-01-14,10.65,11.3,10.6,10.6,216900,8.28
2000-01-17,10.95,11.0,10.0,10.95,35100,8.55
2000-01-18,10.8,10.9,10.6,10.85,55400,8.47
2000-01-19,10.75,10.9,10.65,10.8,38300,8.44
2000-01-20,10.9,10.9,10.5,10.65,39000,8.32
2000-01-21,10.55,10.9,10.5,10.75,59100,8.4
2000-01-24,10.7,10.95,10.7,10.85,74300,8.47
2000-01-25,10.9,11.0,10.65,10.8,49900,8.44
2000-01-26,10.8,10.8,10.8,10.8,0,8.44
2000-01-27,10.8,10.9,10.55,10.75,24900,8.4
2000-01-28,10.55,10.8,10.4,10.6,73100,8.28
2000-01-31,10.7,10.9,10.4,10.4,22800,8.12
2000-02-01,10.35,10.8,10.25,10.6,40500,8.28
2000-02-02,10.3,10.85,10.3,10.6,37100,8.28
2000-02-03,10.6,10.6,10.6,10.6,0,8.28
2000-02-04,10.35,10.6,10.35,10.35,92900,8.08
2000-02-07,10.5,10.9,10.4,10.5,56000,8.2
2000-02-08,10.5,10.65,10.4,10.6,42100,8.28
2000-02-09,10.35,11.4,10.25,11.4,96800,8.9
2000-02-10,10.9,11.45,10.7,10.95,34800,8.55
2000-02-11,11.2,11.2,10.5,10.9,55100,8.51
2000-02-14,11.0,11.2,10.65,10.75,42500,8.4
2000-02-15,10.9,11.0,10.25,10.5,33400,8.2
2000-02-16,10.35,10.7,10.35,10.6,26900,8.28
2000-02-17,10.4,10.5,10.25,10.5,35500,8.2
2000-02-18,10.35,10.5,10.05,10.15,42400,7.93
2000-02-21,10.5,10.6,9.5,10.25,30300,8.01
2000-02-22,10.2,10.5,10.0,10.05,23700,7.85
2000-02-23,10.35,10.8,10.35,10.8,37000,8.44
2000-02-24,11.0,11.25,10.4,10.75,55300,8.4
2000-02-25,10.15,10.9,10.15,10.8,63400,8.44
2000-02-28,11.0,11.25,10.5,10.9,36900,8.51
2000-02-29,11.1,11.6,10.25,10.5,89600,8.2
2000-03-01,10.3,10.85,10.0,10.6,13000,8.28
2000-03-02,10.5,11.1,10.5,10.9,110900,8.51
2000-03-03,10.7,10.7,10.05,10.1,144100,7.89
2000-03-06,9.3,9.75,9.3,9.45,124300,7.38
2000-03-07,9.4,9.4,8.1,9.15,116700,7.15
2000-03-08,8.8,9.4,8.55,9.2,48000,7.19
2000-03-09,9.1,9.35,8.6,8.6,92100,6.72
2000-03-10,8.65,9.35,8.65,8.85,49700,6.91
2000-03-13,8.85,8.85,8.85,8.85,0,6.91
2000-03-14,9.0,9.2,8.5,9.2,20900,7.19
2000-03-15,9.1,11.45,9.0,10.5,137900,8.2
2000-03-16,10.25,10.4,9.7,10.0,93100,7.81
2000-03-17,10.0,10.0,10.0,10.0,0,7.81
2000-03-20,10.0,10.0,10.0,10.0,0,7.81
2000-03-21,9.5,9.65,9.2,9.4,54900,7.34
2000-03-22,9.5,9.55,9.2,9.45,33600,7.38
2000-03-23,9.25,9.55,9.0,9.05,64900,7.07
