Date,Open,High,Low,Close,Volume,Adj Close
1991-01-02,66.7519,66.7519,66.7519,66.7519,0,3.6116
1991-01-03,63.0435,63.0435,63.0435,63.0435,0,3.411
1991-01-07,66.7519,68.6061,63.0435,63.0435,0,3.411
1991-01-09,66.7519,66.7519,63.0435,63.0435,0,3.411
1991-01-11,66.0102,66.0102,64.8977,64.8977,0,3.5113
1991-01-23,63.0435,66.7519,63.0435,63.0435,0,3.411
1991-01-24,63.7851,64.8977,63.7851,64.8977,0,3.5113
1991-01-25,61.1893,64.8977,61.1893,64.8977,0,3.5113
1991-01-31,61.1893,64.8977,61.1893,64.8977,0,3.5113
1991-02-01,64.8977,64.8977,63.4143,63.4143,0,3.431
1991-02-04,64.8977,70.4603,64.8977,66.7519,0,3.6116
1991-02-05,72.3146,78.6189,72.3146,76.023,0,4.1132
1991-02-06,77.8772,81.5857,77.8772,77.8772,0,4.2136
1991-02-07,74.1688,78.6189,74.1688,77.8772,0,4.2136
1991-02-08,74.1688,81.5857,74.1688,77.8772,0,4.2136
1991-02-11,77.8772,78.6189,76.3939,76.3939,0,4.1333
1991-02-13,77.8772,77.8772,74.9105,74.9105,0,4.053
1991-02-14,77.8772,79.3606,76.023,77.1355,0,4.1734
1991-02-15,78.6189,79.7314,77.8772,77.8772,0,4.2136
1991-02-19,83.4399,87.1483,83.4399,85.2941,0,4.6148
1991-02-20,83.4399,90.8568,83.4399,89.7442,0,4.8556
1991-02-21,92.711,96.4194,90.8568,93.4527,0,5.0563
1991-02-22,100.128,100.128,90.8568,92.711,0,5.0161
1991-02-26,96.4194,101.982,96.4194,101.982,0,5.5177
1991-02-27,100.128,100.128,98.2736,98.2736,0,5.3171
1991-02-28,100.128,102.538,98.2736,102.538,0,5.5478
1991-03-04,98.2736,103.836,94.5652,100.128,0,5.4174
1991-03-05,103.836,103.836,100.128,100.128,0,5.4174
1991-03-07,100.128,100.128,94.5652,94.5652,0,5.1165
1991-03-08,96.4194,100.128,96.4194,97.1611,0,5.2569
1991-03-11,96.4194,98.2736,96.4194,98.2736,0,5.3171
1991-03-12,100.128,100.128,94.5652,94.5652,0,5.1165
1991-03-13,94.5652,100.128,94.5652,97.9028,0,5.297
1991-03-15,107.545,109.399,103.836,105.691,0,5.7184
1991-03-18,107.545,110.511,106.061,107.545,0,5.8187
1991-03-20,103.836,105.691,103.836,105.691,0,5.7184
1991-03-21,103.836,107.545,102.724,102.724,0,5.5579
1991-03-22,103.836,105.691,103.836,105.691,0,5.7184
1991-03-25,105.691,105.691,102.353,102.353,0,5.5378
1991-03-26,101.982,103.836,100.87,101.982,0,5.5177
1991-03-27,103.836,105.691,103.836,105.691,0,5.7184
1991-04-01,103.836,105.691,103.836,105.691,0,5.7184
1991-04-02,105.691,107.545,103.836,103.836,0,5.6181
1991-04-03,105.691,109.399,105.691,105.691,0,5.7184
1991-04-04,105.691,108.286,105.691,105.691,0,5.7184
1991-04-05,107.545,109.399,107.545,108.286,0,5.8588
1991-04-08,107.545,109.399,106.803,107.545,0,5.8187
1991-04-09,107.545,111.253,107.545,111.253,0,6.0194
