Date,Open,High,Low,Close,Volume,Adj Close
1994-05-06,32.0,35.0,32.0,35.0,0,0.277
1994-05-09,34.5,35.25,34.0,34.0,0,0.269
1994-05-10,33.0,34.0,33.0,34.0,0,0.269
1994-05-11,31.0,33.0,30.5,31.0,0,0.245
1994-05-13,29.0,31.2,29.0,31.2,0,0.247
1994-05-16,30.0,32.0,30.0,31.5,0,0.249
1994-05-17,31.25,31.5,30.5,31.0,0,0.245
1994-05-18,29.5,31.0,29.5,30.5,0,0.241
1994-05-19,29.0,30.75,29.0,30.0,0,0.237
1994-05-20,30.5,31.25,30.0,30.0,0,0.237
1994-05-23,29.5,30.5,29.5,30.0,0,0.237
1994-05-24,28.5,30.0,28.5,29.5,0,0.233
1994-05-26,30.0,30.5,29.5,30.0,0,0.237
1994-05-27,31.5,32.375,31.5,32.25,0,0.255
1994-05-30,33.0,34.0,33.0,33.5,0,0.265
1994-05-31,33.5,34.0,33.0,33.25,0,0.263
1994-06-01,32.75,33.375,32.5,33.0,0,0.261
1994-06-02,32.75,33.25,32.25,32.5,0,0.257
1994-06-03,33.5,34.0,32.5,34.0,0,0.269
1994-06-06,32.5,33.0,32.0,32.5,0,0.257
1994-06-07,31.5,32.5,31.0,31.25,0,0.247
1994-06-08,31.0,31.375,30.5,31.25,0,0.247
1994-06-09,32.0,32.5,30.5,31.5,0,0.249
1994-06-10,32.0,32.5,31.25,32.0,0,0.253
1994-06-13,31.0,32.0,31.0,32.0,0,0.253
1994-06-14,31.5,32.5,31.5,32.25,0,0.255
1994-06-15,31.75,32.5,31.5,32.25,0,0.255
1994-06-16,31.75,32.25,31.75,31.75,0,0.251
1994-06-17,33.0,33.5,31.0,33.0,0,0.261
1994-06-20,34.0,38.0,33.0,37.0,0,0.292
1994-06-22,36.0,37.5,36.0,36.0,0,0.285
1994-06-23,36.25,36.5,35.75,36.25,0,0.287
1994-06-24,36.0,36.0,35.0,36.0,0,0.285
1994-06-27,35.0,36.0,34.75,35.0,0,0.277
1994-06-28,35.0,35.25,34.75,35.25,0,0.279
1994-06-29,34.75,35.25,34.0,34.75,0,0.275
1994-06-30,34.0,35.0,34.0,34.75,0,0.275
1994-07-01,34.5,36.5,34.5,36.0,0,0.285
1994-07-04,36.0,36.0,35.0,36.0,0,0.285
1994-07-05,36.5,36.5,35.5,36.0,0,0.285
1994-07-06,35.5,36.5,35.0,36.0,0,0.285
1994-07-07,35.5,36.5,35.1,35.5,0,0.281
1994-07-08,35.5,36.5,35.5,36.5,0,0.288
1994-07-11,36.0,37.0,35.5,36.5,0,0.288
1994-07-12,36.0,36.5,35.5,36.5,0,0.288
1994-07-13,36.0,37.0,36.0,37.0,0,0.292
1994-07-14,36.0,36.5,36.0,36.5,0,0.288
1994-07-15,36.0,36.5,36.0,36.0,0,0.285
1994-07-18,35.5,35.75,35.5,35.5,0,0.281
1994-07-19,35.5,36.0,35.0,35.5,0,0.281
1994-07-20,35.5,36.0,35.5,36.0,0,0.285
1994-07-21,35.25,36.75,35.25,36.5,0,0.288
1994-07-22,36.0,37.0,36.0,37.0,0,0.292
1994-07-25,37.0,37.5,36.5,36.5,0,0.288
1994-07-26,37.0,37.5,36.5,37.5,0,0.296
1994-07-27,37.0,38.0,36.5,37.5,0,0.296
1994-07-28,37.5,38.0,37.0,37.5,0,0.296
1994-07-29,38.5,39.0,38.5,39.0,0,0.308
1994-08-01,38.5,39.5,38.5,39.5,0,0.312
1994-08-02,39.25,39.5,39.0,39.5,0,0.312
1994-08-03,38.0,39.0,38.0,38.5,0,0.304
1994-08-04,37.5,38.5,37.5,38.5,0,0.304
1994-08-05,38.0,40.0,37.5,38.0,0,0.3
1994-08-08,37.5,39.0,37.5,39.0,0,0.308
1994-08-09,38.0,39.5,37.0,38.5,0,0.304
1994-08-10,38.0,39.0,38.0,38.5,0,0.304
1994-08-11,38.0,39.5,38.0,39.5,0,0.312
1994-08-12,38.5,40.0,38.5,40.0,0,0.316
1994-08-16,40.0,40.0,39.0,39.5,0,0.312
1994-08-17,38.0,40.0,38.0,39.0,0,0.308
1994-08-18,38.0,39.0,37.5,38.0,0,0.3
1994-08-19,37.5,39.0,37.5,38.0,0,0.3
1994-08-24,38.0,38.25,37.0,37.0,0,0.292
1994-08-25,38.0,39.0,38.0,39.0,0,0.308
1994-08-29,38.0,40.0,38.0,40.0,0,0.316
1994-08-31,40.0,42.0,40.0,40.5,0,0.32
1994-09-01,40.0,46.0,40.0,44.0,0,0.348
1994-09-02,45.0,48.0,44.0,47.5,0,0.375
1994-09-05,46.0,49.0,46.0,49.0,0,0.387
1994-09-06,48.5,49.0,47.0,48.5,0,0.383
1994-09-07,48.0,49.5,48.0,48.5,0,0.383
1994-09-08,48.0,49.0,47.0,48.0,0,0.379
1994-09-12,50.0,50.0,48.5,50.0,0,0.395
1994-09-13,48.0,50.0,48.0,50.0,0,0.395
1994-09-14,48.0,49.0,47.0,48.5,0,0.383
1994-09-15,48.0,49.0,47.0,48.5,0,0.383
1994-09-16,50.5,52.0,48.5,48.5,0,0.383
1994-09-19,47.5,49.0,47.0,48.5,0,0.383
