Date,Open,High,Low,Close,Volume,Adj Close
2006-02-22,313.33,337.5,223.46,228.04,64553900,31.515
2006-02-23,228.42,228.83,212.58,217.46,18211400,30.052
2006-02-24,216.67,227.96,215.17,225.17,12653800,31.118
2006-02-27,226.04,227.04,216.67,217.96,3575300,30.122
2006-02-28,218.71,218.71,210.04,211.67,1857600,29.252
2006-03-01,210.83,216.08,208.33,212.87,2290300,29.418
2006-03-02,214.79,220.67,209.17,210.58,1724400,29.102
2006-03-03,212.25,212.5,207.08,210.67,1064800,29.114
2006-03-06,210.0,218.0,207.21,215.17,1616900,29.736
2006-03-07,215.83,216.5,209.79,213.12,711100,29.453
2006-03-08,213.33,219.5,207.08,215.33,2126400,29.758
2006-03-09,219.83,241.62,216.58,237.71,9273800,32.851
2006-03-10,241.42,243.33,227.5,229.62,2217000,31.733
2006-03-13,231.54,231.54,220.83,221.87,657700,30.662
2006-03-14,226.83,226.83,216.71,218.12,438100,30.144
2006-03-16,220.5,223.75,215.46,216.92,505600,29.978
2006-03-17,218.58,219.75,215.17,215.62,369600,29.798
2006-03-20,216.58,225.58,212.92,218.96,789500,30.26
2006-03-21,219.29,226.08,217.5,222.87,725000,30.8
2006-03-22,224.17,245.21,221.46,242.5,6562700,33.513
2006-03-23,243.75,253.5,235.83,250.33,6977000,34.595
2006-03-24,251.04,253.33,239.17,249.04,2930100,34.417
2006-03-27,250.0,268.33,244.58,257.37,1460500,35.568
2006-03-28,262.08,265.83,234.71,241.67,2393400,33.398
2006-03-29,241.87,254.12,237.5,244.75,1355200,33.824
2006-03-30,245.0,248.33,238.79,241.42,442500,33.364
2006-03-31,243.29,250.75,241.67,245.33,685500,33.904
2006-04-03,246.62,247.79,240.0,242.04,410700,33.449
2006-04-04,244.17,245.67,238.58,240.54,200600,33.242
2006-04-05,241.67,245.83,241.67,244.33,177500,33.766
2006-04-07,244.5,244.96,237.5,238.75,171800,32.995
2006-04-10,229.17,241.58,229.17,236.08,182600,32.626
2006-04-12,237.5,241.67,236.67,239.42,288500,33.087
2006-04-13,239.0,240.83,225.83,228.0,197400,31.509
2006-04-17,230.0,234.12,227.25,229.87,62000,31.767
2006-04-18,232.5,244.17,229.37,233.04,199900,32.206
