Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,9.15,10.45,9.15,9.3,1600,6.15
2000-01-04,9.4,9.4,8.35,9.0,1600,5.95
2000-01-05,8.55,8.55,8.25,8.25,1200,5.45
2000-01-06,9.3,9.3,8.55,8.7,3200,5.75
2000-01-07,9.0,9.5,8.7,9.35,6300,6.18
2000-01-10,9.0,9.0,9.0,9.0,100,5.95
2000-01-11,8.2,8.3,8.1,8.3,700,5.48
2000-01-12,8.35,8.5,8.15,8.15,7900,5.39
2000-01-13,8.3,8.55,8.25,8.25,800,5.45
2000-01-14,8.15,8.3,8.15,8.3,500,5.48
2000-01-17,7.95,7.95,6.35,6.35,1800,4.2
2000-01-18,7.0,7.8,6.75,7.8,9400,5.15
2000-01-19,7.3,7.5,7.2,7.5,1100,4.96
2000-01-20,7.05,7.7,7.05,7.5,3100,4.96
2000-01-21,7.1,7.55,7.1,7.35,1700,4.86
2000-01-24,7.3,7.5,7.3,7.5,200,4.96
2000-01-25,7.5,7.5,6.85,6.85,300,4.53
2000-01-26,6.85,6.85,6.85,6.85,0,4.53
2000-01-27,7.4,7.4,7.1,7.1,200,4.69
2000-01-28,7.5,7.5,7.5,7.5,600,4.96
2000-01-31,6.5,6.5,5.65,5.65,700,3.73
2000-02-01,6.2,6.9,6.2,6.35,1400,4.2
2000-02-02,6.85,6.85,6.5,6.5,900,4.3
2000-02-03,6.5,6.5,6.5,6.5,0,4.3
2000-02-04,8.1,8.1,6.95,6.95,1700,4.59
2000-02-07,7.0,7.0,6.75,6.9,3700,4.56
2000-02-08,7.0,7.4,7.0,7.05,1000,4.66
2000-02-09,6.25,7.8,6.25,7.7,3500,5.09
2000-02-10,7.7,8.0,6.45,7.1,3200,4.69
2000-02-11,8.15,8.7,6.55,6.55,2500,4.33
2000-02-14,6.65,7.5,6.65,7.5,500,4.96
2000-02-15,7.45,7.5,6.65,6.65,1500,4.39
2000-02-16,6.75,7.0,6.7,6.7,1200,4.43
2000-02-17,6.6,6.6,5.05,5.75,4200,3.8
2000-02-18,6.9,7.0,6.5,6.5,1200,4.3
2000-02-21,5.1,8.1,5.1,6.75,5600,4.46
2000-02-22,6.05,7.0,5.9,6.0,13600,3.96
2000-02-23,5.9,6.0,5.35,5.7,2900,3.77
2000-02-24,5.95,6.75,5.95,6.05,5900,4.0
2000-02-25,6.75,6.8,5.5,5.5,6200,3.63
2000-02-28,6.85,6.85,5.7,6.25,2600,4.13
2000-02-29,6.0,6.05,6.0,6.05,200,4.0
2000-03-01,5.65,6.8,5.65,6.8,800,4.49
2000-03-02,6.15,6.15,6.0,6.05,800,4.0
2000-03-03,6.25,6.25,6.25,6.25,200,4.13
2000-03-06,5.0,7.45,5.0,5.0,12100,3.3
2000-03-07,6.2,6.2,4.9,5.5,8000,3.63
2000-03-08,5.1,5.1,4.8,5.0,3800,3.3
2000-03-09,5.8,5.8,4.3,4.45,6500,2.94
2000-03-10,4.65,5.2,4.6,4.7,3600,3.11
2000-03-13,4.7,4.7,4.7,4.7,0,3.11
2000-03-14,5.45,5.7,5.05,5.05,1500,3.34
2000-03-15,5.0,5.0,4.75,4.75,600,3.14
2000-03-16,4.8,5.2,4.75,5.2,800,3.44
2000-03-17,5.2,5.2,5.2,5.2,0,3.44
2000-03-20,5.2,5.2,5.2,5.2,0,3.44
2000-03-21,5.65,5.7,4.85,4.85,800,3.2
2000-03-22,5.0,5.25,5.0,5.25,600,3.47
2000-03-23,5.6,5.6,5.25,5.25,500,3.47
2000-03-24,5.95,6.0,5.95,6.0,700,3.96
2000-03-27,6.0,6.0,6.0,6.0,800,3.96
2000-03-28,5.1,5.1,5.1,5.1,1700,3.37
2000-03-29,5.05,5.05,5.05,5.05,300,3.34
2000-03-30,5.05,5.25,5.05,5.05,600,3.34
2000-03-31,5.05,5.15,4.85,5.15,1600,3.4
2000-04-03,5.5,5.5,5.05,5.05,400,3.34
2000-04-04,5.6,5.6,5.1,5.1,1200,3.37
2000-04-05,5.2,5.2,5.2,5.2,100,3.44
2000-04-06,5.2,5.5,5.2,5.5,1200,3.63
2000-04-07,5.2,5.2,5.2,5.2,200,3.44
2000-04-10,5.75,5.8,5.75,5.8,700,3.83
2000-04-11,5.8,5.8,5.8,5.8,0,3.83
2000-04-12,5.8,5.8,5.8,5.8,0,3.83
2000-04-13,5.8,5.8,5.8,5.8,0,3.83
2000-04-14,5.8,5.8,5.8,5.8,0,3.83
2000-04-17,6.9,6.9,6.9,6.9,100,4.56
2000-04-18,5.25,5.25,5.25,5.25,500,3.47
2000-04-19,4.15,4.15,4.15,4.15,100,2.74
2000-04-20,4.15,5.15,4.0,4.7,3600,3.11
2000-04-21,4.7,4.7,4.7,4.7,0,3.11
2000-04-24,4.7,4.7,4.7,4.7,0,3.11
2000-04-25,5.0,5.45,5.0,5.45,1300,3.6
2000-04-26,5.45,5.45,5.45,5.45,0,3.6
2000-04-27,5.5,5.5,4.1,4.1,1600,2.71
2000-04-28,4.5,4.5,4.2,4.25,1200,2.81
2000-05-01,4.25,4.25,4.25,4.25,0,2.81
2000-05-02,4.25,4.25,4.25,4.25,0,2.81
2000-05-03,4.25,4.25,4.25,4.25,0,2.81
2000-05-04,4.25,4.25,4.25,4.25,0,2.81
2000-05-05,4.25,4.25,4.25,4.25,0,2.81
2000-05-08,5.45,5.45,5.45,5.45,0,3.6
2000-05-09,5.45,5.45,5.45,5.45,0,3.6
2000-05-10,5.1,5.1,5.05,5.05,300,3.34
2000-05-11,4.55,5.0,4.55,5.0,500,3.3
2000-05-12,4.55,5.0,4.55,4.75,1100,3.14
2000-05-15,4.9,4.9,4.9,4.9,200,3.24
2000-05-16,4.9,4.9,4.9,4.9,0,3.24
2000-05-17,4.9,4.9,4.9,4.9,0,3.24
2000-05-18,4.9,4.9,4.9,4.9,0,3.24
2000-05-19,4.45,4.75,4.45,4.75,400,3.14
2000-05-22,4.75,4.75,4.75,4.75,0,3.14
2000-05-23,4.25,4.25,4.25,4.25,200,2.81
2000-05-24,5.3,5.3,5.3,5.3,2400,3.5
2000-05-25,5.3,5.3,5.1,5.2,1000,3.44
2000-05-26,5.0,5.25,5.0,5.25,1300,3.47
2000-05-29,5.25,5.25,5.25,5.25,0,3.47
2000-05-30,5.25,5.25,5.25,5.25,0,3.47
2000-05-31,5.0,5.0,5.0,5.0,100,3.3
2000-06-01,5.6,5.6,5.6,5.6,400,3.7
2000-06-02,5.05,5.05,5.05,5.05,400,3.34
2000-06-05,5.05,5.05,5.05,5.05,0,3.34
2000-06-06,6.15,6.15,4.4,5.0,700,3.3
2000-06-07,4.45,5.0,4.45,5.0,200,3.3
2000-06-08,4.75,4.75,4.75,4.75,1000,3.14
2000-06-09,4.75,4.75,4.75,4.75,0,3.14
2000-06-12,4.75,4.75,4.75,4.75,0,3.14
2000-06-13,4.75,4.75,4.75,4.75,0,3.14
2000-06-14,4.15,4.75,4.0,4.0,10400,2.64
2000-06-15,4.45,4.5,4.3,4.3,900,2.84
2000-06-16,4.45,4.45,4.45,4.45,1000,2.94
2000-06-19,4.45,4.45,4.45,4.45,0,2.94
2000-06-20,4.45,4.45,4.45,4.45,0,2.94
2000-06-21,4.45,4.45,4.45,4.45,0,2.94
2000-06-22,4.45,4.45,4.45,4.45,0,2.94
2000-06-23,4.45,4.45,4.45,4.45,0,2.94
2000-06-26,4.45,4.45,4.45,4.45,0,2.94
2000-06-27,4.45,4.45,4.45,4.45,0,2.94
2000-06-28,4.45,4.45,4.45,4.45,0,2.94
2000-06-29,4.45,4.45,4.45,4.45,0,2.94
2000-06-30,4.45,4.45,4.45,4.45,0,2.94
2000-07-03,4.45,4.45,4.45,4.45,0,2.94
2000-07-04,4.45,4.45,4.45,4.45,0,2.94
2000-07-05,4.45,4.45,4.45,4.45,0,2.94
2000-07-06,4.45,4.45,4.45,4.45,0,2.94
2000-07-07,4.45,4.45,4.45,4.45,0,2.94
2000-07-10,4.45,4.45,4.45,4.45,0,2.94
2000-07-11,4.45,4.45,4.45,4.45,0,2.94
2000-07-12,4.45,4.45,4.45,4.45,0,2.94
2000-07-13,4.45,4.45,4.45,4.45,0,2.94
2000-07-14,4.45,4.45,4.45,4.45,0,2.94
2000-07-17,4.45,4.45,4.45,4.45,0,2.94
2000-07-18,4.45,4.45,4.45,4.45,0,2.94
2000-07-19,3.9,4.0,3.9,4.0,1100,2.64
2000-07-20,3.55,3.95,3.55,3.9,600,2.58
2000-07-21,3.9,3.9,3.65,3.65,800,2.41
2000-07-24,3.65,3.65,3.65,3.65,0,2.41
2000-07-25,3.65,3.65,3.65,3.65,0,2.41
2000-07-26,3.65,3.65,3.65,3.65,0,2.41
2000-07-27,3.65,3.65,3.65,3.65,0,2.41
2000-07-28,3.3,3.3,3.3,3.3,100,2.18
2000-07-31,3.15,3.5,3.1,3.5,100,2.31
2000-08-01,4.0,4.0,3.1,3.5,400,2.31
2000-08-02,3.25,3.25,3.25,3.25,0,2.15
2000-08-03,3.9,4.05,3.9,4.05,5400,2.68
2000-08-04,3.25,3.25,3.25,3.25,100,2.15
2000-08-07,3.25,3.25,3.25,3.25,0,2.15
2000-08-08,3.95,3.95,3.95,3.95,200,2.61
2000-08-09,3.3,3.3,3.3,3.3,200,2.18
2000-08-10,3.3,3.3,3.3,3.3,0,2.18
2000-08-11,3.3,3.3,3.3,3.3,200,2.18
2000-08-14,3.3,3.3,3.3,3.3,0,2.18
2000-08-15,3.3,3.3,3.3,3.3,0,2.18
2000-08-16,3.3,3.3,3.3,3.3,0,2.18
2000-08-17,3.3,3.3,3.3,3.3,0,2.18
2000-08-18,3.9,3.9,3.25,3.25,200,2.15
2000-08-21,3.25,3.25,3.25,3.25,0,2.15
