Date,Open,High,Low,Close,Volume,Adj Close
2008-02-12,100.0,116.95,84.2,102.7,41111600,39.274
2008-02-13,103.5,112.7,98.6,102.3,11085100,39.121
2008-02-14,104.2,108.8,102.05,104.7,3648600,40.039
2008-02-15,103.0,103.0,98.15,100.4,2329000,38.395
2008-02-18,100.5,119.7,99.05,118.3,12029100,45.24
2008-02-19,119.1,125.45,110.05,111.6,7176900,42.678
2008-02-20,110.0,113.7,107.0,108.55,2539500,41.511
2008-02-21,110.85,114.9,108.1,109.75,1374800,41.97
2008-02-22,106.3,109.8,103.1,105.5,658600,40.345
2008-02-25,108.0,108.0,99.1,99.9,946500,38.204
2008-02-26,102.45,110.4,100.7,104.6,2701300,40.001
2008-02-27,107.5,112.8,104.9,106.1,3161000,40.575
2008-02-28,105.0,110.9,105.0,106.7,1236600,40.804
2008-02-29,106.0,108.3,101.15,102.4,641800,39.16
2008-03-03,100.6,102.55,96.0,96.75,611300,36.999
2008-03-04,97.0,98.4,90.1,92.8,576800,35.488
2008-03-05,90.1,93.5,86.0,89.1,346300,34.073
2008-03-07,85.2,85.2,78.6,82.85,405900,31.683
2008-03-10,80.1,87.8,74.0,86.1,477700,32.926
2008-03-11,83.25,94.2,82.85,91.75,636000,35.087
2008-03-12,95.0,98.5,87.2,88.8,446100,33.959
2008-03-13,85.5,87.0,80.5,81.5,222300,31.167
2008-03-14,82.0,84.4,75.0,81.1,339200,31.014
2008-03-17,75.5,79.8,73.05,74.15,266700,28.356
2008-03-18,74.8,77.0,71.55,72.8,176200,27.84
2008-03-19,76.0,79.9,72.1,75.2,345100,28.758
2008-03-24,75.7,77.7,71.0,71.9,100400,27.496
2008-03-25,73.0,78.2,72.55,75.45,157200,28.853
2008-03-26,75.1,81.0,74.0,77.3,170900,29.561
2008-03-27,75.0,81.45,75.0,78.15,182300,29.886
2008-03-28,78.5,83.4,77.7,81.85,249700,31.301
2008-03-31,81.85,88.25,79.2,81.75,740900,31.263
2008-04-01,83.9,84.7,80.5,82.9,135600,31.702
2008-04-02,86.0,86.9,80.5,81.3,102100,31.091
2008-04-03,83.0,83.0,78.55,79.55,87600,30.421
2008-04-04,80.5,91.0,78.8,86.7,1149500,33.156
2008-04-07,88.8,93.4,86.3,88.25,616300,33.748
2008-04-08,88.1,95.8,86.1,91.65,792200,35.049
2008-04-09,90.5,97.35,89.65,94.05,1104500,35.966
2008-04-10,94.3,97.1,92.3,93.05,423600,35.584
2008-04-11,94.8,94.9,91.0,91.45,278100,34.972
2008-04-15,91.0,95.9,90.0,91.95,538100,35.163
2008-04-16,93.5,94.45,88.55,89.5,226300,34.226
2008-04-17,90.6,95.3,90.5,92.25,637200,35.278
2008-04-21,93.7,103.0,92.0,100.45,1488300,38.414
2008-04-22,100.0,102.55,97.7,98.15,407200,37.534
2008-04-23,96.6,105.3,96.15,102.7,1461700,39.274
2008-04-24,104.45,108.4,102.8,104.2,892300,39.848
2008-04-25,104.5,105.65,101.1,101.65,175700,38.873
2008-04-28,102.95,110.85,102.95,104.95,1295500,40.135
2008-04-29,106.4,107.5,104.25,105.7,324700,40.422
2008-04-30,106.0,109.75,105.0,106.0,682600,40.536
2008-05-02,107.9,109.5,105.15,105.8,450400,40.46
2008-05-05,106.8,111.9,106.15,107.25,669000,41.014
2008-05-06,107.25,108.25,102.0,103.95,222200,39.752
2008-05-07,105.0,107.0,102.0,105.7,168700,40.422
2008-05-08,104.0,113.45,104.0,112.0,1163700,42.831
2008-05-09,112.5,114.35,103.4,104.65,530400,40.02
2008-05-12,104.95,105.0,99.0,102.25,310300,39.102
2008-05-13,103.0,108.8,102.0,102.35,523300,39.14
2008-05-14,102.0,105.7,101.25,104.95,118000,40.135
2008-05-15,106.0,107.4,105.0,106.45,93300,40.708
2008-05-16,107.0,113.8,107.0,112.55,837200,43.041
2008-05-20,113.0,122.25,110.0,119.45,2156100,45.68
2008-05-21,118.5,127.7,117.15,124.65,2346900,47.668
2008-05-22,123.0,131.45,120.55,121.75,1456800,46.559
2008-05-23,123.35,125.8,112.85,113.6,662000,43.443
2008-05-26,113.0,113.0,107.2,107.95,422200,41.282
2008-05-27,109.0,110.95,105.4,106.75,162900,40.823
2008-05-28,107.75,107.75,104.2,106.45,146700,40.708
2008-05-29,108.0,108.7,103.0,103.1,113800,39.427
2008-05-30,105.9,106.0,98.65,101.95,151400,38.988
2008-06-02,103.2,109.7,102.2,106.5,279100,40.728
2008-06-03,100.0,107.0,100.0,105.75,110100,40.441
