Date,Open,High,Low,Close,Volume,Adj Close
2006-05-10,160.0,162.35,160.0,162.35,117900,59.948
2006-05-11,194.8,194.8,158.8,162.2,1222100,59.892
2006-05-12,162.0,168.0,143.0,144.0,835400,53.172
2006-05-15,146.0,150.0,134.0,135.9,638500,50.181
2006-05-16,140.0,149.0,128.6,146.1,879500,53.947
2006-05-17,150.0,155.3,147.2,149.1,472600,55.055
2006-05-18,148.0,148.0,128.0,130.55,413500,48.206
2006-05-19,130.55,142.0,116.0,124.1,422800,45.824
2006-05-22,127.25,127.25,104.0,110.1,385600,40.654
2006-05-23,110.1,123.0,105.5,121.1,298500,44.716
2006-05-24,122.0,128.9,113.1,114.6,264800,42.316
2006-05-25,116.9,122.0,109.0,117.9,248300,43.535
2006-05-26,120.0,127.8,120.0,122.75,202000,45.325
2006-05-29,124.75,136.0,124.75,128.2,346000,47.338
2006-05-30,131.0,135.0,128.5,129.5,383400,47.818
2006-05-31,128.0,128.85,112.35,117.7,438300,43.461
2006-06-01,119.95,125.65,113.05,115.1,392700,42.501
2006-06-02,115.0,119.0,107.5,116.8,325700,43.128
2006-06-05,119.45,120.0,111.0,111.95,177000,41.338
2006-06-06,106.05,110.95,105.0,105.0,183500,38.771
2006-06-07,104.15,110.0,98.3,107.1,246500,39.547
2006-06-08,101.9,105.0,88.0,95.6,691000,35.3
2006-06-09,95.0,104.75,93.0,101.3,338900,37.405
2006-06-12,104.45,104.45,94.6,96.0,134500,35.448
2006-06-13,95.0,96.0,91.1,92.0,127200,33.971
2006-06-14,93.9,97.6,79.0,81.65,331100,30.149
2006-06-19,90.0,100.9,86.15,98.05,526600,36.205
2006-06-20,99.4,108.0,94.55,103.95,611100,38.384
2006-06-21,102.0,115.6,102.0,114.75,594700,42.371
2006-06-22,116.8,124.0,115.0,115.85,888000,42.778
2006-06-23,115.0,115.0,105.3,111.7,1000400,41.245
2006-06-26,115.95,116.0,107.0,107.0,354900,39.51
2006-06-27,111.0,111.0,102.0,105.25,205500,38.864
2006-06-28,102.05,105.75,100.05,101.95,154900,37.645
2006-06-29,104.0,104.6,98.6,99.85,148400,36.87
2006-06-30,105.25,109.0,102.9,106.45,356300,39.307
2006-07-03,107.8,108.5,104.2,105.05,115600,38.79
2006-07-04,107.85,108.45,102.1,102.7,304100,37.922
2006-07-05,103.0,106.1,102.0,104.7,129100,38.661
2006-07-06,103.0,109.25,101.35,108.45,540600,40.045
2006-07-07,107.0,114.55,105.0,105.95,752800,39.122
2006-07-10,103.0,111.5,103.0,110.0,475800,40.618
2006-07-11,105.25,110.9,105.25,108.7,427700,40.138
2006-07-12,107.0,112.0,105.0,111.2,771900,41.061
2006-07-13,111.95,118.75,111.5,114.75,938100,42.371
2006-07-14,113.0,114.85,111.0,113.9,390800,42.058
2006-07-17,113.55,116.6,107.0,108.05,443300,39.898
2006-07-18,108.5,111.0,101.5,102.2,550300,37.737
2006-07-19,104.5,105.4,96.45,97.65,344200,36.057
2006-07-20,100.9,103.45,100.2,101.4,370400,37.442
2006-07-21,100.0,100.1,96.2,97.75,149800,36.094
2006-07-24,95.2,96.75,93.25,95.6,138000,35.3
2006-07-25,96.5,102.5,96.5,100.55,205200,37.128
2006-07-26,101.65,111.75,99.25,110.1,701200,40.654
2006-07-27,111.1,124.8,111.1,121.8,2662400,44.975
2006-07-28,123.0,131.2,122.0,124.3,2236300,45.898
2006-07-31,126.0,133.0,126.0,127.95,1823400,47.246
2006-08-01,127.2,129.9,124.2,126.25,908100,46.618
2006-08-02,125.7,137.0,125.15,135.05,2236900,49.867
2006-08-03,136.0,139.4,131.1,132.3,1785100,48.852
2006-08-04,132.75,135.0,130.5,133.2,867400,49.184
2006-08-07,134.0,134.45,130.25,130.95,361400,48.353
2006-08-08,131.0,134.25,130.45,132.95,502600,49.092
2006-08-09,132.5,136.9,131.0,134.35,827600,49.609
2006-08-10,133.5,136.8,133.5,135.2,561400,49.923
2006-08-11,136.25,139.75,134.1,138.05,1073900,50.975
2006-08-14,139.05,141.5,138.15,138.95,628200,51.307
2006-08-16,140.05,143.5,139.5,140.05,544400,51.714
2006-08-17,142.0,142.9,135.0,137.15,560800,50.643
2006-08-18,138.0,146.85,132.0,145.3,1170800,53.652
2006-08-21,146.2,149.9,142.5,147.6,1220200,54.501
2006-08-22,148.85,149.3,141.35,142.55,632500,52.637
2006-08-23,143.0,144.0,138.0,138.45,225200,51.123
2006-08-24,138.25,143.5,136.1,142.55,408500,52.637
2006-08-25,142.55,145.0,141.1,142.2,325100,52.507
2006-08-28,143.25,148.0,140.2,145.95,421900,53.892
2006-08-29,147.25,148.0,145.1,145.8,385200,53.837
2006-08-30,146.8,148.0,141.15,147.15,520100,54.335
2006-08-31,148.35,152.9,145.8,148.65,958100,54.889
2006-09-01,149.45,150.85,146.0,147.75,292300,54.557
2006-09-04,148.9,152.0,148.9,150.4,428000,55.535
2006-09-05,151.4,156.4,150.15,153.5,1104700,56.68
2006-09-06,153.45,154.5,149.0,149.5,457800,55.203
2006-09-07,149.3,153.4,145.15,149.65,552000,55.258
2006-09-08,150.0,152.85,148.0,149.25,282800,55.111
2006-09-11,150.2,153.3,143.9,146.15,570500,53.966
2006-09-12,145.9,146.9,140.6,146.3,343400,54.021
2006-09-13,148.7,150.25,146.6,147.3,337800,54.391
2006-09-14,148.35,158.45,148.35,156.15,1097900,57.658
2006-09-15,158.0,166.95,157.2,162.55,2761000,60.022
2006-09-18,163.8,168.45,161.4,162.6,782400,60.04
2006-09-19,163.8,164.0,150.5,153.45,630200,56.661
2006-09-20,152.5,157.0,150.5,155.0,280000,57.234
2006-09-21,156.5,158.8,154.2,156.95,384100,57.954
2006-09-22,156.7,162.4,155.5,159.6,784700,58.932
2006-09-25,161.0,161.25,156.15,157.2,260000,58.046
2006-09-26,159.0,159.2,155.25,157.55,198300,58.175
2006-09-27,159.0,159.4,153.0,153.95,260700,56.846
2006-09-28,155.4,157.4,150.2,151.4,343100,55.905
2006-09-29,153.0,156.5,148.5,150.25,531500,55.48
2006-10-03,151.4,155.5,151.4,154.5,328800,57.049
2006-10-04,155.05,156.0,152.0,152.95,237400,56.477
2006-10-05,154.4,157.1,154.15,156.1,271800,57.64
2006-10-06,157.25,160.0,156.5,158.2,459800,58.415
2006-10-09,160.2,164.9,157.5,161.35,537400,59.579
2006-10-10,162.8,164.0,158.15,159.95,307000,59.062
2006-10-11,160.0,163.2,156.2,157.1,301000,58.009
2006-10-12,158.0,159.4,155.25,159.0,193200,58.711
2006-10-13,161.95,161.95,156.5,158.5,261900,58.526
2006-10-16,159.85,160.25,156.1,156.7,180100,57.862
2006-10-17,158.3,158.3,152.6,153.9,162600,56.828
2006-10-18,154.0,154.55,152.05,152.4,139400,56.274
2006-10-19,154.0,155.0,151.5,152.5,112200,56.311
2006-10-20,153.25,154.25,151.5,152.15,107900,56.181
2006-10-23,152.5,153.05,150.25,150.7,73500,55.646
2006-10-26,151.4,151.75,149.4,151.0,102100,55.757
2006-10-27,152.05,154.9,148.15,153.3,614100,56.606
2006-10-30,153.0,153.0,146.0,146.55,417900,54.114
2006-10-31,147.0,147.0,141.5,142.7,240300,52.692
2006-11-01,143.9,150.9,141.25,147.25,489400,54.372
2006-11-02,148.0,149.0,143.85,144.75,211700,53.449
2006-11-03,145.9,148.05,143.0,146.8,260300,54.206
2006-11-06,147.5,153.0,146.5,152.0,401100,56.126
2006-11-07,152.0,155.0,149.0,150.3,316700,55.498
2006-11-08,151.3,153.5,146.25,147.95,232000,54.631
2006-11-09,148.9,149.8,147.5,149.5,148000,55.203
2006-11-10,148.7,149.5,145.5,146.3,135500,54.021
2006-11-13,147.0,152.5,146.7,150.0,257900,55.388
2006-11-14,151.45,151.55,147.3,148.0,132500,54.649
2006-11-15,148.5,149.0,145.35,145.95,140100,53.892
2006-11-16,147.4,151.7,145.0,145.75,407900,53.818
2006-11-17,146.5,147.5,142.1,143.2,194600,52.877
2006-11-20,142.4,142.4,136.75,137.9,186200,50.92
2006-11-21,139.4,143.0,139.0,139.7,97800,51.584
2006-11-22,141.0,141.45,137.5,138.65,182400,51.197
2006-11-23,139.4,143.0,138.2,140.2,354000,51.769
2006-11-24,140.8,142.5,138.55,138.75,161200,51.233
2006-11-27,140.0,141.0,138.5,138.85,146600,51.27
2006-11-28,137.9,141.0,136.1,138.2,210600,51.03
2006-11-29,140.2,142.0,139.1,139.95,162300,51.677
2006-11-30,141.9,141.9,139.1,139.8,98400,51.621
2006-12-01,141.5,142.5,140.0,141.05,117700,52.083
2006-12-04,140.05,148.85,140.05,144.4,339100,53.32
2006-12-05,145.9,149.9,145.0,145.3,287600,53.652
2006-12-06,145.9,150.5,143.5,145.45,245000,53.707
2006-12-07,145.0,147.0,144.0,146.05,114300,53.929
2006-12-08,146.5,146.5,139.0,139.7,156400,51.584
2006-12-11,139.7,139.7,127.5,130.05,341900,48.021
2006-12-12,131.4,136.0,125.0,126.35,227800,46.655
2006-12-13,127.35,132.2,123.5,130.7,109500,48.261
2006-12-14,132.5,137.85,131.0,136.35,128700,50.347
2006-12-15,138.0,140.0,133.55,134.95,143300,49.83
2006-12-18,136.65,137.3,130.15,132.75,123900,49.018
2006-12-19,133.5,136.45,132.0,132.5,134600,48.926
2006-12-20,134.5,136.0,130.0,132.6,92100,48.963
2006-12-21,132.0,133.4,131.25,131.7,60600,48.63
2006-12-22,132.05,134.5,130.0,133.45,56900,49.276
2006-12-26,135.4,138.85,135.4,137.4,106000,50.735
2006-12-27,138.0,138.8,134.5,135.55,92900,50.052
2006-12-28,136.15,136.35,133.5,134.15,58200,49.535
2006-12-29,135.5,136.5,133.5,134.1,127000,49.516
2007-01-02,134.9,143.3,134.0,142.35,205900,52.563
2007-01-03,143.9,146.0,141.0,144.55,164300,53.375
2007-01-04,145.75,146.0,141.65,142.7,91200,52.692
2007-01-05,142.55,146.5,142.1,144.2,130500,53.246
2007-01-08,142.1,144.9,140.15,142.15,74200,52.489
2007-01-09,142.0,144.0,141.2,141.65,90800,52.304
2007-01-10,140.0,143.5,140.0,140.85,112000,52.009
2007-01-11,140.0,144.95,140.0,143.9,126800,53.135
2007-01-12,145.0,149.0,144.3,145.5,454700,53.726
2007-01-15,148.9,161.25,147.0,157.75,767800,58.249
2007-01-16,159.65,163.95,153.25,158.7,426600,58.6
2007-01-17,160.4,166.95,160.0,165.8,555900,61.222
2007-01-18,169.8,171.8,165.0,168.35,807500,62.163
2007-01-19,175.0,187.0,173.0,180.6,2336200,66.687
2007-01-22,183.0,184.8,177.1,181.15,712300,66.89
2007-01-23,179.0,180.0,170.0,173.1,790300,63.917
2007-01-24,173.0,178.0,171.0,173.15,346700,63.936
2007-01-25,173.1,176.0,172.0,172.6,172600,63.733
2007-01-29,173.6,174.0,168.0,168.6,128600,62.256
2007-01-31,168.1,170.0,165.0,166.6,209600,61.517
2007-02-01,167.75,173.75,165.0,172.0,256100,63.511
2007-02-02,173.0,174.2,170.6,171.3,145800,63.253
2007-02-05,171.0,171.0,166.25,167.35,220500,61.794
2007-02-06,168.9,169.4,164.3,165.6,148900,61.148
2007-02-07,167.05,168.0,164.5,165.55,107500,61.129
2007-02-08,165.1,167.0,162.55,163.95,115000,60.539
2007-02-09,161.15,165.9,148.0,150.35,314600,55.517
2007-02-12,150.5,157.0,141.5,143.95,431300,53.154
2007-02-13,145.0,153.0,140.25,145.5,218000,53.726
2007-02-14,143.5,146.5,140.0,144.75,266600,53.449
2007-02-15,147.0,152.5,146.1,152.5,138000,56.311
2007-02-19,153.55,155.4,151.25,152.0,98800,56.126
2007-02-20,151.0,153.0,146.5,147.85,63000,54.594
2007-02-21,147.0,149.5,145.1,146.65,107600,54.151
2007-02-22,149.5,149.85,144.55,145.45,83100,53.707
2007-02-23,143.6,145.0,134.3,137.45,440800,50.753
2007-02-26,140.0,141.0,135.0,138.25,452400,51.049
2007-02-27,140.0,142.75,137.25,138.4,103000,51.104
2007-02-28,131.35,139.85,127.1,128.45,345200,47.43
2007-03-01,132.4,133.0,118.75,121.75,403000,44.956
2007-03-02,123.2,127.95,114.15,117.8,343500,43.498
2007-03-05,115.0,115.8,107.0,110.3,362300,40.728
2007-03-06,112.0,115.9,110.25,112.6,169500,41.578
2007-03-07,116.9,116.9,105.25,106.45,196500,39.307
2007-03-08,107.35,117.0,106.6,115.1,211500,42.501
2007-03-09,117.25,125.4,109.15,110.65,575800,40.858
2007-03-12,111.05,114.7,107.05,108.95,252700,40.23
2007-03-13,108.1,115.3,107.55,113.25,421400,41.818
2007-03-14,108.9,113.6,106.25,111.85,235000,41.301
