Date,Open,High,Low,Close,Volume,Adj Close
2002-01-01,0.85,0.85,0.85,0.85,5000,0.0611
2002-01-09,0.85,0.85,0.85,0.85,125000,0.0611
2002-01-10,0.8,0.8,0.8,0.8,65000,0.0575
2002-01-11,0.66,0.75,0.66,0.75,15000,0.0539
2002-01-23,0.625,0.625,0.625,0.625,15000,0.0449
2002-01-28,0.52,0.52,0.52,0.52,10000,0.0374
2002-01-30,0.62,0.62,0.62,0.62,2500,0.0446
2002-01-31,0.74,0.74,0.74,0.74,12500,0.0532
2002-02-05,0.7,0.77,0.605,0.77,971200,0.0553
2002-02-06,0.8,0.8,0.8,0.8,2500,0.0575
2002-02-07,0.825,0.825,0.825,0.825,7500,0.0593
2002-02-08,0.985,0.985,0.985,0.985,2500,0.0708
2002-02-12,0.8,0.8,0.8,0.8,15000,0.0575
2002-02-13,0.655,0.8,0.655,0.8,5000,0.0575
2002-02-14,0.7,0.795,0.7,0.7,22500,0.0503
2002-02-15,0.58,0.58,0.58,0.58,2500,0.0417
2002-02-18,0.695,0.695,0.695,0.695,2400,0.05
2002-03-05,0.7,0.7,0.65,0.65,20000,0.0467
2002-03-06,0.625,0.65,0.625,0.65,7500,0.0467
2002-03-07,0.7,0.7,0.7,0.7,2500,0.0503
2002-03-12,0.75,0.75,0.75,0.75,10000,0.0539
2002-03-14,0.625,0.625,0.625,0.625,2000,0.0449
2002-03-19,0.65,0.7,0.65,0.7,6597500,0.0503
2002-03-20,0.7,0.7,0.7,0.7,10000,0.0503
2002-03-26,0.7,0.8,0.7,0.745,60000,0.0535
2002-03-27,0.63,0.89,0.63,0.89,102500,0.064
2002-04-01,1.0,1.05,0.88,0.89,77500,0.064
2002-04-02,0.95,1.0,0.95,1.0,25000,0.0719
2002-04-04,0.82,0.82,0.815,0.815,7500,0.0586
2002-04-05,0.8,0.8,0.72,0.72,10000,0.0517
2002-04-08,0.7,0.7,0.7,0.7,7500,0.0503
2002-04-10,0.585,0.625,0.585,0.625,300,0.0449
2002-04-16,0.605,0.605,0.605,0.605,2500,0.0435
2002-04-18,0.65,0.65,0.63,0.65,7500,0.0467
2002-04-24,0.7,0.7,0.7,0.7,22500,0.0503
2002-05-06,0.655,0.67,0.655,0.67,10000,0.0482
2002-05-08,0.545,0.665,0.54,0.66,12500,0.0474
2002-05-10,0.79,0.79,0.79,0.79,12500,0.0568
2002-05-14,0.75,0.75,0.75,0.75,2500,0.0539
2002-06-07,0.7,0.7,0.7,0.7,37500,0.0503
2002-06-10,0.8,0.8,0.8,0.8,16200,0.0575
2002-06-12,0.665,0.925,0.66,0.925,31200,0.0665
2002-06-13,0.805,0.805,0.8,0.8,20000,0.0575
2002-06-14,0.7,0.7,0.7,0.7,2500,0.0503
2002-06-17,0.71,0.84,0.71,0.84,12600,0.0604
2002-06-18,0.705,1.0,0.705,0.9,57700,0.0647
2002-06-19,0.85,0.85,0.85,0.85,5000,0.0611
2002-06-20,0.9,0.995,0.9,0.975,17500,0.0701
2002-06-21,0.925,0.925,0.92,0.92,10000,0.0661
2002-06-24,0.95,0.95,0.92,0.92,7600,0.0661
2002-06-25,0.75,1.1,0.75,1.005,101300,0.0722
2002-06-26,1.01,1.05,0.865,0.865,22500,0.0622
2002-07-01,0.346,0.346,0.346,0.346,2500,0.0249
2002-07-02,0.384,0.414,0.384,0.414,56200,0.0298
2002-07-03,0.404,0.414,0.4,0.41,52500,0.0295
2002-07-04,0.448,0.448,0.448,0.448,12500,0.0322
2002-07-05,0.44,0.46,0.37,0.448,72500,0.0322
2002-07-08,0.536,0.536,0.362,0.48,117500,0.0345
2002-07-09,0.44,0.46,0.44,0.46,17500,0.0331
2002-07-10,0.446,0.46,0.446,0.446,7500,0.0321
2002-07-11,0.404,0.404,0.404,0.404,2500,0.029
2002-07-12,0.442,0.444,0.42,0.42,50000,0.0302
2002-07-15,0.412,0.412,0.382,0.382,17500,0.0275
2002-07-17,0.346,0.346,0.346,0.346,7500,0.0249
2002-07-18,0.38,0.38,0.38,0.38,12500,0.0273
2002-07-19,0.36,0.38,0.346,0.346,27500,0.0249
2002-07-26,0.32,0.32,0.32,0.32,5000,0.023
2002-07-29,0.294,0.294,0.294,0.294,12500,0.0211
2002-07-30,0.322,0.322,0.32,0.32,35000,0.023
2002-08-06,0.302,0.302,0.302,0.302,2500,0.0217
