Date,Open,High,Low,Close,Volume,Adj Close
2004-06-14,78.0,78.0,64.8665,75.4,6247300,7.26924
2004-06-15,110.00025,111.0,92.19975,97.70025,6663000,9.41918
2004-06-16,99.50025,101.49975,95.00025,99.24975,3733300,9.56857
2004-06-17,99.0,100.44975,96.0,99.54975,2653000,9.59749
2004-06-18,99.95025,99.95025,92.00025,94.65,1025000,9.12511
2004-06-21,95.00025,95.75025,83.49975,87.05025,1534400,8.39243
2004-06-22,85.65,86.25,78.35025,80.30025,2913500,7.74167
2004-06-23,81.0,84.99975,74.00002,76.44975,2440200,7.37044
2004-06-24,77.1,79.2,73.44998,78.3,4090800,7.54882
2004-06-25,78.99975,93.95025,78.0,90.69975,4240400,8.74427
2004-06-28,90.99975,108.80025,88.14975,103.74975,12594700,10.00241
2004-06-29,103.44975,105.39975,97.5,98.85,6929900,9.53003
2004-06-30,100.14975,105.65025,99.0,102.54975,6556500,9.88672
2004-07-01,102.0,105.6,102.0,104.49975,3035300,10.07472
2004-07-02,104.79975,104.79975,100.25025,101.25,2912600,9.76141
2004-07-05,100.89975,104.04975,96.50025,97.95,1844300,9.44326
2004-07-06,97.89975,101.00025,97.05,100.29975,1674400,9.6698
2004-07-07,101.00025,102.84975,98.19975,98.64975,1703300,9.51072
2004-07-08,99.6,101.90025,93.99975,95.45025,3080800,9.20226
2004-07-09,94.10025,99.9,93.0,99.20025,1022000,9.5638
2004-07-12,99.0,99.50025,97.55025,98.00025,825800,9.44811
2004-07-13,99.0,99.99975,95.00025,95.34975,375800,9.19257
2004-07-14,96.0,96.50025,90.6,91.89975,2695200,8.85996
2004-07-15,91.74975,101.00025,89.49975,99.20025,4144200,9.5638
2004-07-16,100.40025,102.50025,99.15,99.9,1887200,9.63126
2004-07-19,100.8,102.80025,99.15,99.75,1135000,9.6168
2004-07-20,100.5,103.2,99.3,102.39975,2198700,9.87226
2004-07-21,102.80025,104.34975,99.99975,101.00025,1421700,9.73733
2004-07-22,102.84975,102.99975,96.0,100.05,954700,9.64572
2004-07-23,101.75025,103.5,100.5,102.45,1387500,9.8771
2004-07-26,102.0,110.7,101.00025,109.59975,3701600,10.5664
2004-07-27,111.09975,113.00025,102.35025,103.29975,2200900,9.95903
2004-07-28,104.60025,106.89975,104.00025,105.09975,1070900,10.13256
2004-07-29,105.05025,110.49975,104.45025,108.3,33610300,10.44109
2004-07-30,108.3,110.19975,104.7,106.05,1976800,10.22418
2004-08-02,108.0,108.84975,106.5,107.79975,1106700,10.39287
2004-08-03,108.0,117.65025,108.0,113.75025,7004500,10.96655
2004-08-04,114.0,114.75,110.19975,112.05,2191800,10.80263
2004-08-05,113.30025,115.89975,113.04975,115.2,1997500,11.10632
2004-08-06,116.00025,123.75,110.00025,118.74975,28856800,11.44854
2004-08-09,118.95,124.65001,117.99975,121.44975,4017200,11.70885
2004-08-10,121.95,125.00025,121.85025,124.55026,4040300,12.00777
2004-08-11,125.00025,125.7,122.00026,122.04975,2804800,11.76669
2004-08-12,122.24999,123.99975,113.79975,117.50025,4196400,11.32808
2004-08-13,117.50025,125.00025,116.00025,123.84975,3897100,11.94023
2004-08-16,124.25025,124.65001,119.60025,121.50001,2106000,11.71369
2004-08-17,122.24999,131.00025,122.24999,129.39975,5514400,12.4753
2004-08-18,128.00025,132.39974,128.00025,130.29975,3471600,12.56207
2004-08-19,130.5,135.39976,129.99975,133.8,4061900,12.89952
2004-08-20,135.0,136.70025,130.70025,133.05,4309700,12.82722
2004-08-23,134.34975,135.80026,130.89975,134.4,2616100,12.95737
2004-08-24,135.0,136.35,132.6,134.60024,1971900,12.97668
2004-08-25,135.35025,138.3,134.15025,137.64975,1973200,13.27068
2004-08-26,137.49975,139.35,135.99976,137.7,1859600,13.27552
2004-08-27,138.0,138.39975,134.49975,134.94975,1109200,13.01037
2004-08-30,135.75,138.09975,132.54975,136.59976,2544800,13.16945
2004-08-31,137.00026,143.49976,135.50025,140.7,3844900,13.56475
2004-09-01,140.99999,142.89976,139.74976,140.99999,2032600,13.59367
2004-09-02,141.50024,141.65025,135.75,136.29975,1982900,13.14052
2004-09-03,137.00026,137.49975,134.49975,135.39976,806400,13.05376
2004-09-06,135.99976,140.25001,135.84975,136.35,1391700,13.14537
2004-09-07,137.00026,137.7,133.65,134.69999,793600,12.98629
2004-09-08,135.20024,144.99975,135.0,144.45,5254800,13.92628
2004-09-09,144.9,149.64975,143.00025,148.14975,5452000,14.28297
2004-09-10,147.99974,148.89975,140.34976,142.19999,2323500,13.70936
2004-09-13,143.00025,146.49975,141.95025,143.85,1179700,15.05988
2004-09-14,143.00025,144.99975,141.20025,143.75025,910100,15.04944
2004-09-15,144.84974,144.84974,138.99975,139.5,1168000,14.60447
2004-09-16,140.00025,141.99975,139.55026,140.1,788100,14.66729
2004-09-17,140.99999,142.89976,139.5,140.34976,1938600,14.69344
2004-09-20,140.99999,150.0,140.99999,148.35001,4314800,15.53099
2004-09-21,149.00024,151.95,148.49999,151.10025,3756100,15.81892
2004-09-22,150.75,154.14976,148.10025,148.89975,2024900,15.58855
2004-09-23,149.00024,149.00024,143.34975,144.14999,950800,15.09129
2004-09-24,144.50026,149.19974,143.49976,147.95025,898900,15.48914
2004-09-27,148.95,153.69975,146.19975,152.30025,1854200,15.94455
2004-09-28,152.00026,153.24975,146.00025,147.3,628300,15.42107
2004-09-29,147.99974,149.4,144.50026,146.00025,736000,15.28499
2004-09-30,145.14975,152.00026,145.14975,151.29975,882400,15.83981
2004-10-01,152.49975,155.34976,147.99974,153.80025,1040600,16.10159
2004-10-04,155.00025,159.99975,154.14976,158.45025,2335100,16.5884
2004-10-05,159.50026,161.49975,159.00001,159.60001,2217600,16.70877
2004-10-06,159.00001,161.00025,155.60025,156.50024,1917700,16.38426
2004-10-07,157.5,158.90026,154.5,155.79975,829300,16.31092
2004-10-08,155.99999,158.00025,155.49974,157.29976,423600,16.46796
2004-10-11,155.49974,158.00025,150.54975,151.44975,560700,15.85551
2004-10-12,152.75024,153.99975,145.5,153.39975,1705000,16.05966
2004-10-14,153.0,155.00025,145.8,149.60024,584000,15.66188
2004-10-15,150.99976,152.49975,146.79975,147.80025,319000,15.47344
2004-10-18,148.8,152.24999,146.00025,147.75001,13160100,15.46818
2004-10-19,148.95,150.99976,148.2,150.24975,558600,15.72988
2004-10-20,149.00024,151.50001,145.14975,145.8,638900,15.26403
2004-10-21,146.94975,150.0,145.5,146.25,515000,15.31114
2004-10-25,146.90025,148.35001,138.99975,140.94975,1081500,14.75625
2004-10-26,141.50024,144.24974,139.5,139.95,1240400,14.65158
2004-10-27,140.90024,144.45,138.69975,142.70024,1070500,14.93951
2004-10-28,144.09976,155.19975,143.75025,154.40025,1925800,16.1644
2004-10-29,155.00025,155.49974,149.49975,153.69975,1045300,16.09107
2004-11-01,152.00026,156.20025,149.15025,155.49974,673700,16.27951
2004-11-02,155.00025,158.90026,153.99975,158.19975,773100,16.56218
2004-11-03,159.00001,159.00001,153.05025,156.05025,661900,16.33715
2004-11-04,156.99975,158.00025,153.6,155.00025,663900,16.22722
2004-11-05,155.49974,155.99999,150.99976,153.44999,391100,16.06492
2004-11-08,153.99975,161.25,153.99975,159.35025,1269300,16.68263
2004-11-09,159.69975,160.29975,155.00025,157.89976,392500,16.53077
2004-11-10,159.00001,159.00001,155.15026,157.89976,341300,16.53077
