Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,102.0,106.4,99.9,100.75,35110000,87.05
2010-01-05,101.5,117.4,100.0,112.75,32356100,97.42
2010-01-06,113.8,118.0,111.25,112.9,10518100,97.55
2010-01-07,113.5,114.9,111.2,112.85,5210300,97.5
2010-01-08,113.5,115.5,112.45,112.75,2629500,97.42
2010-01-11,114.0,121.1,113.5,120.0,8912800,103.68
2010-01-12,120.95,123.9,118.5,119.5,7901500,103.25
2010-01-13,120.0,120.0,116.4,117.6,3062400,101.61
2010-01-14,118.6,121.9,118.0,119.3,3716400,103.08
2010-01-15,119.95,120.9,116.8,117.1,1933900,101.18
2010-01-18,117.5,117.95,114.4,115.4,1064100,99.71
2010-01-19,116.0,116.85,113.0,113.45,1392400,98.02
2010-01-20,115.0,118.85,113.95,115.65,3078600,99.92
2010-01-21,116.5,116.9,111.3,112.95,2171300,97.59
2010-01-22,112.15,113.5,108.7,111.5,2172600,96.34
2010-01-25,110.9,112.8,108.5,110.05,1088700,95.08
2010-01-27,111.1,111.1,106.3,107.7,1692600,93.05
2010-01-28,108.85,110.0,106.0,106.3,1017300,91.84
2010-01-29,107.0,107.0,102.0,106.65,1191400,92.15
2010-02-01,106.0,109.2,105.75,107.8,696100,93.14
2010-02-02,108.55,111.6,105.0,105.35,1998100,91.02
2010-02-03,109.95,113.2,106.1,109.7,1452400,94.78
2010-02-04,111.45,111.45,105.75,106.15,1249800,91.71
2010-02-05,104.95,104.95,102.0,103.3,964200,89.25
2010-02-08,109.0,111.95,106.9,108.0,3947900,93.31
2010-02-09,108.0,112.75,107.75,110.9,3133300,95.82
2010-02-10,112.0,112.3,108.7,109.5,3435300,94.61
2010-02-11,110.0,110.85,108.4,108.9,593900,94.09
2010-02-15,108.1,109.95,106.1,106.6,690700,92.1
2010-02-16,107.0,109.75,106.7,109.25,517300,94.39
2010-02-17,110.5,110.75,108.25,108.65,3203900,93.87
2010-02-18,109.3,111.95,107.9,109.05,1062100,94.22
2010-02-19,108.15,108.8,105.9,107.2,749000,92.62
2010-02-22,108.1,109.35,104.7,105.2,439700,90.89
2010-02-23,105.4,106.9,104.7,105.0,368400,90.72
2010-02-24,104.9,105.9,103.5,104.15,325000,89.99
2010-02-25,104.95,105.05,104.0,104.15,248200,89.99
2010-02-26,104.65,105.9,103.0,103.5,780200,89.42
2010-03-02,104.5,105.8,104.05,104.5,384400,90.29
2010-03-03,105.2,108.25,105.1,106.0,869800,91.58
2010-03-04,106.0,106.85,105.0,105.35,345600,91.02
2010-03-05,106.9,110.4,105.85,109.5,2054400,94.61
2010-03-08,111.0,112.85,109.8,110.8,2098500,95.73
2010-03-09,111.0,111.5,107.35,107.65,529100,93.01
2010-03-10,108.0,108.9,106.25,106.65,335400,92.15
2010-03-11,107.0,108.5,104.85,105.9,900700,91.5
2010-03-12,106.0,107.0,105.15,105.9,544900,91.5
2010-03-15,106.05,106.05,105.0,105.2,332700,90.89
2010-03-16,105.7,108.1,105.0,107.3,514400,92.71
2010-03-17,108.5,112.9,108.3,111.1,1771500,95.99
2010-03-18,111.8,111.8,108.95,109.85,589900,94.91
