Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,11.75003,11.80998,11.63001,11.80998,2900,0.64921
2002-07-02,11.69002,11.93,11.69002,11.71002,1500,0.64371
2002-07-03,11.69002,11.88002,11.55998,11.69999,3100,0.64316
2002-07-04,11.86001,11.88002,11.55998,11.57998,5500,0.63656
2002-07-05,11.55998,12.05998,11.55998,11.99,7300,0.6591
2002-07-08,12.18997,13.18999,12.18997,13.18999,8700,0.72507
2002-07-09,14.06003,14.36998,14.00002,14.17001,8900,0.77894
2002-07-10,13.77999,14.30998,13.75001,13.75001,7100,0.75585
2002-07-11,13.16002,13.69001,13.0,13.0,3700,0.71462
2002-07-12,13.12999,13.65998,13.12999,13.65998,5300,0.7509
2002-07-15,13.75001,13.75001,13.25,13.69001,9000,0.75255
2002-07-16,13.37999,13.37999,13.37999,13.37999,100,0.73551
2002-07-17,13.37999,13.98999,13.37999,13.69001,13700,0.75255
2002-07-18,14.38001,14.80999,14.25002,14.72998,35600,0.80972
2002-07-19,14.99999,15.26002,14.34998,14.42999,17100,0.79323
2002-07-22,14.06003,14.28997,13.79999,13.85002,11700,0.76135
2002-07-23,13.94001,14.06003,13.88,14.06003,2200,0.77289
2002-07-24,13.88,13.88,13.75001,13.75001,2700,0.75585
2002-07-25,14.06003,14.06003,13.75001,13.75001,3200,0.75585
2002-07-26,13.75001,13.85002,13.75001,13.83002,8900,0.76025
2002-07-29,13.44,13.50001,13.31001,13.50001,16900,0.74211
2002-07-30,13.67998,13.75001,13.31001,13.44,11600,0.73881
2002-07-31,12.83998,13.18999,12.83998,13.12999,6000,0.72177
2002-08-01,12.55999,13.44,12.55999,13.12999,12800,0.72177
2002-08-02,13.12999,13.12999,13.0,13.0,18200,0.71462
2002-08-05,13.0,13.06001,13.0,13.0,500,0.71462
2002-08-06,13.12999,13.12999,13.0,13.0,2300,0.71462
2002-08-07,13.52999,13.54999,13.22003,13.22003,500,0.72672
2002-08-08,13.12999,13.14002,13.0,13.04,900,0.71682
2002-08-09,13.0,13.06998,13.0,13.0,6000,0.71462
2002-08-12,13.12999,13.12999,13.12999,13.12999,200,0.72177
2002-08-13,13.37999,13.63,13.37999,13.37999,900,0.73551
2002-08-14,13.50001,13.50001,13.12999,13.12999,1900,0.72177
2002-08-16,13.25,13.50001,13.06998,13.08998,1300,0.71957
2002-08-19,13.12999,13.12999,13.06998,13.10001,800,0.72012
2002-08-20,13.0,13.56001,13.0,13.50001,3800,0.74211
2002-08-21,13.44,13.44,13.0,13.0,1100,0.71462
2002-08-22,13.0,13.12999,13.0,13.0,2300,0.71462
2002-08-23,13.0,13.12001,13.0,13.12001,100,0.72122
2002-08-26,13.08998,13.22003,13.0,13.0,2500,0.71462
2002-08-27,13.0,13.0,13.0,13.0,1200,0.71462
2002-08-28,12.81,14.00002,12.81,13.44,6400,0.73881
2002-08-29,13.71001,13.71001,13.02997,13.02997,1700,0.71627
2002-08-30,13.0,13.18999,13.0,13.06998,1200,0.71847
2002-09-02,13.06998,13.25,13.06998,13.18999,3000,0.72507
2002-09-03,13.50001,13.50001,13.37999,13.39002,200,0.73606
2002-09-04,13.46998,13.46998,13.27998,13.29001,500,0.73057
2002-09-05,13.31001,13.56001,13.0,13.0,5200,0.71462
2002-09-06,13.18999,13.56001,13.18999,13.44,8000,0.73881
2002-09-09,13.25,13.63,13.25,13.44,16700,0.73881
2002-09-11,13.50001,13.50001,13.44,13.44,1000,0.73881
2002-09-12,13.44,13.50001,13.44,13.44,2700,0.73881
2002-09-13,13.50001,13.52999,13.44,13.44,1100,0.73881
2002-09-16,13.44,13.56001,13.44,13.56001,7000,0.74541
2002-09-17,13.44,13.44,13.44,13.44,900,0.73881
2002-09-18,13.44,13.63,13.44,13.63,1300,0.74926
2002-09-19,13.63,13.63,13.44,13.44,400,0.73881
2002-09-20,13.44,13.46998,13.44,13.46998,1900,0.74046
2002-09-23,13.44,13.44,13.44,13.44,3900,0.73881
2002-09-24,12.22998,14.06003,12.22998,13.58002,12800,0.74651
2002-09-25,13.50001,13.56999,13.50001,13.56999,500,0.74596
2002-09-26,14.17999,14.17999,13.64002,13.64002,100,0.74981
2002-09-27,13.50001,13.50001,13.44997,13.44997,700,0.73936
2002-09-30,13.50001,13.50001,13.44,13.44,1500,0.73881
2002-10-01,13.41002,13.44,13.12999,13.18999,2700,0.72507
2002-10-03,13.25,13.25,13.12999,13.12999,1800,0.72177
2002-10-04,13.12999,13.18999,13.12999,13.18999,200,0.72507
2002-10-07,12.68999,13.18999,11.99998,13.12999,2800,0.72177
2002-10-08,13.12999,14.44002,13.12999,13.54001,5000,0.74431
2002-10-09,13.56001,14.28,13.33001,13.64002,3200,0.74981
2002-10-10,13.88,13.88,13.25,13.62002,1400,0.74871
2002-10-11,14.13001,14.25002,13.58999,14.05,3900,0.77234
2002-10-14,14.63002,15.24999,13.69998,14.88002,800,0.81797
2002-10-16,15.24999,15.24999,14.26,14.55998,1200,0.80038
2002-10-17,15.24001,15.24001,13.75001,14.3,3300,0.78609
2002-10-18,14.93,14.93,13.88998,14.06003,2100,0.77289
2002-10-21,14.38001,14.61002,14.36998,14.44002,1800,0.79378
2002-10-22,14.93998,15.87999,14.00002,15.32003,18900,0.84216
2002-10-23,15.87999,15.87999,15.07002,15.43999,5100,0.84875
2002-10-24,15.43001,15.43001,14.88002,15.28002,1800,0.83996
2002-10-25,15.31,15.31,14.74998,14.91998,1600,0.82017
2002-10-28,15.31,15.62998,15.24999,15.56,6000,0.85535
2002-10-29,15.58998,15.75,15.33,15.66999,3700,0.8614
2002-10-30,16.25001,16.25001,15.43999,16.14002,3500,0.88723
2002-10-31,16.56002,17.74999,15.94,17.2,8100,0.9455
2002-11-01,17.74001,17.74001,16.88998,17.11001,2900,0.94056
2002-11-04,18.75001,18.75001,17.19002,17.34002,1900,0.9532
2002-11-05,17.19002,17.40002,17.19002,17.24,1200,0.9477
2002-11-07,18.43999,18.43999,17.19002,17.30998,2600,0.95155
2002-11-08,17.19002,17.49998,17.19002,17.32999,4000,0.95265
2002-11-11,17.19002,17.66998,17.19002,17.55999,11200,0.96529
2002-11-12,19.13,19.13,17.82002,18.22999,4800,1.00212
2002-11-13,17.26001,17.49998,17.26001,17.49998,500,0.96199
2002-11-14,17.61002,17.63002,17.49998,17.59002,1000,0.96694
2002-11-15,17.80999,17.80999,17.63002,17.74001,200,0.97519
2002-11-18,17.80002,17.80002,17.80002,17.80002,0,0.97849
2002-11-20,17.32001,17.32001,17.32001,17.32001,200,0.9521
2002-11-21,17.38002,17.38002,17.26998,17.30998,300,0.95155
2002-11-22,17.49998,17.49998,17.22997,17.28001,1900,0.9499
2002-11-25,17.49998,17.49998,17.19002,17.19002,8200,0.94495
2002-11-26,17.24998,17.63002,17.19002,17.19002,3400,0.94495
2002-11-27,17.19002,17.32999,17.19002,17.2,3700,0.9455
2002-11-28,17.19002,17.2,17.19002,17.2,5000,0.9455
2002-11-29,17.19002,17.49998,17.19002,17.2,2400,0.9455
2002-12-02,17.21003,17.38002,17.19002,17.19002,7700,0.94495
2002-12-03,17.30998,17.30998,17.19002,17.19002,3600,0.94495
2002-12-04,17.19002,17.24998,17.19002,17.19002,1700,0.94495
2002-12-05,17.24998,17.24998,17.19002,17.19002,4500,0.94495
2002-12-06,17.19002,17.2,17.19002,17.2,8500,0.9455
2002-12-09,17.19002,17.30998,17.19002,17.24998,3100,0.94825
2002-12-10,17.19002,17.22997,17.19002,17.19002,2400,0.94495
2002-12-11,17.24998,17.24998,17.19002,17.19002,9400,0.94495
2002-12-12,17.2,17.2,16.13,16.4,3100,0.90153
2002-12-13,16.19,16.19,16.13,16.16002,1500,0.88833
2002-12-16,16.25001,16.25001,15.94,15.94,6900,0.87624
2002-12-17,15.12998,15.12998,14.99999,14.99999,2100,0.82457
2002-12-18,15.12998,15.87999,15.12998,15.81001,10600,0.86909
2002-12-19,15.91002,16.25001,15.91002,16.23001,6000,0.89218
2002-12-20,16.79003,17.13002,15.81001,16.00998,5300,0.88009
2002-12-23,16.13,16.13,15.94,15.94,500,0.87624
2002-12-24,15.81001,16.10999,15.81001,15.83001,1400,0.87019
2002-12-26,16.25001,16.25001,15.81001,15.91002,7800,0.87459
2002-12-27,16.00001,16.23998,15.81001,15.81001,4300,0.86909
2002-12-30,16.00001,16.00001,15.81001,15.81001,2000,0.86909
2002-12-31,15.87999,15.87999,15.81998,15.81998,1500,0.86964
2003-01-01,15.83001,16.13,15.83001,16.13,300,0.88668
2003-01-02,15.87999,16.00001,15.81001,16.00001,11300,0.87954
2003-01-03,15.89002,15.89002,15.89002,15.89002,1100,0.87349
2003-01-06,15.81001,15.98998,15.81001,15.89999,3500,0.87404
2003-01-07,15.89002,15.89002,15.81001,15.89002,3500,0.87349
2003-01-08,15.81998,16.23001,15.81001,16.23001,2700,0.89218
2003-01-09,16.13,16.38998,15.81001,16.29001,6400,0.89548
2003-01-10,15.81998,16.25001,15.81998,16.25001,800,0.89328
2003-01-13,15.87999,16.50001,15.87999,16.48999,2400,0.90647
2003-01-14,16.19,16.19,16.17997,16.19,1000,0.88998
2003-01-15,16.25001,16.73002,16.25001,16.73002,1600,0.91967
2003-01-16,16.38,16.44001,16.27999,16.38,1900,0.90043
2003-01-17,16.50001,17.99999,16.25001,17.55001,7100,0.96474
2003-01-20,18.12998,19.3,17.57999,19.27999,13500,1.05984
2003-01-21,19.38001,19.99998,18.39002,18.46,13900,1.01477
2003-01-22,19.23001,19.38001,18.5,19.31003,9300,1.06149
2003-01-23,18.89002,19.63001,18.89002,19.38001,8900,1.06534
2003-01-24,19.57998,19.57998,18.88,19.15998,7600,1.05325
2003-01-27,19.25002,19.55,18.75001,19.04999,6900,1.0472
2003-01-28,19.38001,19.38001,18.75001,18.88,11400,1.03785
2003-01-29,19.40001,19.40001,18.75001,18.75001,3000,1.03071
2003-01-30,18.75001,19.74997,18.75001,19.06002,7000,1.04775
2003-01-31,19.50002,19.86002,18.75001,18.75001,15300,1.03071
2003-02-03,18.81001,19.69002,18.81001,19.09,6900,1.0494
2003-02-04,19.04002,19.04002,18.77999,18.77999,2200,1.03236
2003-02-05,18.75998,19.02999,18.75998,18.88,3400,1.03785
2003-02-06,20.24999,20.24999,18.94001,19.31003,900,1.06149
2003-02-07,19.13,19.34,18.90998,19.23999,3400,1.05764
2003-02-10,19.67999,19.67999,18.94001,18.94001,400,1.04115
2003-02-11,18.94001,18.94001,18.88,18.88,7300,1.03785
2003-02-12,18.88,19.06002,18.88,18.88,5700,1.03785
2003-02-14,18.88,18.88,18.75001,18.75001,5600,1.03071
2003-02-17,20.22001,20.22001,18.75001,18.75001,3000,1.03071
2003-02-18,18.94998,18.94998,18.94001,18.94998,1000,1.0417
2003-02-19,18.90998,19.00001,18.90998,19.00001,1200,1.04445
2003-02-20,19.23001,19.23001,18.75001,18.81001,500,1.03401
2003-02-21,18.75001,18.83999,18.75001,18.75998,900,1.03126
2003-02-24,18.75001,18.88,18.75001,18.75001,3600,1.03071
2003-02-25,18.75001,18.75001,18.75001,18.75001,3800,1.03071
2003-02-26,18.75001,18.81001,18.75001,18.81001,2200,1.03401
2003-02-27,18.75001,18.88,18.75001,18.81001,4700,1.03401
2003-02-28,18.75001,18.75001,18.75001,18.75001,2600,1.03071
2003-03-03,18.88,18.88,18.75001,18.75001,2800,1.03071
2003-03-04,18.75001,18.81001,18.75001,18.75001,2800,1.03071
2003-03-05,18.75001,18.75001,18.75001,18.75001,4200,1.03071
2003-03-06,18.75001,18.77999,18.75001,18.75998,2700,1.03126
2003-03-07,18.75001,18.75001,18.75001,18.75001,3700,1.03071
2003-03-10,18.75001,18.75001,18.75001,18.75001,2300,1.03071
2003-03-11,18.75001,18.88,18.75001,18.75001,2400,1.03071
2003-03-12,18.88,18.88,18.75001,18.75001,1200,1.03071
2003-03-13,18.75001,18.81001,18.75001,18.81001,1400,1.03401
2003-03-17,18.75001,18.90998,18.75001,18.75001,4300,1.03071
2003-03-19,18.75001,18.75998,18.75001,18.75001,5000,1.03071
2003-03-20,18.88,19.15998,18.75001,18.92,4500,1.04005
2003-03-21,18.75998,18.75998,18.75001,18.75001,5000,1.03071
2003-03-24,19.06002,19.06002,18.5,18.50998,1600,1.01751
2003-03-25,18.66002,18.73998,18.56001,18.69,900,1.02741
2003-03-26,20.49999,20.49999,18.64002,18.64002,2100,1.02466
2003-03-27,18.75001,19.00001,18.75001,18.88,2100,1.03785
