Date,Open,High,Low,Close,Volume,Adj Close
2013-06-05,590.0,631.9,589.0,611.45,4424800,609.22
2013-06-06,600.0,615.0,588.85,605.1,748200,602.9
2013-06-07,603.0,676.6,603.0,647.4,1917900,645.04
2013-06-10,649.0,682.0,627.15,672.2,896900,669.75
2013-06-11,672.1,683.0,644.1,657.3,686200,654.91
2013-06-12,655.1,664.8,631.2,637.55,305300,635.23
2013-06-13,632.5,644.6,605.15,630.05,241700,627.76
2013-06-14,632.0,648.4,622.05,629.3,139300,627.01
2013-06-17,623.0,640.0,623.0,634.7,108500,632.39
2013-06-18,635.65,644.95,625.0,629.9,93700,627.61
2013-06-19,629.8,657.0,629.8,647.85,119900,645.49
2013-06-20,644.7,650.0,617.35,622.25,108900,619.98
2013-06-21,617.5,634.6,617.5,624.45,148600,622.18
2013-06-24,624.2,629.6,591.25,608.05,138300,605.84
2013-06-25,610.5,632.0,606.3,625.45,67400,623.17
2013-06-26,626.85,635.0,609.35,612.5,54100,610.27
2013-06-27,617.0,637.0,617.0,629.15,90700,626.86
2013-06-28,630.5,654.0,623.3,650.1,94000,647.73
2013-07-01,650.7,650.7,633.0,636.45,34200,634.13
2013-07-02,637.9,640.5,631.0,635.75,30500,633.44
2013-07-03,635.0,638.0,630.0,634.85,33600,632.54
2013-07-04,638.9,644.0,638.0,641.05,11100,638.72
2013-07-05,643.0,672.9,640.3,655.8,75800,653.41
2013-07-08,655.0,689.7,639.0,679.3,108000,676.83
2013-07-09,685.0,761.8,684.0,719.85,960100,717.23
2013-07-10,717.95,727.5,695.0,705.25,201300,702.68
2013-07-11,710.0,714.3,671.0,686.0,198800,683.5
2013-07-12,691.0,703.0,686.05,697.55,81800,695.01
2013-07-15,710.0,717.8,699.85,704.9,57400,702.33
2013-07-16,703.0,703.0,689.55,698.05,17300,695.51
2013-07-17,709.0,709.0,667.0,694.05,28000,691.52
2013-07-18,698.0,721.0,693.0,699.75,41600,697.2
2013-07-19,699.1,699.1,665.55,681.7,37100,679.22
2013-07-22,681.0,708.9,676.0,684.05,37400,681.56
2013-07-23,691.0,701.0,685.0,690.3,32300,687.79
2013-07-24,690.0,690.0,665.25,678.25,26900,675.78
2013-07-25,683.0,694.75,672.0,681.25,15900,678.77
2013-07-26,678.5,687.5,667.0,679.0,16700,676.53
2013-07-29,684.0,684.9,661.0,680.0,19200,677.52
2013-07-30,680.0,689.5,672.0,677.55,14300,675.08
2013-07-31,677.0,703.0,662.5,695.8,28700,693.27
2013-08-01,698.55,701.0,677.0,682.8,13900,680.31
2013-08-02,685.0,705.0,679.7,696.1,18000,693.57
2013-08-05,710.0,733.7,659.2,678.05,75000,675.58
2013-08-06,678.65,679.0,650.0,655.75,270900,653.36
2013-08-07,660.75,672.0,644.5,662.05,69900,659.64
2013-08-08,663.0,677.05,657.9,666.4,11300,663.97
2013-08-09,666.4,666.4,666.4,666.4,0,663.97
2013-08-12,667.05,680.0,665.15,668.05,9400,665.62
2013-08-13,670.1,674.95,665.1,669.0,3600,666.56
2013-08-14,674.0,684.9,668.1,672.6,6200,670.15
2013-08-15,672.6,672.6,672.6,672.6,0,670.15
2013-08-16,668.0,671.0,651.1,661.05,5000,658.64
2013-08-19,660.0,660.0,620.0,639.9,4400,637.57
2013-08-20,639.0,657.95,627.5,641.5,9700,639.16
2013-08-21,646.0,659.0,642.0,645.6,4400,643.25
2013-08-22,649.5,669.0,644.75,667.75,6900,665.32
