Date,Open,High,Low,Close,Volume,Adj Close
2000-05-25,60.6,60.6,60.5,60.5,1000,0.896
2000-05-26,63.9,63.9,63.9,63.9,500,0.946
2000-05-29,63.9,63.9,63.9,63.9,0,0.946
2000-05-30,63.9,63.9,63.9,63.9,0,0.946
2000-05-31,62.0,62.0,62.0,62.0,500,0.918
2000-06-01,61.6,62.0,61.6,62.0,1000,0.918
2000-06-02,61.7,62.1,61.7,62.1,1000,0.919
2000-06-05,64.0,65.0,63.0,63.0,5000,0.933
2000-06-06,63.1,65.9,63.1,64.0,5000,0.948
2000-06-07,62.6,63.0,62.5,63.0,5000,0.933
2000-06-08,63.0,63.0,63.0,63.0,0,0.933
2000-06-09,62.0,62.0,62.0,62.0,500,0.918
2000-06-12,63.0,63.0,63.0,63.0,1500,0.933
2000-06-13,65.7,65.7,65.7,65.7,500,0.973
2000-06-14,64.2,67.5,64.2,67.5,5000,0.999
2000-06-15,65.4,65.4,65.0,65.0,4000,0.962
2000-06-16,64.1,64.1,64.1,64.1,500,0.949
2000-06-19,64.1,64.1,64.1,64.1,0,0.949
2000-06-20,64.0,64.1,64.0,64.0,2000,0.948
2000-06-21,64.0,64.0,64.0,64.0,1000,0.948
2000-06-22,63.0,63.0,63.0,63.0,5000,0.933
2000-06-23,63.0,63.0,62.0,62.0,9500,0.918
2000-06-26,61.0,61.0,61.0,61.0,6000,0.903
2000-06-27,60.5,60.5,60.0,60.0,7500,0.888
2000-06-28,61.8,61.8,60.0,60.0,6500,0.888
2000-06-29,61.0,61.0,61.0,61.0,9500,0.903
2000-06-30,60.0,60.5,60.0,60.2,7000,0.891
2000-07-03,60.2,60.2,60.2,60.2,0,0.891
2000-07-04,61.0,61.0,61.0,61.0,2500,0.903
2000-07-05,61.0,61.0,61.0,61.0,0,0.903
2000-07-06,61.5,61.5,61.5,61.5,4000,0.911
2000-07-07,61.5,61.5,61.5,61.5,0,0.911
2000-07-10,61.5,61.5,61.5,61.5,0,0.911
2000-07-11,62.5,62.5,62.5,62.5,1000,0.925
2000-07-12,63.5,63.5,63.0,63.0,6000,0.933
2000-07-13,61.1,61.1,61.1,61.1,500,0.905
2000-07-14,61.1,61.1,61.1,61.1,0,0.905
2000-07-17,63.0,63.0,63.0,63.0,500,0.933
2000-07-18,60.5,62.0,60.5,62.0,2000,0.918
2000-07-19,61.1,61.1,61.1,61.1,500,0.905
2000-07-20,60.1,60.1,60.1,60.1,500,0.89
2000-07-21,62.9,63.0,62.9,63.0,1000,0.933
2000-07-24,63.0,63.0,63.0,63.0,0,0.933
2000-07-25,63.0,63.0,63.0,63.0,0,0.933
2000-07-26,63.0,63.0,63.0,63.0,0,0.933
2000-07-27,63.0,63.0,63.0,63.0,0,1.013
2000-07-28,63.0,63.0,63.0,63.0,0,1.013
2000-07-31,60.0,60.0,59.8,60.0,19500,0.965
2000-08-01,60.0,60.0,59.0,59.0,7000,0.949
2000-08-02,60.5,60.5,60.5,60.5,1000,0.973
2000-08-03,60.5,60.5,60.5,60.5,1500,0.973
2000-08-04,60.0,60.1,60.0,60.0,5500,0.965
2000-08-07,60.5,63.0,60.5,63.0,5000,1.013
2000-08-08,60.6,60.6,60.6,60.6,500,0.975
2000-08-09,62.0,62.0,62.0,62.0,8500,0.997
