Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,45.1,48.95,45.1,47.75,31500,8.25
2000-01-04,47.5,49.0,45.0,47.1,62000,8.13
2000-01-05,44.2,46.0,44.2,44.2,12000,7.63
2000-01-06,44.5,44.5,41.0,43.5,9000,7.51
2000-01-07,43.95,43.95,40.25,41.45,20500,7.16
2000-01-10,39.1,44.25,39.0,44.25,5000,7.64
2000-01-11,44.1,44.1,41.1,41.5,13000,7.17
2000-01-12,41.05,41.05,40.4,40.95,9500,7.07
2000-01-13,40.5,43.0,40.5,42.55,11500,7.35
2000-01-14,42.0,42.0,39.15,40.0,15000,6.91
2000-01-17,40.55,41.95,40.15,41.5,3500,7.17
2000-01-18,42.9,42.9,38.2,40.7,12500,7.03
2000-01-19,40.0,41.5,39.8,40.8,15000,7.05
2000-01-20,40.7,41.85,40.0,40.0,7500,6.91
2000-01-21,39.8,40.0,38.5,39.95,23000,6.9
2000-01-24,39.0,40.0,39.0,39.05,5500,6.74
2000-01-25,38.0,39.0,37.0,38.5,21500,6.65
2000-01-26,38.5,38.5,38.5,38.5,0,6.65
2000-01-27,35.6,38.0,35.5,37.5,32000,6.48
2000-01-28,35.5,37.9,35.05,37.05,15500,6.4
2000-01-31,40.0,40.0,40.0,40.0,8500,6.91
2000-02-01,41.1,43.0,40.3,41.5,19500,7.17
2000-02-02,42.0,43.85,40.0,40.0,27000,6.91
2000-02-03,40.0,40.0,40.0,40.0,0,6.91
2000-02-04,40.8,41.0,37.3,37.65,30500,6.5
2000-02-07,38.0,39.0,37.1,38.9,7500,6.72
2000-02-08,37.25,38.7,36.0,36.05,12000,6.23
2000-02-09,37.25,37.25,35.0,36.0,6000,6.22
2000-02-10,36.25,38.5,34.2,36.45,16000,6.3
2000-02-11,37.0,37.0,35.05,35.4,27000,6.11
2000-02-14,32.65,36.0,32.65,34.3,12500,5.92
2000-02-15,34.35,35.75,34.35,34.55,3000,5.97
2000-02-16,33.0,36.0,33.0,35.3,6500,6.1
2000-02-17,33.6,35.6,33.0,35.6,13000,6.15
2000-02-18,33.1,36.0,32.8,35.05,59500,6.05
2000-02-21,35.4,37.5,35.25,36.0,13500,6.22
2000-02-22,34.0,35.8,34.0,35.0,2500,6.05
2000-02-23,36.95,36.95,33.5,34.0,12500,5.87
2000-02-24,34.5,34.6,33.0,34.6,6000,5.98
2000-02-25,34.5,34.5,32.25,32.9,9500,5.68
2000-02-28,34.0,34.0,33.5,33.95,7000,5.86
2000-02-29,34.9,35.0,34.0,34.5,25500,5.96
2000-03-01,33.95,34.0,33.0,33.0,37500,5.7
2000-03-02,32.3,34.0,31.0,32.0,6000,5.53
2000-03-03,32.0,34.0,29.5,29.5,20000,5.1
2000-03-06,27.5,29.5,27.5,28.0,15500,4.84
2000-03-07,28.1,29.75,27.0,27.15,17500,4.69
2000-03-08,27.75,28.95,27.1,27.35,16000,4.72
2000-03-09,27.0,27.0,25.3,25.3,5000,4.37
2000-03-10,25.0,27.25,24.3,26.05,52000,4.5
2000-03-13,26.05,26.05,26.05,26.05,0,4.5
2000-03-14,30.3,30.3,30.3,30.3,11000,5.23
2000-03-15,32.0,32.2,29.65,32.0,6500,5.53
2000-03-16,30.0,32.85,30.0,32.0,22000,5.53
2000-03-17,32.0,32.0,32.0,32.0,0,5.53
2000-03-20,32.0,32.0,32.0,32.0,0,5.53
2000-03-21,33.0,33.95,32.75,32.75,4000,5.66
2000-03-22,32.0,32.0,30.75,31.05,6500,5.36
2000-03-23,31.0,32.45,31.0,31.0,5000,5.35
2000-03-24,30.0,30.0,29.0,29.0,4500,5.01
2000-03-27,30.0,31.3,30.0,31.3,3500,5.41
2000-03-28,31.75,32.7,31.65,32.0,4500,5.53
2000-03-29,34.5,34.55,32.35,32.5,6000,5.61
2000-03-30,31.4,32.45,31.4,32.45,3500,5.6
2000-03-31,32.0,32.0,30.0,31.45,7500,5.43
2000-04-03,33.95,33.95,33.95,33.95,500,5.86
2000-04-04,33.5,34.0,32.0,32.0,10500,5.53
2000-04-05,32.5,34.0,30.0,34.0,7500,5.87
2000-04-06,36.7,36.7,33.0,33.0,3500,5.7
2000-04-07,32.25,33.95,32.0,33.5,11000,5.79
2000-04-10,35.85,36.0,34.55,35.8,3500,6.18
2000-04-11,35.8,35.8,35.8,35.8,0,6.18
2000-04-12,35.0,35.0,34.1,34.1,37500,5.89
2000-04-13,34.1,34.5,32.2,32.65,7500,5.64
2000-04-14,32.65,32.65,32.65,32.65,0,5.64
2000-04-17,32.0,34.3,32.0,32.25,5000,5.57
2000-04-18,32.25,32.25,32.25,32.25,0,5.57
2000-04-19,33.0,33.5,32.5,33.5,2500,5.79
2000-04-20,32.1,32.1,31.0,31.5,8000,5.44
2000-04-21,31.5,31.5,31.5,31.5,0,5.44
2000-04-24,31.5,31.5,31.5,31.5,0,5.44
2000-04-25,27.25,27.95,26.7,27.95,31000,4.83
2000-04-26,27.95,27.95,27.95,27.95,0,4.83
2000-04-27,27.95,27.95,27.95,27.95,0,4.83
2000-04-28,26.7,28.9,26.7,28.5,500,4.92
2000-05-01,28.5,28.5,28.5,28.5,0,4.92
2000-05-02,28.75,28.95,28.45,28.5,5000,4.92
2000-05-03,28.5,28.5,28.5,28.5,0,4.92
2000-05-04,28.0,28.0,27.25,28.0,8500,4.84
2000-05-05,28.0,28.0,28.0,28.0,0,4.84
2000-05-08,28.0,28.0,28.0,28.0,0,4.84
2000-05-09,28.0,28.0,28.0,28.0,0,4.84
2000-05-10,30.0,30.0,27.55,27.55,15500,4.76
2000-05-11,27.6,29.6,27.6,29.6,8000,5.11
2000-05-12,28.0,28.0,27.25,27.25,3000,4.71
2000-05-15,25.5,27.95,25.5,27.95,1500,4.83
2000-05-16,28.45,29.35,28.45,29.35,1500,5.07
2000-05-17,29.5,29.5,29.1,29.1,1500,5.03
2000-05-18,29.1,29.1,29.1,29.1,0,5.03
2000-05-19,28.05,29.9,28.0,29.9,4000,5.16
2000-05-22,29.65,29.75,29.65,29.75,1500,5.14
2000-05-23,29.95,29.95,29.5,29.5,1500,5.1
2000-05-24,29.5,29.5,29.5,29.5,500,5.1
2000-05-25,29.0,29.1,29.0,29.0,2000,5.01
2000-05-26,29.05,29.05,28.3,28.3,1000,4.89
2000-05-29,29.65,29.9,29.65,29.9,1000,5.16
2000-05-30,30.0,30.0,29.25,29.25,1500,5.05
2000-05-31,29.05,31.0,29.05,30.0,3000,5.18
2000-06-01,29.0,30.9,28.05,30.0,3000,5.18
