Date,Open,High,Low,Close,Volume,Adj Close
2007-10-04,201.15,262.0,201.15,230.1,36137000,37.33
2007-10-05,231.95,237.0,207.8,209.3,6830700,33.95
2007-10-08,210.5,214.0,178.1,186.85,4613100,30.31
2007-10-09,182.2,196.0,177.05,191.95,3905200,31.14
2007-10-10,195.0,209.8,192.0,204.7,2071700,33.21
2007-10-11,207.0,216.9,200.0,214.6,1370000,34.81
2007-10-12,212.0,223.7,207.0,210.2,1339300,34.1
2007-10-15,212.2,220.0,210.75,213.65,458400,34.66
2007-10-16,215.65,215.65,204.5,209.55,350600,33.99
2007-10-17,192.5,199.9,180.0,194.3,292600,31.52
2007-10-18,198.4,232.95,195.0,210.0,950100,34.07
2007-10-19,215.0,219.7,195.05,198.7,418400,32.23
2007-10-22,196.0,212.0,196.0,203.9,400100,33.08
2007-10-23,212.0,221.5,210.15,217.8,365800,35.33
2007-10-24,217.8,223.0,208.05,210.9,168700,34.21
2007-10-25,212.0,220.0,212.0,218.85,255200,35.5
2007-10-26,217.5,231.95,212.0,225.7,758900,36.61
2007-10-29,232.0,237.85,227.0,233.25,518500,37.84
2007-10-30,235.0,240.0,221.05,223.45,333400,36.25
2007-10-31,225.0,228.0,212.2,214.4,110500,34.78
2007-11-01,218.0,220.0,205.3,207.4,243300,33.65
2007-11-02,204.0,216.0,201.05,209.0,116500,33.91
2007-11-05,208.0,212.0,202.25,205.25,113900,33.3
2007-11-06,211.0,211.6,200.25,200.25,67200,32.49
2007-11-07,202.0,212.0,200.0,208.0,73200,33.74
2007-11-08,201.3,212.0,201.3,205.5,40600,33.34
2007-11-09,210.5,212.45,208.3,211.3,5900,34.28
2007-11-12,197.0,214.8,197.0,211.75,85000,34.35
2007-11-13,212.95,220.0,211.0,218.5,116700,35.45
2007-11-14,219.9,225.5,219.9,221.5,252100,35.93
2007-11-15,224.0,224.0,216.25,219.05,110100,35.54
2007-11-16,227.0,232.0,220.0,226.9,353200,36.81
2007-11-19,234.9,241.0,231.55,233.6,275400,37.9
2007-11-20,234.0,255.0,231.6,251.55,580800,40.81
2007-11-21,250.0,255.0,236.0,241.95,323300,39.25
2007-11-22,241.0,262.0,235.0,250.0,334200,40.56
2007-11-23,250.1,257.0,241.0,249.45,83600,40.47
2007-11-26,250.0,266.95,245.0,263.25,377500,42.71
2007-11-27,253.1,265.0,251.15,264.55,153700,42.92
2007-11-28,265.0,274.8,262.0,268.5,134300,43.56
2007-11-29,270.0,274.0,261.7,263.65,139800,42.77
2007-11-30,261.0,278.7,252.5,271.95,239000,44.12
2007-12-03,261.05,274.55,261.05,270.05,35300,43.81
2007-12-04,270.25,319.9,268.5,307.05,645400,49.81
2007-12-05,319.95,319.95,297.1,308.6,208500,50.06
2007-12-06,310.05,370.3,310.05,369.05,1419500,59.87
2007-12-07,377.0,380.0,341.0,360.85,606400,58.54
2007-12-10,362.0,368.0,352.0,362.8,516400,58.86
2007-12-11,369.85,390.0,350.0,356.7,277600,57.87
2007-12-12,345.0,349.9,338.1,341.4,108300,55.38
2007-12-13,340.0,345.0,313.0,318.85,168900,51.73
2007-12-14,305.0,325.0,302.95,310.0,77700,50.29
2007-12-17,316.8,320.0,298.0,301.5,95300,48.91
