Date,Open,High,Low,Close,Volume,Adj Close
2010-12-15,551.0,591.05,458.5,466.5,31618400,398.04
2010-12-16,469.35,479.0,450.9,461.95,10130400,394.16
2010-12-20,459.7,459.8,440.1,441.45,2455500,376.67
2010-12-21,441.5,451.0,433.6,435.6,2229100,371.68
2010-12-22,437.0,470.55,431.65,460.65,10754200,393.05
2010-12-23,463.0,465.45,447.2,448.65,2507400,382.81
2010-12-24,449.0,457.5,447.05,448.75,1618000,382.9
2010-12-27,443.0,453.0,439.5,440.95,775600,376.24
2010-12-28,441.0,445.0,436.55,439.6,844500,375.09
2010-12-29,442.5,448.95,440.0,440.75,917700,376.07
2010-12-30,367.35,452.3,367.35,449.8,1641600,383.79
2010-12-31,451.95,457.0,448.05,449.85,790200,383.84
2011-01-03,451.0,460.5,451.0,453.65,944200,387.08
2011-01-04,456.0,457.8,452.4,454.85,439900,388.1
2011-01-05,433.3,455.95,433.3,448.25,318800,382.47
2011-01-06,450.95,452.1,446.0,446.95,273200,381.36
2011-01-07,448.4,449.5,433.0,435.35,283200,371.47
2011-01-10,435.35,438.75,428.5,430.3,460100,367.16
2011-01-11,432.9,439.7,431.25,433.3,391700,369.72
2011-01-12,435.0,438.9,428.05,435.5,231600,371.59
2011-01-13,436.0,445.5,432.4,442.5,499800,377.57
2011-01-14,442.5,442.5,434.0,435.15,266600,371.29
2011-01-17,436.0,439.35,430.35,435.0,188500,371.17
2011-01-18,436.15,439.1,432.0,434.0,152900,370.31
2011-01-19,434.5,437.4,433.1,433.9,80800,370.23
2011-01-20,433.0,442.4,430.55,435.0,239500,371.17
2011-01-21,435.0,440.25,430.8,432.0,152400,368.61
2011-01-24,433.0,436.4,430.0,430.5,104000,367.33
2011-01-25,432.5,434.9,427.1,428.2,107700,365.36
2011-01-27,429.25,432.4,422.25,423.45,105800,361.31
2011-01-28,424.6,424.6,410.0,411.25,174300,350.9
2011-01-31,409.8,412.0,394.55,409.6,332000,349.49
2011-02-01,413.0,417.0,407.1,409.7,290800,349.58
2011-02-02,412.0,414.85,410.35,411.1,132400,350.77
2011-02-03,411.35,419.45,410.0,417.05,116600,355.85
2011-02-04,418.0,424.4,416.0,419.0,146300,357.51
2011-02-07,420.0,422.0,411.2,419.65,105200,358.07
2011-02-08,420.2,420.2,411.75,413.35,107500,352.69
2011-02-09,412.0,418.6,406.5,408.3,165600,348.38
2011-02-10,402.0,416.1,386.35,393.6,274100,335.84
2011-02-11,397.5,406.35,392.0,404.65,157800,345.27
2011-02-14,407.0,416.8,407.0,413.6,99800,352.91
2011-02-15,414.3,416.9,408.3,409.85,171500,349.71
2011-02-16,410.0,423.0,409.1,421.05,153200,359.26
2011-02-17,419.25,422.0,412.9,413.85,71500,355.23
2011-02-18,416.9,419.6,405.8,407.0,75200,349.35
2011-02-21,407.0,413.5,407.0,411.15,58600,352.91
2011-02-22,410.0,413.45,403.7,406.35,64900,348.79
2011-02-23,406.0,410.25,405.9,407.4,37800,349.69
2011-02-24,408.0,409.35,395.0,402.45,92700,345.44
2011-02-25,403.0,406.85,393.7,395.65,58600,339.61
2011-02-28,400.0,408.8,392.55,394.8,135000,338.88
2011-03-01,395.6,403.6,395.6,401.75,75200,344.84
2011-03-03,400.1,404.0,398.1,399.6,69300,343.0
2011-03-04,398.1,404.0,398.1,401.55,54800,344.67
2011-03-07,400.0,402.0,395.0,396.35,43700,340.21
2011-03-08,399.0,402.0,396.1,397.5,50100,341.2
2011-03-09,399.0,401.35,395.0,395.4,153200,339.39
2011-03-10,397.0,398.0,393.45,394.2,32400,338.36
2011-03-11,380.0,394.65,380.0,388.4,85500,333.38
2011-03-14,386.05,392.0,384.0,385.15,56400,330.59
2011-03-15,384.8,393.8,376.6,379.85,168500,326.05
2011-03-16,382.0,389.0,379.65,380.65,93600,326.73
2011-03-17,379.9,385.0,377.7,379.4,80300,325.66
2011-03-18,381.5,383.0,377.2,378.1,48100,324.54
2011-03-21,379.0,381.0,375.55,376.4,56000,323.08
2011-03-22,378.55,389.4,377.25,378.5,228600,324.89
2011-03-23,384.0,384.0,377.1,377.95,76600,324.41
2011-03-24,380.95,404.7,380.0,393.3,1102500,337.59
2011-03-25,394.0,409.3,393.35,407.35,785000,349.65
2011-03-28,408.35,412.0,396.15,398.05,271200,341.67
2011-03-29,398.0,405.5,394.0,395.6,181400,339.56
2011-03-30,396.3,402.6,396.3,397.65,85000,341.32
2011-03-31,399.4,402.0,394.0,394.55,74400,338.66
2011-04-01,397.0,399.7,394.3,394.8,67400,338.88
2011-04-04,398.0,405.7,396.2,401.2,137900,344.37
2011-04-05,402.95,407.45,398.3,400.0,194500,343.34
