Date,Open,High,Low,Close,Volume,Adj Close
2000-06-05,1316.0,1316.0,1315.0,1315.0,1600,152.639
2000-06-06,1300.0,1300.0,1260.0,1285.0,1600,149.157
2000-06-07,1275.0,1275.0,1275.0,1275.0,400,147.996
2000-06-08,1220.0,1220.0,1176.0,1176.0,5200,136.505
2000-06-09,1101.0,1120.0,1100.0,1100.0,2800,127.683
2000-06-12,1184.948,1184.948,1155.0,1159.0,3200,134.532
2000-06-13,1155.0,1155.0,1120.0,1140.0,1600,132.326
2000-06-14,1128.0,1190.0,1128.0,1170.0,3200,135.808
2000-06-15,1151.0,1180.0,1151.0,1179.5,1600,136.911
2000-06-16,1181.152,1181.152,1181.0,1181.0,800,137.085
2000-06-19,1181.0,1181.0,1181.0,1181.0,0,137.085
2000-06-20,1364.9,1377.448,1316.0,1338.6,24000,155.379
2000-06-21,1347.0,1359.0,1325.0,1354.152,6400,157.184
2000-06-22,1340.0,1340.0,1300.0,1306.652,5200,151.67
2000-06-23,1300.0,1324.9,1300.0,1301.0,2800,151.014
2000-06-26,1318.9,1319.0,1307.0,1307.0,2000,151.711
2000-06-27,1322.5,1322.5,1307.5,1318.0,1200,152.988
2000-06-28,1283.5,1284.0,1241.0,1251.0,2800,145.211
2000-06-29,1287.5,1287.5,1260.0,1260.0,800,146.255
2000-06-30,1270.0,1275.0,1251.0,1274.752,3600,147.968
2000-07-03,1260.0,1275.0,1260.0,1275.0,1200,147.996
2000-07-04,1275.0,1275.0,1275.0,1275.0,0,147.996
2000-07-05,1240.1,1247.0,1240.1,1246.1,1200,144.642
2000-07-06,1227.1,1259.652,1227.1,1253.9,1200,145.547
2000-07-07,1253.9,1253.9,1253.9,1253.9,0,145.547
2000-07-10,1253.9,1253.9,1253.9,1253.9,0,145.547
2000-07-11,1193.0,1193.0,1191.0,1191.0,2400,138.246
2000-07-12,1201.0,1201.0,1110.0,1133.0,3200,131.514
2000-07-13,1100.0,1130.0,1100.0,1110.0,1200,128.844
2000-07-14,1134.9,1136.0,1113.248,1136.0,3200,131.862
2000-07-17,1142.0,1142.0,1126.0,1131.0,3200,131.282
2000-07-18,1092.0,1131.0,1091.0,1129.348,3200,131.09
2000-07-19,1138.0,1140.0,1130.0,1140.0,2000,132.326
2000-07-20,1140.0,1148.0,1132.5,1132.5,2800,131.456
2000-07-21,1150.0,1161.0,1114.0,1120.0,7200,130.005
2000-07-24,1120.0,1120.0,1120.0,1120.0,0,130.005
2000-07-25,1059.9,1078.0,1059.9,1077.9,2400,125.118
2000-07-26,1084.0,1084.0,1045.0,1045.0,1200,121.299
2000-07-27,1045.0,1045.0,1045.0,1045.0,0,121.299
2000-07-28,1000.0,1000.0,996.0,996.0,1200,115.611
2000-07-31,996.0,996.0,996.0,996.0,0,115.611
2000-08-01,975.0,999.0,975.0,999.0,1200,115.96
2000-08-02,971.1,973.0,971.0,973.0,1200,112.942
2000-08-03,973.0,973.0,973.0,973.0,0,112.942
2000-08-04,962.0,962.0,940.048,945.952,1600,109.802
2000-08-07,902.0,902.0,888.0,900.0,3200,104.468
2000-08-08,905.0,945.0,905.0,936.7,2000,108.728
2000-08-09,915.0,957.048,915.0,957.048,800,111.09
2000-08-10,940.0,940.0,940.0,940.0,800,109.111
2000-08-11,999.0,999.0,952.0,973.9,1200,113.046
2000-08-14,968.0,969.952,925.0,926.0,2000,107.486
2000-08-15,926.0,926.0,926.0,926.0,0,107.486
2000-08-16,925.0,930.0,925.0,930.0,800,107.95
2000-08-17,930.0,930.0,930.0,930.0,400,107.95
2000-08-18,929.952,930.0,921.0,921.0,1200,106.906
2000-08-21,989.0,989.0,928.0,928.248,2400,107.747
2000-08-22,929.0,929.0,900.0,900.8,7200,104.561
2000-08-23,939.9,950.0,927.0,950.0,2000,110.272
2000-08-24,948.9,949.0,948.9,949.0,800,110.156
2000-08-25,940.0,945.0,900.0,918.348,6000,106.598
2000-08-28,991.8,991.8,985.0,990.0,3400,114.915
2000-08-29,1040.0,1069.152,1030.0,1056.1,4100,122.587
2000-08-30,1085.0,1085.0,1030.552,1031.7,2100,119.755
2000-08-31,1030.0,1045.0,1005.5,1028.752,2300,119.413
2000-09-01,1028.752,1028.752,1028.752,1028.752,0,119.413
2000-09-04,1050.0,1111.0,1050.0,1086.0,4600,126.058
2000-09-05,1064.0,1105.9,1063.0,1065.0,2200,123.621
2000-09-06,1115.0,1115.0,1054.0,1107.248,1500,128.524
2000-09-07,1100.0,1138.0,1100.0,1124.0,1600,130.469
2000-09-08,1200.0,1200.0,1100.0,1122.5,2700,130.295
2000-09-11,1200.0,1200.0,1130.0,1170.0,13500,135.808
2000-09-12,1190.0,1190.0,1140.0,1179.848,1400,136.952
2000-09-13,1178.0,1179.0,1156.0,1177.0,400,136.621
2000-09-14,1173.0,1173.0,1150.0,1150.0,200,133.487
2000-09-15,1150.0,1150.0,1065.0,1125.3,800,130.62
2000-09-18,1125.3,1125.3,1125.3,1125.3,0,130.62
2000-09-19,1125.3,1125.3,1125.3,1125.3,0,130.62
2000-09-20,988.0,1035.0,988.0,1030.7,200,119.639
2000-09-21,1000.0,1039.0,1000.0,1020.7,100,118.478
2000-09-22,1000.0,1023.0,980.0,983.048,41300,114.108
2000-09-25,1001.0,1032.0,1000.0,1031.552,16500,119.738
2000-09-26,1031.552,1031.552,1031.552,1031.552,0,119.738
2000-09-27,1031.552,1031.552,1031.552,1031.552,0,119.738
2000-09-28,1048.0,1048.0,990.0,992.048,700,115.153
2000-09-29,992.048,992.048,992.048,992.048,0,115.153
2000-10-02,992.048,992.048,992.048,992.048,0,115.153
2000-10-03,1085.0,1085.0,935.0,996.652,1200,115.687
2000-10-04,1024.0,1025.0,991.0,1010.0,4300,117.236
2000-10-05,1000.0,1000.0,991.8,1000.0,200,116.076
2000-10-06,1000.0,1000.0,990.0,990.0,200,114.915
2000-10-09,966.0,984.0,966.0,984.0,0,114.218
2000-10-10,975.0,975.0,951.0,961.0,200,111.549
2000-10-11,950.0,951.0,940.0,950.7,100,110.353
2000-10-12,951.0,951.0,950.0,950.0,0,110.272
2000-10-13,900.0,930.0,880.0,902.952,3000,104.811
2000-10-16,920.248,925.0,906.0,906.0,500,105.164
2000-10-17,880.0,890.0,872.0,875.152,800,101.584
2000-10-18,880.0,899.0,880.0,890.8,500,103.4
2000-10-19,864.0,895.0,864.0,889.0,200,103.191
2000-10-20,889.0,889.0,889.0,889.0,0,103.191
2000-10-23,863.0,863.0,840.0,840.0,300,97.504
2000-10-24,860.0,860.0,825.0,825.0,400,95.762
2000-10-25,825.0,825.0,825.0,825.0,0,95.762
2000-10-26,825.0,825.0,825.0,825.0,0,95.762
2000-10-27,885.548,885.548,885.548,885.548,0,102.791
2000-10-30,860.0,880.0,840.0,860.0,700,99.825
2000-10-31,860.0,860.0,860.0,860.0,0,99.825
2000-11-01,880.0,890.0,880.0,890.0,200,103.307
2000-11-02,895.0,897.0,894.0,894.0,200,103.772
2000-11-03,899.0,900.0,876.0,885.0,400,102.727
2000-11-06,899.952,901.0,886.1,886.1,400,102.855
2000-11-07,909.8,909.8,890.0,890.0,400,103.307
2000-11-08,911.0,945.0,909.952,920.0,1700,106.79
2000-11-09,904.0,928.0,904.0,928.0,0,107.718
2000-11-10,921.0,921.0,904.0,904.9,200,105.037
2000-11-13,905.0,905.0,875.0,875.0,200,101.566
2000-11-14,894.0,900.0,880.0,900.0,600,104.468
2000-11-15,892.0,899.0,890.0,899.0,400,104.352
2000-11-16,900.0,900.0,858.0,858.0,1200,99.593
2000-11-17,871.0,885.0,865.5,885.0,900,102.727
2000-11-20,913.9,913.9,872.0,890.0,200,103.307
2000-11-21,877.0,888.0,871.0,876.2,400,101.705
2000-11-22,875.0,903.0,870.0,885.0,1300,102.727
2000-11-23,871.0,889.8,871.0,888.0,800,103.075
2000-11-24,875.0,895.0,875.0,882.048,1500,102.384
2000-11-27,919.0,919.0,884.0,884.1,1000,102.622
2000-11-28,887.0,887.0,876.0,876.0,2600,101.682
2000-11-29,880.0,890.0,877.0,877.0,600,101.798
2000-11-30,895.0,895.0,860.0,872.0,800,101.218
2000-12-01,865.0,875.9,865.0,875.1,1400,101.578
2000-12-04,900.0,900.0,876.0,876.0,200,101.682
2000-12-05,900.0,900.0,865.0,876.952,2400,101.793
2000-12-06,894.0,922.0,885.0,903.0,1700,104.816
2000-12-07,881.0,921.0,880.0,910.0,900,105.629
2000-12-08,909.8,982.752,909.8,982.752,6700,114.074
2001-01-22,1026.652,1026.652,1010.248,1010.248,100,117.265
2001-07-03,954.752,958.0,941.048,943.5,800,109.992
2001-07-04,945.0,945.0,936.0,937.048,300,109.24
2001-07-05,937.0,944.9,935.0,935.0,300,109.001
2001-07-06,945.0,953.848,930.0,931.152,3000,108.552
2001-07-09,950.0,950.0,925.0,925.0,600,107.835
2001-07-10,930.5,945.0,916.0,929.548,1600,108.365
2001-07-11,940.0,940.0,925.0,932.452,600,108.704
2001-07-12,930.0,942.3,920.0,929.8,1100,108.395
2001-07-16,928.0,940.0,927.0,940.0,500,109.584
2001-07-17,940.0,940.0,925.0,925.548,500,107.899
2001-07-18,930.048,935.0,925.0,926.0,800,107.952
2001-07-19,925.0,934.0,925.0,931.152,1000,108.552
2001-07-20,934.0,938.0,918.0,919.2,800,107.159
2001-07-24,918.0,943.848,918.0,937.248,500,109.263
2001-07-25,945.0,950.0,900.248,923.7,1300,107.683
2001-07-26,900.048,901.048,890.0,899.1,2800,104.816
2001-07-27,880.048,900.0,861.0,865.752,4100,100.928
2001-07-30,892.952,892.952,868.0,874.0,600,101.89
2001-07-31,889.952,889.952,860.0,883.0,600,102.939
2001-08-01,895.0,895.0,872.0,880.0,800,102.589
2001-08-02,878.0,878.0,870.0,870.0,400,101.423
2001-08-03,876.0,900.0,875.0,891.248,1200,103.9
2001-08-06,889.0,889.0,880.0,882.1,500,102.834
2001-08-07,871.048,880.0,870.0,877.0,1800,102.239
2001-08-08,850.048,884.0,850.048,873.0,1200,101.773
2001-08-09,878.952,890.0,878.952,889.3,1700,103.673
2001-08-10,900.0,959.0,900.0,949.5,3400,110.691
2001-08-13,478.0,505.0,478.0,497.4,1600,115.972
2001-08-14,495.0,505.0,455.0,465.05,2500,108.43
2001-08-16,464.7,469.5,445.0,465.5,800,108.534
2001-08-17,470.0,470.0,457.55,462.75,800,107.893
2001-08-20,469.3,469.3,457.15,458.15,100,106.821
2001-08-21,458.05,463.65,455.0,462.0,600,107.718
2001-08-23,461.0,461.0,451.0,454.0,600,105.853
2001-08-24,450.0,456.9,450.0,451.5,1200,105.27
2001-08-27,461.0,461.0,452.05,460.0,200,107.252
2001-08-28,463.0,468.5,450.0,450.0,700,104.921
2001-08-29,445.0,452.9,445.0,452.9,800,105.597
2001-08-30,450.0,450.0,442.0,445.75,400,103.93
2001-08-31,442.0,449.0,430.0,431.4,1000,100.584
2001-09-03,400.0,415.0,400.0,411.8,100,96.014
2001-09-04,428.8,429.0,428.8,429.0,0,100.024
2001-09-05,430.0,430.0,412.9,413.65,200,96.445
2001-09-06,424.0,424.0,405.05,414.0,500,96.527
2001-09-07,418.0,422.0,413.0,421.55,200,98.287
2001-09-10,421.0,425.0,414.0,422.5,200,98.509
2001-09-11,426.3,426.3,412.0,413.45,200,96.399
2001-09-12,400.0,414.95,395.0,396.35,1000,92.412
2001-09-13,401.0,401.0,396.0,396.0,0,92.33
2001-09-14,385.0,389.95,370.8,373.4,2000,87.061
2001-09-17,341.0,352.0,329.05,342.0,2700,79.74
2001-09-18,325.05,357.9,325.05,348.05,1800,81.15
2001-09-19,355.0,362.8,355.0,362.0,400,84.403
2001-09-20,359.9,369.95,357.0,360.75,1400,84.111
