Date,Open,High,Low,Close,Volume,Adj Close
2002-07-01,1.41235,1.41235,1.41235,1.41235,100,0.04531
2002-07-02,1.42222,1.48346,1.42222,1.48346,900,0.0476
2002-07-03,1.50716,1.55259,1.50716,1.55259,1700,0.04981
2002-07-04,1.54074,1.55457,1.54074,1.55457,500,0.04988
2002-07-05,1.58025,1.58025,1.54667,1.58025,4600,0.0507
2002-07-08,1.60593,1.65926,1.60593,1.65926,4900,0.05324
2002-07-09,1.69877,1.72444,1.69877,1.72444,1700,0.05533
2002-07-10,1.68691,1.68691,1.64741,1.64741,2800,0.05286
2002-07-11,1.59605,1.60593,1.59407,1.60395,1200,0.05146
2002-07-12,1.54074,1.61383,1.54074,1.5763,10100,0.05057
2002-07-17,1.52691,1.52691,1.52691,1.52691,100,0.04899
2002-07-18,1.60593,1.60593,1.60593,1.60593,700,0.05152
2002-07-19,1.58025,1.58025,1.47556,1.47556,200,0.04734
2002-07-24,1.38667,1.38667,1.38272,1.38667,1500,0.04449
2002-07-25,1.35704,1.35704,1.31753,1.31753,1700,0.04227
2002-07-26,1.31753,1.31753,1.31753,1.31753,500,0.04227
2002-07-29,1.31753,1.31753,1.18519,1.18519,400,0.03803
2002-07-31,1.19901,1.19901,1.19901,1.19901,0,0.03847
2002-08-02,1.11605,1.12,1.11605,1.12,0,0.03593
2002-08-05,1.22469,1.22864,1.22469,1.22864,400,0.03942
2002-08-20,1.22864,1.22864,1.22864,1.22864,200,0.03942
2002-08-21,1.28988,1.34914,1.27802,1.34716,1100,0.04322
2002-08-22,1.48148,1.48148,1.46173,1.46173,0,0.0469
2002-08-26,1.32346,1.32346,1.32346,1.32346,0,0.04246
2002-08-28,1.32938,1.32938,1.32938,1.32938,500,0.04265
2002-09-02,1.31753,1.31753,1.31753,1.31753,200,0.04227
2002-09-04,1.29383,1.29383,1.29383,1.29383,200,0.04151
2002-09-05,1.25037,1.25037,1.25037,1.25037,300,0.04012
2002-09-11,1.22469,1.22469,1.22469,1.22469,2200,0.03929
2002-09-16,1.30173,1.30173,1.30173,1.30173,200,0.04176
2002-09-19,1.25827,1.25827,1.17728,1.17728,1600,0.03777
2002-09-23,1.25037,1.25037,1.25037,1.25037,100,0.04012
2002-09-24,1.13383,1.19901,1.13383,1.18914,800,0.03815
2002-10-01,1.12,1.12,1.08444,1.08444,500,0.03479
2002-10-10,1.17136,1.17136,1.17136,1.17136,500,0.03758
2002-10-11,1.18519,1.18519,1.12198,1.14963,700,0.03688
2002-10-14,1.14963,1.14963,1.12,1.12,1500,0.03593
2002-10-16,1.16741,1.16741,1.16741,1.16741,700,0.03746
2002-10-17,1.1516,1.1516,1.1516,1.1516,1000,0.03695
2002-10-22,1.13185,1.13185,1.13185,1.13185,500,0.03631
2002-10-23,1.24642,1.24642,1.24642,1.24642,100,0.03999
2002-10-24,1.31753,1.31753,1.31753,1.31753,700,0.04227
2002-10-25,1.36889,1.36889,1.28988,1.28988,200,0.04138
2002-10-29,1.34321,1.34321,1.34321,1.34321,1000,0.0431
2002-11-01,1.22667,1.22667,1.22469,1.22469,1000,0.03929
2002-11-08,1.2642,1.2642,1.2642,1.2642,500,0.04056
2002-11-11,1.18914,1.18914,1.18716,1.18716,1000,0.03809
2002-11-12,1.18519,1.18519,1.18519,1.18519,1200,0.03803
2002-11-13,1.18519,1.21086,1.18519,1.21086,1500,0.03885
2002-11-15,1.10617,1.21086,1.10617,1.17136,1500,0.03758
2002-11-18,1.18519,1.26222,1.18519,1.26222,1100,0.0405
2002-11-20,1.26025,1.2642,1.26025,1.2642,1900,0.04056
2002-11-22,1.2642,1.2642,1.2642,1.2642,0,0.04056
2002-11-25,1.19111,1.19111,1.19111,1.19111,200,0.03822
2002-11-26,1.29778,1.30963,1.29778,1.30963,2500,0.04202
2002-11-27,1.31753,1.44,1.31753,1.42222,5000,0.04563
2002-11-28,1.50123,1.50123,1.4479,1.45185,5100,0.04658
2002-11-29,1.55457,1.55457,1.46173,1.46173,600,0.0469
